Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA RIVAS POMEROL',1 Mitjana,8.0,22.5,4.25,1.12,2.0,0.56,0.5,1.12,0.44,0.5,0.88,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.6,0.61,1.61,2.0,1.91,1.56,54.98,1.2,0.0,0.0,0.0,0.0,4.0,9.28,0.0,-0.5,125.93,89.65,36.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.62,3.12,0.52,12.0
b'ADRIA RIVAS POMEROL',2 Derrota,2.0,26.0,7.5,3.5,4.0,0.88,0.0,1.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.64,0.66,3.85,4.54,3.7,2.0,64.91,1.27,0.0,0.0,0.0,0.0,5.88,12.23,0.0,0.25,136.36,93.27,43.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,3.5,5.5,0.64,12.0
b'ADRIA RIVAS POMEROL',2 Victoria,6.0,21.33,3.17,0.33,1.33,0.25,0.67,1.0,0.67,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.57,0.57,0.87,3.57,1.3,1.43,47.56,1.14,0.0,0.0,0.0,0.0,3.45,7.92,0.0,-0.75,126.67,88.3,38.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.0,2.33,0.43,12.0
b'ADRIA RIVAS POMEROL',3 Local,5.0,21.4,3.4,0.4,1.4,0.29,0.8,1.2,0.67,0.2,0.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.62,0.58,0.94,1.54,1.34,1.58,45.89,1.23,0.0,0.0,0.0,0.0,3.51,8.39,0.0,-0.7,130.77,88.1,42.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,1.2,2.6,0.46,12.0
b'ADRIA RIVAS POMEROL',3 Visitant,3.0,24.33,5.67,2.33,3.0,0.78,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.58,0.64,2.73,8.33,2.73,1.67,62.12,1.17,0.0,0.0,0.0,0.0,4.86,10.48,0.0,-0.17,130.77,92.08,38.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.33,4.0,0.58,12.0
b'ADRIA RIVAS POMEROL',4 Banqueta,8.0,22.5,4.25,1.12,2.0,0.56,0.5,1.12,0.44,0.5,0.88,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.6,0.61,1.61,2.0,1.91,1.56,54.98,1.2,0.0,0.0,0.0,0.0,4.0,9.28,0.0,-0.5,125.93,89.65,36.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.62,3.12,0.52,12.0
b'ADRIA RIVAS POMEROL',5 Dificil,7.0,22.57,4.57,1.14,1.71,0.67,0.57,1.29,0.44,0.57,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.67,0.66,2.07,2.72,2.04,1.36,60.02,1.33,0.0,0.0,0.0,0.0,3.97,9.0,0.0,-0.07,139.13,91.27,47.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.71,3.0,0.57,12.0
b'ADRIA RIVAS POMEROL',5 Facil,1.0,22.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.25,-1.6,0.0,1.0,3.0,25.0,0.5,0.0,0.0,0.0,0.0,4.0,11.47,0.0,-3.5,50.0,77.56,-27.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,12.0
b'ADRIA RIVAS POMEROL',6 Equips Cua,1.0,26.0,6.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.6,0.6,2.1,0.0,3.0,2.0,60.0,1.2,0.0,0.0,0.0,0.0,5.0,10.39,0.0,-1.0,120.0,92.63,27.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,5.0,0.6,12.0
b'ADRIA RIVAS POMEROL',6 Equips Top,1.0,26.0,6.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.6,0.6,2.1,0.0,3.0,2.0,60.0,1.2,0.0,0.0,0.0,0.0,5.0,10.39,0.0,-1.0,120.0,92.63,27.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,5.0,0.6,12.0
b'ALEX FAYOS PEREZ',1 Mitjana,10.0,14.4,5.4,0.4,1.6,0.25,1.1,3.0,0.37,1.3,2.1,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.45,0.49,1.58,2.83,2.22,3.22,40.77,0.89,0.0,0.0,0.0,0.0,6.71,22.66,0.0,-1.35,100.0,90.96,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.5,4.6,0.33,8.0
b'ALEX FAYOS PEREZ',2 Derrota,4.0,12.5,3.25,0.5,2.25,0.22,0.5,1.75,0.29,0.75,1.75,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.31,0.34,-0.65,4.69,1.47,3.23,31.31,0.62,0.0,0.0,0.0,0.0,5.54,21.54,0.0,-3.0,76.47,94.55,-18.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.0,4.0,0.25,8.0
b'ALEX FAYOS PEREZ',2 Victoria,6.0,15.67,6.83,0.33,1.17,0.29,1.5,3.83,0.39,1.67,2.33,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.52,0.57,3.07,5.55,2.69,3.24,45.35,1.03,0.0,0.0,0.0,0.0,7.61,23.44,0.0,-0.25,117.14,88.22,28.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.83,5.0,0.37,8.0
b'ALEX FAYOS PEREZ',3 Local,5.0,15.4,5.0,0.4,1.2,0.33,1.2,3.6,0.33,0.6,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.46,0.48,1.32,2.5,1.94,3.26,37.23,0.92,0.0,0.0,0.0,0.0,5.94,20.69,0.0,-1.3,100.0,87.97,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.6,4.8,0.33,8.0
b'ALEX FAYOS PEREZ',3 Visitant,5.0,13.4,5.8,0.4,2.0,0.2,1.0,2.4,0.42,2.0,3.2,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.43,0.5,1.84,9.09,2.5,3.18,44.01,0.86,0.0,0.0,0.0,0.0,7.32,24.88,0.0,-1.4,107.41,93.68,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.4,4.4,0.32,8.0
b'ALEX FAYOS PEREZ',4 Banqueta,10.0,14.4,5.4,0.4,1.6,0.25,1.1,3.0,0.37,1.3,2.1,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.45,0.49,1.58,2.83,2.22,3.22,40.77,0.89,0.0,0.0,0.0,0.0,6.71,22.66,0.0,-1.35,100.0,90.96,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.5,4.6,0.33,8.0
b'ALEX FAYOS PEREZ',5 Dificil,7.0,13.14,4.57,0.43,1.43,0.3,0.71,2.43,0.29,1.57,2.29,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.39,0.47,1.3,5.82,1.97,2.8,41.24,0.78,0.0,0.0,0.0,0.0,6.07,21.84,0.0,-1.36,100.0,91.01,8.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,1.14,3.86,0.3,8.0
b'ALEX FAYOS PEREZ',5 Facil,3.0,17.33,7.33,0.33,2.0,0.17,2.0,4.33,0.46,0.67,1.67,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.53,0.52,2.23,3.51,2.76,4.24,39.43,1.05,0.0,0.0,0.0,0.0,8.17,24.1,0.0,-1.33,110.0,90.94,19.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,2.33,6.33,0.37,8.0
b'ALEX FAYOS PEREZ',6 Equips Cua,2.0,13.0,5.0,0.5,3.0,0.17,1.0,3.0,0.33,1.0,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.33,0.35,-0.4,8.34,2.14,4.86,30.57,0.67,0.0,0.0,0.0,0.0,8.29,29.19,0.0,-3.75,76.92,95.23,-18.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,6.0,0.25,8.0
