Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA VERDAGUER MATAS',1 Mitjana,15.0,12.13,5.2,0.33,1.33,0.25,1.27,2.73,0.46,0.73,1.07,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.55,0.57,2.06,1.2,1.98,2.51,44.18,1.1,0.0,0.0,0.0,0.0,5.18,21.03,0.0,-0.4,118.18,99.08,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.6,4.07,0.39,2.0
b'ADRIA VERDAGUER MATAS',2 Derrota,10.0,12.1,4.2,0.1,1.1,0.09,1.1,2.8,0.39,0.7,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.45,0.48,0.99,1.79,1.56,2.74,36.37,0.9,0.0,0.0,0.0,0.0,4.95,20.32,0.0,-1.25,100.0,105.95,-5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,1.2,3.9,0.31,2.0
b'ADRIA VERDAGUER MATAS',2 Victoria,5.0,12.2,7.2,0.8,1.8,0.44,1.6,2.6,0.62,0.8,1.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.73,0.73,4.2,3.64,2.83,2.05,57.92,1.45,0.0,0.0,0.0,0.0,5.62,22.43,0.0,1.3,150.0,85.66,64.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,2.4,4.4,0.55,2.0
b'ADRIA VERDAGUER MATAS',3 Local,7.0,13.86,5.14,0.14,1.0,0.14,1.43,2.86,0.5,0.57,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.59,0.6,1.93,2.12,1.9,2.36,44.58,1.19,0.0,0.0,0.0,0.0,4.96,17.08,0.0,-0.43,124.14,102.9,21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.57,3.86,0.41,2.0
b'ADRIA VERDAGUER MATAS',3 Visitant,8.0,10.62,5.25,0.5,1.62,0.31,1.12,2.62,0.43,0.88,1.12,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.51,0.55,2.17,2.57,2.05,2.65,43.68,1.03,0.0,0.0,0.0,0.0,5.36,25.61,0.0,-0.38,113.51,95.73,17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.62,4.25,0.38,2.0
b'ADRIA VERDAGUER MATAS',4 Banqueta,15.0,12.13,5.2,0.33,1.33,0.25,1.27,2.73,0.46,0.73,1.07,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.55,0.57,2.06,1.2,1.98,2.51,44.18,1.1,0.0,0.0,0.0,0.0,5.18,21.03,0.0,-0.4,118.18,99.08,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.6,4.07,0.39,2.0
b'ADRIA VERDAGUER MATAS',5 Dificil,10.0,9.9,4.4,0.4,1.3,0.31,1.0,2.1,0.48,0.6,0.7,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.56,0.59,1.74,1.76,1.67,2.01,45.5,1.12,0.0,0.0,0.0,0.0,4.11,20.3,0.0,-0.35,122.22,93.36,28.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.4,3.4,0.41,2.0
b'ADRIA VERDAGUER MATAS',5 Facil,5.0,16.6,6.8,0.2,1.4,0.14,1.8,4.0,0.45,1.0,1.8,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.54,0.55,2.7,3.7,2.58,3.54,42.12,1.07,0.0,0.0,0.0,0.0,7.37,22.71,0.0,-0.5,117.24,111.23,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,2.0,5.4,0.37,2.0
b'ADRIA VERDAGUER MATAS',6 Equips Cua,3.0,11.33,9.67,0.67,1.0,0.67,2.67,4.33,0.62,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.88,0.86,5.8,2.08,3.53,2.07,63.1,1.75,0.0,0.0,0.0,0.0,6.02,27.1,0.0,2.33,181.25,101.47,79.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,3.33,5.33,0.62,2.0
b'ADRIA VERDAGUER MATAS',6 Equips Top,3.0,11.33,9.67,0.67,1.0,0.67,2.67,4.33,0.62,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.88,0.86,5.8,2.08,3.53,2.07,63.1,1.75,0.0,0.0,0.0,0.0,6.02,27.1,0.0,2.33,181.25,101.47,79.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,3.33,5.33,0.62,2.0
