Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'DIDAC RODRIGUEZ ROLDAN',1 Mitjana,5.0,19.0,5.4,1.0,4.6,0.22,0.4,1.6,0.25,2.2,2.6,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.26,0.37,0.66,7.1,2.42,4.82,33.36,0.52,0.0,0.0,0.0,0.0,8.66,20.92,0.0,-3.1,75.0,96.28,-21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.4,6.2,0.23,6.0
b'DIDAC RODRIGUEZ ROLDAN',2 Derrota,4.0,19.25,5.0,1.0,5.0,0.2,0.25,1.5,0.17,2.25,2.75,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.21,0.32,-0.05,8.65,2.31,5.29,30.44,0.42,0.0,0.0,0.0,0.0,9.03,22.24,0.0,-3.88,66.67,99.47,-32.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.25,6.5,0.19,6.0
b'DIDAC RODRIGUEZ ROLDAN',2 Victoria,1.0,18.0,7.0,1.0,3.0,0.33,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.6,3.5,40.0,2.8,3.0,48.28,1.0,0.0,0.0,0.0,0.0,7.27,16.01,0.0,0.0,140.0,83.89,56.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,5.0,0.4,6.0
b'DIDAC RODRIGUEZ ROLDAN',3 Local,2.0,18.0,4.5,0.5,3.0,0.17,0.5,1.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.31,0.46,1.3,25.0,1.8,3.0,37.5,0.62,0.0,0.0,0.0,0.0,6.0,15.3,0.0,-1.5,100.0,87.09,12.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,4.0,0.25,6.0
b'DIDAC RODRIGUEZ ROLDAN',3 Visitant,3.0,19.67,6.0,1.33,5.67,0.24,0.33,2.0,0.17,2.33,3.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.24,0.33,0.23,10.14,2.81,6.06,31.66,0.48,0.0,0.0,0.0,0.0,10.42,24.04,0.0,-4.17,69.23,102.34,-33.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.67,7.67,0.22,6.0
b'DIDAC RODRIGUEZ ROLDAN',4 Banqueta,5.0,19.0,5.4,1.0,4.6,0.22,0.4,1.6,0.25,2.2,2.6,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.26,0.37,0.66,7.1,2.42,4.82,33.36,0.52,0.0,0.0,0.0,0.0,8.66,20.92,0.0,-3.1,75.0,96.28,-21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.4,6.2,0.23,6.0
b'DIDAC RODRIGUEZ ROLDAN',5 Dificil,3.0,15.33,4.0,0.67,3.0,0.22,0.33,0.67,0.5,1.67,2.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.32,0.44,0.9,15.15,1.78,2.69,39.8,0.64,0.0,0.0,0.0,0.0,5.64,16.84,0.0,-1.67,92.31,91.01,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.0,3.67,0.27,6.0
b'DIDAC RODRIGUEZ ROLDAN',5 Facil,2.0,24.5,7.5,1.5,7.0,0.21,0.5,3.0,0.17,3.0,3.5,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.23,0.32,0.3,15.0,3.37,8.03,29.57,0.45,0.0,0.0,0.0,0.0,13.14,23.76,0.0,-5.25,68.18,103.73,-35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,10.0,0.2,6.0
b'DIDAC RODRIGUEZ ROLDAN',6 Equips Cua,1.0,18.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,-2.0,50.0,0.8,4.0,16.67,0.0,0.0,0.0,0.0,0.0,6.0,14.94,0.0,-4.5,50.0,119.14,-69.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,0.0,6.0
b'DIDAC RODRIGUEZ ROLDAN',6 Equips Top,1.0,18.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,-2.0,50.0,0.8,4.0,16.67,0.0,0.0,0.0,0.0,0.0,6.0,14.94,0.0,-4.5,50.0,119.14,-69.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,0.0,6.0
