Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'A.O.N.',1 Mitjana,8.0,7.88,1.62,0.25,0.62,0.4,0.25,1.12,0.22,0.38,0.62,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.36,0.4,-0.1,2.68,0.71,1.29,35.5,0.71,0.0,0.0,0.0,0.0,2.43,13.95,0.0,-1.19,86.67,93.35,-6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.5,1.75,0.29,21.0
b'A.O.N.',2 Derrota,3.0,7.33,1.0,0.33,0.67,0.5,0.0,1.33,0.0,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.17,0.22,-0.67,5.56,0.53,1.73,23.53,0.33,0.0,0.0,0.0,0.0,2.73,17.62,0.0,-1.67,50.0,109.11,-59.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,2.0,0.17,21.0
b'A.O.N.',2 Victoria,5.0,8.2,2.0,0.2,0.6,0.33,0.4,1.0,0.4,0.4,0.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.54,0.24,5.0,0.81,1.03,44.2,1.0,0.0,0.0,0.0,0.0,2.25,12.07,0.0,-0.9,111.11,84.51,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.6,1.6,0.38,21.0
b'A.O.N.',3 Local,4.0,8.25,2.5,0.5,0.75,0.67,0.5,1.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.62,0.62,0.8,0.0,1.0,1.0,50.0,1.25,0.0,0.0,0.0,0.0,2.0,13.06,0.0,-0.38,125.0,93.13,31.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.0,2.0,0.5,21.0
b'A.O.N.',3 Visitant,4.0,7.5,0.75,0.0,0.5,0.0,0.0,1.0,0.0,0.75,1.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.18,-1.0,12.5,0.42,1.58,21.0,0.0,0.0,0.0,0.0,0.0,2.94,14.92,0.0,-2.0,42.86,93.63,-50.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.5,0.0,21.0
b'A.O.N.',4 Banqueta,8.0,7.88,1.62,0.25,0.62,0.4,0.25,1.12,0.22,0.38,0.62,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.36,0.4,-0.1,2.68,0.71,1.29,35.5,0.71,0.0,0.0,0.0,0.0,2.43,13.95,0.0,-1.19,86.67,93.35,-6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.5,1.75,0.29,21.0
b'A.O.N.',5 Dificil,5.0,6.6,1.8,0.4,0.8,0.5,0.2,1.0,0.2,0.4,0.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.39,0.44,-0.1,4.44,0.81,1.23,39.87,0.78,0.0,0.0,0.0,0.0,2.4,16.15,0.0,-1.3,90.0,91.91,-1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.6,1.8,0.33,21.0
b'A.O.N.',5 Facil,3.0,10.0,1.33,0.0,0.33,0.0,0.33,1.33,0.25,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.3,0.34,-0.1,6.67,0.53,1.4,27.59,0.6,0.0,0.0,0.0,0.0,2.55,11.62,0.0,-1.0,80.0,95.9,-15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.33,1.67,0.2,21.0
b'A.O.N.',6 Equips Cua,1.0,12.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,-1.9,33.33,0.6,3.2,15.79,0.0,0.0,0.0,0.0,0.0,5.82,17.84,0.0,-3.5,33.33,106.85,-73.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,3.0,0.0,21.0
b'A.O.N.',6 Equips Top,1.0,12.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,-1.9,33.33,0.6,3.2,15.79,0.0,0.0,0.0,0.0,0.0,5.82,17.84,0.0,-3.5,33.33,106.85,-73.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,3.0,0.0,21.0
