Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT VALLVERDU CORTADA',1 Mitjana,1.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.2,0.0,1.0,3.0,25.0,0.75,0.0,0.0,0.0,0.0,4.0,29.83,0.0,-1.5,75.0,73.72,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.25,23.0
b'ALBERT VALLVERDU CORTADA',2 Victoria,1.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.2,0.0,1.0,3.0,25.0,0.75,0.0,0.0,0.0,0.0,4.0,29.83,0.0,-1.5,75.0,73.72,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.25,23.0
b'ALBERT VALLVERDU CORTADA',3 Visitant,1.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.2,0.0,1.0,3.0,25.0,0.75,0.0,0.0,0.0,0.0,4.0,29.83,0.0,-1.5,75.0,73.72,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.25,23.0
b'ALBERT VALLVERDU CORTADA',4 Banqueta,1.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.2,0.0,1.0,3.0,25.0,0.75,0.0,0.0,0.0,0.0,4.0,29.83,0.0,-1.5,75.0,73.72,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.25,23.0
b'ALBERT VALLVERDU CORTADA',5 Facil,1.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.38,0.2,0.0,1.0,3.0,25.0,0.75,0.0,0.0,0.0,0.0,4.0,29.83,0.0,-1.5,75.0,73.72,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.25,23.0
b'ALEJANDRO CODOER ORDOEZ',1 Mitjana,11.0,22.18,7.0,2.45,4.91,0.5,0.45,1.64,0.28,0.73,2.09,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.48,0.47,2.02,1.01,3.39,3.99,45.92,0.96,0.0,0.0,0.0,0.0,8.47,17.4,0.0,-1.86,96.25,87.72,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.91,6.55,0.44,3.0
b'ALEJANDRO CODOER ORDOEZ',2 Derrota,1.0,31.0,17.0,5.0,7.0,0.71,2.0,2.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.89,0.86,11.1,11.11,7.6,2.2,77.55,1.78,0.0,0.0,0.0,0.0,10.83,15.91,0.0,4.5,188.89,86.37,102.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,7.0,9.0,0.78,3.0
b'ALEJANDRO CODOER ORDOEZ',2 Victoria,10.0,21.3,6.0,2.2,4.7,0.47,0.3,1.6,0.19,0.7,2.1,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.42,0.42,1.11,1.11,2.97,4.17,41.55,0.84,0.0,0.0,0.0,0.0,8.24,17.59,0.0,-2.5,85.71,87.9,-2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.5,6.3,0.4,3.0
b'ALEJANDRO CODOER ORDOEZ',3 Local,5.0,22.4,5.4,2.0,4.0,0.5,0.2,1.8,0.11,0.8,2.6,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.4,0.39,0.46,2.76,2.74,4.1,40.08,0.79,0.0,0.0,0.0,0.0,8.19,15.9,0.0,-3.0,81.82,87.58,-5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2.2,5.8,0.38,3.0
b'ALEJANDRO CODOER ORDOEZ',3 Visitant,6.0,22.0,8.33,2.83,5.67,0.5,0.67,1.5,0.44,0.67,1.67,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.53,0.53,3.32,1.55,3.93,3.91,50.13,1.07,0.0,0.0,0.0,0.0,8.71,18.68,0.0,-0.92,108.7,87.81,20.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,3.5,7.17,0.49,3.0
b'ALEJANDRO CODOER ORDOEZ',4 Banqueta,11.0,22.18,7.0,2.45,4.91,0.5,0.45,1.64,0.28,0.73,2.09,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.48,0.47,2.02,1.01,3.39,3.99,45.92,0.96,0.0,0.0,0.0,0.0,8.47,17.4,0.0,-1.86,96.25,87.72,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.91,6.55,0.44,3.0
b'ALEJANDRO CODOER ORDOEZ',5 Dificil,9.0,21.44,6.11,2.0,4.11,0.49,0.44,1.67,0.27,0.78,2.22,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.46,0.45,1.49,1.5,2.96,3.71,44.37,0.92,0.0,0.0,0.0,0.0,7.76,16.13,0.0,-2.0,93.22,89.24,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,2.44,5.78,0.42,3.0
b'ALEJANDRO CODOER ORDOEZ',5 Facil,2.0,25.5,11.0,4.5,8.5,0.53,0.5,1.5,0.33,0.5,1.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.53,0.52,4.4,2.5,5.33,5.26,50.31,1.05,0.0,0.0,0.0,0.0,11.69,22.58,0.0,-1.25,110.0,80.37,29.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,5.0,10.0,0.5,3.0
b'ALEJANDRO CODOER ORDOEZ',7 Ultims 3,3.0,19.33,4.67,1.33,3.0,0.44,0.33,1.33,0.25,1.0,1.67,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.42,0.46,1.5,7.69,2.23,2.77,44.53,0.85,0.0,0.0,0.0,0.0,5.87,13.44,0.0,-1.17,100.0,90.43,9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.67,4.33,0.38,13.0
b'ARNAU GARRABE TOSQUELLA',1 Mitjana,10.0,23.1,10.7,1.8,5.6,0.32,1.4,3.3,0.42,2.9,4.7,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.44,0.49,3.51,3.26,4.8,5.98,44.57,0.88,0.0,0.0,0.0,0.0,13.15,24.87,0.0,-2.45,100.0,87.44,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,3.2,8.9,0.36,22.0
b'ARNAU GARRABE TOSQUELLA',2 Derrota,1.0,25.0,14.0,4.0,11.0,0.36,1.0,2.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.42,0.46,4.1,23.08,6.68,8.32,44.53,0.85,0.0,0.0,0.0,0.0,17.57,30.35,0.0,-4.0,100.0,86.21,13.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,5.0,13.0,0.38,22.0
b'ARNAU GARRABE TOSQUELLA',2 Victoria,9.0,22.89,10.33,1.56,5.0,0.31,1.44,3.44,0.42,2.89,4.67,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.44,0.49,3.44,3.8,4.6,5.72,44.57,0.88,0.0,0.0,0.0,0.0,12.66,24.16,0.0,-2.28,101.09,87.6,13.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,3.0,8.44,0.36,22.0
b'ARNAU GARRABE TOSQUELLA',3 Local,5.0,19.6,6.8,1.0,3.6,0.28,0.8,3.2,0.25,2.4,3.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.32,0.41,0.76,7.06,3.08,5.16,37.38,0.65,0.0,0.0,0.0,0.0,10.11,21.95,0.0,-3.7,85.0,86.73,-1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.8,6.8,0.26,22.0
b'ARNAU GARRABE TOSQUELLA',3 Visitant,5.0,26.6,14.6,2.6,7.6,0.34,2.0,3.4,0.59,3.4,5.8,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.51,0.54,6.26,6.18,6.52,6.8,48.97,1.02,0.0,0.0,0.0,0.0,16.17,27.26,0.0,-1.2,112.31,87.76,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,4.6,11.0,0.42,22.0
b'ARNAU GARRABE TOSQUELLA',4 Banqueta,10.0,23.1,10.7,1.8,5.6,0.32,1.4,3.3,0.42,2.9,4.7,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.44,0.49,3.51,3.26,4.8,5.98,44.57,0.88,0.0,0.0,0.0,0.0,13.15,24.87,0.0,-2.45,100.0,87.44,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,3.2,8.9,0.36,22.0
b'ARNAU GARRABE TOSQUELLA',5 Dificil,8.0,26.0,12.5,2.12,6.38,0.33,1.62,3.62,0.45,3.38,5.62,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.46,0.5,4.65,4.22,5.64,6.61,46.04,0.91,0.0,0.0,0.0,0.0,14.89,24.94,0.0,-2.12,103.09,89.32,13.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,3.75,10.0,0.38,22.0
b'ARNAU GARRABE TOSQUELLA',5 Facil,2.0,11.5,3.5,0.5,2.5,0.2,0.5,2.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.28,0.35,-1.05,11.11,1.4,3.5,28.57,0.56,0.0,0.0,0.0,0.0,5.62,23.21,0.0,-3.75,77.78,78.61,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.0,4.5,0.22,22.0
b'ARNAU GARRABE TOSQUELLA',7 Ultims 3,3.0,30.0,12.67,2.67,7.33,0.36,1.67,6.0,0.28,2.33,3.33,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.39,0.43,3.73,5.83,5.55,9.12,37.82,0.78,0.0,0.0,0.0,0.0,16.42,25.31,0.0,-3.5,88.37,90.37,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,4.33,13.33,0.33,22.0
b'DAVID CASTELLNOU TEIXIDO',1 Mitjana,10.0,30.6,10.5,4.2,8.8,0.48,0.4,1.2,0.33,0.9,2.9,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.48,0.47,3.38,0.9,5.21,5.95,46.67,0.96,0.0,0.0,0.0,0.0,12.76,19.12,0.0,-2.4,94.59,87.51,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,4.6,10.0,0.46,8.0
b'DAVID CASTELLNOU TEIXIDO',2 Derrota,1.0,32.0,8.0,3.0,12.0,0.25,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.29,-0.4,16.67,4.2,9.4,30.88,0.5,0.0,0.0,0.0,0.0,15.65,21.47,0.0,-6.5,61.54,86.93,-25.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.25,8.0
