Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRI TENA MASSAGUER',1 Mitjana,23.0,24.09,11.0,3.04,6.13,0.5,0.09,0.83,0.11,4.65,6.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.46,0.57,5.57,2.91,5.41,3.95,57.81,0.91,0.0,0.0,0.0,0.0,12.59,21.07,0.0,-0.54,118.22,95.48,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,3.13,6.96,0.45,5.0
b'ADRI TENA MASSAGUER',2 Derrota,6.0,28.0,12.83,3.33,7.67,0.43,0.17,1.33,0.12,5.67,6.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.4,0.53,6.0,10.49,6.15,5.58,52.45,0.8,0.0,0.0,0.0,0.0,15.07,22.91,0.0,-1.42,111.59,99.58,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3.5,9.0,0.39,5.0
b'ADRI TENA MASSAGUER',2 Victoria,17.0,22.71,10.35,2.94,5.59,0.53,0.06,0.65,0.09,4.29,5.71,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.49,0.59,5.42,4.05,5.14,3.38,60.38,0.97,0.0,0.0,0.0,0.0,11.71,20.3,0.0,-0.24,122.22,93.99,28.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,6.24,0.48,5.0
b'ADRI TENA MASSAGUER',3 Local,11.0,24.27,11.18,3.0,5.73,0.52,0.18,1.09,0.17,4.64,5.64,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.48,0.6,6.01,6.18,5.37,3.71,59.14,0.96,0.0,0.0,0.0,0.0,13.05,20.58,0.0,-0.05,124.24,94.42,29.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,3.18,6.82,0.47,5.0
b'ADRI TENA MASSAGUER',3 Visitant,12.0,23.92,10.83,3.08,6.5,0.47,0.0,0.58,0.0,4.67,6.33,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.44,0.55,5.17,5.49,5.44,4.18,56.58,0.87,0.0,0.0,0.0,0.0,12.42,21.52,0.0,-1.0,113.04,96.41,16.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,3.08,7.08,0.44,5.0
b'ADRI TENA MASSAGUER',4 Banqueta,23.0,24.09,11.0,3.04,6.13,0.5,0.09,0.83,0.11,4.65,6.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.46,0.57,5.57,2.91,5.41,3.95,57.81,0.91,0.0,0.0,0.0,0.0,12.59,21.07,0.0,-0.54,118.22,95.48,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,3.13,6.96,0.45,5.0
b'ADRI TENA MASSAGUER',5 Dificil,16.0,23.62,11.25,3.19,5.88,0.54,0.12,0.94,0.13,4.5,6.25,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.5,0.59,5.78,4.13,5.62,3.7,60.31,0.99,0.0,0.0,0.0,0.0,12.42,21.69,0.0,-0.34,121.62,99.48,22.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.31,6.81,0.49,5.0
b'ADRI TENA MASSAGUER',5 Facil,7.0,25.14,10.43,2.71,6.71,0.4,0.0,0.57,0.0,5.0,5.43,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.37,0.54,5.1,9.8,4.87,4.58,51.52,0.75,0.0,0.0,0.0,0.0,13.05,19.76,0.0,-1.0,110.61,86.44,24.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.71,7.29,0.37,5.0
b'ADRIA JIMENEZ CARREIRA',1 Mitjana,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72,99.48,-16.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b'ADRIA JIMENEZ CARREIRA',2 Derrota,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72,99.48,-16.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
