Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'BERNAT FARELL SILVA',1 Mitjana,10.0,20.1,6.7,1.4,2.6,0.54,1.1,3.4,0.32,0.6,0.8,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.51,0.53,2.58,1.0,2.8,3.52,44.3,1.02,0.0,0.0,0.0,0.0,6.77,17.62,0.0,-0.75,106.35,86.94,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,2.5,6.0,0.42,11.0
b'BERNAT FARELL SILVA',2 Derrota,1.0,16.0,8.0,1.0,2.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.57,0.57,3.9,0.0,3.0,4.0,42.86,1.14,0.0,0.0,0.0,0.0,7.0,27.96,0.0,0.5,114.29,106.97,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,3.0,7.0,0.43,11.0
b'BERNAT FARELL SILVA',2 Victoria,9.0,20.56,6.56,1.44,2.67,0.54,1.0,3.22,0.31,0.67,0.89,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.5,0.52,2.43,1.26,2.78,3.47,44.48,1.0,0.0,0.0,0.0,0.0,6.74,16.79,0.0,-0.89,105.36,85.0,20.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,2.44,5.89,0.42,11.0
b'BERNAT FARELL SILVA',3 Local,5.0,19.6,5.2,1.4,3.0,0.47,0.8,2.6,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.46,0.46,1.04,0.0,2.2,3.4,39.29,0.93,0.0,0.0,0.0,0.0,5.6,15.52,0.0,-1.8,92.86,81.41,11.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,2.2,5.6,0.39,11.0
b'BERNAT FARELL SILVA',3 Visitant,5.0,20.6,8.2,1.4,2.2,0.64,1.4,4.2,0.33,1.2,1.6,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.55,0.58,4.12,3.75,3.4,3.64,48.3,1.09,0.0,0.0,0.0,0.0,7.97,19.75,0.0,0.3,117.14,92.69,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,2.8,6.4,0.44,11.0
b'BERNAT FARELL SILVA',4 Banqueta,10.0,20.1,6.7,1.4,2.6,0.54,1.1,3.4,0.32,0.6,0.8,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.51,0.53,2.58,1.0,2.8,3.52,44.3,1.02,0.0,0.0,0.0,0.0,6.77,17.62,0.0,-0.75,106.35,86.94,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,2.5,6.0,0.42,11.0
b'BERNAT FARELL SILVA',5 Dificil,6.0,20.0,6.67,1.17,2.33,0.5,1.17,3.5,0.33,0.83,1.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.5,0.53,2.72,2.38,2.72,3.51,43.67,1.0,0.0,0.0,0.0,0.0,6.71,17.6,0.0,-0.58,108.11,92.43,15.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.33,5.83,0.4,11.0
b'BERNAT FARELL SILVA',5 Facil,4.0,20.25,6.75,1.75,3.0,0.58,1.0,3.25,0.31,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.52,0.52,2.38,1.0,2.9,3.55,44.96,1.04,0.0,0.0,0.0,0.0,6.82,17.64,0.0,-1.0,108.0,78.78,29.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,2.75,6.25,0.44,11.0
b'BERNAT FARELL SILVA',6 Equips Cua,2.0,22.5,5.0,1.5,3.0,0.5,0.5,3.5,0.14,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.35,0.36,0.45,3.85,2.3,4.6,33.33,0.69,0.0,0.0,0.0,0.0,7.52,16.74,0.0,-2.75,76.92,92.06,-15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,2.0,6.5,0.31,11.0
b'BERNAT FARELL SILVA',6 Equips Top,2.0,22.5,5.0,1.5,3.0,0.5,0.5,3.5,0.14,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.35,0.36,0.45,3.85,2.3,4.6,33.33,0.69,0.0,0.0,0.0,0.0,7.52,16.74,0.0,-2.75,76.92,92.06,-15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,2.0,6.5,0.31,11.0
b'CARLES JORD SANCHEZ',1 Mitjana,9.0,14.33,3.89,0.33,0.89,0.38,0.89,3.11,0.29,0.56,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.42,0.44,0.91,1.54,1.54,2.86,35.07,0.83,0.0,0.0,0.0,0.0,4.99,17.15,0.0,-1.22,92.11,87.22,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.22,4.0,0.31,10.0
b'CARLES JORD SANCHEZ',2 Derrota,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.97,0.0,-2.0,101.09,108.08,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0
b'CARLES JORD SANCHEZ',2 Victoria,8.0,15.12,4.38,0.38,1.0,0.38,1.0,3.25,0.31,0.62,1.12,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.44,0.46,1.2,1.84,1.74,2.96,36.94,0.88,0.0,0.0,0.0,0.0,5.36,17.08,0.0,-1.12,97.22,85.02,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.38,4.25,0.32,10.0
b'CARLES JORD SANCHEZ',3 Local,5.0,12.6,2.8,0.4,0.8,0.5,0.4,1.8,0.22,0.8,1.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.38,0.45,0.5,6.15,1.23,1.85,39.83,0.77,0.0,0.0,0.0,0.0,3.72,13.48,0.0,-1.2,93.33,81.56,11.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.8,2.6,0.31,10.0
b'CARLES JORD SANCHEZ',3 Visitant,4.0,16.5,5.25,0.25,1.0,0.25,1.5,4.75,0.32,0.25,0.75,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.43,0.43,1.43,1.09,1.92,4.13,31.68,0.87,0.0,0.0,0.0,0.0,6.55,20.9,0.0,-1.25,91.3,94.57,-3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.75,5.75,0.3,10.0
b'CARLES JORD SANCHEZ',4 Banqueta,9.0,14.33,3.89,0.33,0.89,0.38,0.89,3.11,0.29,0.56,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.42,0.44,0.91,1.54,1.54,2.86,35.07,0.83,0.0,0.0,0.0,0.0,4.99,17.15,0.0,-1.22,92.11,87.22,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.22,4.0,0.31,10.0
b'CARLES JORD SANCHEZ',5 Dificil,5.0,16.6,3.2,0.6,1.2,0.5,0.4,3.0,0.13,0.8,1.4,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.29,0.33,-0.22,3.81,1.46,3.3,30.61,0.57,0.0,0.0,0.0,0.0,5.45,16.09,0.0,-2.5,69.57,93.6,-24.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.0,4.2,0.24,10.0
b'CARLES JORD SANCHEZ',5 Facil,4.0,11.5,4.75,0.0,0.5,0.0,1.5,3.25,0.46,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.6,0.6,2.33,1.67,1.65,2.3,41.77,1.2,0.0,0.0,0.0,0.0,4.32,19.06,0.0,0.38,126.67,79.56,47.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,1.5,3.75,0.4,10.0
b'CARLES JORD SANCHEZ',6 Equips Cua,1.0,21.0,9.0,0.0,0.0,0.0,3.0,7.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.64,0.64,4.5,0.0,3.0,4.0,42.86,1.29,0.0,0.0,0.0,0.0,7.0,16.61,0.0,1.0,128.57,96.86,31.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.43,10.0
