Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALEX CRUZ JOBACHO',1 Mitjana,14.0,19.29,9.36,3.21,6.43,0.5,0.5,1.57,0.32,1.43,2.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.5,0.53,4.16,1.28,4.45,4.35,50.56,0.99,0.0,0.0,0.0,0.0,9.85,22.01,0.0,-0.71,107.38,83.77,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.71,8.0,0.46,18.0
b'ALEX CRUZ JOBACHO',2 Derrota,2.0,14.5,8.0,2.5,4.5,0.56,0.5,1.0,0.5,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.59,0.59,3.75,13.63,3.9,2.8,58.21,1.18,0.0,0.0,0.0,0.0,8.94,23.08,0.0,-0.25,133.33,103.05,30.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,3.0,5.5,0.55,18.0
b'ALEX CRUZ JOBACHO',2 Victoria,12.0,20.08,9.58,3.33,6.75,0.49,0.5,1.67,0.3,1.42,1.83,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.49,0.52,4.23,1.4,4.53,4.62,49.49,0.97,0.0,0.0,0.0,0.0,10.06,21.86,0.0,-0.79,105.5,80.44,25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.83,8.42,0.46,18.0
b'ALEX CRUZ JOBACHO',3 Local,7.0,19.0,9.57,3.43,6.71,0.51,0.43,1.14,0.38,1.43,1.86,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.52,0.55,4.53,2.6,4.56,4.04,53.03,1.04,0.0,0.0,0.0,0.0,9.62,21.22,0.0,-0.36,113.56,78.5,35.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3.86,7.86,0.49,18.0
b'ALEX CRUZ JOBACHO',3 Visitant,7.0,19.57,9.14,3.0,6.14,0.49,0.57,2.0,0.29,1.43,2.14,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.47,0.5,3.79,2.51,4.33,4.67,48.15,0.95,0.0,0.0,0.0,0.0,10.09,22.83,0.0,-1.07,103.23,88.82,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.57,8.14,0.44,18.0
b'ALEX CRUZ JOBACHO',4 Banqueta,14.0,19.29,9.36,3.21,6.43,0.5,0.5,1.57,0.32,1.43,2.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.5,0.53,4.16,1.28,4.45,4.35,50.56,0.99,0.0,0.0,0.0,0.0,9.85,22.01,0.0,-0.71,107.38,83.77,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.71,8.0,0.46,18.0
b'ALEX CRUZ JOBACHO',5 Dificil,5.0,18.2,9.4,3.2,6.0,0.53,0.8,1.8,0.44,0.6,1.4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.56,0.56,4.42,1.54,4.38,3.98,52.36,1.13,0.0,0.0,0.0,0.0,9.24,23.0,0.0,-0.1,117.5,96.72,20.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,4.0,7.8,0.51,18.0
b'ALEX CRUZ JOBACHO',5 Facil,9.0,19.89,9.33,3.22,6.67,0.48,0.33,1.44,0.23,1.89,2.33,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.46,0.51,4.01,2.59,4.46,4.59,49.26,0.92,0.0,0.0,0.0,0.0,10.15,21.49,0.0,-1.06,103.7,76.01,27.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,3.56,8.11,0.44,18.0
b'DARIO GALLARDO TORREJON',1 Mitjana,14.0,10.64,3.0,1.14,2.86,0.4,0.0,0.0,0.0,0.71,1.71,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.4,0.42,0.31,1.79,1.59,1.95,45.03,0.8,0.0,0.0,0.0,0.0,4.45,16.22,0.0,-1.64,85.71,83.34,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,2.86,0.4,12.0
b'DARIO GALLARDO TORREJON',2 Derrota,2.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.13,-2.2,25.0,0.35,1.45,19.44,0.0,0.0,0.0,0.0,0.0,3.29,15.37,0.0,-3.25,50.0,100.87,-50.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
