Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT CADAFALCH CASANOVAS',1 Mitjana,12.0,26.92,9.25,1.25,2.58,0.48,1.83,7.08,0.26,1.25,2.25,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.41,0.43,2.08,1.08,3.81,6.76,36.01,0.83,0.0,0.0,0.0,0.0,12.96,22.94,0.0,-3.08,88.1,104.59,-16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,3.08,9.67,0.32,11.0
b'ALBERT CADAFALCH CASANOVAS',2 Derrota,11.0,27.27,8.73,1.36,2.73,0.5,1.55,7.0,0.22,1.36,2.45,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.38,0.4,1.45,1.27,3.7,7.01,34.52,0.76,0.0,0.0,0.0,0.0,13.42,23.29,0.0,-3.73,82.05,104.15,-22.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.91,9.73,0.3,11.0
b'ALBERT CADAFALCH CASANOVAS',2 Victoria,1.0,23.0,15.0,0.0,1.0,0.0,5.0,8.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.83,0.83,9.1,0.0,5.0,4.0,55.56,1.67,0.0,0.0,0.0,0.0,9.0,19.56,0.0,4.0,166.67,108.81,57.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,5.0,9.0,0.56,11.0
b'ALBERT CADAFALCH CASANOVAS',3 Local,6.0,26.33,11.0,1.5,2.33,0.64,2.33,8.5,0.27,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.46,0.47,3.15,1.54,4.43,7.2,38.11,0.92,0.0,0.0,0.0,0.0,13.88,24.68,0.0,-2.58,95.65,102.71,-7.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,3.83,10.83,0.35,11.0
b'ALBERT CADAFALCH CASANOVAS',3 Visitant,6.0,27.5,7.5,1.0,2.83,0.35,1.33,5.67,0.24,1.5,2.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.35,0.39,1.02,2.94,3.17,6.33,33.4,0.71,0.0,0.0,0.0,0.0,12.04,21.15,0.0,-3.58,80.36,106.58,-26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.33,8.5,0.27,11.0
b'ALBERT CADAFALCH CASANOVAS',4 Banqueta,12.0,26.92,9.25,1.25,2.58,0.48,1.83,7.08,0.26,1.25,2.25,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.41,0.43,2.08,1.08,3.81,6.76,36.01,0.83,0.0,0.0,0.0,0.0,12.96,22.94,0.0,-3.08,88.1,104.59,-16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,3.08,9.67,0.32,11.0
b'ALBERT CADAFALCH CASANOVAS',5 Dificil,7.0,25.14,8.86,1.43,2.43,0.59,1.71,8.0,0.21,0.86,2.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.38,0.39,1.16,1.17,3.68,7.55,32.79,0.77,0.0,0.0,0.0,0.0,13.56,26.6,0.0,-4.07,80.52,102.13,-21.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,3.14,10.43,0.3,11.0
b'ALBERT CADAFALCH CASANOVAS',5 Facil,5.0,29.4,9.8,1.0,2.8,0.36,2.0,5.8,0.34,1.8,2.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.47,0.5,3.38,4.19,3.94,5.7,40.89,0.93,0.0,0.0,0.0,0.0,12.07,18.67,0.0,-1.7,104.26,107.89,-3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,3.0,8.6,0.35,11.0
b'ALBERT CADAFALCH CASANOVAS',7 Ultims 3,3.0,30.67,11.0,1.67,2.67,0.62,2.33,7.67,0.3,0.67,2.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.5,0.49,3.5,2.15,4.44,6.69,39.92,1.0,0.0,0.0,0.0,0.0,13.08,21.55,0.0,-2.0,100.0,111.24,-11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,4.0,10.33,0.39,11.0
b'ALBERT GERM DE TRAVY',1 Mitjana,11.0,32.36,17.18,2.82,4.18,0.67,3.09,7.18,0.43,2.27,2.55,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.66,0.69,10.57,1.82,6.92,5.47,55.85,1.31,0.0,0.0,0.0,0.0,15.23,22.05,0.0,3.41,138.97,104.59,34.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,5.91,11.36,0.52,8.0
