Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALP ATLAS GUNYELI ALATON',1 Mitjana,12.0,15.75,5.17,1.67,4.08,0.41,0.33,1.17,0.29,0.83,1.33,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.41,0.44,1.32,1.32,2.46,3.32,42.51,0.83,0.0,0.0,0.0,0.0,6.56,21.0,0.0,-1.71,91.18,98.81,-7.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,2.0,5.25,0.38,5.0
b'ALP ATLAS GUNYELI ALATON',2 Derrota,6.0,18.33,7.67,2.5,5.0,0.5,0.33,1.17,0.29,1.67,2.67,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.49,0.52,3.22,4.5,3.75,3.48,51.84,0.97,0.0,0.0,0.0,0.0,8.79,23.76,0.0,-0.92,109.52,101.7,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,2.83,6.17,0.46,5.0
b'ALP ATLAS GUNYELI ALATON',2 Victoria,6.0,13.17,2.67,0.83,3.17,0.26,0.33,1.17,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.31,0.31,-0.57,0.0,1.17,3.17,26.92,0.62,0.0,0.0,0.0,0.0,4.33,17.84,0.0,-2.5,61.54,96.01,-34.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.17,4.33,0.27,5.0
b'ALP ATLAS GUNYELI ALATON',3 Local,7.0,13.86,3.86,1.29,3.29,0.39,0.29,0.86,0.33,0.43,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.41,0.45,0.96,1.48,1.74,2.57,40.4,0.83,0.0,0.0,0.0,0.0,4.55,17.84,0.0,-1.29,90.0,98.41,-8.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.57,4.14,0.38,5.0
b'ALP ATLAS GUNYELI ALATON',3 Visitant,5.0,18.4,7.0,2.2,5.2,0.42,0.4,1.6,0.25,1.4,2.6,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.41,0.44,1.84,4.12,3.42,4.42,43.6,0.82,0.0,0.0,0.0,0.0,9.42,24.22,0.0,-2.3,89.74,99.39,-9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2.6,6.8,0.38,5.0
b'ALP ATLAS GUNYELI ALATON',4 Banqueta,12.0,15.75,5.17,1.67,4.08,0.41,0.33,1.17,0.29,0.83,1.33,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.41,0.44,1.32,1.32,2.46,3.32,42.51,0.83,0.0,0.0,0.0,0.0,6.56,21.0,0.0,-1.71,91.18,98.81,-7.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,2.0,5.25,0.38,5.0
b'ALP ATLAS GUNYELI ALATON',5 Dificil,6.0,14.0,4.67,1.17,3.17,0.37,0.5,1.33,0.38,0.83,1.5,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.43,0.45,1.18,3.09,2.15,2.95,42.12,0.85,0.0,0.0,0.0,0.0,5.95,21.27,0.0,-1.5,96.55,95.95,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.67,4.5,0.37,5.0
b'ALP ATLAS GUNYELI ALATON',5 Facil,6.0,17.5,5.67,2.17,5.0,0.43,0.17,1.0,0.17,0.83,1.17,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.44,1.47,2.31,2.76,3.71,42.71,0.81,0.0,0.0,0.0,0.0,7.16,20.71,0.0,-1.92,89.47,101.64,-12.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.33,6.0,0.39,5.0
b'ALP ATLAS GUNYELI ALATON',6 Equips Cua,2.0,16.0,7.0,2.0,2.5,0.8,0.5,1.0,0.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.79,0.84,4.75,21.43,3.1,1.0,75.61,1.57,0.0,0.0,0.0,0.0,4.87,15.48,0.0,1.75,175.0,94.65,80.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,2.5,3.5,0.71,5.0
b'ALP ATLAS GUNYELI ALATON',6 Equips Top,2.0,16.0,7.0,2.0,2.5,0.8,0.5,1.0,0.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.79,0.84,4.75,21.43,3.1,1.0,75.61,1.57,0.0,0.0,0.0,0.0,4.87,15.48,0.0,1.75,175.0,94.65,80.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,2.5,3.5,0.71,5.0
b'GEORG SIMON HERODES',1 Mitjana,10.0,23.9,5.8,0.3,1.7,0.18,1.6,4.0,0.4,0.4,0.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.47,0.49,1.45,0.7,2.11,3.83,35.58,0.95,0.0,0.0,0.0,0.0,6.28,14.21,0.0,-1.5,98.31,99.65,-1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.9,5.7,0.33,20.0
