Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT SITJES LOZANO',1 Mitjana,5.0,18.0,4.2,0.8,2.4,0.33,0.4,1.0,0.4,1.4,3.2,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.41,0.44,0.78,8.24,2.08,2.61,44.34,0.82,0.0,0.0,0.0,0.0,6.07,15.21,0.0,-1.8,91.3,85.03,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.2,3.4,0.35,20.0
b'ALBERT SITJES LOZANO',2 Derrota,1.0,13.0,8.0,2.0,3.0,0.67,1.0,2.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.59,4.1,20.0,3.7,2.9,56.06,1.4,0.0,0.0,0.0,0.0,9.0,30.95,0.0,0.5,160.0,96.93,63.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,5.0,0.6,20.0
b'ALBERT SITJES LOZANO',2 Victoria,4.0,19.25,3.25,0.5,2.25,0.22,0.25,0.75,0.33,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.29,0.38,-0.05,12.5,1.65,2.55,39.29,0.58,0.0,0.0,0.0,0.0,5.39,12.65,0.0,-2.38,81.25,82.25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,3.0,0.25,20.0
b'ALBERT SITJES LOZANO',3 Local,2.0,12.5,5.0,1.5,2.0,0.75,0.5,1.0,0.5,0.5,3.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.75,0.58,2.1,8.34,2.37,1.83,56.35,1.5,0.0,0.0,0.0,0.0,5.62,20.46,0.0,-0.25,142.86,81.35,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,3.0,0.67,20.0
b'ALBERT SITJES LOZANO',3 Visitant,3.0,21.67,3.67,0.33,2.67,0.12,0.33,1.0,0.33,2.0,3.33,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.23,0.36,-0.1,18.18,1.79,3.21,35.73,0.45,0.0,0.0,0.0,0.0,6.36,13.18,0.0,-2.83,78.57,87.31,-8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.67,3.67,0.18,20.0
b'ALBERT SITJES LOZANO',4 Banqueta,5.0,18.0,4.2,0.8,2.4,0.33,0.4,1.0,0.4,1.4,3.2,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.41,0.44,0.78,8.24,2.08,2.61,44.34,0.82,0.0,0.0,0.0,0.0,6.07,15.21,0.0,-1.8,91.3,85.03,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.2,3.4,0.35,20.0
b'ALBERT SITJES LOZANO',5 Dificil,3.0,20.67,3.67,0.67,3.0,0.22,0.33,1.0,0.33,1.33,3.33,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.29,0.34,-0.6,11.11,1.85,3.48,34.75,0.58,0.0,0.0,0.0,0.0,6.81,14.86,0.0,-3.33,73.33,89.58,-16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,4.0,0.25,20.0
b'ALBERT SITJES LOZANO',5 Facil,2.0,14.0,5.0,1.0,1.5,0.67,0.5,1.0,0.5,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.65,2.85,30.0,2.4,1.3,64.86,1.4,0.0,0.0,0.0,0.0,4.95,15.89,0.0,0.5,166.67,77.75,88.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,2.5,0.6,20.0
b'ARMAK KARIMI GONZALEZ',1 Mitjana,5.0,19.8,6.4,2.6,4.2,0.62,0.0,0.0,0.0,1.2,1.6,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.62,0.65,3.7,5.71,3.2,1.64,66.12,1.24,0.0,0.0,0.0,0.0,5.53,14.11,0.0,0.6,133.33,85.21,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.2,0.62,9.0
b'ARMAK KARIMI GONZALEZ',2 Derrota,1.0,15.0,7.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.72,4.6,25.0,3.6,1.2,75.0,1.5,0.0,0.0,0.0,0.0,6.0,19.37,0.0,1.5,175.0,97.01,77.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,9.0
