Nom,Jornada,Equip,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Resultat,Diferencia,Titular
b'A. PUEYO',Jornada 20,[0.0],7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,AE MINGUELLA A-DRIVIM,CLUB BASQUET CIUTAT VELLA,True,12.0,False
b'A.PUEYO',Jornada 22,[0.67],11.0,5.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CLUB BASQUET CIUTAT VELLA,A.E.S.E. A,True,17.0,False
b'AARON ZIGA FORNELLS',Jornada 05,[0.47],33.0,11.0,4.0,8.0,0.5,1.0,7.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UE.MONTGAT - A,UE MATARO  TC,True,15.0,False
b'AARON ZIGA FORNELLS',Jornada 06,[0.58],32.0,10.0,2.0,5.0,0.4,2.0,7.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UE MATARO  TC,C.B. SANTA COLOMA A,False,-1.0,False
b'AARON ZIGA FORNELLS',Jornada 07,[0.38],28.0,21.0,6.0,8.0,0.75,2.0,5.0,0.4,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,U.E. CLARET A,UE MATARO  TC,True,7.0,False
b'AARON ZIGA FORNELLS',Jornada 08,[0.44],28.0,14.0,3.0,10.0,0.3,2.0,8.0,0.25,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UE MATARO  TC,CBU LLORET SAMBA HOTELS A,True,2.0,False
b'AARON ZIGA FORNELLS',Jornada 10,[0.4],30.0,7.0,2.0,6.0,0.33,0.0,4.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,UE MATARO  TC,TEMPLE - U.E. HORTA A,True,4.0,False
b'AARON ZIGA FORNELLS',Jornada 12,[0.62],30.0,15.0,2.0,5.0,0.4,1.0,8.0,0.12,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,UE MATARO  TC,AE MINGUELLA A-DRIVIM,True,11.0,False
b'AARON ZIGA FORNELLS',Jornada 13,[0.5],37.0,17.0,2.0,8.0,0.25,4.0,8.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,A.E.S.E. A,UE MATARO  TC,False,-5.0,False
b'AARON ZIGA FORNELLS',Jornada 14,[0.11],28.0,5.0,1.0,8.0,0.12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLUB BASQUET CIUTAT VELLA,UE MATARO  TC,False,-8.0,False
b'AARON ZIGA FORNELLS',Jornada 15,[0.57],32.0,9.0,1.0,6.0,0.17,2.0,8.0,0.25,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,UE MATARO  TC,MARISTES ADEMAR,False,-5.0,False
b'AARON ZIGA FORNELLS',Jornada 16,[0.54],33.0,14.0,0.0,6.0,0.0,4.0,7.0,0.57,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,CB BESCANO,UE MATARO  TC,True,24.0,False
b'AARON ZIGA FORNELLS',Jornada 17,[0.27],29.0,7.0,2.0,8.0,0.25,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,UE MATARO  TC,JAC SANTS BARCELONA -CASMAR,False,-4.0,False
b'AARON ZIGA FORNELLS',Jornada 18,[0.59],30.0,14.0,2.0,7.0,0.29,3.0,10.0,0.3,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,UE MATARO  TC,UE.MONTGAT - A,True,4.0,False
b'AARON ZIGA FORNELLS',Jornada 20,[0.67],35.0,16.0,3.0,5.0,0.6,2.0,10.0,0.2,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,UE MATARO  TC,U.E. CLARET A,True,4.0,False
