Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'CARLOS RODRGUEZ DE LA HERA',1 Mitjana,10.0,15.4,4.4,1.7,4.2,0.4,0.0,0.2,0.0,1.0,2.1,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.39,0.41,0.68,2.27,2.31,2.93,44.07,0.77,0.0,0.0,0.0,0.0,6.42,18.92,0.0,-2.15,84.62,95.28,-10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.7,4.4,0.39,12.0
b'CARLOS RODRGUEZ DE LA HERA',2 Derrota,4.0,15.25,4.0,1.5,4.5,0.33,0.0,0.25,0.0,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.32,0.37,-0.03,5.26,2.03,3.32,38.01,0.63,0.0,0.0,0.0,0.0,6.13,19.99,0.0,-2.88,76.19,99.95,-23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.5,4.75,0.32,12.0
b'CARLOS RODRGUEZ DE LA HERA',2 Victoria,6.0,15.5,4.67,1.83,4.0,0.46,0.0,0.17,0.0,1.0,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.44,0.44,1.15,4.0,2.47,2.69,47.87,0.88,0.0,0.0,0.0,0.0,6.65,18.25,0.0,-1.67,93.33,92.29,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.83,4.17,0.44,12.0
b'CARLOS RODRGUEZ DE LA HERA',3 Local,5.0,15.8,5.8,2.2,4.6,0.48,0.0,0.0,0.0,1.4,2.6,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.48,0.5,1.94,6.09,3.02,2.62,53.52,0.96,0.0,0.0,0.0,0.0,7.06,19.0,0.0,-1.4,103.57,90.25,13.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4.6,0.48,12.0
b'CARLOS RODRGUEZ DE LA HERA',3 Visitant,5.0,15.0,3.0,1.2,3.8,0.32,0.0,0.4,0.0,0.6,1.6,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.29,0.31,-0.58,2.86,1.59,3.25,32.85,0.57,0.0,0.0,0.0,0.0,5.76,18.78,0.0,-2.9,65.22,100.77,-35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,4.2,0.29,12.0
b'CARLOS RODRGUEZ DE LA HERA',4 Banqueta,10.0,15.4,4.4,1.7,4.2,0.4,0.0,0.2,0.0,1.0,2.1,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.39,0.41,0.68,2.27,2.31,2.93,44.07,0.77,0.0,0.0,0.0,0.0,6.42,18.92,0.0,-2.15,84.62,95.28,-10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.7,4.4,0.39,12.0
b'CARLOS RODRGUEZ DE LA HERA',5 Dificil,7.0,15.86,3.0,1.0,3.29,0.3,0.0,0.14,0.0,1.0,1.57,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.29,0.36,-0.2,4.17,1.55,2.51,38.09,0.58,0.0,0.0,0.0,0.0,4.93,14.38,0.0,-2.43,77.78,95.4,-17.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,3.43,0.29,12.0
b'CARLOS RODRGUEZ DE LA HERA',5 Facil,3.0,14.33,7.67,3.33,6.33,0.53,0.0,0.33,0.0,1.0,3.33,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.5,0.47,2.73,5.0,4.01,3.99,50.17,1.0,0.0,0.0,0.0,0.0,9.95,30.27,0.0,-1.5,100.0,95.07,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3.33,6.67,0.5,77.0
b'CARLOS RODRGUEZ DE LA HERA',7 Ultims 3,3.0,14.33,4.0,1.33,3.0,0.44,0.0,0.0,0.0,1.33,2.33,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.44,0.5,1.1,14.81,2.1,1.84,53.27,0.89,0.0,0.0,0.0,0.0,5.36,15.46,0.0,-1.33,109.09,93.82,15.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,3.0,0.44,77.0
b'CINTO GABRIEL MORILLA',1 Mitjana,10.0,28.5,13.4,4.6,8.4,0.55,0.1,0.5,0.2,3.9,5.5,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.53,0.59,7.53,4.38,6.71,4.39,60.48,1.07,0.0,0.0,0.0,0.0,14.19,21.74,0.0,0.65,121.82,95.59,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,4.7,8.9,0.53,16.0
