Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA VILAGRAN GONZALEZ',1 Mitjana,21.0,21.1,5.62,0.57,1.48,0.39,1.1,4.1,0.27,1.19,2.05,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.4,0.43,1.22,1.02,2.34,4.05,36.65,0.79,0.0,0.0,0.0,0.0,7.48,16.85,0.0,-2.0,88.06,100.07,-12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.67,5.57,0.3,13.0
b'ADRIA VILAGRAN GONZALEZ',2 Derrota,17.0,21.82,5.76,0.53,1.53,0.35,1.12,4.12,0.27,1.35,2.24,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.39,0.43,1.44,1.41,2.4,4.14,36.72,0.78,0.0,0.0,0.0,0.0,7.78,16.58,0.0,-1.85,89.09,101.77,-12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.65,5.65,0.29,13.0
b'ADRIA VILAGRAN GONZALEZ',2 Victoria,4.0,18.0,5.0,0.75,1.25,0.6,1.0,4.0,0.25,0.5,1.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.43,0.43,0.33,2.38,2.07,3.68,36.0,0.86,0.0,0.0,0.0,0.0,6.31,18.15,0.0,-2.62,90.91,92.64,-1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.75,5.25,0.33,13.0
b'ADRIA VILAGRAN GONZALEZ',3 Local,9.0,19.44,4.44,0.56,1.0,0.56,1.0,3.67,0.27,0.33,0.78,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.44,0.44,0.69,0.79,1.77,3.21,35.46,0.88,0.0,0.0,0.0,0.0,5.37,13.84,0.0,-1.78,93.02,99.3,-6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.56,4.67,0.33,13.0
b'ADRIA VILAGRAN GONZALEZ',3 Visitant,12.0,22.33,6.5,0.58,1.83,0.32,1.17,4.42,0.26,1.83,3.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.37,0.43,1.62,2.44,2.77,4.68,37.16,0.75,0.0,0.0,0.0,0.0,9.12,18.92,0.0,-2.17,87.64,100.65,-13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.75,6.25,0.28,13.0
b'ADRIA VILAGRAN GONZALEZ',4 Banqueta,21.0,21.1,5.62,0.57,1.48,0.39,1.1,4.1,0.27,1.19,2.05,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.4,0.43,1.22,1.02,2.34,4.05,36.65,0.79,0.0,0.0,0.0,0.0,7.48,16.85,0.0,-2.0,88.06,100.07,-12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.67,5.57,0.3,13.0
b'ADRIA VILAGRAN GONZALEZ',5 Dificil,12.0,20.25,5.0,0.5,1.75,0.29,1.0,4.08,0.24,1.0,1.92,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.34,0.37,0.32,1.43,2.09,4.51,31.69,0.69,0.0,0.0,0.0,0.0,7.6,17.81,0.0,-2.83,75.95,94.26,-18.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.5,5.83,0.26,13.0
b'ADRIA VILAGRAN GONZALEZ',5 Facil,9.0,22.22,6.44,0.67,1.11,0.6,1.22,4.11,0.3,1.44,2.22,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.48,0.52,2.43,3.07,2.67,3.44,43.67,0.96,0.0,0.0,0.0,0.0,7.31,15.67,0.0,-0.89,107.41,108.1,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.89,5.22,0.36,13.0
b'ADRIA VILAGRAN GONZALEZ',6 Equips Cua,4.0,21.5,7.0,0.75,2.25,0.33,1.0,4.75,0.21,2.5,3.5,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.32,0.41,1.4,8.93,3.04,5.37,36.14,0.64,0.0,0.0,0.0,0.0,10.43,21.22,0.0,-3.0,84.85,100.93,-16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.75,7.0,0.25,13.0
b'ADRIA VILAGRAN GONZALEZ',6 Equips Top,4.0,21.5,7.0,0.75,2.25,0.33,1.0,4.75,0.21,2.5,3.5,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.32,0.41,1.4,8.93,3.04,5.37,36.14,0.64,0.0,0.0,0.0,0.0,10.43,21.22,0.0,-3.0,84.85,100.93,-16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.75,7.0,0.25,13.0
