Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADAM ACERO AHMED',1 Mitjana,4.0,17.5,6.5,2.0,3.5,0.57,0.25,1.25,0.2,1.75,2.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.58,3.67,9.21,3.04,2.51,54.73,1.0,0.0,0.0,0.0,0.0,6.83,16.51,0.0,0.38,118.18,112.82,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,2.25,4.75,0.47,10.0
b'ADAM ACERO AHMED',2 Derrota,2.0,19.0,7.0,2.0,4.0,0.5,0.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.44,0.6,4.45,33.34,3.2,2.5,56.14,0.89,0.0,0.0,0.0,0.0,7.84,16.29,0.0,0.75,127.27,129.14,-1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,2.0,4.5,0.44,10.0
b'ADAM ACERO AHMED',2 Victoria,2.0,16.0,6.0,2.0,3.0,0.67,0.5,2.0,0.25,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.55,0.55,2.9,5.0,2.8,2.6,51.85,1.1,0.0,0.0,0.0,0.0,5.97,16.86,0.0,0.0,120.0,96.45,23.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.5,5.0,0.5,10.0
b'ADAM ACERO AHMED',3 Visitant,4.0,17.5,6.5,2.0,3.5,0.57,0.25,1.25,0.2,1.75,2.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.58,3.67,9.21,3.04,2.51,54.73,1.0,0.0,0.0,0.0,0.0,6.83,16.51,0.0,0.38,118.18,112.82,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,2.25,4.75,0.47,10.0
b'ADAM ACERO AHMED',4 Banqueta,4.0,17.5,6.5,2.0,3.5,0.57,0.25,1.25,0.2,1.75,2.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.58,3.67,9.21,3.04,2.51,54.73,1.0,0.0,0.0,0.0,0.0,6.83,16.51,0.0,0.38,118.18,112.82,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,2.25,4.75,0.47,10.0
b'ADAM ACERO AHMED',5 Dificil,1.0,11.0,6.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.83,0.77,3.5,33.33,2.6,1.2,68.42,1.67,0.0,0.0,0.0,0.0,4.31,17.69,0.0,1.0,200.0,107.08,92.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,3.0,0.67,10.0
b'ADAM ACERO AHMED',5 Facil,3.0,19.67,6.67,2.33,4.0,0.58,0.0,1.33,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.44,0.54,3.73,12.5,3.13,3.0,51.09,0.88,0.0,0.0,0.0,0.0,7.85,16.34,0.0,0.17,111.11,114.54,-3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.33,5.33,0.44,10.0
b'ALEJANDRO LERIN SANCHEZ',1 Mitjana,14.0,24.5,7.14,2.79,4.71,0.59,0.07,0.86,0.08,1.36,2.57,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.52,0.53,2.99,1.74,3.66,2.94,55.4,1.04,0.0,0.0,0.0,0.0,8.06,14.53,0.0,-0.86,108.7,93.73,14.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.86,5.57,0.51,15.0
b'ALEJANDRO LERIN SANCHEZ',2 Derrota,6.0,26.83,8.17,3.5,5.67,0.62,0.17,1.0,0.17,0.67,1.67,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.56,0.55,3.43,1.67,4.09,3.24,55.82,1.12,0.0,0.0,0.0,0.0,8.51,14.97,0.0,-0.75,113.95,108.57,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3.67,6.67,0.55,15.0
b'ALEJANDRO LERIN SANCHEZ',2 Victoria,8.0,22.75,6.38,2.25,4.0,0.56,0.0,0.75,0.0,1.88,3.25,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.47,0.52,2.65,4.93,3.32,2.73,54.83,0.95,0.0,0.0,0.0,0.0,7.64,14.19,0.0,-0.94,108.51,82.83,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.25,4.75,0.47,15.0
