Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT GRATACS GINS',1 Mitjana,7.0,3.43,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.29,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.27,-0.19,14.29,0.09,0.17,33.33,0.0,0.0,0.0,0.0,0.0,0.42,4.09,0.0,-0.36,100.0,87.51,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,8.0
b'ALBERT GRATACS GINS',2 Derrota,2.0,7.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.27,-0.65,50.0,0.3,0.6,33.33,0.0,0.0,0.0,0.0,0.0,1.54,7.09,0.0,-1.25,100.0,96.9,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8.0
b'ALBERT GRATACS GINS',2 Victoria,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.84,84.31,15.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
b'ALBERT GRATACS GINS',3 Local,5.0,2.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.57,0.04,0.0,0.12,0.04,75.0,0.0,0.0,0.0,0.0,0.0,0.37,3.54,0.0,-0.1,101.7,87.92,13.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
b'ALBERT GRATACS GINS',3 Visitant,2.0,5.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.7,0.0,-1.0,84.33,86.98,-2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8.0
b'ALBERT GRATACS GINS',4 Banqueta,7.0,3.43,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.29,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.27,-0.19,14.29,0.09,0.17,33.33,0.0,0.0,0.0,0.0,0.0,0.42,4.09,0.0,-0.36,100.0,87.51,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,8.0
b'ALBERT GRATACS GINS',5 Dificil,3.0,4.67,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27,-0.43,33.33,0.2,0.4,33.33,0.0,0.0,0.0,0.0,0.0,1.03,6.92,0.0,-0.83,100.0,88.89,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,8.0
b'ALBERT GRATACS GINS',5 Facil,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.93,86.68,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
b'ALBERT GRATACS GINS',7 Ultims 3,3.0,4.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4.29,0.0,-0.67,88.73,84.68,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,8.0
b'IAKI IBAEZ DE ELEJALDE MORALES',1 Mitjana,22.0,17.73,4.14,0.73,2.18,0.33,0.68,3.45,0.2,0.64,1.64,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.31,0.33,-0.52,0.51,1.82,4.47,28.92,0.62,0.0,0.0,0.0,0.0,7.32,18.55,0.0,-3.41,65.94,91.57,-25.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.41,5.64,0.25,23.0
