Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA RUIZ DE AZUA MALDONADO',1 Mitjana,5.0,17.0,9.0,2.2,6.6,0.33,0.0,0.2,0.0,4.6,5.8,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.32,0.48,3.28,13.53,4.42,4.7,48.47,0.65,0.0,0.0,0.0,0.0,12.17,30.55,0.0,-2.4,100.0,95.14,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.2,6.8,0.32,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',2 Derrota,2.0,15.5,5.5,1.0,6.5,0.15,0.0,0.0,0.0,3.5,5.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.15,0.32,-0.85,26.93,2.82,5.68,33.18,0.31,0.0,0.0,0.0,0.0,11.59,31.93,0.0,-5.5,68.75,109.82,-41.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.15,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',2 Victoria,3.0,18.0,11.33,3.0,6.67,0.45,0.0,0.33,0.0,5.33,6.33,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.43,0.58,6.03,25.4,5.47,4.06,57.38,0.86,0.0,0.0,0.0,0.0,12.51,29.73,0.0,-0.33,121.43,85.47,35.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3.0,7.0,0.43,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',3 Local,2.0,20.5,8.5,2.5,8.5,0.29,0.0,0.0,0.0,3.5,4.5,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.29,0.41,1.75,20.59,4.21,6.09,40.88,0.59,0.0,0.0,0.0,0.0,13.1,27.69,0.0,-4.0,85.0,85.84,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,8.5,0.29,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',3 Visitant,3.0,14.67,9.33,2.0,5.33,0.38,0.0,0.33,0.0,5.33,6.67,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.35,0.54,4.3,31.37,4.56,3.77,54.72,0.71,0.0,0.0,0.0,0.0,11.54,33.12,0.0,-1.33,116.67,101.06,15.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,2.0,5.67,0.35,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',4 Banqueta,5.0,17.0,9.0,2.2,6.6,0.33,0.0,0.2,0.0,4.6,5.8,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.32,0.48,3.28,13.53,4.42,4.7,48.47,0.65,0.0,0.0,0.0,0.0,12.17,30.55,0.0,-2.4,100.0,95.14,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.2,6.8,0.32,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',5 Dificil,1.0,25.0,10.0,2.0,13.0,0.15,0.0,0.0,0.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.15,0.3,-0.7,46.15,5.0,11.2,30.86,0.31,0.0,0.0,0.0,0.0,21.32,37.23,0.0,-9.0,62.5,97.48,-34.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.15,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',5 Facil,4.0,15.0,8.75,2.25,5.0,0.45,0.0,0.25,0.0,4.25,5.25,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.43,0.58,4.28,20.24,4.28,3.08,58.15,0.86,0.0,0.0,0.0,0.0,9.99,27.89,0.0,-0.75,120.69,94.63,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2.25,5.25,0.43,14.0
b'ALBERT BLANCO FONTANALS',1 Mitjana,5.0,16.8,5.8,1.6,3.0,0.53,0.2,1.4,0.14,2.0,2.8,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.43,0.51,2.32,9.09,2.83,2.69,51.24,0.86,0.0,0.0,0.0,0.0,6.99,18.62,0.0,-1.0,107.41,95.59,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.8,4.4,0.41,25.0
b'ALBERT BLANCO FONTANALS',2 Derrota,2.0,17.0,4.0,1.0,3.0,0.33,0.5,2.0,0.25,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.35,0.37,-0.1,5.0,1.8,3.6,33.33,0.7,0.0,0.0,0.0,0.0,6.02,18.2,0.0,-2.75,80.0,110.92,-30.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,5.0,0.3,25.0
