Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ACHRAF ZOUKRI ALGARIB',1 Mitjana,1.0,10.0,8.0,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.67,4.6,0.0,4.0,2.0,66.67,1.33,0.0,0.0,0.0,0.0,6.0,26.75,0.0,1.0,133.33,77.7,55.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.67,77.0
b'ACHRAF ZOUKRI ALGARIB',2 Victoria,1.0,10.0,8.0,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.67,4.6,0.0,4.0,2.0,66.67,1.33,0.0,0.0,0.0,0.0,6.0,26.75,0.0,1.0,133.33,77.7,55.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.67,77.0
b'ACHRAF ZOUKRI ALGARIB',3 Local,1.0,10.0,8.0,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.67,4.6,0.0,4.0,2.0,66.67,1.33,0.0,0.0,0.0,0.0,6.0,26.75,0.0,1.0,133.33,77.7,55.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.67,77.0
b'ACHRAF ZOUKRI ALGARIB',4 Banqueta,1.0,10.0,8.0,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.67,4.6,0.0,4.0,2.0,66.67,1.33,0.0,0.0,0.0,0.0,6.0,26.75,0.0,1.0,133.33,77.7,55.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.67,77.0
b'ACHRAF ZOUKRI ALGARIB',5 Facil,1.0,10.0,8.0,4.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.67,0.67,4.6,0.0,4.0,2.0,66.67,1.33,0.0,0.0,0.0,0.0,6.0,26.75,0.0,1.0,133.33,77.7,55.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.67,77.0
b'ALEIX LOPEZ LUQUE',1 Mitjana,2.0,29.0,7.5,2.5,4.0,0.62,0.5,2.5,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.5,0.51,2.35,7.69,3.6,3.7,49.32,1.0,0.0,0.0,0.0,0.0,8.64,12.88,0.0,-1.75,107.14,82.02,25.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.0,6.5,0.46,7.0
b'ALEIX LOPEZ LUQUE',2 Victoria,2.0,29.0,7.5,2.5,4.0,0.62,0.5,2.5,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.5,0.51,2.35,7.69,3.6,3.7,49.32,1.0,0.0,0.0,0.0,0.0,8.64,12.88,0.0,-1.75,107.14,82.02,25.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.0,6.5,0.46,7.0
b'ALEIX LOPEZ LUQUE',3 Local,1.0,33.0,9.0,3.0,5.0,0.6,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,3.1,0.0,4.0,5.0,44.44,1.0,0.0,0.0,0.0,0.0,9.0,12.16,0.0,-1.5,100.0,78.01,21.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,4.0,9.0,0.44,7.0
b'ALEIX LOPEZ LUQUE',3 Visitant,1.0,25.0,6.0,2.0,3.0,0.67,0.0,1.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.52,1.6,50.0,3.2,2.4,57.14,1.0,0.0,0.0,0.0,0.0,7.43,13.49,0.0,-2.0,120.0,86.65,33.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,4.0,0.5,7.0
b'ALEIX LOPEZ LUQUE',4 Banqueta,2.0,29.0,7.5,2.5,4.0,0.62,0.5,2.5,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.5,0.51,2.35,7.69,3.6,3.7,49.32,1.0,0.0,0.0,0.0,0.0,8.64,12.88,0.0,-1.75,107.14,82.02,25.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.0,6.5,0.46,7.0
b'ALEIX LOPEZ LUQUE',5 Facil,2.0,29.0,7.5,2.5,4.0,0.62,0.5,2.5,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.5,0.51,2.35,7.69,3.6,3.7,49.32,1.0,0.0,0.0,0.0,0.0,8.64,12.88,0.0,-1.75,107.14,82.02,25.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.0,6.5,0.46,7.0
b'BRUNO ALOCEN GUERRA',1 Mitjana,2.0,8.5,3.0,1.0,1.5,0.67,0.0,2.0,0.0,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29,0.36,-0.05,14.29,1.53,2.56,37.4,0.57,0.0,0.0,0.0,0.0,5.11,24.77,0.0,-2.25,75.0,81.74,-6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.0,3.5,0.29,4.0
b'BRUNO ALOCEN GUERRA',2 Victoria,2.0,8.5,3.0,1.0,1.5,0.67,0.0,2.0,0.0,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29,0.36,-0.05,14.29,1.53,2.56,37.4,0.57,0.0,0.0,0.0,0.0,5.11,24.77,0.0,-2.25,75.0,81.74,-6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.0,3.5,0.29,4.0
b'BRUNO ALOCEN GUERRA',3 Local,1.0,6.0,5.0,2.0,3.0,0.67,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.39,1.2,16.67,2.4,4.0,37.5,0.67,0.0,0.0,0.0,0.0,7.54,47.85,0.0,-2.0,83.33,77.79,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,6.0,0.33,4.0
b'BRUNO ALOCEN GUERRA',3 Visitant,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.27,-1.3,100.0,0.6,1.2,33.33,0.0,0.0,0.0,0.0,0.0,2.71,10.01,0.0,-2.5,100.0,86.41,13.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
b'BRUNO ALOCEN GUERRA',4 Banqueta,2.0,8.5,3.0,1.0,1.5,0.67,0.0,2.0,0.0,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29,0.36,-0.05,14.29,1.53,2.56,37.4,0.57,0.0,0.0,0.0,0.0,5.11,24.77,0.0,-2.25,75.0,81.74,-6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.0,3.5,0.29,4.0
b'BRUNO ALOCEN GUERRA',5 Facil,2.0,8.5,3.0,1.0,1.5,0.67,0.0,2.0,0.0,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29,0.36,-0.05,14.29,1.53,2.56,37.4,0.57,0.0,0.0,0.0,0.0,5.11,24.77,0.0,-2.25,75.0,81.74,-6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.0,3.5,0.29,4.0
b'EDWIN JOSE NIEBLES HERRERA',1 Mitjana,2.0,19.0,10.5,4.5,9.0,0.5,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.54,5.4,8.34,5.1,4.5,53.12,1.0,0.0,0.0,0.0,0.0,10.61,25.74,0.0,0.0,110.53,82.12,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,0.5,0.0
b'EDWIN JOSE NIEBLES HERRERA',2 Victoria,2.0,19.0,10.5,4.5,9.0,0.5,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.54,5.4,8.34,5.1,4.5,53.12,1.0,0.0,0.0,0.0,0.0,10.61,25.74,0.0,0.0,110.53,82.12,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,0.5,0.0
b'EDWIN JOSE NIEBLES HERRERA',3 Local,1.0,18.0,10.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.56,5.6,25.0,4.8,4.0,54.55,1.0,0.0,0.0,0.0,0.0,11.08,21.99,0.0,0.5,125.0,78.11,46.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.5,0.0
b'EDWIN JOSE NIEBLES HERRERA',3 Visitant,1.0,20.0,11.0,5.0,10.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.53,5.2,10.0,5.4,5.0,51.92,1.0,0.0,0.0,0.0,0.0,10.86,30.56,0.0,-0.5,110.0,86.78,23.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.5,81.0
b'EDWIN JOSE NIEBLES HERRERA',4 Banqueta,2.0,19.0,10.5,4.5,9.0,0.5,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.54,5.4,8.34,5.1,4.5,53.12,1.0,0.0,0.0,0.0,0.0,10.61,25.74,0.0,0.0,110.53,82.12,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,0.5,0.0
b'EDWIN JOSE NIEBLES HERRERA',5 Facil,2.0,19.0,10.5,4.5,9.0,0.5,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.54,5.4,8.34,5.1,4.5,53.12,1.0,0.0,0.0,0.0,0.0,10.61,25.74,0.0,0.0,110.53,82.12,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,0.5,0.0
