Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'AARON ZIGA FORNELLS',1 Mitjana,7.0,28.43,9.29,2.57,6.14,0.42,0.86,5.29,0.16,1.57,2.86,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.34,0.37,1.69,1.96,4.34,8.23,34.52,0.68,0.0,0.0,0.0,0.0,13.91,24.19,0.0,-4.14,74.71,100.84,-26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,3.43,11.43,0.3,26.0
b'AARON ZIGA FORNELLS',2 Derrota,5.0,28.4,8.4,2.0,6.2,0.32,0.8,4.2,0.19,2.0,3.4,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.31,0.35,1.04,3.85,3.93,7.83,33.41,0.62,0.0,0.0,0.0,0.0,13.32,22.46,0.0,-4.5,72.41,104.9,-32.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.8,10.4,0.27,26.0
b'AARON ZIGA FORNELLS',2 Victoria,2.0,28.5,11.5,4.0,6.0,0.67,1.0,8.0,0.12,0.5,1.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,3.3,1.78,5.33,9.27,36.53,0.79,0.0,0.0,0.0,0.0,15.36,28.68,0.0,-3.25,82.14,90.31,-8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,5.0,14.0,0.36,33.0
b'AARON ZIGA FORNELLS',3 Local,3.0,30.67,10.33,4.0,6.33,0.63,0.67,6.67,0.1,0.33,1.67,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.38,0.38,2.03,0.85,4.91,8.76,35.9,0.77,0.0,0.0,0.0,0.0,14.43,25.37,0.0,-4.17,77.5,92.89,-15.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,4.67,13.0,0.36,26.0
b'AARON ZIGA FORNELLS',3 Visitant,4.0,26.75,8.5,1.5,6.0,0.25,1.0,4.25,0.24,2.5,3.75,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.36,1.43,6.1,3.83,7.92,32.62,0.59,0.0,0.0,0.0,0.0,13.54,23.36,0.0,-4.12,73.91,106.83,-32.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,2.5,10.25,0.24,33.0
b'AARON ZIGA FORNELLS',4 Banqueta,7.0,28.43,9.29,2.57,6.14,0.42,0.86,5.29,0.16,1.57,2.86,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.34,0.37,1.69,1.96,4.34,8.23,34.52,0.68,0.0,0.0,0.0,0.0,13.91,24.19,0.0,-4.14,74.71,100.84,-26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,3.43,11.43,0.3,26.0
b'AARON ZIGA FORNELLS',5 Dificil,5.0,28.6,9.8,2.6,7.0,0.37,1.0,5.4,0.19,1.6,3.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.33,0.35,1.28,2.58,4.56,9.12,33.33,0.66,0.0,0.0,0.0,0.0,15.04,26.29,0.0,-5.0,73.13,105.48,-32.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,3.6,12.4,0.29,26.0
b'AARON ZIGA FORNELLS',5 Facil,2.0,28.0,8.0,2.5,4.0,0.62,0.5,5.0,0.1,1.5,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.4,2.7,8.34,3.75,6.05,38.27,0.72,0.0,0.0,0.0,0.0,11.05,18.93,0.0,-2.0,84.21,89.43,-5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,3.0,9.0,0.33,33.0
b'AARON ZIGA FORNELLS',6 Equips Cua,1.0,31.0,10.0,5.0,9.0,0.56,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.36,0.33,-0.2,0.0,5.0,10.2,32.89,0.71,0.0,0.0,0.0,0.0,16.25,26.33,0.0,-7.0,66.67,99.72,-33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,5.0,14.0,0.36,26.0
b'AARON ZIGA FORNELLS',6 Equips Top,1.0,31.0,10.0,5.0,9.0,0.56,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.36,0.33,-0.2,0.0,5.0,10.2,32.89,0.71,0.0,0.0,0.0,0.0,16.25,26.33,0.0,-7.0,66.67,99.72,-33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,5.0,14.0,0.36,26.0
