Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIAN CARRACEDO DE LA ROSA',1 Mitjana,15.0,24.0,8.8,2.27,3.67,0.62,1.2,4.0,0.3,0.67,1.2,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.53,0.54,3.57,0.58,3.85,4.29,47.28,1.06,0.0,0.0,0.0,0.0,8.83,18.5,0.0,-0.77,109.09,88.07,21.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,3.47,7.67,0.45,9.0
b'ADRIAN CARRACEDO DE LA ROSA',2 Derrota,6.0,25.67,6.0,2.0,3.5,0.57,0.33,3.83,0.09,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.34,0.38,0.47,2.27,2.87,5.07,36.13,0.68,0.0,0.0,0.0,0.0,8.73,16.42,0.0,-3.5,76.6,95.8,-19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,2.33,7.33,0.32,9.0
b'ADRIAN CARRACEDO DE LA ROSA',2 Victoria,9.0,22.89,10.67,2.44,3.78,0.65,1.78,4.11,0.43,0.44,1.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.65,0.64,5.63,0.63,4.5,3.79,54.27,1.3,0.0,0.0,0.0,0.0,8.88,20.09,0.0,1.06,129.73,82.83,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,4.22,7.89,0.54,9.0
b'ADRIAN CARRACEDO DE LA ROSA',3 Local,8.0,24.62,9.12,1.75,2.75,0.64,1.75,4.0,0.44,0.38,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.65,0.64,4.9,0.69,3.73,3.33,52.84,1.3,0.0,0.0,0.0,0.0,7.46,15.94,0.0,1.06,132.73,83.53,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,3.5,6.75,0.52,9.0
b'ADRIAN CARRACEDO DE LA ROSA',3 Visitant,7.0,23.29,8.43,2.86,4.71,0.61,0.57,4.0,0.14,1.0,1.71,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.43,0.45,2.04,1.64,4.0,5.4,42.5,0.85,0.0,0.0,0.0,0.0,10.43,21.47,0.0,-2.86,92.19,93.08,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,3.43,8.71,0.39,9.0
b'ADRIAN CARRACEDO DE LA ROSA',4 Banqueta,15.0,24.0,8.8,2.27,3.67,0.62,1.2,4.0,0.3,0.67,1.2,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.53,0.54,3.57,0.58,3.85,4.29,47.28,1.06,0.0,0.0,0.0,0.0,8.83,18.5,0.0,-0.77,109.09,88.07,21.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,3.47,7.67,0.45,9.0
b'ADRIAN CARRACEDO DE LA ROSA',5 Dificil,9.0,24.11,8.78,2.11,3.56,0.59,1.33,3.44,0.39,0.56,1.22,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.59,0.58,3.97,0.88,3.79,3.7,50.58,1.17,0.0,0.0,0.0,0.0,8.17,17.42,0.0,-0.11,117.91,92.79,25.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,3.44,7.0,0.49,9.0
b'ADRIAN CARRACEDO DE LA ROSA',5 Facil,6.0,23.83,8.83,2.5,3.83,0.65,1.0,4.83,0.21,0.83,1.17,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.46,0.48,2.97,1.6,3.93,5.21,43.01,0.92,0.0,0.0,0.0,0.0,9.81,20.03,0.0,-1.75,98.15,81.5,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,3.5,8.67,0.4,9.0
b'ADRIAN CARRACEDO DE LA ROSA',6 Equips Cua,3.0,23.0,8.33,2.0,2.67,0.75,1.33,5.0,0.27,0.33,1.33,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.52,0.5,2.3,1.45,3.57,4.63,43.5,1.04,0.0,0.0,0.0,0.0,8.91,19.15,0.0,-2.0,108.7,85.42,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,3.33,7.67,0.43,9.0
b'ADRIAN CARRACEDO DE LA ROSA',6 Equips Top,3.0,23.0,8.33,2.0,2.67,0.75,1.33,5.0,0.27,0.33,1.33,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.52,0.5,2.3,1.45,3.57,4.63,43.5,1.04,0.0,0.0,0.0,0.0,8.91,19.15,0.0,-2.0,108.7,85.42,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,3.33,7.67,0.43,9.0
