Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA FIAGA GARRIDO',1 Mitjana,19.0,20.16,4.47,1.37,4.32,0.32,0.26,1.32,0.2,0.95,1.95,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.31,0.34,0.26,0.89,2.21,4.21,34.4,0.63,0.0,0.0,0.0,0.0,7.76,18.99,0.0,-2.79,70.83,95.03,-24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.63,5.63,0.29,5.0
b'ADRIA FIAGA GARRIDO',2 Derrota,16.0,20.12,4.5,1.5,4.19,0.36,0.25,1.38,0.18,0.75,1.81,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.34,0.35,0.33,0.84,2.23,4.06,35.4,0.67,0.0,0.0,0.0,0.0,7.59,18.66,0.0,-2.66,72.73,97.35,-24.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.75,5.56,0.31,5.0
b'ADRIA FIAGA GARRIDO',2 Victoria,3.0,20.33,4.33,0.67,5.0,0.13,0.33,1.0,0.33,2.0,2.67,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19,0.3,-0.13,11.11,2.0,5.07,28.3,0.39,0.0,0.0,0.0,0.0,8.58,20.69,0.0,-3.5,61.9,82.68,-20.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,6.0,0.17,5.0
b'ADRIA FIAGA GARRIDO',3 Local,10.0,21.5,4.3,1.4,5.0,0.28,0.2,1.7,0.12,0.9,1.6,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.29,-0.43,1.34,2.12,5.22,28.85,0.51,0.0,0.0,0.0,0.0,8.53,20.24,0.0,-3.7,58.9,95.05,-36.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.6,6.7,0.24,5.0
b'ADRIA FIAGA GARRIDO',3 Visitant,9.0,18.67,4.67,1.33,3.56,0.38,0.33,0.89,0.38,1.0,2.33,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.41,0.43,1.02,2.5,2.3,3.08,42.68,0.82,0.0,0.0,0.0,0.0,6.88,17.36,0.0,-1.78,89.36,94.96,-5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.67,4.44,0.38,5.0
b'ADRIA FIAGA GARRIDO',4 Banqueta,19.0,20.16,4.47,1.37,4.32,0.32,0.26,1.32,0.2,0.95,1.95,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.31,0.34,0.26,0.89,2.21,4.21,34.4,0.63,0.0,0.0,0.0,0.0,7.76,18.99,0.0,-2.79,70.83,95.03,-24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.63,5.63,0.29,5.0
b'ADRIA FIAGA GARRIDO',5 Dificil,10.0,20.6,4.6,1.4,4.3,0.33,0.3,1.5,0.2,0.9,1.9,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.32,0.35,0.14,1.55,2.25,4.31,34.29,0.64,0.0,0.0,0.0,0.0,7.84,18.94,0.0,-3.0,70.77,87.58,-16.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.7,5.8,0.29,5.0
b'ADRIA FIAGA GARRIDO',5 Facil,9.0,19.67,4.33,1.33,4.33,0.31,0.22,1.11,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.31,0.34,0.39,2.04,2.16,4.09,34.52,0.61,0.0,0.0,0.0,0.0,7.68,19.03,0.0,-2.56,70.91,103.19,-32.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.56,5.44,0.29,5.0
b'ALEX FONT MERCADIE',1 Mitjana,20.0,21.6,7.6,1.1,2.7,0.41,1.3,4.55,0.29,1.5,2.7,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.42,0.45,2.39,1.03,3.27,5.06,39.22,0.84,0.0,0.0,0.0,0.0,10.14,22.98,0.0,-1.77,91.57,95.08,-3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,2.4,7.25,0.33,8.0
b'ALEX FONT MERCADIE',2 Derrota,17.0,22.12,7.29,1.24,2.94,0.42,1.18,4.47,0.26,1.29,2.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.4,0.43,1.85,1.03,3.19,5.26,37.74,0.81,0.0,0.0,0.0,0.0,10.24,22.75,0.0,-2.29,86.71,97.23,-10.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.41,7.41,0.33,8.0
b'ALEX FONT MERCADIE',2 Victoria,3.0,18.67,9.33,0.33,1.33,0.25,2.0,5.0,0.4,2.67,3.33,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.53,0.6,5.43,14.04,3.61,4.05,47.13,1.05,0.0,0.0,0.0,0.0,9.56,24.51,0.0,1.17,127.27,82.81,44.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,2.33,6.33,0.37,8.0
b'ALEX FONT MERCADIE',3 Local,10.0,20.9,7.2,1.1,3.0,0.37,1.2,3.7,0.32,1.4,2.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.43,0.47,2.63,2.09,3.03,4.47,40.37,0.87,0.0,0.0,0.0,0.0,8.99,21.32,0.0,-1.2,97.3,94.93,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,2.3,6.7,0.34,8.0
b'ALEX FONT MERCADIE',3 Visitant,10.0,22.3,8.0,1.1,2.4,0.46,1.4,5.4,0.26,1.6,3.4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.41,0.43,2.14,2.05,3.48,5.68,37.98,0.82,0.0,0.0,0.0,0.0,11.25,24.54,0.0,-2.35,88.89,95.25,-6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,2.5,7.8,0.32,8.0
b'ALEX FONT MERCADIE',4 Banqueta,20.0,21.6,7.6,1.1,2.7,0.41,1.3,4.55,0.29,1.5,2.7,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.42,0.45,2.39,1.03,3.27,5.06,39.22,0.84,0.0,0.0,0.0,0.0,10.14,22.98,0.0,-1.77,91.57,95.08,-3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,2.4,7.25,0.33,8.0
b'ALEX FONT MERCADIE',5 Dificil,11.0,22.45,8.18,1.09,3.09,0.35,1.45,5.0,0.29,1.64,3.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.4,0.43,2.41,1.84,3.53,5.87,37.52,0.81,0.0,0.0,0.0,0.0,11.49,24.84,0.0,-2.14,88.24,88.69,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,2.55,8.09,0.31,8.0
b'ALEX FONT MERCADIE',5 Facil,9.0,20.56,6.89,1.11,2.22,0.5,1.11,4.0,0.28,1.33,2.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.45,0.48,2.36,2.38,2.93,4.09,41.77,0.89,0.0,0.0,0.0,0.0,8.45,20.45,0.0,-1.33,100.0,102.85,-2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,2.22,6.22,0.36,8.0
