Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBERT FONTANALS MARTIN',1 Mitjana,16.0,15.5,3.31,1.38,3.5,0.39,0.06,0.62,0.1,0.38,0.81,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.36,0.37,0.35,0.57,1.67,2.78,37.49,0.71,0.0,0.0,0.0,0.0,4.96,16.33,0.0,-1.81,75.71,90.72,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.44,4.12,0.35,4.0
b'ALBERT FONTANALS MARTIN',2 Derrota,3.0,15.33,1.33,0.67,3.67,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18,0.18,-1.37,0.0,0.67,3.0,18.18,0.36,0.0,0.0,0.0,0.0,3.67,13.22,0.0,-2.83,36.36,105.54,-69.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,3.67,0.18,4.0
b'ALBERT FONTANALS MARTIN',2 Victoria,13.0,15.54,3.77,1.54,3.46,0.44,0.08,0.77,0.1,0.46,1.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.39,0.4,0.75,0.84,1.9,2.73,41.02,0.78,0.0,0.0,0.0,0.0,5.24,17.05,0.0,-1.58,83.05,87.07,-4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.62,4.23,0.38,4.0
b'ALBERT FONTANALS MARTIN',3 Local,8.0,17.75,4.12,1.75,4.62,0.38,0.0,0.62,0.0,0.62,1.38,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.33,0.35,0.4,1.49,2.14,3.66,36.83,0.67,0.0,0.0,0.0,0.0,6.77,18.61,0.0,-2.38,71.74,86.27,-14.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.75,5.25,0.33,4.0
b'ALBERT FONTANALS MARTIN',3 Visitant,8.0,13.25,2.5,1.0,2.38,0.42,0.12,0.62,0.2,0.12,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.4,0.4,0.3,0.52,1.2,1.9,38.71,0.79,0.0,0.0,0.0,0.0,3.24,13.26,0.0,-1.25,83.33,95.07,-11.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.12,3.0,0.38,4.0
b'ALBERT FONTANALS MARTIN',4 Banqueta,16.0,15.5,3.31,1.38,3.5,0.39,0.06,0.62,0.1,0.38,0.81,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.36,0.37,0.35,0.57,1.67,2.78,37.49,0.71,0.0,0.0,0.0,0.0,4.96,16.33,0.0,-1.81,75.71,90.72,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.44,4.12,0.35,4.0
b'ALBERT FONTANALS MARTIN',5 Dificil,9.0,12.89,2.22,0.89,2.22,0.4,0.11,0.67,0.17,0.11,0.22,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.37,0.37,0.11,0.43,1.07,1.91,35.82,0.73,0.0,0.0,0.0,0.0,3.12,13.71,0.0,-1.33,76.92,93.34,-16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.0,2.89,0.35,4.0
b'ALBERT FONTANALS MARTIN',5 Facil,7.0,18.86,4.71,2.0,5.14,0.39,0.0,0.57,0.0,0.71,1.57,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.35,0.37,0.66,1.79,2.44,3.9,38.49,0.7,0.0,0.0,0.0,0.0,7.32,18.11,0.0,-2.43,75.0,87.45,-12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,5.71,0.35,4.0
b'ALBERT NAFRIA SOLER',1 Mitjana,11.0,6.82,0.82,0.27,1.0,0.27,0.0,0.55,0.0,0.27,0.55,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.23,-0.34,1.6,0.44,1.33,24.74,0.35,0.0,0.0,0.0,0.0,2.11,14.62,0.0,-1.09,50.0,88.79,-38.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.27,1.55,0.18,12.0
b'ALBERT NAFRIA SOLER',2 Derrota,2.0,4.0,1.5,0.0,0.5,0.0,0.0,1.0,0.0,1.5,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.25,50.0,0.75,1.55,32.61,0.0,0.0,0.0,0.0,0.0,3.67,32.35,0.0,-1.0,75.0,106.32,-31.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.5,0.0,12.0
b'ALBERT NAFRIA SOLER',2 Victoria,9.0,7.44,0.67,0.33,1.11,0.3,0.0,0.44,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.21,0.2,-0.47,0.0,0.33,1.31,20.27,0.43,0.0,0.0,0.0,0.0,1.78,12.47,0.0,-1.11,42.86,84.63,-41.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.33,1.56,0.21,12.0
b'ALBERT NAFRIA SOLER',3 Local,8.0,7.88,0.75,0.38,1.25,0.3,0.0,0.62,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2,0.19,-0.61,0.0,0.38,1.6,18.99,0.4,0.0,0.0,0.0,0.0,2.16,14.0,0.0,-1.38,40.0,86.9,-46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.38,1.88,0.2,12.0
b'ALBERT NAFRIA SOLER',3 Visitant,3.0,4.0,1.0,0.0,0.33,0.0,0.0,0.33,0.0,1.0,1.33,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,50.0,0.5,0.7,41.67,0.0,0.0,0.0,0.0,0.0,1.83,17.75,0.0,-0.33,100.0,94.01,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.0,12.0
b'ALBERT NAFRIA SOLER',4 Banqueta,11.0,6.82,0.82,0.27,1.0,0.27,0.0,0.55,0.0,0.27,0.55,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.23,-0.34,1.6,0.44,1.33,24.74,0.35,0.0,0.0,0.0,0.0,2.11,14.62,0.0,-1.09,50.0,88.79,-38.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.27,1.55,0.18,12.0
b'ALBERT NAFRIA SOLER',5 Dificil,5.0,3.6,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-0.72,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.76,0.0,-1.0,97.8,90.31,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.8,0.0,12.0
b'ALBERT NAFRIA SOLER',5 Facil,6.0,9.5,1.5,0.5,1.33,0.38,0.0,0.83,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.29,-0.02,3.85,0.8,1.77,31.17,0.46,0.0,0.0,0.0,0.0,3.24,14.97,0.0,-1.17,64.29,87.36,-23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.5,2.17,0.23,12.0
b'DANIEL ROY CARNICER',1 Mitjana,17.0,16.29,4.41,1.12,2.71,0.41,0.53,1.65,0.32,0.59,0.94,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.44,0.46,1.06,0.79,1.97,2.76,41.67,0.88,0.0,0.0,0.0,0.0,5.32,16.43,0.0,-1.44,94.94,90.41,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.65,4.35,0.38,14.0
