Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALBA VERA PONTE',1 Mitjana,26.0,25.88,6.15,2.65,6.27,0.42,0.08,0.46,0.17,0.62,1.42,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.41,0.42,1.53,0.35,3.12,4.18,42.69,0.82,0.0,0.0,0.0,0.0,8.15,16.96,0.0,-2.13,84.66,78.3,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.73,6.73,0.41,5.0
b'ALBA VERA PONTE',2 Derrota,8.0,23.88,5.5,2.25,5.12,0.44,0.25,0.88,0.29,0.25,0.75,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.44,0.43,1.55,0.52,2.67,3.63,42.33,0.88,0.0,0.0,0.0,0.0,6.77,16.14,0.0,-1.56,88.0,88.43,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.5,6.0,0.42,5.0
b'ALBA VERA PONTE',2 Victoria,18.0,26.78,6.44,2.83,6.78,0.42,0.0,0.28,0.0,0.78,1.72,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.4,0.41,1.53,0.61,3.31,4.43,42.81,0.8,0.0,0.0,0.0,0.0,8.76,17.27,0.0,-2.39,84.06,73.79,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.83,7.06,0.4,5.0
b'ALBA VERA PONTE',3 Local,13.0,24.92,5.54,2.23,5.77,0.39,0.15,0.54,0.29,0.62,1.46,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.39,0.4,1.09,0.75,2.77,4.12,40.24,0.78,0.0,0.0,0.0,0.0,7.82,16.71,0.0,-2.31,80.9,81.61,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.38,6.31,0.38,5.0
b'ALBA VERA PONTE',3 Visitant,13.0,26.85,6.77,3.08,6.77,0.45,0.0,0.38,0.0,0.62,1.38,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.43,0.44,1.98,0.66,3.46,4.25,44.89,0.86,0.0,0.0,0.0,0.0,8.5,17.2,0.0,-1.96,88.89,75.06,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3.08,7.15,0.43,5.0
b'ALBA VERA PONTE',4 Banqueta,26.0,25.88,6.15,2.65,6.27,0.42,0.08,0.46,0.17,0.62,1.42,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.41,0.42,1.53,0.35,3.12,4.18,42.69,0.82,0.0,0.0,0.0,0.0,8.15,16.96,0.0,-2.13,84.66,78.3,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.73,6.73,0.41,5.0
b'ALBA VERA PONTE',5 Dificil,14.0,26.71,6.14,2.79,6.43,0.43,0.07,0.57,0.12,0.36,1.14,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.41,0.41,1.33,0.36,3.1,4.36,41.55,0.83,0.0,0.0,0.0,0.0,8.14,16.44,0.0,-2.36,82.69,77.19,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.86,7.0,0.41,5.0
b'ALBA VERA PONTE',5 Facil,12.0,24.92,6.17,2.5,6.08,0.41,0.08,0.33,0.25,0.92,1.75,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.41,0.43,1.78,1.19,3.12,3.99,43.91,0.82,0.0,0.0,0.0,0.0,8.17,17.63,0.0,-1.88,88.1,79.7,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2.58,6.42,0.4,5.0
b'BRUNA VILA ARTIGUES',1 Mitjana,25.0,24.48,7.04,1.48,4.64,0.32,0.72,2.52,0.29,1.92,2.92,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.36,0.42,1.6,1.07,3.23,5.1,38.8,0.72,0.0,0.0,0.0,0.0,10.07,20.63,0.0,-2.72,85.02,78.4,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,2.2,7.16,0.31,11.0
b'BRUNA VILA ARTIGUES',2 Derrota,8.0,25.62,5.75,1.62,4.62,0.35,0.38,2.62,0.14,1.38,2.12,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.3,0.35,0.03,2.37,2.74,5.36,33.88,0.6,0.0,0.0,0.0,0.0,9.43,19.44,0.0,-4.0,73.02,88.02,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,2.0,7.25,0.28,11.0
b'BRUNA VILA ARTIGUES',2 Victoria,17.0,23.94,7.65,1.41,4.65,0.3,0.88,2.47,0.36,2.18,3.29,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.38,0.45,2.34,1.8,3.46,4.98,41.02,0.77,0.0,0.0,0.0,0.0,10.36,21.22,0.0,-2.12,91.55,73.89,17.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,2.29,7.12,0.32,11.0
