Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Assist (jugador),Assist (valor),Recuperacions (jugador),Recuperacions (valor),Perd (jugador),Perd (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltes Rebudes (jugador),Faltes Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efec (jugador),% Tir Efec (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesiones No Anotades (jugador),Possesiones No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Puntes per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perd Mal Pase (Jugador),Perd Mal Pase (Valor),Perd Pilota Controlada (jugador),Perd Pilota Controlada (valor),Altres Perd (jugador),Altres Perd (valor),Faltes de Tir (jugador),Faltes de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor)
b'AINA CARGOL BERGA',31.79,b'JANA NOGUS MART',14.5,b'JANA LPEZ CANTARERO',4.07,b'MIREIA MUOZ LUIS',9.43,b'JANA LPEZ CANTARERO',0.56,b'JANA NOGUS MART',1.64,b'JANA NOGUS MART',5.5,b'MAR MANENT PEREZ',1.0,b'AINA CARGOL BERGA',3.5,b'ONA BRAVO TALLE',6.31,b'ANNA CAIZARES REVELLES',1.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'SILVIANA VIDIELLA MAS',3.36,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'ARIADNA ELIAS MONTON',0.0,b'DUNA MACIAS BONET',0.84,b'JANA NOGUS MART',5.29,b'JANA NOGUS MART',13.71,b'JANA LPEZ CANTARERO',0.51
b'JANA JIMENEZ SAEZ',29.0,b'AINA CARGOL BERGA',13.71,b'PAOLA PAREJA XARGAYO',3.71,b'ANYA COULIBALY GARCIA',8.86,b'GEORGINA SOSA SIO',0.55,b'AINA CARGOL BERGA',1.5,b'AINA CARGOL BERGA',5.14,b'MIREIA POU CAMINAL',0.47,b'ONA BRAVO TALLE',3.08,b'MAR COLL-VINENT OLLE',5.38,b'JLIA BADIA ROS',1.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'MARIONA VALL-LLOVERA SANCHEZ',3.33,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'JANA MARTI CAMPOS',0.0,b'BET TOST SANCHEZ',0.72,b'JANA LPEZ CANTARERO',4.5,b'MIREIA MUOZ LUIS',13.36,b'MARINA ABELLA GIMENEZ',0.5
b'BERTA PAGES RUS',28.29,b'MIREIA MUOZ LUIS',12.14,b'JANA NOGUS MART',3.64,b'JANA NOGUS MART',8.21,b'JANA LLOBERA GONZLEZ',0.52,b'CARLA FUSTER CASAS',1.31,b'JANA JIMENEZ SAEZ',5.0,b'ADA PRAT ALONSO',0.44,b'MAR COLL-VINENT OLLE',2.85,b'MARIA CLAR DOMNGUEZ',5.0,b'MARTINA MIRAS LOPEZ',0.88,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'ONA BRAVO TALLE',3.31,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'CARLA FUSTER CASAS',0.0,b'GEORGINA SOSA SIO',0.71,b'MIREIA MUOZ LUIS',4.43,b'JANA JIMENEZ SAEZ',12.92,b'LIA RODRGUEZ FUENTES',0.49
b'JANA LPEZ CANTARERO',27.5,b'EMMA LEON SAAVEDRA',10.5,b'ANYA COULIBALY GARCIA',3.64,b'SILVIANA VIDIELLA MAS',8.07,b'CLAUDIA AGULLO VIZCARRA',0.52,b'IRINA ROIG GONZLEZ',1.21,b'CLAUDIA XAUDAR CALERO',4.64,b'JUDITH NEYHART MORA',0.43,b'JANA NOGUS MART',2.29,b'AINA CARGOL BERGA',4.93,b'NURIA BARBE PUIG',0.87,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'EDURNE DIAZ DE LA SERNA MUOZ',2.93,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JANA CANADELL COMES',0.0,b'JLIA BADIA ROS',0.7,b'AINA CARGOL BERGA',4.36,b'AINA CARGOL BERGA',11.64,b'PAULA CUBERO RAMOS',0.47
b'SANDRA MORENO MENGIBAR',26.75,b'JANA LPEZ CANTARERO',9.93,b'EMMA LEON SAAVEDRA',3.29,b'JANA JIMENEZ SAEZ',7.92,b'LAIA GRABULOSA CASTELL',0.52,b'MIREIA POU CAMINAL',1.14,b'IRINA ROIG GONZLEZ',4.07,b'PAULA CUBERO RAMOS',0.4,b'MAR MOLINA MUOZ',2.29,b'ANYA COULIBALY GARCIA',4.36,b'JANA CANADELL COMES',0.76,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'MAR MOLINA MUOZ',2.93,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'NURIA BARBE PUIG',0.0,b'AFRICA PEREZ LOPEZ',0.64,b'EMMA LEON SAAVEDRA',4.14,b'EMMA LEON SAAVEDRA',10.21,b'JUDITH NEYHART MORA',0.47
b'CLAUDIA XAUDAR CALERO',26.71,b'JANA JIMENEZ SAEZ',9.77,b'MIREIA MUOZ LUIS',3.29,b'MARIONA VALL-LLOVERA SANCHEZ',7.33,b'GRCIA FERRER LEAL',0.51,b'MIREIA MUOZ LUIS',1.14,b'BERTA PAGES RUS',4.07,b'CLARA DIAZ SORTO',0.38,b'MIREIA MUOZ LUIS',2.14,b'MIREIA MUOZ LUIS',4.21,b'LIDIA BELMONTE HURTADO',0.75,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'JANA MARTI CAMPOS',2.83,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'CLAUDIA AGULLO VIZCARRA',0.0,b'JANA LLOBERA GONZLEZ',0.58,b'JANA JIMENEZ SAEZ',3.92,b'ANYA COULIBALY GARCIA',9.93,b'PAOLA PAREJA XARGAYO',0.45
b'ONA BRAVO TALLE',26.54,b'ANYA COULIBALY GARCIA',9.57,b'SILVIANA VIDIELLA MAS',3.07,b'PAOLA PAREJA XARGAYO',7.29,b'PAOLA PAREJA XARGAYO',0.51,b'MARTINA MONTON MARTINEZ',1.0,b'MIREIA MUOZ LUIS',3.93,b'CARLA FUSTER CASAS',0.37,b'MARIONA VALL-LLOVERA SANCHEZ',2.0,b'MARIONA VALL-LLOVERA SANCHEZ',4.11,b'AFRICA PEREZ LOPEZ',0.75,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'PAOLA PAREJA XARGAYO',2.79,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'MAR MANENT PEREZ',0.0,b'CARLA FUSTER CASAS',0.57,b'ANYA COULIBALY GARCIA',3.79,b'CLAUDIA XAUDAR CALERO',9.64,b'LUCIA SUAREZ PELLITERO',0.44
b'JANA NOGUS MART',26.5,b'CLAUDIA AGULLO VIZCARRA',8.73,b'SANDRA MORENO MENGIBAR',3.0,b'JANA LPEZ CANTARERO',7.29,b'MARINA ABELLA GIMENEZ',0.5,b'JANA JIMENEZ SAEZ',1.0,b'JANA LLOBERA GONZLEZ',3.82,b'MARIA CLAR DOMNGUEZ',0.36,b'MARIA CLAR DOMNGUEZ',2.0,b'MAR MOLINA MUOZ',3.86,b'NISRINE EL MESSNAOUI MAATI',0.73,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'EMMA LEON SAAVEDRA',2.71,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'LIDIA BELMONTE HURTADO',0.0,b'IRINA ROIG GONZLEZ',0.56,b'PAOLA PAREJA XARGAYO',3.79,b'BERTA PAGES RUS',9.21,b'CLARA DIAZ SORTO',0.43
b'MARIONA VALL-LLOVERA SANCHEZ',26.44,b'PAOLA PAREJA XARGAYO',8.71,b'JANA JIMENEZ SAEZ',2.92,b'MAR MOLINA MUOZ',7.0,b'JUDITH NEYHART MORA',0.49,b'BERTA PAGES RUS',0.93,b'NATLIA FANJUL MARDONES',3.57,b'MARTINA MONTON MARTINEZ',0.32,b'PAULA BALADA MUNTADAS',2.0,b'SANDRA MORENO MENGIBAR',3.67,b'MARTINA MERIGO SALES',0.71,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'TELMA BALAGUE GRAU',2.71,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'EMMA LEON SAAVEDRA',0.0,b'LAIA GRABULOSA CASTELL',0.56,b'SILVIANA VIDIELLA MAS',3.36,b'SILVIANA VIDIELLA MAS',9.0,b'CLAUDIA AGULLO VIZCARRA',0.42
b'MIREIA POU CAMINAL',25.93,b'SILVIANA VIDIELLA MAS',8.5,b'AINA CARGOL BERGA',2.86,b'EMMA LEON SAAVEDRA',6.93,b'LIA RODRGUEZ FUENTES',0.49,b'EMMA LEON SAAVEDRA',0.86,b'EDURNE DIAZ DE LA SERNA MUOZ',3.57,b'SILVIANA VIDIELLA MAS',0.31,b'SARATA DOUMBIA',2.0,b'JULIA TORREO JIMENEZ',3.54,b'LAIA GRABULOSA CASTELL',0.71,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'NISRINE EL MESSNAOUI MAATI',2.64,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'ANYA COULIBALY GARCIA',0.0,b'CLAIRE COLLS BATCHELOR',0.55,b'CLAUDIA AGULLO VIZCARRA',3.18,b'JANA LPEZ CANTARERO',8.79,b'AINA GIMNEZ LPEZ',0.42
