Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALEJANDRO SORIANO IZNAJAR',1 Mitjana,5.0,14.0,2.6,0.8,2.2,0.36,0.2,0.2,1.0,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.46,0.47,1.0,3.33,1.24,1.48,45.59,0.92,0.0,0.0,0.0,0.0,3.24,10.94,0.0,-0.4,100.0,93.39,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.0,2.4,0.42,10.0
b'ALEJANDRO SORIANO IZNAJAR',2 Derrota,1.0,23.0,7.0,1.0,4.0,0.25,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,4.3,40.0,2.8,3.0,48.28,1.0,0.0,0.0,0.0,0.0,6.68,12.37,0.0,1.0,140.0,106.45,33.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,5.0,0.4,10.0
b'ALEJANDRO SORIANO IZNAJAR',2 Victoria,4.0,11.75,1.5,0.75,1.75,0.43,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.43,0.38,0.17,0.0,0.75,1.2,38.46,0.86,0.0,0.0,0.0,0.0,2.32,9.68,0.0,-0.75,85.71,89.53,-3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.75,0.43,10.0
b'ALEJANDRO SORIANO IZNAJAR',3 Local,2.0,17.5,5.5,1.5,3.5,0.43,0.5,0.5,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.56,0.56,2.9,12.5,2.6,2.2,54.17,1.12,0.0,0.0,0.0,0.0,5.96,14.77,0.0,0.25,122.22,101.49,20.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.0,4.0,0.5,10.0
b'ALEJANDRO SORIANO IZNAJAR',3 Visitant,3.0,11.67,0.67,0.33,1.33,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.25,0.25,-0.27,0.0,0.33,1.0,25.0,0.5,0.0,0.0,0.0,0.0,1.33,6.57,0.0,-0.83,50.0,87.95,-37.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,0.25,10.0
b'ALEJANDRO SORIANO IZNAJAR',4 Banqueta,5.0,14.0,2.6,0.8,2.2,0.36,0.2,0.2,1.0,0.4,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.46,0.47,1.0,3.33,1.24,1.48,45.59,0.92,0.0,0.0,0.0,0.0,3.24,10.94,0.0,-0.4,100.0,93.39,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.0,2.4,0.42,10.0
b'ALEJANDRO SORIANO IZNAJAR',5 Dificil,3.0,10.33,1.33,0.67,1.67,0.4,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.4,0.34,-0.1,0.0,0.67,1.27,34.48,0.8,0.0,0.0,0.0,0.0,2.51,11.4,0.0,-1.0,80.0,93.32,-13.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,0.4,10.0
b'ALEJANDRO SORIANO IZNAJAR',5 Facil,2.0,19.5,4.5,1.0,3.0,0.33,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.57,2.65,14.29,1.9,2.0,48.72,1.0,0.0,0.0,0.0,0.0,4.34,10.07,0.0,0.5,128.57,93.3,35.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.5,3.5,0.43,10.0
b'ALVARO BELLO MARAB',1 Mitjana,5.0,22.4,5.6,1.0,2.8,0.36,0.8,3.4,0.24,1.2,2.2,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.35,0.39,0.94,3.87,2.5,4.58,35.29,0.71,0.0,0.0,0.0,0.0,8.51,17.8,0.0,-2.5,82.35,93.11,-10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.8,6.2,0.29,11.0
b'ALVARO BELLO MARAB',2 Derrota,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.27,0.0,-2.0,89.48,106.45,-16.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,11.0
b'ALVARO BELLO MARAB',2 Victoria,4.0,27.25,7.0,1.25,3.5,0.36,1.0,3.75,0.27,1.5,2.75,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.38,0.41,1.52,5.17,3.12,5.23,37.4,0.76,0.0,0.0,0.0,0.0,10.39,17.92,0.0,-2.62,87.5,89.31,-1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,2.25,7.25,0.31,11.0
b'ALVARO BELLO MARAB',3 Local,2.0,13.0,6.0,0.5,1.5,0.33,1.0,4.0,0.25,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.44,2.35,18.18,2.56,4.13,38.31,0.73,0.0,0.0,0.0,0.0,8.44,27.79,0.0,-1.0,92.31,101.64,-9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.5,5.5,0.27,11.0
b'ALVARO BELLO MARAB',3 Visitant,3.0,28.67,5.33,1.33,3.67,0.36,0.67,3.0,0.22,0.67,1.67,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.35,0.36,-0.0,3.33,2.43,4.91,33.09,0.7,0.0,0.0,0.0,0.0,8.53,14.84,0.0,-3.5,76.19,87.43,-11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2.0,6.67,0.3,11.0
b'ALVARO BELLO MARAB',4 Banqueta,5.0,22.4,5.6,1.0,2.8,0.36,0.8,3.4,0.24,1.2,2.2,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.35,0.39,0.94,3.87,2.5,4.58,35.29,0.71,0.0,0.0,0.0,0.0,8.51,17.8,0.0,-2.5,82.35,93.11,-10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.8,6.2,0.29,11.0
b'ALVARO BELLO MARAB',5 Dificil,3.0,26.0,9.0,1.67,3.33,0.5,1.33,3.67,0.36,1.67,3.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.52,0.54,4.23,7.94,3.96,4.24,48.33,1.05,0.0,0.0,0.0,0.0,10.78,19.23,0.0,-0.17,117.39,93.42,23.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,3.0,7.0,0.43,11.0
b'ALVARO BELLO MARAB',5 Facil,2.0,17.0,0.5,0.0,2.0,0.0,0.0,3.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.05,-4.0,5.0,0.3,5.1,5.56,0.0,0.0,0.0,0.0,0.0,5.84,15.96,0.0,-6.0,10.0,92.63,-82.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,5.0,0.0,11.0
b'ARNAU SANAHUJA CARNE',1 Mitjana,5.0,24.6,16.6,1.6,4.0,0.4,3.8,7.8,0.49,2.0,3.8,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.62,0.62,8.5,3.39,6.58,6.74,49.39,1.24,0.0,0.0,0.0,0.0,15.79,30.47,0.0,1.3,127.69,92.73,34.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,5.4,11.8,0.46,8.0
b'ARNAU SANAHUJA CARNE',2 Derrota,1.0,25.0,17.0,2.0,5.0,0.4,3.0,12.0,0.25,4.0,7.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.38,0.42,5.1,23.53,7.29,12.51,36.8,0.76,0.0,0.0,0.0,0.0,22.87,38.88,0.0,-4.5,89.47,106.05,-16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,5.0,17.0,0.29,8.0
