Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA ARQUE GASQUEZ',1 Mitjana,17.0,20.59,10.82,1.0,2.59,0.39,2.0,5.41,0.37,2.82,3.88,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.5,0.56,4.75,2.08,4.44,5.12,46.45,1.0,0.0,0.0,0.0,0.0,11.8,25.06,0.0,-0.68,114.29,94.45,19.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,3.0,8.0,0.38,15.0
b'ADRIA ARQUE GASQUEZ',2 Derrota,5.0,20.8,13.0,1.6,3.2,0.5,2.2,5.8,0.38,3.2,4.4,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.54,0.59,6.06,7.11,5.43,5.33,50.46,1.09,0.0,0.0,0.0,0.0,13.24,26.67,0.0,-0.3,122.64,110.52,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,3.8,9.0,0.42,15.0
b'ADRIA ARQUE GASQUEZ',2 Victoria,12.0,20.5,9.92,0.75,2.33,0.32,1.92,5.25,0.37,2.67,3.67,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.48,0.54,4.21,2.93,4.02,5.03,44.47,0.96,0.0,0.0,0.0,0.0,11.2,24.31,0.0,-0.83,110.19,87.79,22.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,2.67,7.58,0.35,15.0
b'ADRIA ARQUE GASQUEZ',3 Local,10.0,20.0,11.2,1.1,2.9,0.38,2.1,5.9,0.36,2.7,3.4,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.48,0.54,4.96,3.07,4.5,5.66,44.31,0.97,0.0,0.0,0.0,0.0,12.52,28.31,0.0,-0.65,110.89,86.7,24.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,3.2,8.8,0.36,15.0
b'ADRIA ARQUE GASQUEZ',3 Visitant,7.0,21.43,10.29,0.86,2.14,0.4,1.86,4.71,0.39,3.0,4.57,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.53,0.58,4.46,6.25,4.33,4.36,49.81,1.06,0.0,0.0,0.0,0.0,10.86,20.99,0.0,-0.71,120.0,105.41,14.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,2.71,6.86,0.4,15.0
b'ADRIA ARQUE GASQUEZ',4 Banqueta,17.0,20.59,10.82,1.0,2.59,0.39,2.0,5.41,0.37,2.82,3.88,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.5,0.56,4.75,2.08,4.44,5.12,46.45,1.0,0.0,0.0,0.0,0.0,11.8,25.06,0.0,-0.68,114.29,94.45,19.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,3.0,8.0,0.38,15.0
b'ADRIA ARQUE GASQUEZ',5 Dificil,13.0,21.85,12.0,1.15,2.77,0.42,2.23,5.85,0.38,3.0,4.31,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.52,0.57,5.38,2.68,4.95,5.39,47.87,1.04,0.0,0.0,0.0,0.0,12.74,25.55,0.0,-0.54,116.42,97.99,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,3.38,8.62,0.39,15.0
b'ADRIA ARQUE GASQUEZ',5 Facil,4.0,16.5,7.0,0.5,2.0,0.25,1.25,4.0,0.31,2.25,2.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.4,0.49,2.7,9.38,2.74,4.26,39.14,0.79,0.0,0.0,0.0,0.0,8.7,22.92,0.0,-1.12,103.7,82.73,20.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.75,6.0,0.29,15.0
b'ALBERT CABEZA CUSCO',1 Mitjana,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,1.7,0.0,1.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,1.0,51.55,0.0,1.0,200.0,76.25,123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0
b'ALBERT CABEZA CUSCO',2 Victoria,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,1.7,0.0,1.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,1.0,51.55,0.0,1.0,200.0,76.25,123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0
