Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRI PAL MASSIP',1 Mitjana,4.0,17.25,5.75,1.5,3.25,0.46,0.25,0.5,0.5,2.0,3.75,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.53,2.52,13.33,2.92,2.33,55.68,1.0,0.0,0.0,0.0,0.0,7.61,18.06,0.0,-0.62,115.0,88.74,26.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.75,3.75,0.47,2.0
b'ADRI PAL MASSIP',2 Derrota,3.0,15.33,5.33,1.67,3.0,0.56,0.0,0.0,0.0,2.0,4.33,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.56,0.54,2.43,22.22,2.9,1.84,61.21,1.11,0.0,0.0,0.0,0.0,7.5,18.48,0.0,-0.5,123.08,92.15,30.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,3.0,0.56,2.0
b'ADRI PAL MASSIP',2 Victoria,1.0,23.0,7.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.51,2.8,33.33,2.8,4.0,41.18,0.83,0.0,0.0,0.0,0.0,8.0,17.19,0.0,-1.0,116.67,77.35,39.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,6.0,0.33,2.0
b'ADRI PAL MASSIP',3 Local,2.0,13.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.27,-0.65,50.0,0.3,0.6,33.33,0.0,0.0,0.0,0.0,0.0,1.62,4.21,0.0,-1.25,100.0,97.65,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
b'ADRI PAL MASSIP',3 Visitant,2.0,21.5,11.0,3.0,6.0,0.5,0.5,1.0,0.5,3.5,6.5,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.54,0.56,5.7,25.0,5.54,4.05,57.77,1.07,0.0,0.0,0.0,0.0,13.12,26.21,0.0,0.0,115.79,79.02,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.5,7.0,0.5,2.0
b'ADRI PAL MASSIP',4 Banqueta,4.0,17.25,5.75,1.5,3.25,0.46,0.25,0.5,0.5,2.0,3.75,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.53,2.52,13.33,2.92,2.33,55.68,1.0,0.0,0.0,0.0,0.0,7.61,18.06,0.0,-0.62,115.0,88.74,26.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.75,3.75,0.47,2.0
b'ADRI PAL MASSIP',5 Dificil,3.0,15.33,5.33,1.67,3.0,0.56,0.0,0.0,0.0,2.0,4.33,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.56,0.54,2.43,22.22,2.9,1.84,61.21,1.11,0.0,0.0,0.0,0.0,7.5,18.48,0.0,-0.5,123.08,92.15,30.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,3.0,0.56,2.0
b'ADRI PAL MASSIP',5 Facil,1.0,23.0,7.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.51,2.8,33.33,2.8,4.0,41.18,0.83,0.0,0.0,0.0,0.0,8.0,17.19,0.0,-1.0,116.67,77.35,39.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,6.0,0.33,2.0
b'ALBERT AGUILERA GAMISANS',1 Mitjana,2.0,19.5,6.5,2.5,5.0,0.5,0.0,1.0,0.0,1.5,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.42,0.47,2.1,12.5,3.25,3.55,47.79,0.83,0.0,0.0,0.0,0.0,8.37,20.23,0.0,-1.75,100.0,90.16,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.5,6.0,0.42,22.0
b'ALBERT AGUILERA GAMISANS',2 Derrota,1.0,19.0,8.0,3.0,5.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.43,0.51,2.7,28.57,3.8,4.0,48.72,0.86,0.0,0.0,0.0,0.0,9.4,24.54,0.0,-2.0,114.29,94.04,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,3.0,7.0,0.43,22.0
