Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALEJANDRA VALSERA ORTEGA',1 Mitjana,12.0,27.67,12.25,1.33,4.67,0.29,1.92,6.75,0.28,3.83,5.67,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.37,0.44,3.96,2.8,5.28,8.4,38.58,0.74,0.0,0.0,0.0,0.0,16.88,28.52,0.0,-3.08,90.18,81.91,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,3.25,11.42,0.28,4.0
b'ALEJANDRA VALSERA ORTEGA',2 Derrota,5.0,27.6,10.0,1.2,3.6,0.33,1.6,5.2,0.31,2.8,4.4,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.41,0.47,3.2,6.36,4.33,6.23,40.98,0.82,0.0,0.0,0.0,0.0,13.29,22.17,0.0,-2.4,96.15,94.12,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,2.8,8.8,0.32,4.0
b'ALEJANDRA VALSERA ORTEGA',2 Victoria,7.0,27.71,13.86,1.43,5.43,0.26,2.14,7.86,0.27,4.57,6.57,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.35,0.43,4.5,4.92,5.96,9.96,37.43,0.7,0.0,0.0,0.0,0.0,19.4,33.0,0.0,-3.57,88.18,73.27,14.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,3.57,13.29,0.27,4.0
b'ALEJANDRA VALSERA ORTEGA',3 Local,7.0,29.14,13.71,1.29,5.29,0.24,2.14,7.86,0.27,4.71,6.86,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.34,0.42,4.0,5.12,5.9,9.98,37.16,0.68,0.0,0.0,0.0,0.0,19.87,30.85,0.0,-4.14,87.27,82.85,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.43,13.14,0.26,4.0
b'ALEJANDRA VALSERA ORTEGA',3 Visitant,5.0,25.6,10.2,1.4,3.8,0.37,1.6,5.2,0.31,2.6,4.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.42,0.47,3.9,5.78,4.4,6.2,41.55,0.84,0.0,0.0,0.0,0.0,12.75,24.53,0.0,-1.6,98.08,80.57,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,3.0,9.0,0.33,4.0
b'ALEJANDRA VALSERA ORTEGA',4 Banqueta,12.0,27.67,12.25,1.33,4.67,0.29,1.92,6.75,0.28,3.83,5.67,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.37,0.44,3.96,2.8,5.28,8.4,38.58,0.74,0.0,0.0,0.0,0.0,16.88,28.52,0.0,-3.08,90.18,81.91,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,3.25,11.42,0.28,4.0
b'ALEJANDRA VALSERA ORTEGA',5 Dificil,6.0,31.5,14.0,1.33,5.5,0.24,2.33,8.17,0.29,4.33,6.67,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.35,0.42,4.1,5.29,6.01,10.33,36.78,0.71,0.0,0.0,0.0,0.0,19.56,30.05,0.0,-4.08,86.6,84.18,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.67,13.67,0.27,4.0
b'ALEJANDRA VALSERA ORTEGA',5 Facil,6.0,23.83,10.5,1.33,3.83,0.35,1.5,5.33,0.28,3.33,4.67,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.39,0.47,3.82,6.06,4.55,6.48,41.22,0.78,0.0,0.0,0.0,0.0,14.2,26.56,0.0,-2.08,96.92,79.56,17.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,2.83,9.17,0.31,4.0
b'AMINATA MAMOUDOU HERNNDEZ',1 Mitjana,13.0,31.85,10.08,3.69,7.15,0.52,0.0,0.0,0.0,2.69,4.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.52,0.57,4.7,2.89,5.12,3.63,58.5,1.03,0.0,0.0,0.0,0.0,11.05,15.81,0.0,-0.73,115.93,81.49,34.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,7.15,0.52,14.0
b'AMINATA MAMOUDOU HERNNDEZ',2 Derrota,6.0,30.0,5.5,1.83,5.83,0.31,0.0,0.0,0.0,1.83,2.5,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.31,0.4,0.55,5.24,2.76,4.07,40.42,0.63,0.0,0.0,0.0,0.0,8.42,13.04,0.0,-3.25,82.5,91.58,-9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,5.83,0.31,14.0
