Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA RETRES HINOJOSA',1 Mitjana,9.0,20.67,9.33,0.89,2.56,0.35,2.0,7.0,0.29,1.56,2.22,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.41,0.44,3.04,1.81,3.7,6.75,35.4,0.81,0.0,0.0,0.0,0.0,12.21,29.75,0.0,-1.94,90.32,96.63,-6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.89,9.56,0.3,1.0
b'ADRIA RETRES HINOJOSA',2 Derrota,7.0,20.0,7.71,0.71,2.57,0.28,1.43,6.43,0.22,2.0,2.71,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.32,0.38,1.47,3.17,3.15,6.93,31.27,0.63,0.0,0.0,0.0,0.0,12.3,29.38,0.0,-3.29,77.14,101.9,-24.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,2.14,9.0,0.24,1.0
b'ADRIA RETRES HINOJOSA',2 Victoria,2.0,23.0,15.0,1.5,2.5,0.6,4.0,9.0,0.44,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.64,8.55,0.0,5.5,6.2,47.01,1.3,0.0,0.0,0.0,0.0,12.06,31.13,0.0,2.75,130.43,77.06,53.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,5.5,11.5,0.48,1.0
b'ADRIA RETRES HINOJOSA',3 Local,3.0,21.67,11.67,1.0,3.33,0.3,2.33,6.0,0.39,2.67,3.67,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.48,0.53,5.53,9.52,4.69,6.11,43.43,0.96,0.0,0.0,0.0,0.0,13.26,28.78,0.0,-0.17,109.38,105.94,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,3.33,9.33,0.36,1.0
b'ADRIA RETRES HINOJOSA',3 Visitant,6.0,20.17,8.17,0.83,2.17,0.38,1.83,7.5,0.24,1.0,1.5,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.37,0.4,1.8,1.72,3.2,7.07,31.17,0.74,0.0,0.0,0.0,0.0,11.57,30.26,0.0,-2.83,80.33,91.88,-11.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,2.67,9.67,0.28,1.0
b'ADRIA RETRES HINOJOSA',4 Banqueta,9.0,20.67,9.33,0.89,2.56,0.35,2.0,7.0,0.29,1.56,2.22,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.41,0.44,3.04,1.81,3.7,6.75,35.4,0.81,0.0,0.0,0.0,0.0,12.21,29.75,0.0,-1.94,90.32,96.63,-6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.89,9.56,0.3,1.0
b'ADRIA RETRES HINOJOSA',5 Dificil,4.0,22.75,10.5,1.25,2.75,0.45,2.0,7.75,0.26,2.0,2.75,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.45,3.35,4.76,4.27,7.33,36.79,0.81,0.0,0.0,0.0,0.0,13.78,30.62,0.0,-2.38,91.3,96.37,-5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,3.25,10.5,0.31,1.0
b'ADRIA RETRES HINOJOSA',5 Facil,5.0,19.0,8.4,0.6,2.4,0.25,2.0,6.4,0.31,1.2,1.8,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.41,0.44,2.8,2.73,3.24,6.28,34.03,0.82,0.0,0.0,0.0,0.0,10.95,29.02,0.0,-1.6,89.36,96.9,-7.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.6,8.8,0.3,1.0
b'ALBERT TOMAS GIL',1 Mitjana,14.0,13.5,2.71,0.79,1.86,0.42,0.36,1.86,0.19,0.07,0.14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.36,0.36,-0.11,0.14,1.19,2.59,31.44,0.71,0.0,0.0,0.0,0.0,3.88,15.86,0.0,-1.89,73.08,93.92,-20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.14,3.71,0.31,18.0
b'ALBERT TOMAS GIL',2 Derrota,8.0,15.38,4.0,1.25,2.75,0.45,0.5,2.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.38,0.38,0.33,0.0,1.75,3.5,33.33,0.76,0.0,0.0,0.0,0.0,5.25,19.32,0.0,-2.12,76.19,98.36,-22.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.75,5.25,0.33,18.0
b'ALBERT TOMAS GIL',2 Victoria,6.0,11.0,1.0,0.17,0.67,0.25,0.17,1.0,0.17,0.17,0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.25,0.28,-0.7,1.67,0.43,1.37,24.07,0.5,0.0,0.0,0.0,0.0,2.04,9.37,0.0,-1.58,60.0,87.68,-27.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.33,1.67,0.2,18.0
b'ALBERT TOMAS GIL',3 Local,7.0,12.71,2.0,0.57,1.29,0.44,0.29,1.57,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.35,0.35,-0.29,0.0,0.86,2.0,30.0,0.7,0.0,0.0,0.0,0.0,2.86,12.47,0.0,-1.64,70.0,97.92,-27.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.86,2.86,0.3,18.0
b'ALBERT TOMAS GIL',3 Visitant,7.0,14.29,3.43,1.0,2.43,0.41,0.43,2.14,0.2,0.14,0.29,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.36,0.36,0.06,0.45,1.51,3.17,32.32,0.72,0.0,0.0,0.0,0.0,4.9,19.05,0.0,-2.14,75.0,89.91,-14.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.43,4.57,0.31,18.0
b'ALBERT TOMAS GIL',4 Banqueta,14.0,13.5,2.71,0.79,1.86,0.42,0.36,1.86,0.19,0.07,0.14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.36,0.36,-0.11,0.14,1.19,2.59,31.44,0.71,0.0,0.0,0.0,0.0,3.88,15.86,0.0,-1.89,73.08,93.92,-20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.14,3.71,0.31,18.0
b'ALBERT TOMAS GIL',5 Dificil,8.0,9.12,1.5,0.38,0.62,0.6,0.25,0.88,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,0.1,0.0,0.62,0.88,41.67,1.0,0.0,0.0,0.0,0.0,1.5,9.27,0.0,-0.75,100.0,93.54,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.62,1.5,0.42,18.0
b'ALBERT TOMAS GIL',5 Facil,6.0,19.33,4.33,1.33,3.5,0.38,0.5,3.17,0.16,0.17,0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.31,0.32,-0.4,0.42,1.93,4.87,28.43,0.62,0.0,0.0,0.0,0.0,7.1,20.11,0.0,-3.42,65.0,94.26,-29.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.83,6.67,0.28,18.0
