Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ADRIA RUIZ DE AZUA MALDONADO',1 Mitjana,20.0,19.0,8.05,2.3,5.05,0.46,0.25,0.9,0.28,2.7,4.75,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.45,0.5,2.94,2.27,4.1,3.75,52.18,0.9,0.0,0.0,0.0,0.0,10.57,25.05,0.0,-1.7,103.21,96.4,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.55,5.95,0.43,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',2 Derrota,12.0,17.67,7.0,2.17,5.08,0.43,0.17,0.75,0.22,2.17,3.92,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.41,0.46,2.05,3.1,3.59,3.81,48.48,0.83,0.0,0.0,0.0,0.0,9.9,25.45,0.0,-2.17,95.45,103.08,-7.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.33,5.83,0.4,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',2 Victoria,8.0,21.0,9.62,2.5,5.0,0.5,0.38,1.12,0.33,3.5,6.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.55,4.29,7.14,4.86,3.67,56.99,1.0,0.0,0.0,0.0,0.0,11.57,24.51,0.0,-1.0,114.93,86.22,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.88,6.12,0.47,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',3 Local,10.0,18.9,8.4,2.4,5.5,0.44,0.2,1.0,0.2,3.0,4.9,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.42,0.49,2.85,4.62,4.26,4.2,50.42,0.83,0.0,0.0,0.0,0.0,11.14,26.94,0.0,-2.15,101.2,96.2,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.6,6.5,0.4,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',3 Visitant,10.0,19.1,7.7,2.2,4.6,0.48,0.3,0.8,0.38,2.4,4.6,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.49,0.52,3.04,4.44,3.92,3.32,54.13,0.98,0.0,0.0,0.0,0.0,9.98,23.15,0.0,-1.25,106.94,96.55,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.5,5.4,0.46,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',4 Banqueta,20.0,19.0,8.05,2.3,5.05,0.46,0.25,0.9,0.28,2.7,4.75,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.45,0.5,2.94,2.27,4.1,3.75,52.18,0.9,0.0,0.0,0.0,0.0,10.57,25.05,0.0,-1.7,103.21,96.4,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.55,5.95,0.43,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',5 Dificil,12.0,19.0,9.33,2.67,5.0,0.53,0.33,1.17,0.29,3.0,4.92,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.51,0.56,4.38,4.05,4.67,3.47,57.39,1.03,0.0,0.0,0.0,0.0,11.03,26.09,0.0,-0.62,115.46,92.32,23.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,3.0,6.17,0.49,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',5 Facil,8.0,19.0,6.12,1.75,5.12,0.34,0.12,0.5,0.25,2.25,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.34,0.4,0.79,5.0,3.23,4.2,43.43,0.69,0.0,0.0,0.0,0.0,9.9,23.5,0.0,-3.31,84.48,102.72,-18.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.88,5.62,0.33,14.0
b'ADRIA RUIZ DE AZUA MALDONADO',7 Ultims 3,3.0,19.33,10.33,3.0,6.33,0.47,0.67,1.0,0.67,2.33,3.33,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.55,0.59,5.6,10.61,4.88,3.79,56.31,1.09,0.0,0.0,0.0,0.0,11.18,26.56,0.0,0.5,124.0,95.64,28.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.67,7.33,0.5,14.0
b'ALBERT ROMAN PEREZ',1 Mitjana,22.0,12.36,1.73,0.23,0.82,0.28,0.36,1.77,0.21,0.18,0.23,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.3,0.32,-0.34,0.32,0.68,2.0,25.29,0.6,0.0,0.0,0.0,0.0,2.81,12.93,0.0,-1.57,65.52,96.05,-30.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.59,2.59,0.23,10.0
