Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ALEX RIERA PERETO',1 Mitjana,12.0,20.67,11.83,3.25,7.17,0.45,0.92,3.08,0.3,2.58,4.25,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.45,0.49,5.02,2.1,5.61,6.34,46.91,0.9,0.0,0.0,0.0,0.0,14.43,30.31,0.0,-1.33,99.3,90.17,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.17,10.25,0.41,10.0
b'ALEX RIERA PERETO',2 Derrota,5.0,24.0,12.2,3.2,7.2,0.44,0.8,3.6,0.22,3.4,4.6,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.41,0.48,4.96,6.3,5.71,6.93,45.21,0.81,0.0,0.0,0.0,0.0,15.4,28.04,0.0,-1.9,98.39,100.44,-2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4.0,10.8,0.37,10.0
b'ALEX RIERA PERETO',2 Victoria,7.0,18.29,11.57,3.29,7.14,0.46,1.0,2.71,0.37,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.49,0.5,5.07,2.9,5.49,5.97,47.88,0.97,0.0,0.0,0.0,0.0,13.74,32.49,0.0,-0.93,102.53,82.84,19.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,4.29,9.86,0.43,10.0
b'ALEX RIERA PERETO',3 Local,6.0,21.33,12.33,3.83,8.17,0.47,0.83,3.0,0.28,2.17,3.83,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.46,0.48,5.05,3.23,5.91,6.79,46.54,0.91,0.0,0.0,0.0,0.0,15.26,29.71,0.0,-1.58,98.67,87.68,10.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,4.67,11.17,0.42,10.0
b'ALEX RIERA PERETO',3 Visitant,6.0,20.0,11.33,2.67,6.17,0.43,1.0,3.17,0.32,3.0,4.67,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.45,0.5,5.0,5.36,5.29,5.91,47.28,0.89,0.0,0.0,0.0,0.0,13.58,30.91,0.0,-1.08,103.03,92.77,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,3.67,9.33,0.39,10.0
b'ALEX RIERA PERETO',4 Banqueta,12.0,20.67,11.83,3.25,7.17,0.45,0.92,3.08,0.3,2.58,4.25,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.45,0.49,5.02,2.1,5.61,6.34,46.91,0.9,0.0,0.0,0.0,0.0,14.43,30.31,0.0,-1.33,99.3,90.17,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.17,10.25,0.41,10.0
b'ALEX RIERA PERETO',5 Dificil,8.0,20.62,11.0,3.12,6.88,0.45,0.75,3.25,0.23,2.5,4.38,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.42,0.46,4.21,3.09,5.3,6.57,44.66,0.84,0.0,0.0,0.0,0.0,14.6,30.2,0.0,-1.94,93.62,92.4,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,3.88,10.12,0.38,10.0
b'ALEX RIERA PERETO',5 Facil,4.0,20.75,13.5,3.5,7.75,0.45,1.25,2.75,0.45,2.75,4.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.51,0.55,6.65,6.55,6.19,5.91,51.19,1.02,0.0,0.0,0.0,0.0,14.16,30.53,0.0,-0.12,114.89,85.53,29.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,4.75,10.5,0.45,10.0
b'ALEX RIERA PERETO',6 Equips Cua,2.0,22.5,12.0,1.5,6.0,0.25,1.5,5.0,0.3,4.5,6.5,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.34,0.43,4.5,20.45,5.36,8.24,39.37,0.68,0.0,0.0,0.0,0.0,17.11,33.3,0.0,-2.5,92.31,101.1,-8.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,3.0,11.0,0.27,10.0
b'ALEX RIERA PERETO',6 Equips Top,2.0,22.5,12.0,1.5,6.0,0.25,1.5,5.0,0.3,4.5,6.5,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.34,0.43,4.5,20.45,5.36,8.24,39.37,0.68,0.0,0.0,0.0,0.0,17.11,33.3,0.0,-2.5,92.31,101.1,-8.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,3.0,11.0,0.27,10.0
