Nombre,Jornada,Partidos,Minutos,Puntos,T2 Anotados,T2 Lanzados,% T2,T3 Anotados,T3 Lanzados,% T3,T1 Anotados,T1 Lanzados,% T1,Reb. Ofensivos,Reb. Defensivos,Rebotes,Asistencias,Robos,Perdidas,Tapones,Tapones Recibidos,Mates,Faltas Cometidas,Faltas Recibidas,Valoracion,% Asist,% Tiro Efectivo,% Tiro Verdadero,GScore,TLr%,Posesiones Anotadas,Posesiones No Anotadas,Floor Percentage,Puntos por Tiro,% Rebotes,% Rebotes Def,% Rebotes Of,% Robos,Toques,Uso,Versatilidad,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pérdidas Mal Pase,Perdidas Balón Controlado,Otras Perdidas,Faltas de Tiro,Faltas No de Tiro,Técnicas,Antideportivas,Ofensivas,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p
b'ABDERRAHMANE RAHOU KADIRI',Fase 01,2.0,12.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.8,0.0,1.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,8.99,0.0,-0.25,100.0,91.45,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'EDUARD MAS FERRE',Fase 01,4.0,29.0,8.75,2.0,4.5,0.44,0.75,3.0,0.25,2.5,4.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.42,0.47,3.2,8.33,4.12,4.97,45.33,0.83,0.0,0.0,0.0,0.0,11.04,17.54,0.0,-1.75,100.0,94.73,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',Fase 01,4.0,9.25,4.5,0.75,1.25,0.6,0.75,1.25,0.6,0.75,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.71,2.85,7.5,1.95,1.15,62.9,1.5,0.0,0.0,0.0,0.0,3.83,18.77,0.0,1.0,163.64,94.8,68.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'FERRAN BELMONTE CABALLOL',Fase 01,4.0,19.0,5.25,2.25,5.75,0.39,0.0,0.0,0.0,0.75,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.39,0.41,0.82,3.26,2.7,3.65,42.52,0.78,0.0,0.0,0.0,0.0,7.08,18.53,0.0,-2.5,87.5,94.41,-6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'FERRAN FERNANDEZ GIMENEZ',Fase 01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'GERARD TEJERO CASASAYAS',Fase 01,3.0,23.67,11.33,2.33,7.33,0.32,1.33,4.33,0.31,2.67,5.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.37,0.41,3.17,7.62,5.23,8.44,38.28,0.74,0.0,0.0,0.0,0.0,15.83,31.64,0.0,-3.5,85.0,95.99,-10.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'GUILLEM ANDREU MALE',Fase 01,4.0,23.75,10.0,1.75,4.25,0.41,1.0,2.5,0.4,3.5,4.5,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.48,0.57,5.38,12.96,4.46,4.09,52.18,0.96,0.0,0.0,0.0,0.0,10.73,20.19,0.0,0.25,121.21,94.75,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'JOAN PONS MONTERO',Fase 01,4.0,15.5,4.25,1.75,4.0,0.44,0.0,0.75,0.0,0.75,1.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.37,0.4,0.62,3.95,2.17,3.08,41.33,0.74,0.0,0.0,0.0,0.0,5.86,18.78,0.0,-2.12,85.0,94.42,-9.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'JORDI ROQUETA CLARET',Fase 01,4.0,14.75,2.75,0.75,2.25,0.33,0.0,0.5,0.0,1.25,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.27,0.36,-0.17,11.36,1.5,2.25,40.0,0.55,0.0,0.0,0.0,0.0,4.96,14.34,0.0,-2.25,73.33,94.39,-21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'JUAN AYALA MONCAYO',Fase 01,3.0,13.67,4.33,0.67,1.67,0.4,0.0,1.67,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.47,1.47,30.0,1.87,2.67,41.18,0.4,0.0,0.0,0.0,0.0,5.83,18.38,0.0,-1.5,100.0,95.54,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
