Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'ABDERRAHMANE RAHOU KADIRI',1 Mitjana,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,114.2,97.79,16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
b'ABDERRAHMANE RAHOU KADIRI',2 Victoria,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,114.2,97.79,16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
b'ABDERRAHMANE RAHOU KADIRI',3 Local,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,114.2,97.79,16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
b'ABDERRAHMANE RAHOU KADIRI',4 Banqueta,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,114.2,97.79,16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
b'ABDERRAHMANE RAHOU KADIRI',5 Facil,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,114.2,97.79,16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
b'ERIC MANZANARES IZQUIERDO',1 Mitjana,2.0,27.5,17.0,1.5,5.5,0.27,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.52,0.55,8.25,6.89,6.3,9.0,41.18,1.03,0.0,0.0,0.0,0.0,16.37,28.02,0.0,0.5,113.33,101.4,11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,5.5,14.5,0.38,66.0
b'ERIC MANZANARES IZQUIERDO',2 Derrota,1.0,25.0,18.0,2.0,6.0,0.33,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.53,0.57,9.5,13.33,6.8,9.0,43.04,1.07,0.0,0.0,0.0,0.0,17.0,30.09,0.0,1.5,120.0,102.09,17.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.0,15.0,0.4,66.0
b'ERIC MANZANARES IZQUIERDO',2 Victoria,1.0,30.0,16.0,1.0,5.0,0.2,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.54,7.0,14.29,5.8,9.0,39.19,1.0,0.0,0.0,0.0,0.0,15.71,26.37,0.0,-0.5,114.29,100.41,13.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,5.0,14.0,0.36,66.0
b'ERIC MANZANARES IZQUIERDO',3 Local,1.0,30.0,16.0,1.0,5.0,0.2,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.54,7.0,14.29,5.8,9.0,39.19,1.0,0.0,0.0,0.0,0.0,15.71,26.37,0.0,-0.5,114.29,100.41,13.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,5.0,14.0,0.36,66.0
b'ERIC MANZANARES IZQUIERDO',3 Visitant,1.0,25.0,18.0,2.0,6.0,0.33,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.53,0.57,9.5,13.33,6.8,9.0,43.04,1.07,0.0,0.0,0.0,0.0,17.0,30.09,0.0,1.5,120.0,102.09,17.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.0,15.0,0.4,66.0
b'ERIC MANZANARES IZQUIERDO',4 Banqueta,2.0,27.5,17.0,1.5,5.5,0.27,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.52,0.55,8.25,6.89,6.3,9.0,41.18,1.03,0.0,0.0,0.0,0.0,16.37,28.02,0.0,0.5,113.33,101.4,11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,5.5,14.5,0.38,66.0
b'ERIC MANZANARES IZQUIERDO',5 Dificil,1.0,25.0,18.0,2.0,6.0,0.33,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.53,0.57,9.5,13.33,6.8,9.0,43.04,1.07,0.0,0.0,0.0,0.0,17.0,30.09,0.0,1.5,120.0,102.09,17.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.0,15.0,0.4,66.0
b'ERIC MANZANARES IZQUIERDO',5 Facil,1.0,30.0,16.0,1.0,5.0,0.2,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.54,7.0,14.29,5.8,9.0,39.19,1.0,0.0,0.0,0.0,0.0,15.71,26.37,0.0,-0.5,114.29,100.41,13.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,5.0,14.0,0.36,66.0
b'FERRAN BELMONTE CABALLOL',1 Mitjana,2.0,30.5,11.0,4.5,9.5,0.47,0.0,0.0,0.0,2.0,3.5,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.47,0.5,4.35,10.53,5.64,5.25,51.77,0.95,0.0,0.0,0.0,0.0,12.78,18.13,0.0,-1.75,104.76,101.17,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.5,0.47,10.0
b'FERRAN BELMONTE CABALLOL',2 Derrota,1.0,33.0,10.0,4.0,11.0,0.36,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.36,0.42,2.3,18.18,4.8,7.0,40.68,0.73,0.0,0.0,0.0,0.0,13.0,17.05,0.0,-4.0,90.91,101.51,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.36,10.0
b'FERRAN BELMONTE CABALLOL',2 Victoria,1.0,28.0,12.0,5.0,8.0,0.62,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.62,0.59,6.4,25.0,6.28,3.72,62.8,1.25,0.0,0.0,0.0,0.0,12.29,19.37,0.0,0.5,133.33,100.73,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.62,10.0
b'FERRAN BELMONTE CABALLOL',3 Local,1.0,28.0,12.0,5.0,8.0,0.62,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.62,0.59,6.4,25.0,6.28,3.72,62.8,1.25,0.0,0.0,0.0,0.0,12.29,19.37,0.0,0.5,133.33,100.73,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.62,10.0
