Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
KINGSLEY CHUKWUGOZIE,29.46,MARC JUANOLA AULET,13.0,KINGSLEY CHUKWUGOZIE,5.0,KINGSLEY CHUKWUGOZIE,9.46,DAVID JIMENEZ SOMS,0.67,MARC JUANOLA AULET,1.19,GUILLEM DIAZ CABANAS,3.42,MARC JUANOLA AULET,0.37,MARC JUANOLA AULET,3.12,PEP MESAS DIAZ,4.32,IGNASI QUINTANA COMAS,0.8,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GUILLEM CUADRADO BERNAL,3.16,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,IGNASIO AMAN,0.52,MARC JUANOLA AULET,0.58,MARC JUANOLA AULET,6.9,PEP MESAS DIAZ,2.06,KINGSLEY CHUKWUGOZIE,6.4,GUILLEM DIAZ CABANAS,6.15,KINGSLEY CHUKWUGOZIE,54.8,KINGSLEY CHUKWUGOZIE,1.04,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,KINGSLEY CHUKWUGOZIE,13.78,MARC JUANOLA AULET,26.21,GONZALO PANO SORIANO,0.0,MARC JUANOLA AULET,0.46,MARC JUANOLA AULET,116.96,DAVID JIMENEZ SOMS,93.04,MARC JUANOLA AULET,27.17,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,VICENT BROTONS GISBERT,0.78,KINGSLEY CHUKWUGOZIE,5.27,KINGSLEY CHUKWUGOZIE,10.35,KINGSLEY CHUKWUGOZIE,0.51,SANTIAGO AMAN,34.0
GUILLEM CUADRADO BERNAL,28.56,KINGSLEY CHUKWUGOZIE,12.85,GUILLEM DIAZ CABANAS,3.38,GUILLEM DIAZ CABANAS,6.69,VICENT BROTONS GISBERT,0.64,PEP MESAS DIAZ,0.88,GUILLEM CUADRADO BERNAL,3.28,PEP MESAS DIAZ,0.35,PEP MESAS DIAZ,2.92,MARC JUANOLA AULET,4.08,MARC JUANOLA AULET,0.76,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,KINGSLEY CHUKWUGOZIE,2.77,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,KINGSLEY CHUKWUGOZIE,0.52,PEP MESAS DIAZ,0.56,KINGSLEY CHUKWUGOZIE,6.08,MARC JUANOLA AULET,1.26,MARC JUANOLA AULET,5.89,GUILLEM CUADRADO BERNAL,5.9,MARC JUANOLA AULET,52.88,MARC JUANOLA AULET,1.04,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,MARC JUANOLA AULET,13.69,KINGSLEY CHUKWUGOZIE,22.63,NICOLS HUMBERT MARTN,0.0,GONZALO PANO SORIANO,0.0,PEP MESAS DIAZ,115.76,PEP MESAS DIAZ,90.86,PEP MESAS DIAZ,24.9,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,DAVID JIMENEZ SOMS,0.45,MARC JUANOLA AULET,4.35,GUILLEM DIAZ CABANAS,10.12,IGNASIO AMAN,0.5,KINGSLEY CHUKWUGOZIE,30.0
GUILLEM DIAZ CABANAS,28.46,GUILLEM DIAZ CABANAS,10.58,MARC JUANOLA AULET,3.15,MARC JUANOLA AULET,6.31,IGNASI QUINTANA COMAS,0.56,GUILLEM DIAZ CABANAS,0.65,MARC JUANOLA AULET,3.19,IGNASIO AMAN,0.3,GUILLEM CUADRADO BERNAL,2.52,GUILLEM CUADRADO BERNAL,3.64,GUILLEM DIAZ CABANAS,0.73,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,SANTIAGO AMAN,2.64,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,MARC JUANOLA AULET,0.52,KINGSLEY CHUKWUGOZIE,0.54,PEP MESAS DIAZ,3.9,GUILLEM CUADRADO BERNAL,1.16,GUILLEM DIAZ CABANAS,4.98,KINGSLEY CHUKWUGOZIE,5.28,PEP MESAS DIAZ,52.73,IGNASIO AMAN,1.03,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,GUILLEM DIAZ CABANAS,12.72,GUILLEM DIAZ CABANAS,22.26,VICENT BROTONS GISBERT,0.0,NICOLS HUMBERT MARTN,-0.0,KINGSLEY CHUKWUGOZIE,110.23,MARC JUANOLA AULET,89.79,KINGSLEY CHUKWUGOZIE,20.52,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,VICENT BROTONS GISBERT,0.0,PEP MESAS DIAZ,0.44,GUILLEM DIAZ CABANAS,4.04,MARC JUANOLA AULET,9.5,MARC JUANOLA AULET,0.46,VICENT BROTONS GISBERT,15.0
SANTIAGO AMAN,27.0,GUILLEM CUADRADO BERNAL,8.92,IGNASIO AMAN,2.84,SANTIAGO AMAN,5.4,IGNASIO AMAN,0.53,VICENT BROTONS GISBERT,0.61,PEP MESAS DIAZ,2.52,KINGSLEY CHUKWUGOZIE,0.3,KINGSLEY CHUKWUGOZIE,2.04,KINGSLEY CHUKWUGOZIE,3.35,GUILLEM CUADRADO BERNAL,0.69,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,GUILLEM DIAZ CABANAS,2.62,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,DAVID JIMENEZ SOMS,0.5,IGNASIO AMAN,0.53,GUILLEM DIAZ CABANAS,3.79,KINGSLEY CHUKWUGOZIE,0.76,GUILLEM CUADRADO BERNAL,4.24,MARC JUANOLA AULET,5.24,IGNASIO AMAN,52.33,DAVID JIMENEZ SOMS,1.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,GUILLEM CUADRADO BERNAL,12.39,GUILLEM CUADRADO BERNAL,20.27,SANTIAGO AMAN,0.0,MARC DARNES CAMPS,-0.0,IGNASIO AMAN,106.47,GUILLEM DIAZ CABANAS,89.72,IGNASIO AMAN,17.29,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,SANTIAGO AMAN,0.0,GUILLEM CUADRADO BERNAL,0.38,IGNASIO AMAN,3.08,GUILLEM CUADRADO BERNAL,8.68,DAVID JIMENEZ SOMS,0.45,IGNASI QUINTANA COMAS,14.0
PEP MESAS DIAZ,26.84,PEP MESAS DIAZ,8.52,SANTIAGO AMAN,2.36,IGNASIO AMAN,5.4,KINGSLEY CHUKWUGOZIE,0.53,GUILLEM CUADRADO BERNAL,0.56,SANTIAGO AMAN,2.36,VICENT BROTONS GISBERT,0.29,GUILLEM DIAZ CABANAS,1.85,GUILLEM DIAZ CABANAS,2.54,PEP MESAS DIAZ,0.68,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,PEP MESAS DIAZ,2.56,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,PEP MESAS DIAZ,0.49,DAVID JIMENEZ SOMS,0.5,IGNASIO AMAN,2.98,GUILLEM DIAZ CABANAS,0.7,PEP MESAS DIAZ,3.91,SANTIAGO AMAN,5.09,DAVID JIMENEZ SOMS,45.45,PEP MESAS DIAZ,0.99,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,PEP MESAS DIAZ,10.13,IGNASIO AMAN,19.51,IGNASIO AMAN,0.0,RUBEN GALA PEREZ,-0.0,DAVID JIMENEZ SOMS,100.0,KINGSLEY CHUKWUGOZIE,89.71,VICENT BROTONS GISBERT,7.65,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,IGNASIO AMAN,0.0,MARC JUANOLA AULET,0.34,GUILLEM CUADRADO BERNAL,2.92,SANTIAGO AMAN,7.76,IGNASI QUINTANA COMAS,0.44,MARC JUANOLA AULET,12.0
MARC JUANOLA AULET,24.31,IGNASIO AMAN,7.24,GUILLEM CUADRADO BERNAL,2.36,GUILLEM CUADRADO BERNAL,5.4,GUILLEM DIAZ CABANAS,0.51,SANTIAGO AMAN,0.44,VICENT BROTONS GISBERT,2.11,DAVID JIMENEZ SOMS,0.2,SANTIAGO AMAN,1.12,SANTIAGO AMAN,1.92,KINGSLEY CHUKWUGOZIE,0.61,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,IGNASIO AMAN,2.16,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,VICENT BROTONS GISBERT,0.48,VICENT BROTONS GISBERT,0.48,GUILLEM CUADRADO BERNAL,2.3,SANTIAGO AMAN,0.58,IGNASIO AMAN,3.57,PEP MESAS DIAZ,3.5,IGNASI QUINTANA COMAS,45.35,VICENT BROTONS GISBERT,0.96,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,SANTIAGO AMAN,9.74,SANTIAGO AMAN,17.88,MARC DARNES CAMPS,0.0,EDUARD CASELLAS FERNANDEZ,0.0,VICENT BROTONS GISBERT,95.92,GUILLEM CUADRADO BERNAL,89.58,DAVID JIMENEZ SOMS,6.96,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,MARC DARNES CAMPS,0.0,GUILLEM DIAZ CABANAS,0.34,SANTIAGO AMAN,2.8,IGNASIO AMAN,6.2,PEP MESAS DIAZ,0.42,DAVID JIMENEZ SOMS,11.0
IGNASIO AMAN,19.8,SANTIAGO AMAN,7.16,IGNASI QUINTANA COMAS,1.55,PEP MESAS DIAZ,3.16,MARC JUANOLA AULET,0.5,KINGSLEY CHUKWUGOZIE,0.27,IGNASI QUINTANA COMAS,1.0,SANTIAGO AMAN,0.19,IGNASIO AMAN,0.84,IGNASIO AMAN,1.56,SANTIAGO AMAN,0.58,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,MARC JUANOLA AULET,2.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,IGNASI QUINTANA COMAS,0.45,IGNASI QUINTANA COMAS,0.47,SANTIAGO AMAN,1.47,IGNASIO AMAN,0.54,SANTIAGO AMAN,3.43,IGNASIO AMAN,3.25,GUILLEM DIAZ CABANAS,44.73,IGNASI QUINTANA COMAS,0.91,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,IGNASIO AMAN,7.81,VICENT BROTONS GISBERT,17.58,KINGSLEY CHUKWUGOZIE,0.0,DAVID JIMENEZ SOMS,-0.34,GUILLEM DIAZ CABANAS,95.49,SANTIAGO AMAN,89.25,IGNASI QUINTANA COMAS,6.34,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,KINGSLEY CHUKWUGOZIE,0.0,SANTIAGO AMAN,0.3,PEP MESAS DIAZ,2.36,PEP MESAS DIAZ,5.68,GUILLEM DIAZ CABANAS,0.4,IGNASIO AMAN,9.0
IGNASI QUINTANA COMAS,14.9,IGNASI QUINTANA COMAS,3.6,PEP MESAS DIAZ,1.48,IGNASI QUINTANA COMAS,2.75,PEP MESAS DIAZ,0.47,IGNASIO AMAN,0.24,KINGSLEY CHUKWUGOZIE,0.88,GUILLEM DIAZ CABANAS,0.19,IGNASI QUINTANA COMAS,0.2,IGNASI QUINTANA COMAS,0.25,IGNASIO AMAN,0.54,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,1.35,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,GUILLEM DIAZ CABANAS,0.43,GUILLEM DIAZ CABANAS,0.47,IGNASI QUINTANA COMAS,1.07,IGNASI QUINTANA COMAS,0.27,IGNASI QUINTANA COMAS,1.75,IGNASI QUINTANA COMAS,2.1,GUILLEM CUADRADO BERNAL,41.81,GUILLEM DIAZ CABANAS,0.86,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,4.0,PEP MESAS DIAZ,16.01,IGNASI QUINTANA COMAS,0.0,KINGSLEY CHUKWUGOZIE,-0.56,IGNASI QUINTANA COMAS,94.74,IGNASIO AMAN,89.18,GUILLEM DIAZ CABANAS,5.76,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.0,IGNASI QUINTANA COMAS,0.27,IGNASI QUINTANA COMAS,1.65,IGNASI QUINTANA COMAS,3.75,VICENT BROTONS GISBERT,0.37,PEP MESAS DIAZ,8.0
VICENT BROTONS GISBERT,8.67,VICENT BROTONS GISBERT,2.61,VICENT BROTONS GISBERT,0.39,VICENT BROTONS GISBERT,0.61,SANTIAGO AMAN,0.44,IGNASI QUINTANA COMAS,0.1,IGNASIO AMAN,0.8,GUILLEM CUADRADO BERNAL,0.17,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,GONZALO PANO SORIANO,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,VICENT BROTONS GISBERT,1.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,SANTIAGO AMAN,0.39,GUILLEM CUADRADO BERNAL,0.43,VICENT BROTONS GISBERT,0.71,GONZALO PANO SORIANO,0.0,VICENT BROTONS GISBERT,1.0,VICENT BROTONS GISBERT,1.72,SANTIAGO AMAN,40.28,SANTIAGO AMAN,0.78,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,VICENT BROTONS GISBERT,2.72,IGNASI QUINTANA COMAS,14.64,MARC JUANOLA AULET,0.0,PEP MESAS DIAZ,-0.6,GUILLEM CUADRADO BERNAL,88.49,IGNASI QUINTANA COMAS,88.4,GONZALO PANO SORIANO,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,MARC JUANOLA AULET,0.0,IGNASIO AMAN,0.13,VICENT BROTONS GISBERT,1.0,VICENT BROTONS GISBERT,2.72,SANTIAGO AMAN,0.36,GUILLEM DIAZ CABANAS,7.0
DAVID JIMENEZ SOMS,3.75,DAVID JIMENEZ SOMS,0.69,DAVID JIMENEZ SOMS,0.25,DAVID JIMENEZ SOMS,0.38,GUILLEM CUADRADO BERNAL,0.44,DAVID JIMENEZ SOMS,0.06,DAVID JIMENEZ SOMS,0.31,IGNASI QUINTANA COMAS,0.1,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,NICOLS HUMBERT MARTN,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.69,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,GUILLEM CUADRADO BERNAL,0.37,SANTIAGO AMAN,0.42,DAVID JIMENEZ SOMS,0.06,NICOLS HUMBERT MARTN,0.0,DAVID JIMENEZ SOMS,0.31,DAVID JIMENEZ SOMS,0.38,VICENT BROTONS GISBERT,36.73,GUILLEM CUADRADO BERNAL,0.74,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.69,DAVID JIMENEZ SOMS,10.45,DAVID JIMENEZ SOMS,0.0,VICENT BROTONS GISBERT,-0.61,SANTIAGO AMAN,84.43,VICENT BROTONS GISBERT,88.27,NICOLS HUMBERT MARTN,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,DAVID JIMENEZ SOMS,0.0,KINGSLEY CHUKWUGOZIE,0.09,DAVID JIMENEZ SOMS,0.31,DAVID JIMENEZ SOMS,0.69,GUILLEM CUADRADO BERNAL,0.34,GUILLEM CUADRADO BERNAL,3.0
