Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
SERGI PIERO GARCIA,30.65,IZAN VILLAR CANTERO,15.18,TON PRAT FERRAZ,3.38,TON PRAT FERRAZ,7.44,LLUS MARTN LLAVERA,0.48,NARCIS ARAGALL VARGAS,1.89,IZAN VILLAR CANTERO,6.35,NARCIS ARAGALL VARGAS,0.31,IZAN VILLAR CANTERO,3.94,IZAN VILLAR CANTERO,5.65,DIDAC RODRIGUEZ ROLDAN,0.84,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,JAUME RIBAS FERNANDEZ,2.82,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,TON PRAT FERRAZ,0.44,IZAN VILLAR CANTERO,0.49,IZAN VILLAR CANTERO,6.91,NARCIS ARAGALL VARGAS,2.49,IZAN VILLAR CANTERO,6.88,IZAN VILLAR CANTERO,8.44,TON PRAT FERRAZ,45.2,TON PRAT FERRAZ,0.88,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,IZAN VILLAR CANTERO,18.44,IZAN VILLAR CANTERO,36.18,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,-0.0,IZAN VILLAR CANTERO,99.61,NARCIS ARAGALL VARGAS,93.76,IZAN VILLAR CANTERO,7.42,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,MARC QUILES GMEZ,0.0,SERGI PIERO GARCIA,0.68,IZAN VILLAR CANTERO,4.82,IZAN VILLAR CANTERO,13.06,TON PRAT FERRAZ,0.43,JORDI BERTRAN DIAZ,33.0
LLUS MARTN LLAVERA,24.69,NARCIS ARAGALL VARGAS,12.78,IZAN VILLAR CANTERO,3.24,IZAN VILLAR CANTERO,6.71,IZAN VILLAR CANTERO,0.48,LLUS MARTN LLAVERA,1.69,LLUS MARTN LLAVERA,6.15,DIDAC RODRIGUEZ ROLDAN,0.3,NARCIS ARAGALL VARGAS,2.67,NARCIS ARAGALL VARGAS,4.0,IZAN VILLAR CANTERO,0.7,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,TON PRAT FERRAZ,2.81,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,NARCIS ARAGALL VARGAS,0.43,NARCIS ARAGALL VARGAS,0.47,NARCIS ARAGALL VARGAS,4.77,JAUME RIBAS FERNANDEZ,1.96,NARCIS ARAGALL VARGAS,5.53,NARCIS ARAGALL VARGAS,7.96,IZAN VILLAR CANTERO,44.89,LLUS MARTN LLAVERA,0.87,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,NARCIS ARAGALL VARGAS,15.97,NARCIS ARAGALL VARGAS,32.97,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,-0.0,NARCIS ARAGALL VARGAS,95.83,SOULEYMANE SOW,93.14,SERGI PIERO GARCIA,2.97,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,VCTOR HOYOS SITJES,0.0,LLUS MARTN LLAVERA,0.66,NARCIS ARAGALL VARGAS,4.11,NARCIS ARAGALL VARGAS,11.89,SOULEYMANE SOW,0.37,SOULEYMANE SOW,24.0
IGNACIO SAINZ MORALES,24.25,LLUS MARTN LLAVERA,9.0,NARCIS ARAGALL VARGAS,2.22,NARCIS ARAGALL VARGAS,5.78,IGNACIO SAINZ MORALES,0.47,IZAN VILLAR CANTERO,1.59,NARCIS ARAGALL VARGAS,6.11,SERGI PIERO GARCIA,0.29,SERGI PIERO GARCIA,2.18,SERGI PIERO GARCIA,3.65,NARCIS ARAGALL VARGAS,0.67,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,DIDAC RODRIGUEZ ROLDAN,2.62,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,LLUS MARTN LLAVERA,0.43,SERGI PIERO GARCIA,0.46,LLUS MARTN LLAVERA,2.62,SERGI PIERO GARCIA,1.91,TON PRAT FERRAZ,4.2,LLUS MARTN LLAVERA,6.24,SOULEYMANE SOW,42.53,IZAN VILLAR CANTERO,0.86,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,LLUS MARTN LLAVERA,10.72,TON PRAT FERRAZ,22.23,NARCIS ARAGALL VARGAS,0.0,ERIC ALONSO MOLERO,-0.0,SERGI PIERO GARCIA,94.93,DIDAC RODRIGUEZ ROLDAN,92.84,NARCIS ARAGALL VARGAS,2.08,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,NARCIS ARAGALL VARGAS,0.0,SEAN GALINDO HERASME,0.59,TON PRAT FERRAZ,3.56,LLUS MARTN LLAVERA,9.38,IZAN VILLAR CANTERO,0.37,SEAN GALINDO HERASME,20.0
IZAN VILLAR CANTERO,23.29,TON PRAT FERRAZ,8.31,LLUS MARTN LLAVERA,1.54,SOULEYMANE SOW,4.07,TON PRAT FERRAZ,0.45,SERGI PIERO GARCIA,1.29,SERGI PIERO GARCIA,4.53,LLUS MARTN LLAVERA,0.28,DIDAC RODRIGUEZ ROLDAN,1.69,TON PRAT FERRAZ,2.44,IGNACIO SAINZ MORALES,0.61,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,SERGI PIERO GARCIA,2.29,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,IZAN VILLAR CANTERO,0.43,LLUS MARTN LLAVERA,0.45,SERGI PIERO GARCIA,2.35,DIDAC RODRIGUEZ ROLDAN,1.79,LLUS MARTN LLAVERA,3.7,TON PRAT FERRAZ,5.09,JAUME RIBAS FERNANDEZ,41.8,NARCIS ARAGALL VARGAS,0.85,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,TON PRAT FERRAZ,10.66,LLUS MARTN LLAVERA,21.78,ERIC ALONSO MOLERO,0.0,EYENGA-YOL BOMPONGO ABELLA,-0.0,LLUS MARTN LLAVERA,90.7,IZAN VILLAR CANTERO,92.19,LLUS MARTN LLAVERA,1.3,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,ERIC ALONSO MOLERO,0.0,IGNACIO SAINZ MORALES,0.54,LLUS MARTN LLAVERA,3.23,TON PRAT FERRAZ,8.31,NARCIS ARAGALL VARGAS,0.35,IGNACIO SAINZ MORALES,17.0
TON PRAT FERRAZ,23.12,SERGI PIERO GARCIA,7.71,SOULEYMANE SOW,1.5,DIDAC RODRIGUEZ ROLDAN,4.0,JORDI BERTRAN DIAZ,0.43,IGNACIO SAINZ MORALES,0.75,IGNACIO SAINZ MORALES,3.31,SEAN GALINDO HERASME,0.25,IGNACIO SAINZ MORALES,1.25,JAUME RIBAS FERNANDEZ,2.41,LLUS MARTN LLAVERA,0.61,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,IGNACIO SAINZ MORALES,2.25,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,SERGI PIERO GARCIA,0.41,IGNACIO SAINZ MORALES,0.44,TON PRAT FERRAZ,2.22,IZAN VILLAR CANTERO,1.78,SERGI PIERO GARCIA,3.34,SERGI PIERO GARCIA,4.83,NARCIS ARAGALL VARGAS,41.02,SERGI PIERO GARCIA,0.82,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,SERGI PIERO GARCIA,10.18,DIDAC RODRIGUEZ ROLDAN,21.55,EYENGA-YOL BOMPONGO ABELLA,0.0,IZAN VILLAR CANTERO,-1.18,DIDAC RODRIGUEZ ROLDAN,90.57,SERGI PIERO GARCIA,91.96,MARC QUILES GMEZ,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,EYENGA-YOL BOMPONGO ABELLA,0.0,NARCIS ARAGALL VARGAS,0.51,SERGI PIERO GARCIA,2.12,SERGI PIERO GARCIA,6.71,IGNACIO SAINZ MORALES,0.34,LLUS MARTN LLAVERA,14.0
NARCIS ARAGALL VARGAS,22.78,IGNACIO SAINZ MORALES,6.12,IGNACIO SAINZ MORALES,1.31,JAUME RIBAS FERNANDEZ,3.29,NARCIS ARAGALL VARGAS,0.38,DIDAC RODRIGUEZ ROLDAN,0.56,DIDAC RODRIGUEZ ROLDAN,1.88,IZAN VILLAR CANTERO,0.25,JAUME RIBAS FERNANDEZ,1.12,IGNACIO SAINZ MORALES,2.06,SERGI PIERO GARCIA,0.6,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,LLUS MARTN LLAVERA,2.23,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,IGNACIO SAINZ MORALES,0.4,TON PRAT FERRAZ,0.44,DIDAC RODRIGUEZ ROLDAN,1.46,SOULEYMANE SOW,1.5,IGNACIO SAINZ MORALES,2.76,IGNACIO SAINZ MORALES,4.19,SERGI PIERO GARCIA,40.9,IGNACIO SAINZ MORALES,0.8,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,IGNACIO SAINZ MORALES,8.11,SOULEYMANE SOW,19.89,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,-1.44,TON PRAT FERRAZ,89.86,IGNACIO SAINZ MORALES,91.93,VCTOR HOYOS SITJES,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,JORDI BERTRAN DIAZ,0.0,IZAN VILLAR CANTERO,0.49,IGNACIO SAINZ MORALES,2.06,IGNACIO SAINZ MORALES,6.12,LLUS MARTN LLAVERA,0.34,SERGI PIERO GARCIA,10.0
JAUME RIBAS FERNANDEZ,22.06,DIDAC RODRIGUEZ ROLDAN,6.0,DIDAC RODRIGUEZ ROLDAN,1.31,LLUS MARTN LLAVERA,3.23,SERGI PIERO GARCIA,0.38,SEAN GALINDO HERASME,0.33,SEAN GALINDO HERASME,1.33,IGNACIO SAINZ MORALES,0.23,TON PRAT FERRAZ,1.0,DIDAC RODRIGUEZ ROLDAN,2.0,SOULEYMANE SOW,0.55,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,2.07,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.37,DIDAC RODRIGUEZ ROLDAN,0.44,IGNACIO SAINZ MORALES,1.44,IGNACIO SAINZ MORALES,1.28,DIDAC RODRIGUEZ ROLDAN,2.66,DIDAC RODRIGUEZ ROLDAN,4.02,DIDAC RODRIGUEZ ROLDAN,39.78,SOULEYMANE SOW,0.74,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,DIDAC RODRIGUEZ ROLDAN,7.76,IGNACIO SAINZ MORALES,15.89,SOULEYMANE SOW,0.0,SEAN GALINDO HERASME,-1.6,IGNACIO SAINZ MORALES,88.29,TON PRAT FERRAZ,91.73,ERIC ALONSO MOLERO,-0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,SOULEYMANE SOW,0.0,JORDI BERTRAN DIAZ,0.39,DIDAC RODRIGUEZ ROLDAN,1.88,DIDAC RODRIGUEZ ROLDAN,5.88,JAUME RIBAS FERNANDEZ,0.33,TON PRAT FERRAZ,8.0
DIDAC RODRIGUEZ ROLDAN,17.06,SOULEYMANE SOW,3.86,JAUME RIBAS FERNANDEZ,1.12,IGNACIO SAINZ MORALES,2.81,SOULEYMANE SOW,0.37,TON PRAT FERRAZ,0.19,TON PRAT FERRAZ,0.88,TON PRAT FERRAZ,0.21,SOULEYMANE SOW,0.86,SOULEYMANE SOW,1.57,JORDI BERTRAN DIAZ,0.5,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,NARCIS ARAGALL VARGAS,2.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,DIDAC RODRIGUEZ ROLDAN,0.37,SOULEYMANE SOW,0.4,SOULEYMANE SOW,0.49,JORDI BERTRAN DIAZ,0.81,SOULEYMANE SOW,2.0,SOULEYMANE SOW,2.7,IGNACIO SAINZ MORALES,39.7,DIDAC RODRIGUEZ ROLDAN,0.73,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,JAUME RIBAS FERNANDEZ,5.65,SERGI PIERO GARCIA,14.7,SEAN GALINDO HERASME,0.0,SERGI PIERO GARCIA,-1.97,SOULEYMANE SOW,84.38,JAUME RIBAS FERNANDEZ,91.6,EYENGA-YOL BOMPONGO ABELLA,-0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,SEAN GALINDO HERASME,0.0,DIDAC RODRIGUEZ ROLDAN,0.32,SOULEYMANE SOW,1.5,SOULEYMANE SOW,4.07,SERGI PIERO GARCIA,0.32,IZAN VILLAR CANTERO,7.0
SOULEYMANE SOW,13.0,JAUME RIBAS FERNANDEZ,3.35,SERGI PIERO GARCIA,0.82,SERGI PIERO GARCIA,2.18,JAUME RIBAS FERNANDEZ,0.34,JORDI BERTRAN DIAZ,0.06,JORDI BERTRAN DIAZ,0.56,JORDI BERTRAN DIAZ,0.11,LLUS MARTN LLAVERA,0.85,LLUS MARTN LLAVERA,1.38,JAUME RIBAS FERNANDEZ,0.46,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,JORDI BERTRAN DIAZ,1.88,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,SEAN GALINDO HERASME,0.34,JAUME RIBAS FERNANDEZ,0.38,MARC QUILES GMEZ,0.0,TON PRAT FERRAZ,0.75,JAUME RIBAS FERNANDEZ,1.8,JAUME RIBAS FERNANDEZ,2.51,LLUS MARTN LLAVERA,37.24,SEAN GALINDO HERASME,0.68,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,SOULEYMANE SOW,5.54,SEAN GALINDO HERASME,13.31,IGNACIO SAINZ MORALES,0.0,SOULEYMANE SOW,-2.04,JAUME RIBAS FERNANDEZ,79.17,SEAN GALINDO HERASME,90.9,TON PRAT FERRAZ,-1.87,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,IGNACIO SAINZ MORALES,0.0,TON PRAT FERRAZ,0.11,JAUME RIBAS FERNANDEZ,1.12,JAUME RIBAS FERNANDEZ,3.35,DIDAC RODRIGUEZ ROLDAN,0.32,DIDAC RODRIGUEZ ROLDAN,6.0
JORDI BERTRAN DIAZ,10.56,SEAN GALINDO HERASME,1.6,JORDI BERTRAN DIAZ,0.38,SEAN GALINDO HERASME,0.93,DIDAC RODRIGUEZ ROLDAN,0.33,MARC QUILES GMEZ,0.0,JAUME RIBAS FERNANDEZ,0.06,MARC QUILES GMEZ,0.0,JORDI BERTRAN DIAZ,0.19,SEAN GALINDO HERASME,0.4,TON PRAT FERRAZ,0.41,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,SEAN GALINDO HERASME,1.47,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,JORDI BERTRAN DIAZ,0.33,JORDI BERTRAN DIAZ,0.35,VCTOR HOYOS SITJES,0.0,LLUS MARTN LLAVERA,0.69,SEAN GALINDO HERASME,0.65,SEAN GALINDO HERASME,1.78,JORDI BERTRAN DIAZ,34.65,JAUME RIBAS FERNANDEZ,0.67,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,SEAN GALINDO HERASME,2.64,JAUME RIBAS FERNANDEZ,10.85,LLUS MARTN LLAVERA,0.0,NARCIS ARAGALL VARGAS,-2.11,JORDI BERTRAN DIAZ,75.0,JORDI BERTRAN DIAZ,90.49,DIDAC RODRIGUEZ ROLDAN,-2.28,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,LLUS MARTN LLAVERA,0.0,JAUME RIBAS FERNANDEZ,0.02,SEAN GALINDO HERASME,0.6,SEAN GALINDO HERASME,2.27,JORDI BERTRAN DIAZ,0.3,JAUME RIBAS FERNANDEZ,4.0
