Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
XAVIER ELVIRA GOMEZ,32.92,XAVIER ELVIRA GOMEZ,14.38,XAVIER ELVIRA GOMEZ,3.88,DAVID CASTELLNOU TEIXIDO,7.87,MUSA TRAWALLY SANNEH,0.7,JANIS TOMASCHEK,1.83,JANIS TOMASCHEK,6.67,DAVID CASTELLNOU TEIXIDO,0.32,EDGAR SOLSONA LERI,3.57,XAVIER ELVIRA GOMEZ,5.42,MARIO MARIA VENTURA,0.86,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ARNAU GARRABE TOSQUELLA,3.35,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,MUSA TRAWALLY SANNEH,0.65,MUSA TRAWALLY SANNEH,0.65,XAVIER ELVIRA GOMEZ,5.27,EDGAR SOLSONA LERI,2.97,XAVIER ELVIRA GOMEZ,6.82,XAVIER ELVIRA GOMEZ,8.26,MUSA TRAWALLY SANNEH,68.01,MUSA TRAWALLY SANNEH,1.3,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,XAVIER ELVIRA GOMEZ,17.69,ARNAU GARRABE TOSQUELLA,27.21,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,-0.0,MUSA TRAWALLY SANNEH,135.42,XAVIER ELVIRA GOMEZ,87.07,MUSA TRAWALLY SANNEH,48.91,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,ROGER RIU GARCIA,0.0,JANIS TOMASCHEK,0.7,XAVIER ELVIRA GOMEZ,5.04,XAVIER ELVIRA GOMEZ,12.92,MUSA TRAWALLY SANNEH,0.65,XAVIER ELVIRA GOMEZ,24.0
DAVID CASTELLNOU TEIXIDO,30.07,ARNAU GARRABE TOSQUELLA,11.96,DAVID CASTELLNOU TEIXIDO,3.87,XAVIER ELVIRA GOMEZ,7.25,XAVIER ARREDONDO FERREIRO,0.59,ARNAU GARRABE TOSQUELLA,1.43,XAVIER ELVIRA GOMEZ,5.67,ARNAU GARRABE TOSQUELLA,0.29,XAVIER ELVIRA GOMEZ,3.12,EDGAR SOLSONA LERI,4.96,EDGAR SOLSONA LERI,0.72,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,DAVID CASTELLNOU TEIXIDO,3.07,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,XAVIER ARREDONDO FERREIRO,0.59,XAVIER ARREDONDO FERREIRO,0.6,EDGAR SOLSONA LERI,4.29,XAVIER ARREDONDO FERREIRO,1.96,ARNAU GARRABE TOSQUELLA,5.44,ARNAU GARRABE TOSQUELLA,8.01,XAVIER ARREDONDO FERREIRO,62.57,XAVIER ARREDONDO FERREIRO,1.18,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,15.56,XAVIER ELVIRA GOMEZ,24.27,ARNAU GARRABE TOSQUELLA,0.0,EDUARDO GIL FUENTES,-0.0,XAVIER ARREDONDO FERREIRO,131.58,JANIS TOMASCHEK,86.94,XAVIER ARREDONDO FERREIRO,45.51,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,ARNAU GARRABE TOSQUELLA,0.0,EUDALD CODINA COMES,0.61,DAVID CASTELLNOU TEIXIDO,4.27,ARNAU GARRABE TOSQUELLA,11.65,XAVIER ARREDONDO FERREIRO,0.59,ARNAU GARRABE TOSQUELLA,22.0
ARNAU GARRABE TOSQUELLA,26.3,DAVID CASTELLNOU TEIXIDO,10.2,ALEJANDRO CODOER ORDOEZ,2.79,ARNAU GARRABE TOSQUELLA,6.7,XAVIER ELVIRA GOMEZ,0.53,XAVIER ELVIRA GOMEZ,1.17,ARNAU GARRABE TOSQUELLA,4.96,JANIS TOMASCHEK,0.28,ARNAU GARRABE TOSQUELLA,2.61,ARNAU GARRABE TOSQUELLA,4.48,EUDALD CODINA COMES,0.61,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,XAVIER ELVIRA GOMEZ,2.92,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,DAVID CASTELLNOU TEIXIDO,0.49,EDGAR SOLSONA LERI,0.58,DAVID CASTELLNOU TEIXIDO,3.51,MUSA TRAWALLY SANNEH,1.41,DAVID CASTELLNOU TEIXIDO,5.08,JANIS TOMASCHEK,6.59,EDGAR SOLSONA LERI,58.58,DAVID CASTELLNOU TEIXIDO,0.98,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,DAVID CASTELLNOU TEIXIDO,12.13,JANIS TOMASCHEK,22.65,ALEJANDRO CODOER ORDOEZ,0.0,GABRIEL SASTRE IZQUIERDO,0.0,EDGAR SOLSONA LERI,119.39,EUDALD CODINA COMES,86.93,EDGAR SOLSONA LERI,32.47,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,ALEJANDRO CODOER ORDOEZ,0.0,XAVIER ELVIRA GOMEZ,0.44,ARNAU GARRABE TOSQUELLA,3.96,JANIS TOMASCHEK,9.5,DAVID CASTELLNOU TEIXIDO,0.47,EUDALD CODINA COMES,13.0
JANIS TOMASCHEK,23.46,JANIS TOMASCHEK,8.75,ARNAU GARRABE TOSQUELLA,2.52,ALEJANDRO CODOER ORDOEZ,5.54,EDGAR SOLSONA LERI,0.52,EUDALD CODINA COMES,0.71,EUDALD CODINA COMES,3.33,ALEJANDRO CODOER ORDOEZ,0.24,DAVID CASTELLNOU TEIXIDO,1.27,DAVID CASTELLNOU TEIXIDO,3.2,XAVIER ELVIRA GOMEZ,0.58,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,2.7,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,EDGAR SOLSONA LERI,0.48,ALEJANDRO CODOER ORDOEZ,0.48,ARNAU GARRABE TOSQUELLA,3.3,XAVIER ELVIRA GOMEZ,1.01,EDGAR SOLSONA LERI,4.22,DAVID CASTELLNOU TEIXIDO,5.33,DAVID CASTELLNOU TEIXIDO,48.78,EDGAR SOLSONA LERI,0.96,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,JANIS TOMASCHEK,10.86,EUDALD CODINA COMES,20.66,MUSA TRAWALLY SANNEH,0.0,POL CASAE PARRON,-0.0,ALEJANDRO CODOER ORDOEZ,98.4,ALEJANDRO CODOER ORDOEZ,86.93,DAVID CASTELLNOU TEIXIDO,11.95,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.0,ARNAU GARRABE TOSQUELLA,0.43,ALEJANDRO CODOER ORDOEZ,3.17,DAVID CASTELLNOU TEIXIDO,9.13,EDGAR SOLSONA LERI,0.46,MARIO MARIA VENTURA,11.0
EDGAR SOLSONA LERI,23.26,EDGAR SOLSONA LERI,8.57,EDGAR SOLSONA LERI,2.17,EDGAR SOLSONA LERI,4.17,ALEJANDRO CODOER ORDOEZ,0.5,DAVID CASTELLNOU TEIXIDO,0.4,MARIO MARIA VENTURA,1.57,EUDALD CODINA COMES,0.21,ALEJANDRO CODOER ORDOEZ,1.0,ALEJANDRO CODOER ORDOEZ,2.0,ARNAU GARRABE TOSQUELLA,0.58,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,EDGAR SOLSONA LERI,2.57,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,ALEJANDRO CODOER ORDOEZ,0.47,DAVID CASTELLNOU TEIXIDO,0.48,ALEJANDRO CODOER ORDOEZ,2.67,ARNAU GARRABE TOSQUELLA,0.97,ALEJANDRO CODOER ORDOEZ,3.77,ALEJANDRO CODOER ORDOEZ,4.12,ALEJANDRO CODOER ORDOEZ,47.78,ALEJANDRO CODOER ORDOEZ,0.95,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,EDGAR SOLSONA LERI,9.58,ALEJANDRO CODOER ORDOEZ,18.86,XAVIER ARREDONDO FERREIRO,0.0,ALBERT VALLVERDU CORTADA,-0.0,DAVID CASTELLNOU TEIXIDO,98.08,EDGAR SOLSONA LERI,86.93,ALEJANDRO CODOER ORDOEZ,11.47,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,MARIO MARIA VENTURA,0.39,JANIS TOMASCHEK,3.04,ALEJANDRO CODOER ORDOEZ,7.08,ALEJANDRO CODOER ORDOEZ,0.45,EDGAR SOLSONA LERI,9.0
ALEJANDRO CODOER ORDOEZ,22.04,ALEJANDRO CODOER ORDOEZ,7.71,JANIS TOMASCHEK,1.21,JANIS TOMASCHEK,2.83,DAVID CASTELLNOU TEIXIDO,0.49,ALEJANDRO CODOER ORDOEZ,0.38,ALEJANDRO CODOER ORDOEZ,1.54,XAVIER ELVIRA GOMEZ,0.21,EUDALD CODINA COMES,0.92,JANIS TOMASCHEK,1.54,MUSA TRAWALLY SANNEH,0.57,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,JANIS TOMASCHEK,2.5,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,XAVIER ELVIRA GOMEZ,0.44,XAVIER ELVIRA GOMEZ,0.47,JANIS TOMASCHEK,2.03,DAVID CASTELLNOU TEIXIDO,0.92,JANIS TOMASCHEK,3.53,EUDALD CODINA COMES,3.88,XAVIER ELVIRA GOMEZ,45.22,XAVIER ELVIRA GOMEZ,0.87,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,ALEJANDRO CODOER ORDOEZ,8.84,DAVID CASTELLNOU TEIXIDO,18.46,DAVID CASTELLNOU TEIXIDO,0.0,MARIO PLANELLA PIULATS,-0.0,XAVIER ELVIRA GOMEZ,95.57,ARNAU GARRABE TOSQUELLA,86.77,XAVIER ELVIRA GOMEZ,8.5,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,DAVID CASTELLNOU TEIXIDO,0.0,ALEJANDRO CODOER ORDOEZ,0.22,EDGAR SOLSONA LERI,2.39,EUDALD CODINA COMES,5.46,XAVIER ELVIRA GOMEZ,0.39,DAVID CASTELLNOU TEIXIDO,8.0
EUDALD CODINA COMES,15.46,EUDALD CODINA COMES,4.96,MUSA TRAWALLY SANNEH,1.13,MARIO MARIA VENTURA,2.48,EUDALD CODINA COMES,0.45,EDGAR SOLSONA LERI,0.22,DAVID CASTELLNOU TEIXIDO,1.27,EDGAR SOLSONA LERI,0.21,JANIS TOMASCHEK,0.83,EUDALD CODINA COMES,1.5,XAVIER ARREDONDO FERREIRO,0.56,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,ALEJANDRO CODOER ORDOEZ,2.38,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,JANIS TOMASCHEK,0.42,ARNAU GARRABE TOSQUELLA,0.44,EUDALD CODINA COMES,0.9,EUDALD CODINA COMES,0.7,EUDALD CODINA COMES,2.18,MARIO MARIA VENTURA,3.15,ARNAU GARRABE TOSQUELLA,40.43,JANIS TOMASCHEK,0.83,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EUDALD CODINA COMES,6.78,MARIO MARIA VENTURA,17.7,EDGAR SOLSONA LERI,0.0,GABRIEL MAWUT MARIIK,-0.0,ARNAU GARRABE TOSQUELLA,89.0,MARIO MARIA VENTURA,86.62,ARNAU GARRABE TOSQUELLA,2.23,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.0,EDGAR SOLSONA LERI,0.2,EUDALD CODINA COMES,1.67,EDGAR SOLSONA LERI,5.22,ARNAU GARRABE TOSQUELLA,0.34,XAVIER ARREDONDO FERREIRO,6.0
MARIO MARIA VENTURA,12.76,MUSA TRAWALLY SANNEH,2.83,EUDALD CODINA COMES,0.96,EUDALD CODINA COMES,2.12,JANIS TOMASCHEK,0.43,MARIO MARIA VENTURA,0.14,EDGAR SOLSONA LERI,1.04,MARIO MARIA VENTURA,0.09,MUSA TRAWALLY SANNEH,0.57,MUSA TRAWALLY SANNEH,1.0,JANIS TOMASCHEK,0.54,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,1.67,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,ARNAU GARRABE TOSQUELLA,0.4,JANIS TOMASCHEK,0.43,MUSA TRAWALLY SANNEH,0.81,MARIO MARIA VENTURA,0.67,MUSA TRAWALLY SANNEH,1.45,EDGAR SOLSONA LERI,2.98,EUDALD CODINA COMES,35.92,ARNAU GARRABE TOSQUELLA,0.8,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,MARIO MARIA VENTURA,4.64,EDGAR SOLSONA LERI,16.64,EUDALD CODINA COMES,0.0,EDGAR SOLSONA LERI,-0.41,JANIS TOMASCHEK,86.78,MUSA TRAWALLY SANNEH,86.51,ROGER RIU GARCIA,-0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,EUDALD CODINA COMES,0.0,DAVID CASTELLNOU TEIXIDO,0.14,MUSA TRAWALLY SANNEH,1.13,MARIO MARIA VENTURA,4.05,JANIS TOMASCHEK,0.32,MUSA TRAWALLY SANNEH,5.0
MUSA TRAWALLY SANNEH,12.43,MARIO MARIA VENTURA,2.52,MARIO MARIA VENTURA,0.76,MUSA TRAWALLY SANNEH,1.61,ARNAU GARRABE TOSQUELLA,0.38,MUSA TRAWALLY SANNEH,0.0,MUSA TRAWALLY SANNEH,0.13,MUSA TRAWALLY SANNEH,0.0,MARIO MARIA VENTURA,0.57,MARIO MARIA VENTURA,0.67,ALEJANDRO CODOER ORDOEZ,0.5,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,XAVIER ARREDONDO FERREIRO,1.53,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,EUDALD CODINA COMES,0.37,EUDALD CODINA COMES,0.41,XAVIER ARREDONDO FERREIRO,0.42,ALEJANDRO CODOER ORDOEZ,0.59,MARIO MARIA VENTURA,1.17,MUSA TRAWALLY SANNEH,0.68,JANIS TOMASCHEK,34.87,EUDALD CODINA COMES,0.74,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,MUSA TRAWALLY SANNEH,2.63,MUSA TRAWALLY SANNEH,9.1,ALBERT VALLVERDU CORTADA,0.0,XAVIER ARREDONDO FERREIRO,-0.53,EUDALD CODINA COMES,82.07,DAVID CASTELLNOU TEIXIDO,86.13,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,ALBERT VALLVERDU CORTADA,0.0,MUSA TRAWALLY SANNEH,0.07,MARIO MARIA VENTURA,0.9,MUSA TRAWALLY SANNEH,1.74,EUDALD CODINA COMES,0.31,ALEJANDRO CODOER ORDOEZ,3.0
XAVIER ARREDONDO FERREIRO,10.4,XAVIER ARREDONDO FERREIRO,1.67,XAVIER ARREDONDO FERREIRO,0.67,XAVIER ARREDONDO FERREIRO,1.13,MARIO MARIA VENTURA,0.31,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.33,XAVIER ARREDONDO FERREIRO,0.6,DAVID CASTELLNOU TEIXIDO,0.4,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,MARIO MARIA VENTURA,1.48,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,MARIO MARIA VENTURA,0.24,MARIO MARIA VENTURA,0.29,ROGER RIU GARCIA,0.0,JANIS TOMASCHEK,0.37,XAVIER ARREDONDO FERREIRO,0.86,XAVIER ARREDONDO FERREIRO,0.51,MARIO MARIA VENTURA,27.03,MARIO MARIA VENTURA,0.48,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,XAVIER ARREDONDO FERREIRO,1.66,XAVIER ARREDONDO FERREIRO,6.84,GABRIEL SASTRE IZQUIERDO,0.0,MUSA TRAWALLY SANNEH,-0.76,MARIO MARIA VENTURA,58.89,XAVIER ARREDONDO FERREIRO,86.07,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,GABRIEL SASTRE IZQUIERDO,0.0,XAVIER ARREDONDO FERREIRO,0.0,XAVIER ARREDONDO FERREIRO,0.67,XAVIER ARREDONDO FERREIRO,1.13,MARIO MARIA VENTURA,0.22,ROGER RIU GARCIA,0.0
