Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
XAVIER BLANCO MART,27.65,XAVIER BLANCO MART,14.46,MART MARTORI FIGUEREDO,4.0,MART MARTORI FIGUEREDO,7.16,ADRIA ROS RODRIGUEZ,0.57,XAVIER BLANCO MART,2.73,XAVIER BLANCO MART,8.38,ALBERT GARCIA ROS,0.36,ADRI TENA MASSAGUER,4.65,ADRI TENA MASSAGUER,6.0,AITOR GONZALEZ TORRES,0.83,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,ADRI TENA MASSAGUER,3.17,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,ALBERT GARCIA ROS,0.51,ADRI TENA MASSAGUER,0.57,MART MARTORI FIGUEREDO,6.66,GERARD FBREGAS CATURLA,4.01,MART MARTORI FIGUEREDO,6.5,XAVIER BLANCO MART,8.32,GERARD FBREGAS CATURLA,59.63,ALBERT GARCIA ROS,1.02,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,XAVIER BLANCO MART,15.69,MART MARTORI FIGUEREDO,27.95,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,-0.0,ADRI TENA MASSAGUER,118.22,XAVIER BLANCO MART,97.04,ADRI TENA MASSAGUER,22.74,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,SERGI SAYOLS VILLANUEVA,0.85,XAVIER BLANCO MART,5.0,XAVIER BLANCO MART,13.19,GERARD FBREGAS CATURLA,0.5,ALBERT GARCIA ROS,12.0
ADRIA ROS RODRIGUEZ,25.0,MART MARTORI FIGUEREDO,13.6,ADRIA ROS RODRIGUEZ,3.3,ADRI TENA MASSAGUER,6.13,MART MARTORI FIGUEREDO,0.56,ALBERT GARCIA ROS,1.6,ALBERT GARCIA ROS,4.48,SERGI SAYOLS VILLANUEVA,0.34,MART MARTORI FIGUEREDO,3.2,MART MARTORI FIGUEREDO,4.76,ALBERT GARCIA ROS,0.79,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ADRIA ROS RODRIGUEZ,2.57,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ADRIA ROS RODRIGUEZ,0.51,ALBERT GARCIA ROS,0.55,XAVIER BLANCO MART,5.93,ADRI TENA MASSAGUER,2.91,XAVIER BLANCO MART,5.93,MART MARTORI FIGUEREDO,5.8,ADRI TENA MASSAGUER,57.81,ADRIA ROS RODRIGUEZ,1.01,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,MART MARTORI FIGUEREDO,14.84,XAVIER BLANCO MART,27.57,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,-0.0,GERARD FBREGAS CATURLA,114.81,ADRIA ROS RODRIGUEZ,97.02,GERARD FBREGAS CATURLA,20.48,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ARNAU MARTIN GIOL,0.0,ALBERT GARCIA ROS,0.7,MART MARTORI FIGUEREDO,4.8,MART MARTORI FIGUEREDO,10.4,ADRIA ROS RODRIGUEZ,0.48,AITOR GONZALEZ TORRES,11.0
ADRI TENA MASSAGUER,24.09,ADRI TENA MASSAGUER,11.0,ADRI TENA MASSAGUER,3.04,ADRIA ROS RODRIGUEZ,5.83,ADRI TENA MASSAGUER,0.5,AITOR GONZALEZ TORRES,1.05,MART MARTORI FIGUEREDO,3.24,AITOR GONZALEZ TORRES,0.33,ADRIA ROS RODRIGUEZ,2.87,ADRIA ROS RODRIGUEZ,4.39,ADRI TENA MASSAGUER,0.78,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,GUILLEM GONZALEZ GARCIA,2.46,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,MART MARTORI FIGUEREDO,0.5,ADRIA ROS RODRIGUEZ,0.55,ADRI TENA MASSAGUER,5.57,ADRIA ROS RODRIGUEZ,1.59,ADRI TENA MASSAGUER,5.41,GUILLEM GONZALEZ GARCIA,4.32,ADRIA ROS RODRIGUEZ,55.15,MART MARTORI FIGUEREDO,1.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ADRI TENA MASSAGUER,12.59,ADRI TENA MASSAGUER,21.07,ALBERT GARCIA ROS,0.0,EDUARD VAZQUEZ ESTIVILL,-0.0,ADRIA ROS RODRIGUEZ,113.24,MART MARTORI FIGUEREDO,96.9,ADRIA ROS RODRIGUEZ,16.22,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,ALBERT GARCIA ROS,0.0,AITOR GONZALEZ TORRES,0.64,ADRIA ROS RODRIGUEZ,3.74,ADRIA ROS RODRIGUEZ,7.83,MART MARTORI FIGUEREDO,0.46,XAVIER BLANCO MART,10.0
MART MARTORI FIGUEREDO,23.8,ADRIA ROS RODRIGUEZ,10.78,XAVIER BLANCO MART,2.27,XAVIER BLANCO MART,4.81,GERARD FBREGAS CATURLA,0.5,SERGI SAYOLS VILLANUEVA,0.96,AITOR GONZALEZ TORRES,3.14,XAVIER BLANCO MART,0.33,XAVIER BLANCO MART,1.73,XAVIER BLANCO MART,2.65,GUILLEM GONZALEZ GARCIA,0.72,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,MART MARTORI FIGUEREDO,2.4,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,GERARD FBREGAS CATURLA,0.5,MART MARTORI FIGUEREDO,0.54,ADRIA ROS RODRIGUEZ,5.17,MART MARTORI FIGUEREDO,1.23,ADRIA ROS RODRIGUEZ,5.28,ADRIA ROS RODRIGUEZ,4.3,MART MARTORI FIGUEREDO,52.82,GERARD FBREGAS CATURLA,1.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,ADRIA ROS RODRIGUEZ,11.95,ADRIA ROS RODRIGUEZ,20.72,AITOR GONZALEZ TORRES,0.0,ADRIA JIMENEZ CARREIRA,0.0,ALBERT GARCIA ROS,110.86,SERGI SAYOLS VILLANUEVA,96.9,ALBERT GARCIA ROS,14.05,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,AITOR GONZALEZ TORRES,0.0,XAVIER BLANCO MART,0.64,ADRI TENA MASSAGUER,3.13,GUILLEM GONZALEZ GARCIA,7.12,ADRI TENA MASSAGUER,0.45,MART MARTORI FIGUEREDO,9.0
SERGI SAYOLS VILLANUEVA,22.5,GUILLEM GONZALEZ GARCIA,7.77,GUILLEM GONZALEZ GARCIA,1.88,GUILLEM GONZALEZ GARCIA,4.23,XAVIER BLANCO MART,0.47,GUILLEM GONZALEZ GARCIA,0.96,GUILLEM GONZALEZ GARCIA,2.88,DANIEL VILLALOBOS TORREJON,0.33,ALBERT GARCIA ROS,1.2,GUILLEM GONZALEZ GARCIA,1.54,MART MARTORI FIGUEREDO,0.67,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,2.31,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.48,GERARD FBREGAS CATURLA,0.53,ALBERT GARCIA ROS,3.32,AITOR GONZALEZ TORRES,1.06,GUILLEM GONZALEZ GARCIA,3.42,ALBERT GARCIA ROS,3.99,GUILLEM GONZALEZ GARCIA,44.17,XAVIER BLANCO MART,0.97,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,GUILLEM GONZALEZ GARCIA,8.56,GUILLEM GONZALEZ GARCIA,20.18,XAVIER BLANCO MART,0.0,MART MARTORI FIGUEREDO,-0.38,MART MARTORI FIGUEREDO,110.75,ALBERT GARCIA ROS,96.81,MART MARTORI FIGUEREDO,13.85,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,XAVIER BLANCO MART,0.0,GUILLEM GONZALEZ GARCIA,0.41,GUILLEM GONZALEZ GARCIA,2.85,ADRI TENA MASSAGUER,6.96,GUILLEM GONZALEZ GARCIA,0.4,DANIEL VILLALOBOS TORREJON,7.0
GUILLEM GONZALEZ GARCIA,20.5,ALBERT GARCIA ROS,7.76,DANIEL VILLALOBOS TORREJON,1.09,DANIEL VILLALOBOS TORREJON,2.68,ALBERT GARCIA ROS,0.45,MART MARTORI FIGUEREDO,0.8,SERGI SAYOLS VILLANUEVA,2.81,GUILLEM GONZALEZ GARCIA,0.33,AITOR GONZALEZ TORRES,1.14,ALBERT GARCIA ROS,1.52,XAVIER BLANCO MART,0.65,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,SERGI SAYOLS VILLANUEVA,2.31,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,SERGI SAYOLS VILLANUEVA,0.48,AITOR GONZALEZ TORRES,0.52,GUILLEM GONZALEZ GARCIA,2.77,ALBERT GARCIA ROS,0.75,ALBERT GARCIA ROS,3.06,ADRI TENA MASSAGUER,3.95,ALBERT GARCIA ROS,43.43,SERGI SAYOLS VILLANUEVA,0.97,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,ALBERT GARCIA ROS,7.87,ALBERT GARCIA ROS,19.78,MART MARTORI FIGUEREDO,0.0,ALBERT GARCIA ROS,-0.44,AITOR GONZALEZ TORRES,106.78,GUILLEM GONZALEZ GARCIA,96.78,AITOR GONZALEZ TORRES,10.42,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.0,MART MARTORI FIGUEREDO,0.31,ALBERT GARCIA ROS,2.48,ALBERT GARCIA ROS,6.44,ALBERT GARCIA ROS,0.39,SERGI SAYOLS VILLANUEVA,6.0
ALBERT GARCIA ROS,19.12,AITOR GONZALEZ TORRES,5.73,ALBERT GARCIA ROS,0.88,ALBERT GARCIA ROS,1.96,GUILLEM GONZALEZ GARCIA,0.45,ADRIA ROS RODRIGUEZ,0.43,ADRIA ROS RODRIGUEZ,2.0,MART MARTORI FIGUEREDO,0.25,GUILLEM GONZALEZ GARCIA,1.12,GERARD FBREGAS CATURLA,1.39,ADRIA ROS RODRIGUEZ,0.65,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,GERARD FBREGAS CATURLA,2.28,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,AITOR GONZALEZ TORRES,0.47,XAVIER BLANCO MART,0.5,AITOR GONZALEZ TORRES,2.09,GUILLEM GONZALEZ GARCIA,0.6,AITOR GONZALEZ TORRES,2.3,AITOR GONZALEZ TORRES,3.11,AITOR GONZALEZ TORRES,42.58,AITOR GONZALEZ TORRES,0.94,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,AITOR GONZALEZ TORRES,6.18,AITOR GONZALEZ TORRES,16.86,EDUARD VAZQUEZ ESTIVILL,0.0,ADRIA ROS RODRIGUEZ,-0.52,XAVIER BLANCO MART,101.62,AITOR GONZALEZ TORRES,96.36,XAVIER BLANCO MART,4.58,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,EDUARD VAZQUEZ ESTIVILL,0.0,DANIEL VILLALOBOS TORREJON,0.31,AITOR GONZALEZ TORRES,1.77,AITOR GONZALEZ TORRES,4.86,XAVIER BLANCO MART,0.38,ADRI TENA MASSAGUER,5.0
AITOR GONZALEZ TORRES,17.23,DANIEL VILLALOBOS TORREJON,3.64,AITOR GONZALEZ TORRES,0.73,AITOR GONZALEZ TORRES,1.73,AITOR GONZALEZ TORRES,0.42,DANIEL VILLALOBOS TORREJON,0.41,DANIEL VILLALOBOS TORREJON,1.23,ADRIA ROS RODRIGUEZ,0.22,GERARD FBREGAS CATURLA,0.72,AITOR GONZALEZ TORRES,1.36,SERGI SAYOLS VILLANUEVA,0.56,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,AITOR GONZALEZ TORRES,2.14,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,GUILLEM GONZALEZ GARCIA,0.47,GUILLEM GONZALEZ GARCIA,0.5,DANIEL VILLALOBOS TORREJON,0.65,XAVIER BLANCO MART,0.5,DANIEL VILLALOBOS TORREJON,1.65,DANIEL VILLALOBOS TORREJON,2.5,XAVIER BLANCO MART,41.62,GUILLEM GONZALEZ GARCIA,0.94,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,4.47,DANIEL VILLALOBOS TORREJON,12.76,DANIEL VILLALOBOS TORREJON,0.0,ADRI TENA MASSAGUER,-0.54,GUILLEM GONZALEZ GARCIA,101.0,DANIEL VILLALOBOS TORREJON,96.31,GUILLEM GONZALEZ GARCIA,4.22,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,DANIEL VILLALOBOS TORREJON,0.0,ADRIA ROS RODRIGUEZ,0.26,DANIEL VILLALOBOS TORREJON,1.5,DANIEL VILLALOBOS TORREJON,3.91,DANIEL VILLALOBOS TORREJON,0.38,GERARD FBREGAS CATURLA,4.0
DANIEL VILLALOBOS TORREJON,17.23,SERGI SAYOLS VILLANUEVA,3.54,GERARD FBREGAS CATURLA,0.5,GERARD FBREGAS CATURLA,1.0,DANIEL VILLALOBOS TORREJON,0.41,ADRI TENA MASSAGUER,0.09,ADRI TENA MASSAGUER,0.83,ADRI TENA MASSAGUER,0.11,SERGI SAYOLS VILLANUEVA,0.35,SERGI SAYOLS VILLANUEVA,0.62,GERARD FBREGAS CATURLA,0.52,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,ALBERT GARCIA ROS,2.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,ADRI TENA MASSAGUER,0.46,SERGI SAYOLS VILLANUEVA,0.49,SERGI SAYOLS VILLANUEVA,0.64,SERGI SAYOLS VILLANUEVA,0.4,SERGI SAYOLS VILLANUEVA,1.31,SERGI SAYOLS VILLANUEVA,2.24,DANIEL VILLALOBOS TORREJON,39.73,ADRI TENA MASSAGUER,0.91,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,3.89,GERARD FBREGAS CATURLA,9.9,SERGI SAYOLS VILLANUEVA,0.0,AITOR GONZALEZ TORRES,-0.89,SERGI SAYOLS VILLANUEVA,100.0,ADRI TENA MASSAGUER,95.48,SERGI SAYOLS VILLANUEVA,3.1,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,SERGI SAYOLS VILLANUEVA,0.0,ADRI TENA MASSAGUER,0.12,SERGI SAYOLS VILLANUEVA,1.12,SERGI SAYOLS VILLANUEVA,3.31,AITOR GONZALEZ TORRES,0.36,GUILLEM GONZALEZ GARCIA,3.0
GERARD FBREGAS CATURLA,8.56,GERARD FBREGAS CATURLA,1.72,SERGI SAYOLS VILLANUEVA,0.15,SERGI SAYOLS VILLANUEVA,0.5,SERGI SAYOLS VILLANUEVA,0.31,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,MARC SANCHEZ GOMEZ,0.0,DANIEL VILLALOBOS TORREJON,0.23,DANIEL VILLALOBOS TORREJON,0.59,DANIEL VILLALOBOS TORREJON,0.38,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,DANIEL VILLALOBOS TORREJON,1.77,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,DANIEL VILLALOBOS TORREJON,0.44,DANIEL VILLALOBOS TORREJON,0.44,GERARD FBREGAS CATURLA,0.04,DANIEL VILLALOBOS TORREJON,0.26,GERARD FBREGAS CATURLA,0.93,GERARD FBREGAS CATURLA,0.63,SERGI SAYOLS VILLANUEVA,36.99,DANIEL VILLALOBOS TORREJON,0.87,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,GERARD FBREGAS CATURLA,2.27,SERGI SAYOLS VILLANUEVA,8.44,ADRI TENA MASSAGUER,0.0,GERARD FBREGAS CATURLA,-1.11,DANIEL VILLALOBOS TORREJON,88.89,GERARD FBREGAS CATURLA,94.34,MARC SANCHEZ GOMEZ,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,ADRI TENA MASSAGUER,0.0,MARC SANCHEZ GOMEZ,0.0,GERARD FBREGAS CATURLA,0.5,GERARD FBREGAS CATURLA,1.0,SERGI SAYOLS VILLANUEVA,0.34,ADRIA ROS RODRIGUEZ,2.0
