Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
ARNAU CUMELLES CESPEDES,28.4,ARNAU CUMELLES CESPEDES,12.7,FERRAN MAS FARR,3.78,ARNAU CUMELLES CESPEDES,7.6,POL CAMPRUBI TRUJILLO,0.7,POL CAMPRUBI TRUJILLO,1.6,JORDI FORNELLS UR,3.9,EDUARD MAS FERRE,0.48,ARNAU CUMELLES CESPEDES,4.3,ARNAU CUMELLES CESPEDES,7.5,ROGER PORTELLA SANTOLARIA,0.78,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,POL CAMPRUBI TRUJILLO,2.8,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,POL CAMPRUBI TRUJILLO,0.72,POL CAMPRUBI TRUJILLO,0.7,FERRAN MAS FARR,7.06,ROGER PORTELLA SANTOLARIA,4.88,ARNAU CUMELLES CESPEDES,6.35,ARNAU CUMELLES CESPEDES,5.95,POL CAMPRUBI TRUJILLO,58.13,POL CAMPRUBI TRUJILLO,1.43,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,ARNAU CUMELLES CESPEDES,16.73,FERRAN MAS FARR,27.75,MANEL SAMA SOLDEVILA,0.0,FERRAN MAS FARR,1.39,POL CAMPRUBI TRUJILLO,143.86,ROGER PORTELLA SANTOLARIA,91.26,POL CAMPRUBI TRUJILLO,58.37,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,MANEL SAMA SOLDEVILA,0.0,CARLES JORD SANCHEZ,0.77,FERRAN MAS FARR,4.89,FERRAN MAS FARR,9.44,POL CAMPRUBI TRUJILLO,0.57,JORDI SOBREVIAS BONELLS,32.0
FERRAN MAS FARR,21.56,FERRAN MAS FARR,12.33,ARNAU CUMELLES CESPEDES,3.3,FERRAN MAS FARR,6.0,ROGER PORTELLA SANTOLARIA,0.64,EDUARD MAS FERRE,1.22,ROGER PORTELLA SANTOLARIA,3.86,POL CAMPRUBI TRUJILLO,0.48,ROGER PORTELLA SANTOLARIA,2.0,ROGER PORTELLA SANTOLARIA,2.57,JORDI SOBREVIAS BONELLS,0.76,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,JORDI SOBREVIAS BONELLS,2.44,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,FERRAN MAS FARR,0.58,EDUARD MAS FERRE,0.6,EDUARD MAS FERRE,5.59,ARNAU CUMELLES CESPEDES,4.62,FERRAN MAS FARR,5.67,FERRAN MAS FARR,4.66,FERRAN MAS FARR,54.86,FERRAN MAS FARR,1.15,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,FERRAN MAS FARR,11.68,ARNAU CUMELLES CESPEDES,25.77,ALEIX ARTIGAS BERENGUER,0.0,POL CAMPRUBI TRUJILLO,0.9,EDUARD MAS FERRE,123.38,FERRAN MAS FARR,88.07,EDUARD MAS FERRE,35.75,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,ALEIX ARTIGAS BERENGUER,0.0,JORDI SOBREVIAS BONELLS,0.75,ARNAU CUMELLES CESPEDES,3.9,ARNAU CUMELLES CESPEDES,9.3,FERRAN MAS FARR,0.52,ROGER PORTELLA SANTOLARIA,24.0
EDUARD MAS FERRE,21.44,EDUARD MAS FERRE,10.56,EDUARD MAS FERRE,2.56,EDUARD MAS FERRE,5.11,FERRAN MAS FARR,0.63,ROGER PORTELLA SANTOLARIA,1.14,FERRAN MAS FARR,3.44,CARLES JORD SANCHEZ,0.4,EDUARD MAS FERRE,1.78,EDUARD MAS FERRE,2.44,EDUARD MAS FERRE,0.73,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,ARNAU CUMELLES CESPEDES,2.3,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,EDUARD MAS FERRE,0.57,FERRAN MAS FARR,0.59,ARNAU CUMELLES CESPEDES,5.55,JORDI SOBREVIAS BONELLS,4.01,EDUARD MAS FERRE,4.68,JORDI FORNELLS UR,4.11,EDUARD MAS FERRE,54.17,EDUARD MAS FERRE,1.14,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,EDUARD MAS FERRE,10.12,EDUARD MAS FERRE,23.4,JORDI SOBREVIAS BONELLS,0.0,EDUARD MAS FERRE,0.61,FERRAN MAS FARR,120.65,EDUARD MAS FERRE,87.62,FERRAN MAS FARR,32.58,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI SOBREVIAS BONELLS,0.0,JORDI FORNELLS UR,0.71,EDUARD MAS FERRE,3.78,EDUARD MAS FERRE,7.67,EDUARD MAS FERRE,0.49,JORDI FORNELLS UR,22.0
JAN OSUL VIDAL,19.0,POL CAMPRUBI TRUJILLO,8.2,JAN OSUL VIDAL,1.7,JAN OSUL VIDAL,3.8,JORDI CLOTET MATAMALA,0.55,FERRAN MAS FARR,1.11,POL CAMPRUBI TRUJILLO,3.3,ARNAU CUMELLES CESPEDES,0.35,JORDI SOBREVIAS BONELLS,1.44,FERRAN MAS FARR,2.22,ALBERT ILLA VILA,0.67,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,JAN OSUL VIDAL,2.2,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.51,ROGER PORTELLA SANTOLARIA,0.57,POL CAMPRUBI TRUJILLO,4.33,EDUARD MAS FERRE,2.58,ROGER PORTELLA SANTOLARIA,3.41,JAN OSUL VIDAL,4.04,ARNAU CUMELLES CESPEDES,51.66,ROGER PORTELLA SANTOLARIA,1.02,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,8.45,ROGER PORTELLA SANTOLARIA,22.37,ROGER PORTELLA SANTOLARIA,0.0,MANEL SAMA SOLDEVILA,-0.0,ROGER PORTELLA SANTOLARIA,119.15,CARLES JORD SANCHEZ,86.21,ROGER PORTELLA SANTOLARIA,27.89,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.0,ROGER PORTELLA SANTOLARIA,0.66,POL CAMPRUBI TRUJILLO,3.0,JAN OSUL VIDAL,6.3,JORDI CLOTET MATAMALA,0.47,EDUARD MAS FERRE,15.0
ROGER PORTELLA SANTOLARIA,17.86,ROGER PORTELLA SANTOLARIA,8.0,POL CAMPRUBI TRUJILLO,1.4,JORDI CLOTET MATAMALA,2.2,EDUARD MAS FERRE,0.5,JORDI FORNELLS UR,1.0,JORDI SOBREVIAS BONELLS,3.0,FERRAN MAS FARR,0.32,FERRAN MAS FARR,1.44,JORDI SOBREVIAS BONELLS,1.89,FERRAN MAS FARR,0.65,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,EDUARD MAS FERRE,2.11,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,CARLES JORD SANCHEZ,0.5,JORDI CLOTET MATAMALA,0.51,ROGER PORTELLA SANTOLARIA,3.9,JONATHAN LOZANO BZDZIL,1.82,POL CAMPRUBI TRUJILLO,3.36,EDUARD MAS FERRE,3.96,JORDI CLOTET MATAMALA,50.0,CARLES JORD SANCHEZ,1.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JAN OSUL VIDAL,6.99,JAN OSUL VIDAL,20.2,JORDI FORNELLS UR,0.0,ALEIX ARTIGAS BERENGUER,-0.0,ARNAU CUMELLES CESPEDES,104.1,ARNAU CUMELLES CESPEDES,86.04,ARNAU CUMELLES CESPEDES,18.06,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,JORDI FORNELLS UR,0.0,POL CAMPRUBI TRUJILLO,0.62,ROGER PORTELLA SANTOLARIA,2.43,ROGER PORTELLA SANTOLARIA,5.86,ARNAU CUMELLES CESPEDES,0.42,ARNAU CUMELLES CESPEDES,13.0
JORDI FORNELLS UR,17.8,JAN OSUL VIDAL,5.7,ROGER PORTELLA SANTOLARIA,1.29,JONATHAN LOZANO BZDZIL,2.1,JAN OSUL VIDAL,0.45,CARLES JORD SANCHEZ,0.8,EDUARD MAS FERRE,2.56,ROGER PORTELLA SANTOLARIA,0.3,POL CAMPRUBI TRUJILLO,0.6,POL CAMPRUBI TRUJILLO,1.2,ARNAU CUMELLES CESPEDES,0.57,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,JORDI FORNELLS UR,2.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,JORDI CLOTET MATAMALA,0.5,ARNAU CUMELLES CESPEDES,0.5,JAN OSUL VIDAL,1.17,FERRAN MAS FARR,1.7,JAN OSUL VIDAL,2.54,ROGER PORTELLA SANTOLARIA,3.48,ROGER PORTELLA SANTOLARIA,49.47,JORDI CLOTET MATAMALA,1.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,POL CAMPRUBI TRUJILLO,6.49,POL CAMPRUBI TRUJILLO,19.46,EDUARD MAS FERRE,0.0,ROGER PORTELLA SANTOLARIA,-0.07,JORDI CLOTET MATAMALA,102.94,JORDI FORNELLS UR,85.82,JORDI CLOTET MATAMALA,17.15,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,EDUARD MAS FERRE,0.0,ALBERT ILLA VILA,0.57,JAN OSUL VIDAL,2.4,JORDI FORNELLS UR,5.5,ROGER PORTELLA SANTOLARIA,0.41,ALBERT ILLA VILA,12.0
POL CAMPRUBI TRUJILLO,17.4,JORDI FORNELLS UR,4.4,JORDI CLOTET MATAMALA,1.2,ROGER PORTELLA SANTOLARIA,2.0,JORDI SOBREVIAS BONELLS,0.44,JAN OSUL VIDAL,0.7,JAN OSUL VIDAL,2.5,JAN OSUL VIDAL,0.28,JORDI CLOTET MATAMALA,0.5,JORDI CLOTET MATAMALA,1.0,JONATHAN LOZANO BZDZIL,0.5,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,JORDI CLOTET MATAMALA,2.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.45,CARLES JORD SANCHEZ,0.48,JORDI CLOTET MATAMALA,0.96,JORDI CLOTET MATAMALA,1.67,JORDI SOBREVIAS BONELLS,1.82,JORDI SOBREVIAS BONELLS,2.93,JONATHAN LOZANO BZDZIL,45.24,ARNAU CUMELLES CESPEDES,0.9,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,JORDI FORNELLS UR,6.39,JORDI SOBREVIAS BONELLS,19.25,ARNAU CUMELLES CESPEDES,0.0,CARLES JORD SANCHEZ,-0.5,CARLES JORD SANCHEZ,100.0,JONATHAN LOZANO BZDZIL,85.8,CARLES JORD SANCHEZ,13.79,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,ARNAU CUMELLES CESPEDES,0.0,JAN OSUL VIDAL,0.4,JORDI FORNELLS UR,1.5,POL CAMPRUBI TRUJILLO,5.3,JONATHAN LOZANO BZDZIL,0.41,CARLES JORD SANCHEZ,10.0
JORDI CLOTET MATAMALA,17.0,JORDI SOBREVIAS BONELLS,4.33,JONATHAN LOZANO BZDZIL,0.9,POL CAMPRUBI TRUJILLO,2.0,ARNAU CUMELLES CESPEDES,0.43,JORDI SOBREVIAS BONELLS,0.67,CARLES JORD SANCHEZ,2.0,JORDI FORNELLS UR,0.26,JORDI FORNELLS UR,0.4,JORDI FORNELLS UR,0.9,JORDI CLOTET MATAMALA,0.5,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ROGER PORTELLA SANTOLARIA,1.86,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,JAN OSUL VIDAL,0.44,JORDI SOBREVIAS BONELLS,0.45,JORDI SOBREVIAS BONELLS,0.82,POL CAMPRUBI TRUJILLO,1.13,JORDI FORNELLS UR,1.75,POL CAMPRUBI TRUJILLO,2.42,JAN OSUL VIDAL,38.56,JAN OSUL VIDAL,0.87,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,JORDI SOBREVIAS BONELLS,5.83,JORDI FORNELLS UR,19.24,ALBERT ILLA VILA,0.0,JORDI CLOTET MATAMALA,-1.0,JORDI SOBREVIAS BONELLS,92.86,JAN OSUL VIDAL,85.8,JORDI SOBREVIAS BONELLS,9.21,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,ALBERT ILLA VILA,0.0,FERRAN MAS FARR,0.36,JORDI CLOTET MATAMALA,1.4,JORDI SOBREVIAS BONELLS,4.0,JAN OSUL VIDAL,0.38,JONATHAN LOZANO BZDZIL,9.0
JORDI SOBREVIAS BONELLS,14.67,JORDI CLOTET MATAMALA,3.5,JORDI FORNELLS UR,0.5,JORDI FORNELLS UR,1.6,JONATHAN LOZANO BZDZIL,0.43,ARNAU CUMELLES CESPEDES,0.6,ARNAU CUMELLES CESPEDES,1.7,JORDI CLOTET MATAMALA,0.25,JONATHAN LOZANO BZDZIL,0.4,JONATHAN LOZANO BZDZIL,0.8,POL CAMPRUBI TRUJILLO,0.5,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,ALBERT ILLA VILA,1.7,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,JONATHAN LOZANO BZDZIL,0.41,JONATHAN LOZANO BZDZIL,0.43,CARLES JORD SANCHEZ,0.8,ALBERT ILLA VILA,0.87,JORDI CLOTET MATAMALA,1.7,CARLES JORD SANCHEZ,1.83,JORDI SOBREVIAS BONELLS,38.37,JONATHAN LOZANO BZDZIL,0.82,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,JORDI CLOTET MATAMALA,3.99,CARLES JORD SANCHEZ,13.32,CARLES JORD SANCHEZ,0.0,JONATHAN LOZANO BZDZIL,-1.05,JONATHAN LOZANO BZDZIL,91.67,JORDI CLOTET MATAMALA,85.79,JONATHAN LOZANO BZDZIL,5.87,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,CARLES JORD SANCHEZ,0.0,EDUARD MAS FERRE,0.33,JORDI SOBREVIAS BONELLS,1.11,JORDI CLOTET MATAMALA,3.0,CARLES JORD SANCHEZ,0.35,FERRAN MAS FARR,6.0
CARLES JORD SANCHEZ,12.3,CARLES JORD SANCHEZ,2.7,JORDI SOBREVIAS BONELLS,0.44,JORDI SOBREVIAS BONELLS,1.0,JORDI FORNELLS UR,0.31,ALBERT ILLA VILA,0.2,ALBERT ILLA VILA,1.3,JORDI SOBREVIAS BONELLS,0.22,ALBERT ILLA VILA,0.2,JAN OSUL VIDAL,0.7,JORDI FORNELLS UR,0.44,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,1.3,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JORDI SOBREVIAS BONELLS,0.36,JAN OSUL VIDAL,0.43,JONATHAN LOZANO BZDZIL,0.34,JORDI FORNELLS UR,0.73,JONATHAN LOZANO BZDZIL,1.14,ALBERT ILLA VILA,1.81,CARLES JORD SANCHEZ,34.71,JORDI FORNELLS UR,0.73,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,CARLES JORD SANCHEZ,3.09,JONATHAN LOZANO BZDZIL,13.24,JONATHAN LOZANO BZDZIL,0.0,ARNAU CUMELLES CESPEDES,-1.5,JAN OSUL VIDAL,87.69,ALBERT ILLA VILA,85.59,JAN OSUL VIDAL,1.89,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JONATHAN LOZANO BZDZIL,0.0,JORDI CLOTET MATAMALA,0.27,CARLES JORD SANCHEZ,0.9,CARLES JORD SANCHEZ,2.6,JORDI SOBREVIAS BONELLS,0.28,JORDI CLOTET MATAMALA,5.0
