Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
XENIA SALZMANN ROMEU,24.38,JULIA TORREO JIMENEZ,7.31,LUCIA SUAREZ PELLITERO,2.09,TELMA BALAGUE GRAU,6.14,LUCIA SUAREZ PELLITERO,0.47,NATLIA FANJUL MARDONES,0.79,NATLIA FANJUL MARDONES,3.57,LUCIA SUAREZ PELLITERO,0.3,TELMA BALAGUE GRAU,1.93,JULIA TORREO JIMENEZ,3.54,BLANCA ROURA COMPS,0.67,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,TELMA BALAGUE GRAU,2.71,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,LUCIA SUAREZ PELLITERO,0.47,LUCIA SUAREZ PELLITERO,0.47,JULIA TORREO JIMENEZ,2.26,ANNA MESTRES ROSET,5.37,TELMA BALAGUE GRAU,3.54,TELMA BALAGUE GRAU,6.41,ANNA MESTRES ROSET,46.73,LUCIA SUAREZ PELLITERO,0.93,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,TELMA BALAGUE GRAU,11.52,TELMA BALAGUE GRAU,29.75,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,-0.0,ANNA MESTRES ROSET,96.55,ABRIL RICART MENSAH,76.06,LUCIA SUAREZ PELLITERO,26.12,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,JANA FERNANDEZ COLOMER,0.0,LAIA CRESPIN PASTOR,0.51,NATLIA FANJUL MARDONES,2.57,TELMA BALAGUE GRAU,8.57,LUCIA SUAREZ PELLITERO,0.44,SIRA PARES VILASECA,44.0
NATLIA FANJUL MARDONES,24.36,TELMA BALAGUE GRAU,7.29,SIRA PARES VILASECA,1.93,SIRA PARES VILASECA,5.07,JULIA TORREO JIMENEZ,0.46,JULIA TORREO JIMENEZ,0.69,SIRA PARES VILASECA,2.79,BLANCA ROURA COMPS,0.29,JULIA TORREO JIMENEZ,1.69,TELMA BALAGUE GRAU,3.43,ANNA MESTRES ROSET,0.65,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,SIRA PARES VILASECA,2.21,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,BLANCA ROURA COMPS,0.44,JULIA TORREO JIMENEZ,0.46,LUCIA SUAREZ PELLITERO,1.74,JULIA TORREO JIMENEZ,2.01,JULIA TORREO JIMENEZ,3.49,SIRA PARES VILASECA,5.9,LUCIA SUAREZ PELLITERO,46.03,BLANCA ROURA COMPS,0.88,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,SIRA PARES VILASECA,10.19,SIRA PARES VILASECA,24.1,ANNA MESTRES ROSET,0.0,MIREIA RIBAS PINEDA,-0.0,LUCIA SUAREZ PELLITERO,95.24,XENIA SALZMANN ROMEU,73.74,ANNA MESTRES ROSET,22.87,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,ANNA MESTRES ROSET,0.0,NATLIA FANJUL MARDONES,0.46,JULIA TORREO JIMENEZ,2.46,SIRA PARES VILASECA,7.86,BLANCA ROURA COMPS,0.39,LAIA CRESPIN PASTOR,22.0
SIRA PARES VILASECA,20.43,NATLIA FANJUL MARDONES,6.93,TELMA BALAGUE GRAU,1.93,XENIA SALZMANN ROMEU,4.69,BLANCA ROURA COMPS,0.45,LAIA CRESPIN PASTOR,0.64,JULIA TORREO JIMENEZ,2.62,LAIA CRESPIN PASTOR,0.27,SIRA PARES VILASECA,1.21,SIRA PARES VILASECA,2.71,LAIA CRESPIN PASTOR,0.64,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,JULIA TORREO JIMENEZ,1.92,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,JULIA TORREO JIMENEZ,0.43,ANNA MESTRES ROSET,0.45,NATLIA FANJUL MARDONES,1.56,TELMA BALAGUE GRAU,1.61,NATLIA FANJUL MARDONES,3.19,NATLIA FANJUL MARDONES,5.41,JULIA TORREO JIMENEZ,44.33,JULIA TORREO JIMENEZ,0.87,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,NATLIA FANJUL MARDONES,9.62,JULIA TORREO JIMENEZ,21.49,MIREIA RIBAS PINEDA,0.0,ARIADNA GARCIA VIL,0.0,JULIA TORREO JIMENEZ,93.14,ANNA MESTRES ROSET,73.68,JULIA TORREO JIMENEZ,19.7,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,MIREIA RIBAS PINEDA,0.0,JULIA TORREO JIMENEZ,0.4,TELMA BALAGUE GRAU,2.43,NATLIA FANJUL MARDONES,7.71,JULIA TORREO JIMENEZ,0.38,JULIA GARCIA SALVADOR,19.0
JULIA TORREO JIMENEZ,20.23,SIRA PARES VILASECA,6.14,NATLIA FANJUL MARDONES,1.79,JULIA GARCIA SALVADOR,4.64,NATLIA FANJUL MARDONES,0.43,TELMA BALAGUE GRAU,0.5,TELMA BALAGUE GRAU,2.43,JULIA TORREO JIMENEZ,0.26,ANNA MESTRES ROSET,1.18,JULIA GARCIA SALVADOR,2.57,TELMA BALAGUE GRAU,0.56,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,LUCIA SUAREZ PELLITERO,1.82,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,NATLIA FANJUL MARDONES,0.38,BLANCA ROURA COMPS,0.45,BLANCA ROURA COMPS,1.13,JULIA GARCIA SALVADOR,1.57,SIRA PARES VILASECA,3.04,XENIA SALZMANN ROMEU,4.68,BLANCA ROURA COMPS,40.93,NATLIA FANJUL MARDONES,0.77,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,JULIA TORREO JIMENEZ,9.48,ABRIL RICART MENSAH,21.35,ARIADNA GARCIA VIL,0.0,MARTINA TORREGROSSA GONZALEZ,-0.0,BLANCA ROURA COMPS,91.8,JULIA TORREO JIMENEZ,73.44,BLANCA ROURA COMPS,18.55,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,ARIADNA GARCIA VIL,0.0,BLANCA ROURA COMPS,0.36,LUCIA SUAREZ PELLITERO,2.36,JULIA TORREO JIMENEZ,6.46,NATLIA FANJUL MARDONES,0.33,ANNA MESTRES ROSET,15.0
LAIA CRESPIN PASTOR,19.21,LUCIA SUAREZ PELLITERO,5.45,JULIA TORREO JIMENEZ,1.77,LUCIA SUAREZ PELLITERO,4.45,SIRA PARES VILASECA,0.38,BLANCA ROURA COMPS,0.46,LAIA CRESPIN PASTOR,2.36,ANNA MESTRES ROSET,0.25,JULIA GARCIA SALVADOR,1.14,NATLIA FANJUL MARDONES,2.21,LUCIA SUAREZ PELLITERO,0.5,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,JULIA GARCIA SALVADOR,1.71,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,LAIA CRESPIN PASTOR,0.36,NATLIA FANJUL MARDONES,0.4,ANNA MESTRES ROSET,0.67,SIRA PARES VILASECA,1.1,LUCIA SUAREZ PELLITERO,2.64,JULIA GARCIA SALVADOR,4.46,NATLIA FANJUL MARDONES,37.1,LAIA CRESPIN PASTOR,0.72,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,JULIA GARCIA SALVADOR,7.43,BLANCA ROURA COMPS,19.59,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA VIZMANOS IGLESIS,0.0,NATLIA FANJUL MARDONES,81.51,BLANCA ROURA COMPS,73.25,NATLIA FANJUL MARDONES,8.55,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,MARTINA TORREGROSSA GONZALEZ,0.0,SIRA PARES VILASECA,0.35,SIRA PARES VILASECA,2.29,XENIA SALZMANN ROMEU,5.92,ANNA MESTRES ROSET,0.32,LUCIA SUAREZ PELLITERO,14.0
TELMA BALAGUE GRAU,18.43,BLANCA ROURA COMPS,4.31,BLANCA ROURA COMPS,1.31,NATLIA FANJUL MARDONES,4.14,ANNA MESTRES ROSET,0.33,SIRA PARES VILASECA,0.36,BLANCA ROURA COMPS,1.62,NATLIA FANJUL MARDONES,0.22,NATLIA FANJUL MARDONES,1.0,ANNA MESTRES ROSET,1.82,JULIA TORREO JIMENEZ,0.48,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,XENIA SALZMANN ROMEU,1.69,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,ANNA MESTRES ROSET,0.34,LAIA CRESPIN PASTOR,0.39,LAIA CRESPIN PASTOR,0.61,ABRIL RICART MENSAH,1.08,BLANCA ROURA COMPS,1.93,JULIA TORREO JIMENEZ,4.39,TELMA BALAGUE GRAU,35.58,ANNA MESTRES ROSET,0.68,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,XENIA SALZMANN ROMEU,7.21,NATLIA FANJUL MARDONES,19.4,MARTINA VIZMANOS IGLESIS,0.0,ANNA MESTRES ROSET,-0.95,LAIA CRESPIN PASTOR,81.16,NATLIA FANJUL MARDONES,72.96,LAIA CRESPIN PASTOR,8.36,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,MARTINA VIZMANOS IGLESIS,0.0,TELMA BALAGUE GRAU,0.28,BLANCA ROURA COMPS,1.77,LUCIA SUAREZ PELLITERO,5.36,SIRA PARES VILASECA,0.29,BLANCA ROURA COMPS,13.0
LUCIA SUAREZ PELLITERO,18.27,LAIA CRESPIN PASTOR,4.0,XENIA SALZMANN ROMEU,1.23,JULIA TORREO JIMENEZ,3.85,LAIA CRESPIN PASTOR,0.31,LUCIA SUAREZ PELLITERO,0.27,XENIA SALZMANN ROMEU,1.23,TELMA BALAGUE GRAU,0.21,LAIA CRESPIN PASTOR,0.64,XENIA SALZMANN ROMEU,1.54,SIRA PARES VILASECA,0.45,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,BLANCA ROURA COMPS,1.62,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.31,TELMA BALAGUE GRAU,0.36,TELMA BALAGUE GRAU,0.57,LAIA CRESPIN PASTOR,0.99,XENIA SALZMANN ROMEU,1.86,ABRIL RICART MENSAH,3.79,SIRA PARES VILASECA,33.99,SIRA PARES VILASECA,0.63,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,LUCIA SUAREZ PELLITERO,6.15,JULIA GARCIA SALVADOR,19.1,SIRA PARES VILASECA,0.0,LUCIA SUAREZ PELLITERO,-1.27,TELMA BALAGUE GRAU,73.91,LAIA CRESPIN PASTOR,72.8,TELMA BALAGUE GRAU,1.8,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,SIRA PARES VILASECA,0.0,XENIA SALZMANN ROMEU,0.21,XENIA SALZMANN ROMEU,1.46,JULIA GARCIA SALVADOR,5.21,LAIA CRESPIN PASTOR,0.29,TELMA BALAGUE GRAU,12.0
JULIA GARCIA SALVADOR,18.07,XENIA SALZMANN ROMEU,3.77,JULIA GARCIA SALVADOR,1.07,ABRIL RICART MENSAH,3.67,TELMA BALAGUE GRAU,0.31,XENIA SALZMANN ROMEU,0.23,LUCIA SUAREZ PELLITERO,0.91,XENIA SALZMANN ROMEU,0.19,XENIA SALZMANN ROMEU,0.62,ABRIL RICART MENSAH,1.33,NATLIA FANJUL MARDONES,0.45,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,ABRIL RICART MENSAH,1.56,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,TELMA BALAGUE GRAU,0.31,SIRA PARES VILASECA,0.34,SIRA PARES VILASECA,0.07,NATLIA FANJUL MARDONES,0.93,JULIA GARCIA SALVADOR,1.78,LAIA CRESPIN PASTOR,3.34,LAIA CRESPIN PASTOR,33.83,TELMA BALAGUE GRAU,0.62,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,ABRIL RICART MENSAH,5.72,LUCIA SUAREZ PELLITERO,16.73,LAIA CRESPIN PASTOR,0.0,BLANCA ROURA COMPS,-1.27,SIRA PARES VILASECA,69.35,JULIA GARCIA SALVADOR,72.58,JANA FERNANDEZ COLOMER,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,LAIA CRESPIN PASTOR,0.0,ABRIL RICART MENSAH,0.2,LAIA CRESPIN PASTOR,1.36,LAIA CRESPIN PASTOR,4.64,TELMA BALAGUE GRAU,0.28,JULIA TORREO JIMENEZ,11.0
BLANCA ROURA COMPS,13.15,JULIA GARCIA SALVADOR,3.29,ABRIL RICART MENSAH,0.89,BLANCA ROURA COMPS,2.92,XENIA SALZMANN ROMEU,0.26,ABRIL RICART MENSAH,0.11,ABRIL RICART MENSAH,0.89,SIRA PARES VILASECA,0.13,LUCIA SUAREZ PELLITERO,0.45,LAIA CRESPIN PASTOR,1.0,JULIA GARCIA SALVADOR,0.44,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,LAIA CRESPIN PASTOR,1.36,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,XENIA SALZMANN ROMEU,0.27,XENIA SALZMANN ROMEU,0.29,JANA FERNANDEZ COLOMER,-0.0,XENIA SALZMANN ROMEU,0.8,LAIA CRESPIN PASTOR,1.71,LUCIA SUAREZ PELLITERO,3.09,JULIA GARCIA SALVADOR,28.55,XENIA SALZMANN ROMEU,0.53,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,LAIA CRESPIN PASTOR,5.5,ANNA MESTRES ROSET,15.37,JULIA GARCIA SALVADOR,0.0,LAIA CRESPIN PASTOR,-1.82,XENIA SALZMANN ROMEU,58.33,SIRA PARES VILASECA,72.46,MIREIA RIBAS PINEDA,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,JULIA GARCIA SALVADOR,0.0,ANNA MESTRES ROSET,0.18,JULIA GARCIA SALVADOR,1.07,ABRIL RICART MENSAH,4.56,XENIA SALZMANN ROMEU,0.25,NATLIA FANJUL MARDONES,8.0
ABRIL RICART MENSAH,13.11,ABRIL RICART MENSAH,2.56,LAIA CRESPIN PASTOR,0.71,LAIA CRESPIN PASTOR,2.29,ABRIL RICART MENSAH,0.24,ANNA MESTRES ROSET,0.09,JULIA GARCIA SALVADOR,0.57,ABRIL RICART MENSAH,0.12,ABRIL RICART MENSAH,0.44,LUCIA SUAREZ PELLITERO,0.91,XENIA SALZMANN ROMEU,0.4,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,NATLIA FANJUL MARDONES,1.29,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,ABRIL RICART MENSAH,0.23,JULIA GARCIA SALVADOR,0.26,MIREIA RIBAS PINEDA,-0.0,LUCIA SUAREZ PELLITERO,0.77,ABRIL RICART MENSAH,1.3,BLANCA ROURA COMPS,2.79,XENIA SALZMANN ROMEU,28.38,ABRIL RICART MENSAH,0.46,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,BLANCA ROURA COMPS,4.93,XENIA SALZMANN ROMEU,14.71,LUCIA SUAREZ PELLITERO,0.0,JULIA TORREO JIMENEZ,-1.88,JULIA GARCIA SALVADOR,53.49,TELMA BALAGUE GRAU,72.11,ARIADNA GARCIA VIL,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.0,LUCIA SUAREZ PELLITERO,0.17,ABRIL RICART MENSAH,1.0,BLANCA ROURA COMPS,4.54,ABRIL RICART MENSAH,0.22,ABRIL RICART MENSAH,4.0
