Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
EDUARD CESARI BURCH,28.17,JOSE ANTONIO BERNUZ PUEYO,12.81,ARNAU ABELLO GIRVES,3.55,ARNAU ABELLO GIRVES,7.18,JOSEP ARMENGOL ROYO,0.55,MARCEL PARS VILASECA,2.08,MARCEL PARS VILASECA,7.04,EDUARD CESARI BURCH,0.34,JOSE ANTONIO BERNUZ PUEYO,4.81,JOSE ANTONIO BERNUZ PUEYO,6.75,EDUARD CESARI BURCH,0.78,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,JOSEP ARMENGOL ROYO,3.9,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,GUILLEM FIOL ROIG,0.51,JOSEP ARMENGOL ROYO,0.55,JOSE ANTONIO BERNUZ PUEYO,5.54,JOSE ANTONIO BERNUZ PUEYO,3.17,JOSE ANTONIO BERNUZ PUEYO,5.98,JOSE ANTONIO BERNUZ PUEYO,6.22,JOSEP ARMENGOL ROYO,56.98,JOSEP ARMENGOL ROYO,1.03,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,16.07,JOSE ANTONIO BERNUZ PUEYO,32.95,A.PUEYO,0.0,A.PUEYO,0.0,JOSEP ARMENGOL ROYO,113.77,GUILLEM FIOL ROIG,98.45,JOSEP ARMENGOL ROYO,18.11,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,A.PUEYO,0.0,MARCEL PARS VILASECA,0.81,ARNAU ABELLO GIRVES,3.59,JOSE ANTONIO BERNUZ PUEYO,9.5,GUILLEM FIOL ROIG,0.5,GUILLEM FIOL ROIG,77.0
MARCEL PARS VILASECA,25.48,EDUARD CESARI BURCH,10.39,JOSE ANTONIO BERNUZ PUEYO,2.5,JOSE ANTONIO BERNUZ PUEYO,5.69,GUILLEM FIOL ROIG,0.52,EDUARD CESARI BURCH,1.48,EDUARD CESARI BURCH,4.3,MARCEL PARS VILASECA,0.3,EDUARD CESARI BURCH,2.65,JOSEP ARMENGOL ROYO,3.57,JOSE ANTONIO BERNUZ PUEYO,0.71,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,3.12,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,JOSEP ARMENGOL ROYO,0.51,EDUARD CESARI BURCH,0.52,EDUARD CESARI BURCH,4.22,JOSEP ARMENGOL ROYO,1.97,ARNAU ABELLO GIRVES,4.42,MARCEL PARS VILASECA,5.95,GUILLEM FIOL ROIG,51.93,GUILLEM FIOL ROIG,1.02,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,EDUARD CESARI BURCH,12.14,ARNAU ABELLO GIRVES,23.91,A. PUEYO,0.0,MANEL ESPINOSA TEJADA,-0.0,EDUARD CESARI BURCH,105.75,EDUARD CESARI BURCH,96.64,JOSE ANTONIO BERNUZ PUEYO,10.02,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,A. PUEYO,0.0,EDUARD CESARI BURCH,0.51,JOSE ANTONIO BERNUZ PUEYO,3.5,MARCEL PARS VILASECA,8.72,JOSEP ARMENGOL ROYO,0.5,LUIS CARLOS FERNANDEZ BETANCOURT,30.0
JOSE ANTONIO BERNUZ PUEYO,21.12,MARCEL PARS VILASECA,8.56,GUILLEM FIOL ROIG,2.43,GUILLEM FIOL ROIG,4.67,ARNAU ABELLO GIRVES,0.49,JOSE ANTONIO BERNUZ PUEYO,1.0,JOSE ANTONIO BERNUZ PUEYO,3.81,JOSE ANTONIO BERNUZ PUEYO,0.26,JOSEP ARMENGOL ROYO,2.14,EDUARD CESARI BURCH,3.39,MARCEL PARS VILASECA,0.62,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,EDUARD CESARI BURCH,2.91,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ARNAU ABELLO GIRVES,0.47,GUILLEM FIOL ROIG,0.51,ARNAU ABELLO GIRVES,3.04,EDUARD CESARI BURCH,1.35,EDUARD CESARI BURCH,4.42,EDUARD CESARI BURCH,5.46,LUIS CARLOS FERNANDEZ BETANCOURT,51.08,ARNAU ABELLO GIRVES,0.95,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ARNAU ABELLO GIRVES,10.71,LUIS CARLOS FERNANDEZ BETANCOURT,21.74,ORIOL ROSELL ESPADALER,0.0,FRANCO LAUTARO BARRIENTOS,-0.0,JOSE ANTONIO BERNUZ PUEYO,105.67,LUIS CARLOS FERNANDEZ BETANCOURT,96.6,EDUARD CESARI BURCH,9.11,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,ORIOL ROSELL ESPADALER,0.0,JOSE ANTONIO BERNUZ PUEYO,0.4,EDUARD CESARI BURCH,3.13,EDUARD CESARI BURCH,8.52,ARNAU ABELLO GIRVES,0.47,ARNAU ABELLO GIRVES,15.0
JOSEP ARMENGOL ROYO,21.05,ARNAU ABELLO GIRVES,8.55,JOSEP ARMENGOL ROYO,2.38,JOAN ROZAS GONZALEZ,4.65,LUIS CARLOS FERNANDEZ BETANCOURT,0.45,JOAN ROZAS GONZALEZ,0.35,JOAN ROZAS GONZALEZ,1.65,JOSEP ARMENGOL ROYO,0.22,ARNAU ABELLO GIRVES,1.32,ARNAU ABELLO GIRVES,3.05,LUIS CARLOS FERNANDEZ BETANCOURT,0.61,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,GUILLEM FIOL ROIG,2.76,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,LUIS CARLOS FERNANDEZ BETANCOURT,0.45,JOSE ANTONIO BERNUZ PUEYO,0.51,MARCEL PARS VILASECA,2.98,LUIS CARLOS FERNANDEZ BETANCOURT,1.31,JOSEP ARMENGOL ROYO,3.77,JOAN ROZAS GONZALEZ,4.46,ARNAU ABELLO GIRVES,49.89,EDUARD CESARI BURCH,0.91,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,MARCEL PARS VILASECA,10.06,MARCEL PARS VILASECA,20.19,JOAN ROZAS GONZALEZ,0.0,SANTIAGO PATRICIO TAMARIZ MALO,-0.0,GUILLEM FIOL ROIG,103.6,MARCEL PARS VILASECA,96.38,GUILLEM FIOL ROIG,5.15,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,JOAN ROZAS GONZALEZ,0.0,ORIOL ROSELL ESPADALER,0.35,MARCEL PARS VILASECA,2.84,ARNAU ABELLO GIRVES,7.64,LUIS CARLOS FERNANDEZ BETANCOURT,0.45,JOSEP ARMENGOL ROYO,10.0
ARNAU ABELLO GIRVES,20.91,JOSEP ARMENGOL ROYO,7.48,LUIS CARLOS FERNANDEZ BETANCOURT,1.71,JOSEP ARMENGOL ROYO,4.33,MARCEL PARS VILASECA,0.45,ORIOL ROSELL ESPADALER,0.26,ORIOL ROSELL ESPADALER,1.3,JOAN ROZAS GONZALEZ,0.21,LUIS CARLOS FERNANDEZ BETANCOURT,1.05,LUIS CARLOS FERNANDEZ BETANCOURT,1.71,JOSEP ARMENGOL ROYO,0.6,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,ORIOL ROSELL ESPADALER,2.35,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,EDUARD CESARI BURCH,0.45,LUIS CARLOS FERNANDEZ BETANCOURT,0.49,JOSEP ARMENGOL ROYO,2.74,ARNAU ABELLO GIRVES,0.78,MARCEL PARS VILASECA,3.28,ARNAU ABELLO GIRVES,4.44,JOSE ANTONIO BERNUZ PUEYO,49.0,LUIS CARLOS FERNANDEZ BETANCOURT,0.9,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,JOSEP ARMENGOL ROYO,8.78,EDUARD CESARI BURCH,19.68,RAMON ESPUA BARTRINA,0.0,JAIME FRANZI DEL BUEY,0.0,LUIS CARLOS FERNANDEZ BETANCOURT,100.0,ARNAU ABELLO GIRVES,96.2,LUIS CARLOS FERNANDEZ BETANCOURT,3.4,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,RAMON ESPUA BARTRINA,0.0,JOAN ROZAS GONZALEZ,0.26,JOSEP ARMENGOL ROYO,2.57,JOAN ROZAS GONZALEZ,6.3,EDUARD CESARI BURCH,0.37,JOSE ANTONIO BERNUZ PUEYO,9.0
JOAN ROZAS GONZALEZ,20.65,GUILLEM FIOL ROIG,5.48,EDUARD CESARI BURCH,1.65,EDUARD CESARI BURCH,4.22,JOSE ANTONIO BERNUZ PUEYO,0.44,JOSEP ARMENGOL ROYO,0.19,JOSEP ARMENGOL ROYO,0.86,ORIOL ROSELL ESPADALER,0.2,MARCEL PARS VILASECA,0.8,MARCEL PARS VILASECA,1.28,JOAN ROZAS GONZALEZ,0.52,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,ARNAU ABELLO GIRVES,2.27,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,MARCEL PARS VILASECA,0.44,ARNAU ABELLO GIRVES,0.48,LUIS CARLOS FERNANDEZ BETANCOURT,1.71,ORIOL ROSELL ESPADALER,0.61,GUILLEM FIOL ROIG,2.77,JOSEP ARMENGOL ROYO,2.85,EDUARD CESARI BURCH,44.77,MARCEL PARS VILASECA,0.89,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,JOAN ROZAS GONZALEZ,7.48,JOAN ROZAS GONZALEZ,18.07,EDUARD CESARI BURCH,0.0,POL BACHS OLIVER,-0.0,ARNAU ABELLO GIRVES,96.91,JOSEP ARMENGOL ROYO,95.66,ARNAU ABELLO GIRVES,0.71,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,EDUARD CESARI BURCH,0.0,JOSEP ARMENGOL ROYO,0.17,GUILLEM FIOL ROIG,2.48,JOSEP ARMENGOL ROYO,5.19,JOSE ANTONIO BERNUZ PUEYO,0.37,EDUARD CESARI BURCH,8.0
GUILLEM FIOL ROIG,20.0,JOAN ROZAS GONZALEZ,4.85,JOAN ROZAS GONZALEZ,1.6,LUIS CARLOS FERNANDEZ BETANCOURT,3.81,EDUARD CESARI BURCH,0.39,ARNAU ABELLO GIRVES,0.05,ARNAU ABELLO GIRVES,0.45,GUILLEM FIOL ROIG,0.2,JOAN ROZAS GONZALEZ,0.6,ORIOL ROSELL ESPADALER,1.17,ORIOL ROSELL ESPADALER,0.44,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOAN ROZAS GONZALEZ,1.5,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.42,MARCEL PARS VILASECA,0.46,GUILLEM FIOL ROIG,1.68,JOAN ROZAS GONZALEZ,0.48,JOAN ROZAS GONZALEZ,2.31,ORIOL ROSELL ESPADALER,2.84,MARCEL PARS VILASECA,35.53,JOSE ANTONIO BERNUZ PUEYO,0.84,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,GUILLEM FIOL ROIG,6.02,JOSEP ARMENGOL ROYO,17.66,JOSE ANTONIO BERNUZ PUEYO,0.0,MAXIMILIANO PALHEIRO,-0.0,MARCEL PARS VILASECA,93.04,JOSE ANTONIO BERNUZ PUEYO,95.65,TOMS GARCIA NAVARRO,-0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,JOSE ANTONIO BERNUZ PUEYO,0.0,ARNAU ABELLO GIRVES,0.06,JOAN ROZAS GONZALEZ,1.95,GUILLEM FIOL ROIG,4.9,MARCEL PARS VILASECA,0.33,JOAN ROZAS GONZALEZ,3.0
ORIOL ROSELL ESPADALER,16.48,LUIS CARLOS FERNANDEZ BETANCOURT,4.48,MARCEL PARS VILASECA,0.76,ORIOL ROSELL ESPADALER,2.39,JOAN ROZAS GONZALEZ,0.34,GUILLEM FIOL ROIG,0.05,GUILLEM FIOL ROIG,0.24,ARNAU ABELLO GIRVES,0.1,ORIOL ROSELL ESPADALER,0.52,JOAN ROZAS GONZALEZ,1.15,ARNAU ABELLO GIRVES,0.43,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,LUIS CARLOS FERNANDEZ BETANCOURT,1.29,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOAN ROZAS GONZALEZ,0.34,JOAN ROZAS GONZALEZ,0.36,JOAN ROZAS GONZALEZ,0.4,GUILLEM FIOL ROIG,0.46,LUIS CARLOS FERNANDEZ BETANCOURT,2.3,GUILLEM FIOL ROIG,2.57,JOAN ROZAS GONZALEZ,34.09,JOAN ROZAS GONZALEZ,0.67,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,LUIS CARLOS FERNANDEZ BETANCOURT,5.52,GUILLEM FIOL ROIG,15.08,JOSEP ARMENGOL ROYO,0.0,MANUEL FERREIRA CARMONA,-0.0,JOAN ROZAS GONZALEZ,71.85,ORIOL ROSELL ESPADALER,95.29,RAMON ESPUA BARTRINA,-0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,JOSEP ARMENGOL ROYO,0.0,GUILLEM FIOL ROIG,0.05,LUIS CARLOS FERNANDEZ BETANCOURT,1.71,LUIS CARLOS FERNANDEZ BETANCOURT,3.81,JOAN ROZAS GONZALEZ,0.31,ORIOL ROSELL ESPADALER,2.0
LUIS CARLOS FERNANDEZ BETANCOURT,11.62,ORIOL ROSELL ESPADALER,2.78,ORIOL ROSELL ESPADALER,0.74,MARCEL PARS VILASECA,1.68,ORIOL ROSELL ESPADALER,0.31,MANUEL FERREIRA CARMONA,0.0,MANUEL FERREIRA CARMONA,0.0,MAXIMILIANO PALHEIRO,0.0,GUILLEM FIOL ROIG,0.48,GUILLEM FIOL ROIG,1.1,GUILLEM FIOL ROIG,0.43,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,MARCEL PARS VILASECA,1.04,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ORIOL ROSELL ESPADALER,0.31,ORIOL ROSELL ESPADALER,0.33,MAXIMILIANO PALHEIRO,-0.0,MARCEL PARS VILASECA,0.37,ORIOL ROSELL ESPADALER,1.32,LUIS CARLOS FERNANDEZ BETANCOURT,2.2,ORIOL ROSELL ESPADALER,31.8,ORIOL ROSELL ESPADALER,0.61,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ORIOL ROSELL ESPADALER,4.93,ORIOL ROSELL ESPADALER,14.04,ARNAU ABELLO GIRVES,0.0,JOSEP CORNELLA I BOADA,-0.0,ORIOL ROSELL ESPADALER,67.37,JOAN ROZAS GONZALEZ,94.15,PAU PREZ GMEZ,-0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,ARNAU ABELLO GIRVES,0.0,MANUEL FERREIRA CARMONA,0.0,ORIOL ROSELL ESPADALER,1.0,ORIOL ROSELL ESPADALER,3.7,ORIOL ROSELL ESPADALER,0.27,MARCEL PARS VILASECA,1.0
MAXIMILIANO PALHEIRO,0.0,POL BACHS OLIVER,0.0,MANUEL FERREIRA CARMONA,0.0,JOSEP CORNELLA I BOADA,0.0,JAIME FRANZI DEL BUEY,0.0,JOSEP CORNELLA I BOADA,0.0,JOSEP CORNELLA I BOADA,0.0,MANUEL FERREIRA CARMONA,0.0,JOSEP CORNELLA I BOADA,0.0,JOSEP CORNELLA I BOADA,0.0,JOSEP CORNELLA I BOADA,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,JOSEP CORNELLA I BOADA,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,POL BACHS OLIVER,0.0,MAXIMILIANO PALHEIRO,0.0,MANUEL FERREIRA CARMONA,-0.0,JOSEP CORNELLA I BOADA,0.0,POL BACHS OLIVER,0.0,MANUEL FERREIRA CARMONA,0.0,MAXIMILIANO PALHEIRO,0.0,POL BACHS OLIVER,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,MAXIMILIANO PALHEIRO,0.0,MANUEL FERREIRA CARMONA,0.0,PAU PREZ GMEZ,0.0,TOMS GARCIA NAVARRO,-0.0,MAXIMILIANO PALHEIRO,0.0,SANTIAGO PATRICIO TAMARIZ MALO,0.0,A. PUEYO,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,PAU PREZ GMEZ,0.0,JOSEP CORNELLA I BOADA,0.0,POL BACHS OLIVER,0.0,MAXIMILIANO PALHEIRO,0.0,MAXIMILIANO PALHEIRO,0.0,JOSEP CORNELLA I BOADA,0.0
