Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
JAVIER VICENTE NIETO,23.22,PAU CARRIN SORIANO,12.83,PAU CARRIN SORIANO,2.78,PAU CARRIN SORIANO,6.0,MARC GILABERT GALLARDO,0.55,JAVIER VICENTE NIETO,2.28,JAVIER VICENTE NIETO,6.83,VCTOR DIAZ GMEZ,0.45,PAU CARRIN SORIANO,4.78,PAU CARRIN SORIANO,6.78,NICOLAS EDUARDO LUS HAHNEISER,0.8,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,PERE CARRIN SORIANO,3.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,-0.0,MARC GILABERT GALLARDO,0.53,MARC GILABERT GALLARDO,0.52,PAU CARRIN SORIANO,5.66,PAU CARRIN SORIANO,2.76,PAU CARRIN SORIANO,6.09,PAU CARRIN SORIANO,6.24,MARC GILABERT GALLARDO,54.21,MARC GILABERT GALLARDO,1.07,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,PAU CARRIN SORIANO,15.49,PAU CARRIN SORIANO,34.15,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,MARC GILABERT GALLARDO,106.82,GERARD FLORENSA PERDIGUERO,89.21,MARC GILABERT GALLARDO,18.56,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,ADRIA TORROJA CORBELLA,0.0,JAVIER VICENTE NIETO,0.85,PAU CARRIN SORIANO,3.61,PAU CARRIN SORIANO,9.61,MARC GILABERT GALLARDO,0.53,JAVIER VICENTE NIETO,87.0
PAU CARRIN SORIANO,20.61,JAVIER VICENTE NIETO,8.78,ROGER DALET CASALPRIM,2.56,ROGER DALET CASALPRIM,5.22,ROGER DALET CASALPRIM,0.49,PAU CARRIN SORIANO,0.83,PAU CARRIN SORIANO,3.61,JAVIER VICENTE NIETO,0.33,PERE CARRIN SORIANO,2.94,ROGER DALET CASALPRIM,4.44,PERE CARRIN SORIANO,0.71,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,MARC GILABERT GALLARDO,2.94,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,ROGER DALET CASALPRIM,0.48,PAU CARRIN SORIANO,0.51,JAVIER VICENTE NIETO,2.96,PERE CARRIN SORIANO,2.63,ROGER DALET CASALPRIM,3.75,JAVIER VICENTE NIETO,5.62,ROGER DALET CASALPRIM,53.09,ROGER DALET CASALPRIM,0.97,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,9.98,OJAS AMIT AMBEDKAR,26.8,JAVIER VICENTE NIETO,0.0,VCTOR DIAZ GMEZ,-1.0,PAU CARRIN SORIANO,104.52,ARMAK KARIMI GONZALEZ,88.88,PAU CARRIN SORIANO,16.17,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,JAVIER VICENTE NIETO,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.68,JAVIER VICENTE NIETO,2.56,JAVIER VICENTE NIETO,8.06,ROGER DALET CASALPRIM,0.48,NICOLAS EDUARDO LUS HAHNEISER,42.0
MARC GILABERT GALLARDO,20.33,PERE CARRIN SORIANO,7.33,MARC GILABERT GALLARDO,2.17,PERE CARRIN SORIANO,4.11,ARMAK KARIMI GONZALEZ,0.48,NICOLAS EDUARDO LUS HAHNEISER,0.78,OJAS AMIT AMBEDKAR,2.56,NICOLAS EDUARDO LUS HAHNEISER,0.32,ROGER DALET CASALPRIM,1.89,PERE CARRIN SORIANO,4.17,PAU CARRIN SORIANO,0.7,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,PAU CARRIN SORIANO,2.72,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,VCTOR DIAZ GMEZ,0.48,VCTOR DIAZ GMEZ,0.5,ROGER DALET CASALPRIM,2.31,ROGER DALET CASALPRIM,1.99,PERE CARRIN SORIANO,3.47,PERE CARRIN SORIANO,4.42,ARMAK KARIMI GONZALEZ,49.56,VCTOR DIAZ GMEZ,0.95,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,PERE CARRIN SORIANO,9.83,PERE CARRIN SORIANO,23.9,NICOLAS EDUARDO LUS HAHNEISER,0.0,GERARD FLORENSA PERDIGUERO,-1.07,VCTOR DIAZ GMEZ,101.22,OJAS AMIT AMBEDKAR,88.76,VCTOR DIAZ GMEZ,12.87,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.0,JORDI POCH CAMPABADAL,0.53,ROGER DALET CASALPRIM,2.56,PERE CARRIN SORIANO,6.22,ARMAK KARIMI GONZALEZ,0.46,ROGER DALET CASALPRIM,32.0
PERE CARRIN SORIANO,18.83,ROGER DALET CASALPRIM,7.0,ARMAK KARIMI GONZALEZ,1.65,MARC GILABERT GALLARDO,3.94,PAU CARRIN SORIANO,0.46,OJAS AMIT AMBEDKAR,0.72,NICOLAS EDUARDO LUS HAHNEISER,2.44,GERARD FLORENSA PERDIGUERO,0.29,JAVIER VICENTE NIETO,1.39,JAVIER VICENTE NIETO,2.22,JORDI POCH CAMPABADAL,0.67,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,2.5,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,JAVIER VICENTE NIETO,0.46,JAVIER VICENTE NIETO,0.49,PERE CARRIN SORIANO,2.07,VCTOR DIAZ GMEZ,1.68,JAVIER VICENTE NIETO,3.32,OJAS AMIT AMBEDKAR,3.6,PAU CARRIN SORIANO,49.39,JAVIER VICENTE NIETO,0.92,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,9.13,ROGER DALET CASALPRIM,22.81,ROGER DALET CASALPRIM,0.0,ARMAK KARIMI GONZALEZ,-1.09,ROGER DALET CASALPRIM,100.0,JAVIER VICENTE NIETO,88.65,ROGER DALET CASALPRIM,11.71,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,ROGER DALET CASALPRIM,0.0,OJAS AMIT AMBEDKAR,0.49,MARC GILABERT GALLARDO,2.22,ROGER DALET CASALPRIM,5.28,VCTOR DIAZ GMEZ,0.41,VCTOR DIAZ GMEZ,24.0
JORDI POCH CAMPABADAL,18.35,MARC GILABERT GALLARDO,5.22,PERE CARRIN SORIANO,1.44,ARMAK KARIMI GONZALEZ,3.41,ALBERT SITJES LOZANO,0.43,JORDI POCH CAMPABADAL,0.59,JORDI POCH CAMPABADAL,2.24,OJAS AMIT AMBEDKAR,0.28,VCTOR DIAZ GMEZ,1.11,VCTOR DIAZ GMEZ,2.22,JAVIER VICENTE NIETO,0.62,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,JAVIER VICENTE NIETO,2.17,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,ARMAK KARIMI GONZALEZ,0.46,ROGER DALET CASALPRIM,0.48,VCTOR DIAZ GMEZ,1.53,ALBERT SITJES LOZANO,1.45,MARC GILABERT GALLARDO,2.69,ROGER DALET CASALPRIM,3.31,VCTOR DIAZ GMEZ,47.56,ARMAK KARIMI GONZALEZ,0.92,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,OJAS AMIT AMBEDKAR,6.27,JAVIER VICENTE NIETO,21.74,VCTOR DIAZ GMEZ,0.0,NICOLAS EDUARDO LUS HAHNEISER,-1.22,JAVIER VICENTE NIETO,98.75,NICOLAS EDUARDO LUS HAHNEISER,88.64,JAVIER VICENTE NIETO,10.1,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,VCTOR DIAZ GMEZ,0.0,GERARD FLORENSA PERDIGUERO,0.44,PERE CARRIN SORIANO,1.94,OJAS AMIT AMBEDKAR,5.17,ALBERT SITJES LOZANO,0.38,GERARD FLORENSA PERDIGUERO,23.0
ARMAK KARIMI GONZALEZ,17.94,OJAS AMIT AMBEDKAR,4.78,ALBERT SITJES LOZANO,1.11,ALBERT SITJES LOZANO,2.61,GERARD FLORENSA PERDIGUERO,0.41,VCTOR DIAZ GMEZ,0.5,PERE CARRIN SORIANO,2.11,ALBERT SITJES LOZANO,0.27,ALBERT SITJES LOZANO,1.0,ALBERT SITJES LOZANO,2.11,GERARD FLORENSA PERDIGUERO,0.57,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,ALBERT SITJES LOZANO,1.94,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,NICOLAS EDUARDO LUS HAHNEISER,0.42,ARMAK KARIMI GONZALEZ,0.47,MARC GILABERT GALLARDO,1.53,ARMAK KARIMI GONZALEZ,1.16,VCTOR DIAZ GMEZ,2.17,JORDI POCH CAMPABADAL,2.91,PERE CARRIN SORIANO,43.96,ALBERT SITJES LOZANO,0.84,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,MARC GILABERT GALLARDO,5.81,VCTOR DIAZ GMEZ,20.67,GERARD FLORENSA PERDIGUERO,0.0,MARC GILABERT GALLARDO,-1.39,ARMAK KARIMI GONZALEZ,95.77,ALBERT SITJES LOZANO,88.5,ARMAK KARIMI GONZALEZ,6.9,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,GERARD FLORENSA PERDIGUERO,0.0,PAU CARRIN SORIANO,0.38,OJAS AMIT AMBEDKAR,1.67,JORDI POCH CAMPABADAL,4.24,PAU CARRIN SORIANO,0.38,ALBERT SITJES LOZANO,20.0
ROGER DALET CASALPRIM,17.72,VCTOR DIAZ GMEZ,4.61,VCTOR DIAZ GMEZ,1.0,OJAS AMIT AMBEDKAR,2.61,VCTOR DIAZ GMEZ,0.39,PERE CARRIN SORIANO,0.5,GERARD FLORENSA PERDIGUERO,1.4,JORDI POCH CAMPABADAL,0.26,MARC GILABERT GALLARDO,0.72,MARC GILABERT GALLARDO,1.83,OJAS AMIT AMBEDKAR,0.57,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,VCTOR DIAZ GMEZ,1.67,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,GERARD FLORENSA PERDIGUERO,0.42,PERE CARRIN SORIANO,0.46,OJAS AMIT AMBEDKAR,1.23,JAVIER VICENTE NIETO,0.96,OJAS AMIT AMBEDKAR,2.08,ALBERT SITJES LOZANO,2.62,ALBERT SITJES LOZANO,43.93,PAU CARRIN SORIANO,0.84,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,5.66,GERARD FLORENSA PERDIGUERO,19.43,ALBERT SITJES LOZANO,0.0,JAVIER VICENTE NIETO,-1.47,PERE CARRIN SORIANO,93.62,PAU CARRIN SORIANO,88.36,PERE CARRIN SORIANO,5.46,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,ALBERT SITJES LOZANO,0.0,PERE CARRIN SORIANO,0.34,ARMAK KARIMI GONZALEZ,1.65,MARC GILABERT GALLARDO,4.22,GERARD FLORENSA PERDIGUERO,0.35,MARC GILABERT GALLARDO,17.0
ALBERT SITJES LOZANO,17.22,ALBERT SITJES LOZANO,4.22,OJAS AMIT AMBEDKAR,0.94,VCTOR DIAZ GMEZ,2.56,JORDI POCH CAMPABADAL,0.38,GERARD FLORENSA PERDIGUERO,0.4,ALBERT SITJES LOZANO,1.22,PERE CARRIN SORIANO,0.24,OJAS AMIT AMBEDKAR,0.72,ARMAK KARIMI GONZALEZ,1.53,VCTOR DIAZ GMEZ,0.5,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,NICOLAS EDUARDO LUS HAHNEISER,1.56,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,ALBERT SITJES LOZANO,0.42,NICOLAS EDUARDO LUS HAHNEISER,0.45,ARMAK KARIMI GONZALEZ,1.23,MARC GILABERT GALLARDO,0.95,ARMAK KARIMI GONZALEZ,2.08,NICOLAS EDUARDO LUS HAHNEISER,2.51,GERARD FLORENSA PERDIGUERO,37.96,NICOLAS EDUARDO LUS HAHNEISER,0.83,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,VCTOR DIAZ GMEZ,5.59,ALBERT SITJES LOZANO,15.45,MARC GILABERT GALLARDO,0.0,OJAS AMIT AMBEDKAR,-1.5,ALBERT SITJES LOZANO,91.57,VCTOR DIAZ GMEZ,88.35,ALBERT SITJES LOZANO,3.06,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,MARC GILABERT GALLARDO,0.0,ALBERT SITJES LOZANO,0.32,VCTOR DIAZ GMEZ,1.5,ALBERT SITJES LOZANO,3.83,JAVIER VICENTE NIETO,0.32,OJAS AMIT AMBEDKAR,12.0
NICOLAS EDUARDO LUS HAHNEISER,16.5,ARMAK KARIMI GONZALEZ,4.0,JORDI POCH CAMPABADAL,0.76,JORDI POCH CAMPABADAL,2.0,OJAS AMIT AMBEDKAR,0.36,ALBERT SITJES LOZANO,0.33,VCTOR DIAZ GMEZ,1.11,PAU CARRIN SORIANO,0.23,ARMAK KARIMI GONZALEZ,0.71,OJAS AMIT AMBEDKAR,1.28,ALBERT SITJES LOZANO,0.47,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,ARMAK KARIMI GONZALEZ,1.47,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,PAU CARRIN SORIANO,0.42,ALBERT SITJES LOZANO,0.44,ALBERT SITJES LOZANO,0.89,OJAS AMIT AMBEDKAR,0.78,ALBERT SITJES LOZANO,2.06,VCTOR DIAZ GMEZ,2.39,JAVIER VICENTE NIETO,37.11,GERARD FLORENSA PERDIGUERO,0.83,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,ARMAK KARIMI GONZALEZ,4.9,MARC GILABERT GALLARDO,13.82,OJAS AMIT AMBEDKAR,0.0,JORDI POCH CAMPABADAL,-1.5,NICOLAS EDUARDO LUS HAHNEISER,91.18,ROGER DALET CASALPRIM,88.29,NICOLAS EDUARDO LUS HAHNEISER,2.53,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,OJAS AMIT AMBEDKAR,0.0,VCTOR DIAZ GMEZ,0.3,ALBERT SITJES LOZANO,1.44,VCTOR DIAZ GMEZ,3.67,OJAS AMIT AMBEDKAR,0.32,PERE CARRIN SORIANO,10.0
VCTOR DIAZ GMEZ,12.56,JORDI POCH CAMPABADAL,3.65,GERARD FLORENSA PERDIGUERO,0.73,GERARD FLORENSA PERDIGUERO,1.8,PERE CARRIN SORIANO,0.35,MARC GILABERT GALLARDO,0.06,MARC GILABERT GALLARDO,0.28,MARC GILABERT GALLARDO,0.2,NICOLAS EDUARDO LUS HAHNEISER,0.44,NICOLAS EDUARDO LUS HAHNEISER,0.56,ARMAK KARIMI GONZALEZ,0.46,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,JORDI POCH CAMPABADAL,1.29,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,OJAS AMIT AMBEDKAR,0.39,GERARD FLORENSA PERDIGUERO,0.43,NICOLAS EDUARDO LUS HAHNEISER,0.69,NICOLAS EDUARDO LUS HAHNEISER,0.68,JORDI POCH CAMPABADAL,1.54,MARC GILABERT GALLARDO,2.27,OJAS AMIT AMBEDKAR,36.65,OJAS AMIT AMBEDKAR,0.78,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,JORDI POCH CAMPABADAL,4.69,JORDI POCH CAMPABADAL,13.57,PERE CARRIN SORIANO,0.0,PAU CARRIN SORIANO,-1.53,GERARD FLORENSA PERDIGUERO,88.0,MARC GILABERT GALLARDO,88.26,ADRIA TORROJA CORBELLA,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,PERE CARRIN SORIANO,0.0,MARC GILABERT GALLARDO,0.07,JORDI POCH CAMPABADAL,1.35,NICOLAS EDUARDO LUS HAHNEISER,3.61,JORDI POCH CAMPABADAL,0.32,ARMAK KARIMI GONZALEZ,9.0
