Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
FERRAN ARQUES LOPEZ,27.57,FERRAN ARQUES LOPEZ,14.57,FERRAN ARQUES LOPEZ,4.43,FERRAN ARQUES LOPEZ,9.43,CESAR GMEZ ORELLANA,0.62,ENRIC CURTO SABATER,2.0,ENRIC CURTO SABATER,6.62,FERRAN ARQUES LOPEZ,0.39,ENRIC CURTO SABATER,3.75,ENRIC CURTO SABATER,4.75,GUILLEM RUBIO CHACON,1.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,NIL FARRE FLORES,3.2,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,FERRAN ARQUES LOPEZ,0.49,ALEX LOPEZ ALVES,0.54,FERRAN ARQUES LOPEZ,7.14,NIL FARRE FLORES,7.78,FERRAN ARQUES LOPEZ,6.84,ENRIC CURTO SABATER,7.46,ALEX LOPEZ ALVES,54.31,FERRAN ARQUES LOPEZ,0.99,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,FERRAN ARQUES LOPEZ,15.86,ENRIC CURTO SABATER,27.47,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,-0.0,ALEX LOPEZ ALVES,111.76,HECTOR AZA GAY,100.52,ALEX LOPEZ ALVES,14.9,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,ADRIAN ESPINILLA VILLAS,0.0,GUILLEM RUBIO CHACON,1.0,FERRAN ARQUES LOPEZ,5.43,FERRAN ARQUES LOPEZ,12.0,JOSE ANTONIO CABRERA MENDEZ,0.48,JOSE ANTONIO CABRERA MENDEZ,33.0
ENRIC CURTO SABATER,24.5,ENRIC CURTO SABATER,12.0,CESAR GMEZ ORELLANA,2.5,ALEX LOPEZ ALVES,5.0,JESUS MORALES GONZALEZ,0.53,FERRAN ARQUES LOPEZ,1.0,CESAR GMEZ ORELLANA,4.62,HECTOR AZA GAY,0.33,CESAR GMEZ ORELLANA,2.75,FERRAN ARQUES LOPEZ,3.86,ENRIC CURTO SABATER,0.79,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,2.88,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,JOSE ANTONIO CABRERA MENDEZ,0.48,FERRAN ARQUES LOPEZ,0.53,ENRIC CURTO SABATER,4.45,GUILLEM RUBIO CHACON,5.71,ENRIC CURTO SABATER,4.94,FERRAN ARQUES LOPEZ,6.71,JOSE ANTONIO CABRERA MENDEZ,52.26,JOSE ANTONIO CABRERA MENDEZ,0.95,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,ENRIC CURTO SABATER,15.15,FERRAN ARQUES LOPEZ,26.92,CESAR GMEZ ORELLANA,0.0,MARIO BARRIENTOS PEREIRA,-0.0,FERRAN ARQUES LOPEZ,109.68,NIL FARRE FLORES,99.81,FERRAN ARQUES LOPEZ,12.38,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,CESAR GMEZ ORELLANA,0.0,ENRIC CURTO SABATER,0.63,CESAR GMEZ ORELLANA,3.38,ENRIC CURTO SABATER,10.5,ALEX LOPEZ ALVES,0.47,JESUS MORALES GONZALEZ,15.0
CESAR GMEZ ORELLANA,23.62,CESAR GMEZ ORELLANA,10.38,ALEX LOPEZ ALVES,2.38,JESUS MORALES GONZALEZ,4.25,SERGI CARMONA MARTINEZ,0.5,CESAR GMEZ ORELLANA,0.88,FERRAN ARQUES LOPEZ,2.57,ALEX LOPEZ ALVES,0.33,FERRAN ARQUES LOPEZ,2.71,CESAR GMEZ ORELLANA,3.5,JESUS MORALES GONZALEZ,0.79,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,2.62,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ALEX LOPEZ ALVES,0.48,JESUS MORALES GONZALEZ,0.51,CESAR GMEZ ORELLANA,4.24,ALEX LOPEZ ALVES,4.65,CESAR GMEZ ORELLANA,4.71,CESAR GMEZ ORELLANA,5.31,FERRAN ARQUES LOPEZ,50.48,ALEX LOPEZ ALVES,0.95,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,CESAR GMEZ ORELLANA,12.05,CESAR GMEZ ORELLANA,23.0,ENRIC CURTO SABATER,0.0,VICTOR FERRER TEIXIDOR,0.0,CESAR GMEZ ORELLANA,105.06,ARNAU MANUBENS ESTADELLA,99.77,CESAR GMEZ ORELLANA,8.43,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,ENRIC CURTO SABATER,0.0,CESAR GMEZ ORELLANA,0.54,ENRIC CURTO SABATER,3.12,CESAR GMEZ ORELLANA,8.62,FERRAN ARQUES LOPEZ,0.45,NIL FARRE FLORES,14.0
ALEX LOPEZ ALVES,23.38,JESUS MORALES GONZALEZ,7.38,JESUS MORALES GONZALEZ,2.25,CESAR GMEZ ORELLANA,4.0,JOSE ANTONIO CABRERA MENDEZ,0.5,JESUS MORALES GONZALEZ,0.5,JESUS MORALES GONZALEZ,2.25,ENRIC CURTO SABATER,0.3,ALEX LOPEZ ALVES,2.0,ALEX LOPEZ ALVES,2.88,CESAR GMEZ ORELLANA,0.79,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,HECTOR AZA GAY,2.33,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,SERGI CARMONA MARTINEZ,0.46,CESAR GMEZ ORELLANA,0.51,JESUS MORALES GONZALEZ,3.42,ENRIC CURTO SABATER,4.46,ALEX LOPEZ ALVES,3.54,JESUS MORALES GONZALEZ,3.78,JESUS MORALES GONZALEZ,47.47,SERGI CARMONA MARTINEZ,0.93,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,JESUS MORALES GONZALEZ,8.21,ARNAU MANUBENS ESTADELLA,20.97,ARNAU MANUBENS ESTADELLA,0.0,ALBERT VIALLONGA SORIANO,-0.0,JOSE ANTONIO CABRERA MENDEZ,104.0,GUILLEM RUBIO CHACON,99.27,JOSE ANTONIO CABRERA MENDEZ,8.22,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.0,ARNAU MANUBENS ESTADELLA,0.52,JESUS MORALES GONZALEZ,2.75,JESUS MORALES GONZALEZ,6.5,SERGI CARMONA MARTINEZ,0.42,HECTOR AZA GAY,13.0
JESUS MORALES GONZALEZ,20.5,ALEX LOPEZ ALVES,7.12,SERGI CARMONA MARTINEZ,1.75,ENRIC CURTO SABATER,3.88,FERRAN ARQUES LOPEZ,0.47,ARNAU MANUBENS ESTADELLA,0.43,ARNAU MANUBENS ESTADELLA,2.14,MIGUEL ORTIZ PINTOR,0.27,NIL FARRE FLORES,1.4,NIL FARRE FLORES,2.6,FERRAN ARQUES LOPEZ,0.7,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,MIGUEL ORTIZ PINTOR,2.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,JESUS MORALES GONZALEZ,0.46,JOSE ANTONIO CABRERA MENDEZ,0.49,ALEX LOPEZ ALVES,3.41,JOSE ANTONIO CABRERA MENDEZ,4.08,JESUS MORALES GONZALEZ,3.42,MIGUEL ORTIZ PINTOR,3.71,CESAR GMEZ ORELLANA,46.99,JESUS MORALES GONZALEZ,0.92,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,ALEX LOPEZ ALVES,8.19,MIGUEL ORTIZ PINTOR,20.31,VICTOR FERRER TEIXIDOR,0.0,VICTOR RUBIO CHACON,0.0,JESUS MORALES GONZALEZ,103.51,FERRAN ARQUES LOPEZ,97.3,JESUS MORALES GONZALEZ,6.56,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,VICTOR FERRER TEIXIDOR,0.0,NIL FARRE FLORES,0.44,ALEX LOPEZ ALVES,2.5,ALEX LOPEZ ALVES,5.38,JESUS MORALES GONZALEZ,0.42,CESAR GMEZ ORELLANA,12.0
HECTOR AZA GAY,16.17,SERGI CARMONA MARTINEZ,4.75,JOSE ANTONIO CABRERA MENDEZ,1.43,SERGI CARMONA MARTINEZ,3.5,ALEX LOPEZ ALVES,0.47,SERGI CARMONA MARTINEZ,0.38,NIL FARRE FLORES,1.6,SERGI CARMONA MARTINEZ,0.25,JESUS MORALES GONZALEZ,1.38,MIGUEL ORTIZ PINTOR,1.88,ALEX LOPEZ ALVES,0.7,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,1.86,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,CESAR GMEZ ORELLANA,0.44,ENRIC CURTO SABATER,0.48,SERGI CARMONA MARTINEZ,1.8,CESAR GMEZ ORELLANA,3.98,SERGI CARMONA MARTINEZ,2.2,ARNAU MANUBENS ESTADELLA,3.06,SERGI CARMONA MARTINEZ,43.14,CESAR GMEZ ORELLANA,0.88,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,MIGUEL ORTIZ PINTOR,6.71,SERGI CARMONA MARTINEZ,20.23,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,-0.29,ENRIC CURTO SABATER,97.96,JESUS MORALES GONZALEZ,96.95,ENRIC CURTO SABATER,1.26,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,FERRAN ARQUES LOPEZ,0.0,HECTOR AZA GAY,0.38,SERGI CARMONA MARTINEZ,2.12,SERGI CARMONA MARTINEZ,5.0,CESAR GMEZ ORELLANA,0.39,ALEX LOPEZ ALVES,11.0
MIGUEL ORTIZ PINTOR,15.0,MIGUEL ORTIZ PINTOR,4.0,MIGUEL ORTIZ PINTOR,1.12,MIGUEL ORTIZ PINTOR,3.5,NIL FARRE FLORES,0.4,MIGUEL ORTIZ PINTOR,0.38,SERGI CARMONA MARTINEZ,1.5,JESUS MORALES GONZALEZ,0.22,JOSE ANTONIO CABRERA MENDEZ,0.86,JOSE ANTONIO CABRERA MENDEZ,1.86,NIL FARRE FLORES,0.54,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,GUILLEM RUBIO CHACON,1.6,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,ENRIC CURTO SABATER,0.39,SERGI CARMONA MARTINEZ,0.46,JOSE ANTONIO CABRERA MENDEZ,1.27,FERRAN ARQUES LOPEZ,3.23,JOSE ANTONIO CABRERA MENDEZ,1.96,ALEX LOPEZ ALVES,2.98,ENRIC CURTO SABATER,39.85,ENRIC CURTO SABATER,0.79,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,NIL FARRE FLORES,5.97,JESUS MORALES GONZALEZ,18.96,MIGUEL ORTIZ PINTOR,0.0,JESUS MORALES GONZALEZ,-0.44,SERGI CARMONA MARTINEZ,95.0,SERGI CARMONA MARTINEZ,96.93,ADRIAN ESPINILLA VILLAS,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,MIGUEL ORTIZ PINTOR,0.0,JESUS MORALES GONZALEZ,0.35,MIGUEL ORTIZ PINTOR,1.5,MIGUEL ORTIZ PINTOR,4.88,MIGUEL ORTIZ PINTOR,0.31,MIGUEL ORTIZ PINTOR,10.0
NIL FARRE FLORES,14.0,JOSE ANTONIO CABRERA MENDEZ,3.71,ENRIC CURTO SABATER,1.12,JOSE ANTONIO CABRERA MENDEZ,2.86,ARNAU MANUBENS ESTADELLA,0.36,GUILLEM RUBIO CHACON,0.2,GUILLEM RUBIO CHACON,1.4,ARNAU MANUBENS ESTADELLA,0.2,MIGUEL ORTIZ PINTOR,0.62,JESUS MORALES GONZALEZ,1.75,SERGI CARMONA MARTINEZ,0.5,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,1.5,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,MIGUEL ORTIZ PINTOR,0.35,NIL FARRE FLORES,0.38,ARNAU MANUBENS ESTADELLA,0.1,JESUS MORALES GONZALEZ,2.64,MIGUEL ORTIZ PINTOR,1.92,SERGI CARMONA MARTINEZ,2.9,NIL FARRE FLORES,39.19,MIGUEL ORTIZ PINTOR,0.69,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,SERGI CARMONA MARTINEZ,5.25,NIL FARRE FLORES,18.19,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,-0.44,NIL FARRE FLORES,78.26,ALEX LOPEZ ALVES,96.86,ALBERT VIALLONGA SORIANO,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,ALEX LOPEZ ALVES,0.0,SERGI CARMONA MARTINEZ,0.3,JOSE ANTONIO CABRERA MENDEZ,1.43,ARNAU MANUBENS ESTADELLA,4.14,ENRIC CURTO SABATER,0.3,FERRAN ARQUES LOPEZ,9.0
SERGI CARMONA MARTINEZ,13.5,NIL FARRE FLORES,3.6,NIL FARRE FLORES,0.8,ARNAU MANUBENS ESTADELLA,2.0,MIGUEL ORTIZ PINTOR,0.32,NIL FARRE FLORES,0.2,MIGUEL ORTIZ PINTOR,1.38,CESAR GMEZ ORELLANA,0.19,GUILLEM RUBIO CHACON,0.4,ARNAU MANUBENS ESTADELLA,0.57,ARNAU MANUBENS ESTADELLA,0.5,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,JOSE ANTONIO CABRERA MENDEZ,1.29,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,ARNAU MANUBENS ESTADELLA,0.33,MIGUEL ORTIZ PINTOR,0.35,VICTOR FERRER TEIXIDOR,0.0,MIGUEL ORTIZ PINTOR,1.6,NIL FARRE FLORES,1.82,NIL FARRE FLORES,2.82,MIGUEL ORTIZ PINTOR,34.07,ARNAU MANUBENS ESTADELLA,0.66,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,JOSE ANTONIO CABRERA MENDEZ,4.74,JOSE ANTONIO CABRERA MENDEZ,17.33,HECTOR AZA GAY,0.0,SERGI CARMONA MARTINEZ,-0.69,MIGUEL ORTIZ PINTOR,72.73,ENRIC CURTO SABATER,96.69,VICTOR RUBIO CHACON,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,HECTOR AZA GAY,0.0,MIGUEL ORTIZ PINTOR,0.28,ARNAU MANUBENS ESTADELLA,1.14,NIL FARRE FLORES,3.6,ARNAU MANUBENS ESTADELLA,0.28,GUILLEM RUBIO CHACON,7.0
JOSE ANTONIO CABRERA MENDEZ,11.71,ARNAU MANUBENS ESTADELLA,3.0,ARNAU MANUBENS ESTADELLA,0.71,NIL FARRE FLORES,2.0,ENRIC CURTO SABATER,0.29,HECTOR AZA GAY,0.17,HECTOR AZA GAY,0.5,GUILLEM RUBIO CHACON,0.14,ARNAU MANUBENS ESTADELLA,0.29,GUILLEM RUBIO CHACON,0.4,JOSE ANTONIO CABRERA MENDEZ,0.46,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,JESUS MORALES GONZALEZ,0.88,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,NIL FARRE FLORES,0.31,ARNAU MANUBENS ESTADELLA,0.34,ADRIAN ESPINILLA VILLAS,-0.0,ARNAU MANUBENS ESTADELLA,0.99,ARNAU MANUBENS ESTADELLA,1.31,JOSE ANTONIO CABRERA MENDEZ,1.79,ARNAU MANUBENS ESTADELLA,30.07,NIL FARRE FLORES,0.61,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,ARNAU MANUBENS ESTADELLA,4.69,ALEX LOPEZ ALVES,15.19,MARIO BARRIENTOS PEREIRA,0.0,JOSE ANTONIO CABRERA MENDEZ,-0.86,GUILLEM RUBIO CHACON,71.43,CESAR GMEZ ORELLANA,96.64,VICTOR FERRER TEIXIDOR,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,MARIO BARRIENTOS PEREIRA,0.0,FERRAN ARQUES LOPEZ,0.21,NIL FARRE FLORES,1.0,JOSE ANTONIO CABRERA MENDEZ,3.0,NIL FARRE FLORES,0.28,ARNAU MANUBENS ESTADELLA,6.0
