Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
RUBEN FERNANDEZ DIAZ,25.0,POL RODRIGUEZ PEREZ,13.88,POL RODRIGUEZ PEREZ,5.75,POL RODRIGUEZ PEREZ,12.12,JAIME PINEO JIMENEZ,0.53,RUBEN FERNANDEZ DIAZ,1.83,RUBEN FERNANDEZ DIAZ,5.5,RUBEN FERNANDEZ DIAZ,0.33,RUBEN FERNANDEZ DIAZ,2.75,RUBEN FERNANDEZ DIAZ,4.42,ALEX ANGULO VALDES,0.64,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,GERARD DALMAU PATIO,2.93,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,PAU MARTNEZ FERIA,0.49,PAU MARTNEZ FERIA,0.51,POL RODRIGUEZ PEREZ,5.84,PABLO MONSALVE SANZ,2.28,POL RODRIGUEZ PEREZ,6.97,RUBEN FERNANDEZ DIAZ,8.17,PAU MARTNEZ FERIA,48.77,PAU MARTNEZ FERIA,0.98,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,RUBEN FERNANDEZ DIAZ,16.21,POL RODRIGUEZ PEREZ,29.2,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,-0.0,PAU MARTNEZ FERIA,102.91,PABLO MONSALVE SANZ,93.46,PAU MARTNEZ FERIA,9.76,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,ROGER SANTOS MORATO,0.0,RUBEN FERNANDEZ DIAZ,0.45,POL RODRIGUEZ PEREZ,6.0,POL RODRIGUEZ PEREZ,13.12,POL RODRIGUEZ PEREZ,0.46,POL RODRIGUEZ PEREZ,35.0
POL RODRIGUEZ PEREZ,24.5,RUBEN FERNANDEZ DIAZ,13.08,ALEX ANGULO VALDES,3.15,ALEX ANGULO VALDES,8.15,PAU MARTNEZ FERIA,0.49,MARC FENS HERNNDEZ,0.57,MARC FENS HERNNDEZ,2.71,PAU MARTNEZ FERIA,0.32,PABLO MONSALVE SANZ,2.07,PABLO MONSALVE SANZ,3.57,RUBEN FERNANDEZ DIAZ,0.62,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,RUBEN FERNANDEZ DIAZ,2.75,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,POL RODRIGUEZ PEREZ,0.47,POL RODRIGUEZ PEREZ,0.48,RUBEN FERNANDEZ DIAZ,4.5,RUBEN FERNANDEZ DIAZ,1.88,RUBEN FERNANDEZ DIAZ,5.77,POL RODRIGUEZ PEREZ,7.45,POL RODRIGUEZ PEREZ,48.35,POL RODRIGUEZ PEREZ,0.93,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,POL RODRIGUEZ PEREZ,16.0,RUBEN FERNANDEZ DIAZ,28.03,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,-0.0,POL RODRIGUEZ PEREZ,97.37,ALEX ANGULO VALDES,93.25,POL RODRIGUEZ PEREZ,8.28,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,MARC CORBALAN BURRULL,0.0,JAIME PINEO JIMENEZ,0.35,RUBEN FERNANDEZ DIAZ,4.25,RUBEN FERNANDEZ DIAZ,12.17,PAU MARTNEZ FERIA,0.46,JAIME PINEO JIMENEZ,32.0
PAU MARTNEZ FERIA,24.23,ALEX ANGULO VALDES,8.85,PAU MARTNEZ FERIA,2.92,RUBEN FERNANDEZ DIAZ,6.67,POL RODRIGUEZ PEREZ,0.47,PAU MARTNEZ FERIA,0.46,MARIO CARMONA CASTILLO,2.0,POL RODRIGUEZ PEREZ,0.25,POL RODRIGUEZ PEREZ,1.62,POL RODRIGUEZ PEREZ,3.25,PAU MARTNEZ FERIA,0.6,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,MARC FENS HERNNDEZ,2.5,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,GERARD DALMAU PATIO,0.44,RUBEN FERNANDEZ DIAZ,0.46,PAU MARTNEZ FERIA,3.17,JAIME PINEO JIMENEZ,1.63,ALEX ANGULO VALDES,4.34,ALEX ANGULO VALDES,6.06,GERARD DALMAU PATIO,47.53,GERARD DALMAU PATIO,0.88,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,ALEX ANGULO VALDES,11.7,MARC FENS HERNNDEZ,25.39,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,-0.0,RUBEN FERNANDEZ DIAZ,94.01,PAU MARTNEZ FERIA,93.15,RUBEN FERNANDEZ DIAZ,2.64,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,SANTIAGO PLANCKE,0.0,MARIO CARMONA CASTILLO,0.35,ALEX ANGULO VALDES,3.46,ALEX ANGULO VALDES,9.38,GERARD DALMAU PATIO,0.43,PABLO MONSALVE SANZ,23.0
PABLO MONSALVE SANZ,23.43,PAU MARTNEZ FERIA,8.15,RUBEN FERNANDEZ DIAZ,2.42,PAU MARTNEZ FERIA,5.92,GERARD DALMAU PATIO,0.44,PABLO MONSALVE SANZ,0.43,PABLO MONSALVE SANZ,1.86,ALEX ANGULO VALDES,0.25,ALEX ANGULO VALDES,1.62,MARC FENS HERNNDEZ,2.64,PABLO MONSALVE SANZ,0.58,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,PAU MARTNEZ FERIA,2.31,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,RUBEN FERNANDEZ DIAZ,0.42,PABLO MONSALVE SANZ,0.46,ALEX ANGULO VALDES,2.71,GERARD DALMAU PATIO,1.59,PAU MARTNEZ FERIA,3.9,MARC FENS HERNNDEZ,5.51,PABLO MONSALVE SANZ,45.47,RUBEN FERNANDEZ DIAZ,0.85,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,MARC FENS HERNNDEZ,10.32,ALEX ANGULO VALDES,24.6,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,-0.0,PABLO MONSALVE SANZ,93.64,DANIEL TORRALBA CAROZ,93.12,PABLO MONSALVE SANZ,0.18,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,AMAT RUEDA MENGBAR,0.0,MARC FENS HERNNDEZ,0.34,PAU MARTNEZ FERIA,3.38,MARC FENS HERNNDEZ,7.93,JAIME PINEO JIMENEZ,0.39,ALEX ANGULO VALDES,14.0
GERARD DALMAU PATIO,22.5,PABLO MONSALVE SANZ,7.36,GERARD DALMAU PATIO,2.14,MARC FENS HERNNDEZ,5.21,PABLO MONSALVE SANZ,0.43,ALEX ANGULO VALDES,0.31,PAU MARTNEZ FERIA,1.46,GERARD DALMAU PATIO,0.25,MARC FENS HERNNDEZ,1.43,ALEX ANGULO VALDES,2.54,MARC FENS HERNNDEZ,0.54,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,PABLO MONSALVE SANZ,2.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,JAIME PINEO JIMENEZ,0.41,GERARD DALMAU PATIO,0.45,PABLO MONSALVE SANZ,2.38,DANIEL TORRALBA CAROZ,1.57,PABLO MONSALVE SANZ,3.6,MARIO CARMONA CASTILLO,4.48,JAIME PINEO JIMENEZ,42.03,JAIME PINEO JIMENEZ,0.83,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,PABLO MONSALVE SANZ,9.73,MARIO CARMONA CASTILLO,21.97,RUBEN FERNANDEZ DIAZ,0.0,VICTOR MOYA ROMAN,-0.0,GERARD DALMAU PATIO,92.94,GERARD DALMAU PATIO,93.09,ROGER SANTOS MORATO,-0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,RUBEN FERNANDEZ DIAZ,0.0,PABLO MONSALVE SANZ,0.29,MARC FENS HERNNDEZ,2.64,PAU MARTNEZ FERIA,7.38,PABLO MONSALVE SANZ,0.37,DANIEL TORRALBA CAROZ,13.0
ALEX ANGULO VALDES,21.92,MARC FENS HERNNDEZ,7.29,MARC FENS HERNNDEZ,2.07,GERARD DALMAU PATIO,4.86,MARC FENS HERNNDEZ,0.4,MARIO CARMONA CASTILLO,0.29,JAIME PINEO JIMENEZ,1.33,PABLO MONSALVE SANZ,0.23,GERARD DALMAU PATIO,1.14,GERARD DALMAU PATIO,2.5,DANIEL TORRALBA CAROZ,0.52,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,MARIO CARMONA CASTILLO,2.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,PABLO MONSALVE SANZ,0.41,ALEX ANGULO VALDES,0.42,MARC FENS HERNNDEZ,1.31,POL RODRIGUEZ PEREZ,1.55,MARC FENS HERNNDEZ,3.48,PABLO MONSALVE SANZ,4.32,ALEX ANGULO VALDES,41.76,PABLO MONSALVE SANZ,0.81,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,PAU MARTNEZ FERIA,8.78,PABLO MONSALVE SANZ,17.53,VICTOR MOYA ROMAN,0.0,POL GONZALEZ MAYOLAS,-0.0,ALEX ANGULO VALDES,85.82,MARIO CARMONA CASTILLO,93.08,MARC CORBALAN BURRULL,-0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,VICTOR MOYA ROMAN,0.0,DANIEL TORRALBA CAROZ,0.26,PABLO MONSALVE SANZ,2.43,PABLO MONSALVE SANZ,6.5,ALEX ANGULO VALDES,0.37,MARC FENS HERNNDEZ,12.0
MARC FENS HERNNDEZ,18.21,GERARD DALMAU PATIO,5.64,PABLO MONSALVE SANZ,2.0,PABLO MONSALVE SANZ,4.64,ALEX ANGULO VALDES,0.39,POL RODRIGUEZ PEREZ,0.25,ALEX ANGULO VALDES,1.23,MARC FENS HERNNDEZ,0.21,PAU MARTNEZ FERIA,0.92,JAIME PINEO JIMENEZ,2.33,POL RODRIGUEZ PEREZ,0.5,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,DANIEL TORRALBA CAROZ,1.79,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,ALEX ANGULO VALDES,0.39,JAIME PINEO JIMENEZ,0.4,GERARD DALMAU PATIO,1.21,ALEX ANGULO VALDES,1.32,GERARD DALMAU PATIO,2.92,PAU MARTNEZ FERIA,4.1,RUBEN FERNANDEZ DIAZ,41.38,ALEX ANGULO VALDES,0.77,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,GERARD DALMAU PATIO,7.41,PAU MARTNEZ FERIA,16.87,POL RODRIGUEZ PEREZ,0.0,PAU MARTNEZ FERIA,-1.15,JAIME PINEO JIMENEZ,82.46,MARC FENS HERNNDEZ,93.03,SANTIAGO PLANCKE,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,POL RODRIGUEZ PEREZ,0.0,PAU MARTNEZ FERIA,0.2,GERARD DALMAU PATIO,2.21,MARIO CARMONA CASTILLO,5.79,RUBEN FERNANDEZ DIAZ,0.35,GERARD DALMAU PATIO,11.0
JAIME PINEO JIMENEZ,17.58,MARIO CARMONA CASTILLO,4.07,JAIME PINEO JIMENEZ,1.33,MARIO CARMONA CASTILLO,3.79,RUBEN FERNANDEZ DIAZ,0.36,JAIME PINEO JIMENEZ,0.17,POL RODRIGUEZ PEREZ,1.0,MARIO CARMONA CASTILLO,0.14,DANIEL TORRALBA CAROZ,0.79,MARIO CARMONA CASTILLO,1.71,GERARD DALMAU PATIO,0.46,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,POL RODRIGUEZ PEREZ,1.5,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,MARC FENS HERNNDEZ,0.37,MARC FENS HERNNDEZ,0.4,JAIME PINEO JIMENEZ,0.7,MARC FENS HERNNDEZ,1.29,JAIME PINEO JIMENEZ,2.0,GERARD DALMAU PATIO,3.22,MARC FENS HERNNDEZ,38.69,MARC FENS HERNNDEZ,0.74,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,MARIO CARMONA CASTILLO,7.34,DANIEL TORRALBA CAROZ,15.22,JAIME PINEO JIMENEZ,0.0,POL RODRIGUEZ PEREZ,-1.62,MARC FENS HERNNDEZ,81.6,JAIME PINEO JIMENEZ,92.12,AMAT RUEDA MENGBAR,-0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,JAIME PINEO JIMENEZ,0.0,ALEX ANGULO VALDES,0.13,MARIO CARMONA CASTILLO,1.57,GERARD DALMAU PATIO,5.14,MARC FENS HERNNDEZ,0.33,MARIO CARMONA CASTILLO,7.0
MARIO CARMONA CASTILLO,15.14,JAIME PINEO JIMENEZ,3.92,MARIO CARMONA CASTILLO,1.29,DANIEL TORRALBA CAROZ,2.64,DANIEL TORRALBA CAROZ,0.35,DANIEL TORRALBA CAROZ,0.07,DANIEL TORRALBA CAROZ,0.93,JAIME PINEO JIMENEZ,0.12,JAIME PINEO JIMENEZ,0.75,PAU MARTNEZ FERIA,1.54,MARIO CARMONA CASTILLO,0.38,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,ALEX ANGULO VALDES,1.46,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,MARIO CARMONA CASTILLO,0.3,DANIEL TORRALBA CAROZ,0.34,ROGER SANTOS MORATO,-0.0,PAU MARTNEZ FERIA,0.96,MARIO CARMONA CASTILLO,1.99,JAIME PINEO JIMENEZ,2.76,DANIEL TORRALBA CAROZ,35.09,MARIO CARMONA CASTILLO,0.59,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,JAIME PINEO JIMENEZ,5.89,JAIME PINEO JIMENEZ,14.13,PABLO MONSALVE SANZ,0.0,JAIME PINEO JIMENEZ,-1.71,DANIEL TORRALBA CAROZ,70.18,RUBEN FERNANDEZ DIAZ,91.37,VICTOR MOYA ROMAN,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,PABLO MONSALVE SANZ,0.0,POL RODRIGUEZ PEREZ,0.08,JAIME PINEO JIMENEZ,1.5,JAIME PINEO JIMENEZ,3.83,DANIEL TORRALBA CAROZ,0.28,PAU MARTNEZ FERIA,4.0
DANIEL TORRALBA CAROZ,14.14,DANIEL TORRALBA CAROZ,2.86,DANIEL TORRALBA CAROZ,0.93,JAIME PINEO JIMENEZ,2.5,MARIO CARMONA CASTILLO,0.34,GERARD DALMAU PATIO,0.07,GERARD DALMAU PATIO,0.29,DANIEL TORRALBA CAROZ,0.08,MARIO CARMONA CASTILLO,0.64,DANIEL TORRALBA CAROZ,1.5,JAIME PINEO JIMENEZ,0.32,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,JAIME PINEO JIMENEZ,1.25,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,DANIEL TORRALBA CAROZ,0.29,MARIO CARMONA CASTILLO,0.31,MARC CORBALAN BURRULL,-0.0,MARIO CARMONA CASTILLO,0.79,DANIEL TORRALBA CAROZ,1.46,DANIEL TORRALBA CAROZ,2.71,MARIO CARMONA CASTILLO,30.74,DANIEL TORRALBA CAROZ,0.58,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,DANIEL TORRALBA CAROZ,4.93,GERARD DALMAU PATIO,14.11,ALEX ANGULO VALDES,0.0,PABLO MONSALVE SANZ,-1.93,MARIO CARMONA CASTILLO,64.04,POL RODRIGUEZ PEREZ,89.09,POL GONZALEZ MAYOLAS,-0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,ALEX ANGULO VALDES,0.0,GERARD DALMAU PATIO,0.06,DANIEL TORRALBA CAROZ,1.0,DANIEL TORRALBA CAROZ,3.57,MARIO CARMONA CASTILLO,0.27,ROGER SANTOS MORATO,0.0
