Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
LLUIS DE QUINTANA BECH,26.0,POL CAMPENY LLOVERAS,15.38,BIEL VINYET RIERA,3.57,POL CAMPENY LLOVERAS,6.12,AMOS OYIBOKE OSIFOR,0.75,POL CAMPENY LLOVERAS,1.5,LLUIS DE QUINTANA BECH,5.89,GERARD PEREZ GUIRADO,0.35,POL CAMPENY LLOVERAS,4.12,POL CAMPENY LLOVERAS,5.38,OUMAR SOUMARE,0.84,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,MARC VICTOR VANCEA,3.5,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,AMOS OYIBOKE OSIFOR,0.75,AMOS OYIBOKE OSIFOR,0.67,POL CAMPENY LLOVERAS,7.92,POL CAMPENY LLOVERAS,4.3,POL CAMPENY LLOVERAS,6.91,LLUIS DE QUINTANA BECH,7.57,AMOS OYIBOKE OSIFOR,71.24,AMOS OYIBOKE OSIFOR,1.5,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,POL CAMPENY LLOVERAS,17.18,POL CAMPENY LLOVERAS,36.83,ALBERT VILA GOMEZ,0.0,POL CAMPENY LLOVERAS,0.06,AMOS OYIBOKE OSIFOR,141.67,POL CAMPENY LLOVERAS,96.97,AMOS OYIBOKE OSIFOR,46.23,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ALBERT VILA GOMEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.78,POL CAMPENY LLOVERAS,4.88,POL CAMPENY LLOVERAS,12.0,AMOS OYIBOKE OSIFOR,0.75,BIEL VINYET RIERA,24.0
BIEL VINYET RIERA,25.43,LLUIS DE QUINTANA BECH,9.44,MARC VICTOR VANCEA,3.38,BIEL VINYET RIERA,5.86,ANDREU BATLLE I PERAFERRER,0.62,LLUIS DE QUINTANA BECH,1.44,POL CAMPENY LLOVERAS,5.88,POL CAMPENY LLOVERAS,0.26,LLUIS DE QUINTANA BECH,2.44,LLUIS DE QUINTANA BECH,4.78,POL CAMPENY LLOVERAS,0.77,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,LLUIS DE QUINTANA BECH,3.11,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,BIEL VINYET RIERA,0.61,MARC VICTOR VANCEA,0.62,MARC VICTOR VANCEA,4.25,MARC VICTOR VANCEA,4.08,MARC VICTOR VANCEA,4.34,POL CAMPENY LLOVERAS,7.24,MARC VICTOR VANCEA,63.81,BIEL VINYET RIERA,1.22,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,LLUIS DE QUINTANA BECH,14.44,LLUIS DE QUINTANA BECH,25.83,MART COLL BAY,0.0,ALBERT VILA GOMEZ,-0.0,MARC VICTOR VANCEA,130.19,JAN CAMPENY LLOVERAS,96.66,MARC VICTOR VANCEA,34.29,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,MART COLL BAY,0.0,LLUIS DE QUINTANA BECH,0.6,BIEL VINYET RIERA,3.57,LLUIS DE QUINTANA BECH,9.89,BIEL VINYET RIERA,0.61,MARC VICTOR VANCEA,15.0
JAN CAMPENY LLOVERAS,24.5,MARC VICTOR VANCEA,8.62,POL CAMPENY LLOVERAS,3.38,MARC VICTOR VANCEA,5.62,BIEL VINYET RIERA,0.61,ADRIA VILAGRAN GONZALEZ,1.0,ADRIA VILAGRAN GONZALEZ,4.33,LLUIS DE QUINTANA BECH,0.25,MARC VICTOR VANCEA,1.88,MARC VICTOR VANCEA,2.62,MARC VICTOR VANCEA,0.71,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,BIEL VINYET RIERA,2.57,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,MARC VICTOR VANCEA,0.59,BIEL VINYET RIERA,0.56,BIEL VINYET RIERA,3.41,OUMAR SOUMARE,3.29,LLUIS DE QUINTANA BECH,4.23,JAN CAMPENY LLOVERAS,5.0,BIEL VINYET RIERA,59.01,MARC VICTOR VANCEA,1.17,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,JAN CAMPENY LLOVERAS,9.79,OUMAR SOUMARE,23.44,POL COLL QUINTANAS,0.0,MART COLL BAY,-0.0,BIEL VINYET RIERA,117.02,GERARD PEREZ GUIRADO,96.02,BIEL VINYET RIERA,24.96,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,POL COLL QUINTANAS,0.0,GERARD PEREZ GUIRADO,0.54,MARC VICTOR VANCEA,3.38,JAN CAMPENY LLOVERAS,7.5,MARC VICTOR VANCEA,0.59,LLUIS DE QUINTANA BECH,14.0
POL CAMPENY LLOVERAS,21.5,BIEL VINYET RIERA,7.86,JAN CAMPENY LLOVERAS,2.38,JAN CAMPENY LLOVERAS,5.0,MARC VICTOR VANCEA,0.6,GERARD PEREZ GUIRADO,0.78,JAN CAMPENY LLOVERAS,2.5,ADRIA VILAGRAN GONZALEZ,0.23,OUMAR SOUMARE,1.78,BIEL VINYET RIERA,2.57,ADRIA VILAGRAN GONZALEZ,0.64,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,JAN CAMPENY LLOVERAS,2.5,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,POL CAMPENY LLOVERAS,0.47,POL CAMPENY LLOVERAS,0.54,AMOS OYIBOKE OSIFOR,1.64,LLUIS DE QUINTANA BECH,2.75,BIEL VINYET RIERA,4.06,OUMAR SOUMARE,4.13,POL CAMPENY LLOVERAS,48.82,POL CAMPENY LLOVERAS,0.94,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,BIEL VINYET RIERA,8.35,MARC VICTOR VANCEA,22.89,ANDREU BATLLE I PERAFERRER,0.0,POL COLL QUINTANAS,-0.0,POL CAMPENY LLOVERAS,109.82,ADRIA VILAGRAN GONZALEZ,95.94,POL CAMPENY LLOVERAS,12.85,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.0,POL CAMPENY LLOVERAS,0.49,JAN CAMPENY LLOVERAS,2.88,OUMAR SOUMARE,6.0,POL CAMPENY LLOVERAS,0.41,ADRIA VILAGRAN GONZALEZ,13.0
ADRIA VILAGRAN GONZALEZ,21.11,JAN CAMPENY LLOVERAS,7.12,OUMAR SOUMARE,1.78,OUMAR SOUMARE,4.89,POL CAMPENY LLOVERAS,0.55,JAN CAMPENY LLOVERAS,0.5,GERARD PEREZ GUIRADO,2.22,JAN CAMPENY LLOVERAS,0.2,ADRIA VILAGRAN GONZALEZ,1.0,JAN CAMPENY LLOVERAS,2.38,LLUIS DE QUINTANA BECH,0.51,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,ANDREU BATLLE I PERAFERRER,2.29,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,GERARD PEREZ GUIRADO,0.45,GERARD PEREZ GUIRADO,0.45,LLUIS DE QUINTANA BECH,1.46,AMOS OYIBOKE OSIFOR,2.22,JAN CAMPENY LLOVERAS,3.45,ADRIA VILAGRAN GONZALEZ,4.08,JAN CAMPENY LLOVERAS,40.78,GERARD PEREZ GUIRADO,0.89,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,MARC VICTOR VANCEA,8.28,JAN CAMPENY LLOVERAS,19.23,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,-0.0,GERARD PEREZ GUIRADO,94.74,MARC VICTOR VANCEA,95.9,ALBERT VILA GOMEZ,-0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,LLUC FALGAS AZOR,0.0,ANDREU BATLLE I PERAFERRER,0.38,LLUIS DE QUINTANA BECH,2.78,BIEL VINYET RIERA,5.86,ANDREU BATLLE I PERAFERRER,0.38,ANDREU BATLLE I PERAFERRER,12.0
ANDREU BATLLE I PERAFERRER,18.0,OUMAR SOUMARE,5.67,AMOS OYIBOKE OSIFOR,1.67,LLUIS DE QUINTANA BECH,4.0,JAN CAMPENY LLOVERAS,0.47,OUMAR SOUMARE,0.11,ANDREU BATLLE I PERAFERRER,1.43,OUMAR SOUMARE,0.1,JAN CAMPENY LLOVERAS,0.88,OUMAR SOUMARE,2.11,ANDREU BATLLE I PERAFERRER,0.5,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,AMOS OYIBOKE OSIFOR,2.22,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,JAN CAMPENY LLOVERAS,0.42,JAN CAMPENY LLOVERAS,0.42,JAN CAMPENY LLOVERAS,1.43,ADRIA VILAGRAN GONZALEZ,2.0,OUMAR SOUMARE,2.71,BIEL VINYET RIERA,2.82,ANDREU BATLLE I PERAFERRER,40.58,JAN CAMPENY LLOVERAS,0.83,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,OUMAR SOUMARE,8.01,ADRIA VILAGRAN GONZALEZ,16.56,BIEL VINYET RIERA,0.0,MARC MIR MARCH,-0.0,ADRIA VILAGRAN GONZALEZ,85.19,OUMAR SOUMARE,95.88,MART COLL BAY,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,BIEL VINYET RIERA,0.0,JAN CAMPENY LLOVERAS,0.33,OUMAR SOUMARE,1.89,MARC VICTOR VANCEA,5.75,JAN CAMPENY LLOVERAS,0.38,JAN CAMPENY LLOVERAS,11.0
GERARD PEREZ GUIRADO,17.44,ADRIA VILAGRAN GONZALEZ,5.11,ANDREU BATLLE I PERAFERRER,1.43,ANDREU BATLLE I PERAFERRER,2.29,ADRIA VILAGRAN GONZALEZ,0.45,ALBERT VILA GOMEZ,0.0,OUMAR SOUMARE,1.11,ALBERT VILA GOMEZ,0.0,BIEL VINYET RIERA,0.71,ADRIA VILAGRAN GONZALEZ,1.56,GERARD PEREZ GUIRADO,0.5,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,ADRIA VILAGRAN GONZALEZ,2.11,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,ANDREU BATLLE I PERAFERRER,0.38,ADRIA VILAGRAN GONZALEZ,0.41,OUMAR SOUMARE,1.38,BIEL VINYET RIERA,1.74,ADRIA VILAGRAN GONZALEZ,2.1,GERARD PEREZ GUIRADO,2.73,OUMAR SOUMARE,39.63,ANDREU BATLLE I PERAFERRER,0.77,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,ADRIA VILAGRAN GONZALEZ,7.04,BIEL VINYET RIERA,15.64,MARC MIR MARCH,0.0,ENRIC SANMARTIN I SORIA,-0.0,JAN CAMPENY LLOVERAS,85.07,LLUIS DE QUINTANA BECH,95.79,POL COLL QUINTANAS,-0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,MARC MIR MARCH,0.0,OUMAR SOUMARE,0.19,AMOS OYIBOKE OSIFOR,1.67,ADRIA VILAGRAN GONZALEZ,5.56,GERARD PEREZ GUIRADO,0.35,POL CAMPENY LLOVERAS,10.0
MARC VICTOR VANCEA,16.62,GERARD PEREZ GUIRADO,4.0,LLUIS DE QUINTANA BECH,1.33,AMOS OYIBOKE OSIFOR,2.22,OUMAR SOUMARE,0.36,MART COLL BAY,0.0,MARC VICTOR VANCEA,0.12,MART COLL BAY,0.0,AMOS OYIBOKE OSIFOR,0.44,AMOS OYIBOKE OSIFOR,1.33,JAN CAMPENY LLOVERAS,0.37,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,OUMAR SOUMARE,1.78,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,ADRIA VILAGRAN GONZALEZ,0.37,OUMAR SOUMARE,0.41,GERARD PEREZ GUIRADO,0.94,JAN CAMPENY LLOVERAS,1.46,AMOS OYIBOKE OSIFOR,1.96,MARC VICTOR VANCEA,2.46,GERARD PEREZ GUIRADO,37.56,ADRIA VILAGRAN GONZALEZ,0.74,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,GERARD PEREZ GUIRADO,4.75,GERARD PEREZ GUIRADO,14.14,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,-0.19,OUMAR SOUMARE,83.61,AMOS OYIBOKE OSIFOR,95.44,LLUC FALGAS AZOR,-0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.0,MARC VICTOR VANCEA,0.02,ADRIA VILAGRAN GONZALEZ,1.56,GERARD PEREZ GUIRADO,4.11,OUMAR SOUMARE,0.31,AMOS OYIBOKE OSIFOR,7.0
OUMAR SOUMARE,16.56,AMOS OYIBOKE OSIFOR,3.78,GERARD PEREZ GUIRADO,0.67,GERARD PEREZ GUIRADO,1.89,GERARD PEREZ GUIRADO,0.35,POL COLL QUINTANAS,0.0,ALBERT VILA GOMEZ,0.0,POL COLL QUINTANAS,0.0,GERARD PEREZ GUIRADO,0.33,GERARD PEREZ GUIRADO,0.67,AMOS OYIBOKE OSIFOR,0.33,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,GERARD PEREZ GUIRADO,1.56,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.35,ANDREU BATLLE I PERAFERRER,0.4,ADRIA VILAGRAN GONZALEZ,0.78,ANDREU BATLLE I PERAFERRER,1.1,GERARD PEREZ GUIRADO,1.64,ANDREU BATLLE I PERAFERRER,2.34,LLUIS DE QUINTANA BECH,35.87,LLUIS DE QUINTANA BECH,0.71,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,ANDREU BATLLE I PERAFERRER,4.29,ANDREU BATLLE I PERAFERRER,12.47,LLUIS DE QUINTANA BECH,0.0,AMOS OYIBOKE OSIFOR,-0.22,ANDREU BATLLE I PERAFERRER,81.48,BIEL VINYET RIERA,92.06,MARC MIR MARCH,-0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,LLUIS DE QUINTANA BECH,0.0,ALBERT VILA GOMEZ,0.0,GERARD PEREZ GUIRADO,1.44,ANDREU BATLLE I PERAFERRER,3.71,LLUIS DE QUINTANA BECH,0.28,GERARD PEREZ GUIRADO,4.0
AMOS OYIBOKE OSIFOR,13.44,ANDREU BATLLE I PERAFERRER,3.14,ADRIA VILAGRAN GONZALEZ,0.56,ADRIA VILAGRAN GONZALEZ,1.22,LLUIS DE QUINTANA BECH,0.33,ANDREU BATLLE I PERAFERRER,0.0,MART COLL BAY,0.0,ANDREU BATLLE I PERAFERRER,0.0,ANDREU BATLLE I PERAFERRER,0.29,ANDREU BATLLE I PERAFERRER,0.57,BIEL VINYET RIERA,0.28,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,POL CAMPENY LLOVERAS,1.25,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,OUMAR SOUMARE,0.32,LLUIS DE QUINTANA BECH,0.39,ANDREU BATLLE I PERAFERRER,0.09,GERARD PEREZ GUIRADO,0.9,ANDREU BATLLE I PERAFERRER,1.6,AMOS OYIBOKE OSIFOR,0.79,ADRIA VILAGRAN GONZALEZ,33.97,OUMAR SOUMARE,0.65,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,AMOS OYIBOKE OSIFOR,3.49,AMOS OYIBOKE OSIFOR,11.7,ADRIA VILAGRAN GONZALEZ,0.0,BIEL VINYET RIERA,-0.57,LLUIS DE QUINTANA BECH,80.19,ANDREU BATLLE I PERAFERRER,91.78,ENRIC SANMARTIN I SORIA,-0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,ADRIA VILAGRAN GONZALEZ,0.0,MART COLL BAY,0.0,ANDREU BATLLE I PERAFERRER,1.43,AMOS OYIBOKE OSIFOR,2.22,ADRIA VILAGRAN GONZALEZ,0.28,ALBERT VILA GOMEZ,0.0
