Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
DANIEL CABEZAS ALARCON,24.77,ALEX DIAZ GMEZ,10.93,ALEX DIAZ GMEZ,3.29,ALEX DIAZ GMEZ,8.0,ALEJANDRO LERIN SANCHEZ,0.59,JOAN MARCO VALERO,1.43,JOAN MARCO VALERO,4.86,VICTOR MARTIN MARTI,0.43,ALEX DIAZ GMEZ,2.64,ALEX DIAZ GMEZ,4.21,KIRIAN ZARCO MONTERO,0.75,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SERGI ANTOLN URBALLA,3.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,ALEJANDRO LERIN SANCHEZ,0.52,VICTOR MARTIN MARTI,0.55,ALEX DIAZ GMEZ,4.16,KIRIAN ZARCO MONTERO,3.03,ALEX DIAZ GMEZ,5.31,ALEX DIAZ GMEZ,6.45,ALEJANDRO LERIN SANCHEZ,55.4,ALEJANDRO LERIN SANCHEZ,1.04,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,ALEX DIAZ GMEZ,14.15,BIEL CANOVAS PEREZ,27.17,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,VICTOR MARTIN MARTI,112.82,ALEJANDRO PEREZ CLAR,94.48,VICTOR MARTIN MARTI,21.44,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,SAMUEL IKENNA EMENIKE LOZANO,0.0,JOAN MARCO VALERO,0.52,ALEX DIAZ GMEZ,3.86,ALEX DIAZ GMEZ,10.07,ALEJANDRO LERIN SANCHEZ,0.51,DANIEL CABEZAS ALARCON,24.0
ALEJANDRO LERIN SANCHEZ,24.5,DANIEL CABEZAS ALARCON,8.85,ALEJANDRO LERIN SANCHEZ,2.79,BIEL CANOVAS PEREZ,5.38,DANIEL CABEZAS ALARCON,0.51,RICARD RIBAS BLANCO,0.93,RICARD RIBAS BLANCO,3.71,JOAN MARCO VALERO,0.29,DANIEL CABEZAS ALARCON,2.31,DANIEL CABEZAS ALARCON,3.92,BIEL CANOVAS PEREZ,0.75,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ALEJANDRO LERIN SANCHEZ,2.29,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,VICTOR MARTIN MARTI,0.51,ALEJANDRO LERIN SANCHEZ,0.53,DANIEL CABEZAS ALARCON,4.05,DANIEL CABEZAS ALARCON,2.59,DANIEL CABEZAS ALARCON,4.23,JOAN MARCO VALERO,6.24,VICTOR MARTIN MARTI,50.25,VICTOR MARTIN MARTI,1.03,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,RICARD RIBAS BLANCO,10.7,ALEX DIAZ GMEZ,27.03,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ALEJANDRO LERIN SANCHEZ,108.7,RICARD RIBAS BLANCO,93.95,ALEJANDRO LERIN SANCHEZ,14.96,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,ADAM ACERO AHMED,0.0,RICARD RIBAS BLANCO,0.46,JOAN MARCO VALERO,3.07,JOAN MARCO VALERO,9.29,VICTOR MARTIN MARTI,0.44,SERGI ANTOLN URBALLA,22.0
RICARD RIBAS BLANCO,24.21,RICARD RIBAS BLANCO,8.0,ALVARO ABAD PRIETO,2.33,ALVARO ABAD PRIETO,4.83,ALEJANDRO PEREZ CLAR,0.5,VICTOR MARTIN MARTI,0.77,BIEL CANOVAS PEREZ,2.69,DANIEL CABEZAS ALARCON,0.28,BIEL CANOVAS PEREZ,1.85,RICARD RIBAS BLANCO,2.79,JOAN MARCO VALERO,0.67,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,VICTOR MARTIN MARTI,2.23,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,DANIEL CABEZAS ALARCON,0.48,DANIEL CABEZAS ALARCON,0.52,ALEJANDRO LERIN SANCHEZ,2.99,VICTOR MARTIN MARTI,2.04,ALEJANDRO LERIN SANCHEZ,3.66,BIEL CANOVAS PEREZ,5.75,DANIEL CABEZAS ALARCON,50.22,DANIEL CABEZAS ALARCON,0.96,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,DANIEL CABEZAS ALARCON,10.67,JOAN MARCO VALERO,26.44,KIRIAN ZARCO MONTERO,0.0,DANIEL CABEZAS ALARCON,-0.62,DANIEL CABEZAS ALARCON,106.48,ALEX DIAZ GMEZ,93.91,DANIEL CABEZAS ALARCON,12.89,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,KIRIAN ZARCO MONTERO,0.0,ALEJANDRO PEREZ CLAR,0.46,DANIEL CABEZAS ALARCON,2.92,BIEL CANOVAS PEREZ,8.08,DANIEL CABEZAS ALARCON,0.43,ALEJANDRO LERIN SANCHEZ,15.0
ALEX DIAZ GMEZ,23.43,JOAN MARCO VALERO,8.0,DANIEL CABEZAS ALARCON,2.23,ALEJANDRO LERIN SANCHEZ,4.71,ALVARO ABAD PRIETO,0.48,DANIEL CABEZAS ALARCON,0.69,DANIEL CABEZAS ALARCON,2.46,ALEX DIAZ GMEZ,0.28,RICARD RIBAS BLANCO,1.5,ALEJANDRO LERIN SANCHEZ,2.57,VICTOR MARTIN MARTI,0.67,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,ALVARO ABAD PRIETO,2.17,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,ALVARO ABAD PRIETO,0.44,ALEX DIAZ GMEZ,0.46,VICTOR MARTIN MARTI,2.86,ALEX DIAZ GMEZ,1.87,RICARD RIBAS BLANCO,3.66,RICARD RIBAS BLANCO,5.45,ALVARO ABAD PRIETO,45.7,ALVARO ABAD PRIETO,0.88,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,BIEL CANOVAS PEREZ,10.46,ALEJANDRO PEREZ CLAR,25.34,DANIEL CABEZAS ALARCON,0.0,VICTOR MARTIN MARTI,-0.62,ALVARO ABAD PRIETO,93.83,JOAN MARCO VALERO,93.86,ALVARO ABAD PRIETO,0.36,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,DANIEL CABEZAS ALARCON,0.0,KIRIAN ZARCO MONTERO,0.45,ALEJANDRO LERIN SANCHEZ,2.86,RICARD RIBAS BLANCO,8.0,ALVARO ABAD PRIETO,0.42,RICARD RIBAS BLANCO,13.0
JOAN MARCO VALERO,19.21,ALEJANDRO LERIN SANCHEZ,7.14,BIEL CANOVAS PEREZ,1.92,JOAN MARCO VALERO,4.43,VICTOR MARTIN MARTI,0.44,ALEX DIAZ GMEZ,0.57,ALEJANDRO PEREZ CLAR,2.11,KIRIAN ZARCO MONTERO,0.27,VICTOR MARTIN MARTI,1.38,BIEL CANOVAS PEREZ,2.46,ALEX DIAZ GMEZ,0.63,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,BIEL CANOVAS PEREZ,1.69,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,RICARD RIBAS BLANCO,0.41,ALVARO ABAD PRIETO,0.46,RICARD RIBAS BLANCO,2.4,BIEL CANOVAS PEREZ,1.76,BIEL CANOVAS PEREZ,3.31,DANIEL CABEZAS ALARCON,4.19,ALEX DIAZ GMEZ,45.15,JOAN MARCO VALERO,0.82,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,JOAN MARCO VALERO,9.91,RICARD RIBAS BLANCO,20.23,SERGI ANTOLN URBALLA,0.0,ALEJANDRO LERIN SANCHEZ,-0.86,ALEX DIAZ GMEZ,93.29,BIEL CANOVAS PEREZ,93.86,SAMUEL IKENNA EMENIKE LOZANO,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,SERGI ANTOLN URBALLA,0.0,DANIEL CABEZAS ALARCON,0.36,RICARD RIBAS BLANCO,2.79,DANIEL CABEZAS ALARCON,6.85,ALEX DIAZ GMEZ,0.38,ALEJANDRO PEREZ CLAR,12.0
VICTOR MARTIN MARTI,19.15,BIEL CANOVAS PEREZ,7.08,RICARD RIBAS BLANCO,1.86,DANIEL CABEZAS ALARCON,4.38,RICARD RIBAS BLANCO,0.43,BIEL CANOVAS PEREZ,0.46,ALEX DIAZ GMEZ,2.07,RICARD RIBAS BLANCO,0.25,ALEJANDRO LERIN SANCHEZ,1.36,VICTOR MARTIN MARTI,2.08,ALVARO ABAD PRIETO,0.61,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,KIRIAN ZARCO MONTERO,1.67,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,JOAN MARCO VALERO,0.41,RICARD RIBAS BLANCO,0.43,JOAN MARCO VALERO,2.07,ALEJANDRO LERIN SANCHEZ,1.74,JOAN MARCO VALERO,3.3,ALVARO ABAD PRIETO,3.67,RICARD RIBAS BLANCO,40.19,ALEX DIAZ GMEZ,0.82,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,8.06,ALVARO ABAD PRIETO,19.87,ALEJANDRO LERIN SANCHEZ,0.0,KIRIAN ZARCO MONTERO,-1.58,RICARD RIBAS BLANCO,88.19,ALEJANDRO LERIN SANCHEZ,93.73,ADAM ACERO AHMED,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,ALEJANDRO LERIN SANCHEZ,0.0,VICTOR MARTIN MARTI,0.34,ALVARO ABAD PRIETO,2.58,ALVARO ABAD PRIETO,6.17,RICARD RIBAS BLANCO,0.35,KIRIAN ZARCO MONTERO,11.0
ALVARO ABAD PRIETO,18.08,VICTOR MARTIN MARTI,6.77,JOAN MARCO VALERO,1.64,RICARD RIBAS BLANCO,4.29,ALEX DIAZ GMEZ,0.41,KIRIAN ZARCO MONTERO,0.33,VICTOR MARTIN MARTI,1.77,ALVARO ABAD PRIETO,0.19,KIRIAN ZARCO MONTERO,1.0,ALVARO ABAD PRIETO,1.5,DANIEL CABEZAS ALARCON,0.59,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,ALEX DIAZ GMEZ,1.57,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,ALEX DIAZ GMEZ,0.41,JOAN MARCO VALERO,0.42,ALVARO ABAD PRIETO,1.95,RICARD RIBAS BLANCO,1.34,ALVARO ABAD PRIETO,3.09,ALEJANDRO PEREZ CLAR,3.42,BIEL CANOVAS PEREZ,36.5,RICARD RIBAS BLANCO,0.81,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,ALVARO ABAD PRIETO,7.61,DANIEL CABEZAS ALARCON,18.5,RICARD RIBAS BLANCO,0.0,ALVARO ABAD PRIETO,-1.67,JOAN MARCO VALERO,84.21,DANIEL CABEZAS ALARCON,93.59,ALEX DIAZ GMEZ,-0.62,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,RICARD RIBAS BLANCO,0.0,BIEL CANOVAS PEREZ,0.33,BIEL CANOVAS PEREZ,2.38,ALEJANDRO LERIN SANCHEZ,5.57,JOAN MARCO VALERO,0.33,JOAN MARCO VALERO,9.0
BIEL CANOVAS PEREZ,17.77,ALVARO ABAD PRIETO,6.33,VICTOR MARTIN MARTI,1.54,VICTOR MARTIN MARTI,3.46,JOAN MARCO VALERO,0.37,ALVARO ABAD PRIETO,0.25,ALVARO ABAD PRIETO,1.33,BIEL CANOVAS PEREZ,0.17,ALVARO ABAD PRIETO,0.92,KIRIAN ZARCO MONTERO,1.33,RICARD RIBAS BLANCO,0.54,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,RICARD RIBAS BLANCO,1.5,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,BIEL CANOVAS PEREZ,0.32,KIRIAN ZARCO MONTERO,0.4,BIEL CANOVAS PEREZ,1.45,ALVARO ABAD PRIETO,1.24,VICTOR MARTIN MARTI,3.05,VICTOR MARTIN MARTI,3.02,KIRIAN ZARCO MONTERO,35.53,BIEL CANOVAS PEREZ,0.65,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,VICTOR MARTIN MARTI,7.23,VICTOR MARTIN MARTI,17.05,ALEJANDRO PEREZ CLAR,0.0,ALEX DIAZ GMEZ,-2.04,KIRIAN ZARCO MONTERO,82.05,ALVARO ABAD PRIETO,93.47,RICARD RIBAS BLANCO,-5.76,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALEJANDRO PEREZ CLAR,0.0,ALVARO ABAD PRIETO,0.22,VICTOR MARTIN MARTI,2.31,VICTOR MARTIN MARTI,5.23,BIEL CANOVAS PEREZ,0.3,BIEL CANOVAS PEREZ,8.0
KIRIAN ZARCO MONTERO,13.75,ALEJANDRO PEREZ CLAR,3.22,ALEJANDRO PEREZ CLAR,1.22,ALEJANDRO PEREZ CLAR,2.44,BIEL CANOVAS PEREZ,0.36,ALEJANDRO PEREZ CLAR,0.11,KIRIAN ZARCO MONTERO,1.25,ALEJANDRO LERIN SANCHEZ,0.08,ALEJANDRO PEREZ CLAR,0.44,ALEJANDRO PEREZ CLAR,1.22,ALEJANDRO LERIN SANCHEZ,0.53,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,1.43,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,KIRIAN ZARCO MONTERO,0.3,BIEL CANOVAS PEREZ,0.39,KIRIAN ZARCO MONTERO,0.21,ALEJANDRO PEREZ CLAR,1.08,ALEJANDRO PEREZ CLAR,1.62,ALEJANDRO LERIN SANCHEZ,2.94,JOAN MARCO VALERO,34.58,KIRIAN ZARCO MONTERO,0.61,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,ALEJANDRO PEREZ CLAR,5.73,ALEJANDRO LERIN SANCHEZ,14.53,JOAN MARCO VALERO,0.0,RICARD RIBAS BLANCO,-2.14,BIEL CANOVAS PEREZ,78.63,SERGI ANTOLN URBALLA,92.55,JOAN MARCO VALERO,-9.65,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,JOAN MARCO VALERO,0.0,ALEX DIAZ GMEZ,0.21,ALEJANDRO PEREZ CLAR,1.33,ALEJANDRO PEREZ CLAR,4.56,ALEJANDRO PEREZ CLAR,0.29,VICTOR MARTIN MARTI,7.0
SERGI ANTOLN URBALLA,11.29,KIRIAN ZARCO MONTERO,2.67,SERGI ANTOLN URBALLA,0.5,SERGI ANTOLN URBALLA,1.64,SERGI ANTOLN URBALLA,0.3,ALEJANDRO LERIN SANCHEZ,0.07,ALEJANDRO LERIN SANCHEZ,0.86,ALEJANDRO PEREZ CLAR,0.05,JOAN MARCO VALERO,0.43,JOAN MARCO VALERO,0.64,SERGI ANTOLN URBALLA,0.4,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,DANIEL CABEZAS ALARCON,1.31,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,ALEJANDRO PEREZ CLAR,0.3,ALEJANDRO PEREZ CLAR,0.32,SAMUEL IKENNA EMENIKE LOZANO,0.0,SERGI ANTOLN URBALLA,0.57,KIRIAN ZARCO MONTERO,1.17,KIRIAN ZARCO MONTERO,2.12,ALEJANDRO PEREZ CLAR,32.2,ALEJANDRO PEREZ CLAR,0.61,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,KIRIAN ZARCO MONTERO,3.98,KIRIAN ZARCO MONTERO,12.76,BIEL CANOVAS PEREZ,0.0,SERGI ANTOLN URBALLA,-2.32,ALEJANDRO PEREZ CLAR,65.91,KIRIAN ZARCO MONTERO,92.41,KIRIAN ZARCO MONTERO,-10.36,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,BIEL CANOVAS PEREZ,0.0,ALEJANDRO LERIN SANCHEZ,0.15,KIRIAN ZARCO MONTERO,0.67,KIRIAN ZARCO MONTERO,2.75,SERGI ANTOLN URBALLA,0.28,ALEX DIAZ GMEZ,5.0
