Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
PABLO SANTIAGO PAZ,29.31,ARNAU ROSA BEJARANO,16.46,ARNAU ROSA BEJARANO,5.54,ARNAU ROSA BEJARANO,9.46,ROBERTO MARTN BENTEZ,0.6,ERIC ESTEPA GUIMER,0.69,SERGI IBORRA BARRERA,2.69,ERIC ESTEPA GUIMER,0.26,ARNAU ROSA BEJARANO,4.0,ARNAU ROSA BEJARANO,5.62,JOEL JOYA VICO,0.9,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,ARNAU ROSA BEJARANO,2.62,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,ROBERTO MARTN BENTEZ,0.54,ARNAU ROSA BEJARANO,0.58,ARNAU ROSA BEJARANO,8.98,ENRIC YESTE MORENO,5.36,ARNAU ROSA BEJARANO,8.06,ERIC ESTEPA GUIMER,5.96,ARNAU ROSA BEJARANO,57.83,ROBERTO MARTN BENTEZ,1.07,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,ARNAU ROSA BEJARANO,17.58,ARNAU ROSA BEJARANO,28.04,PAU GONZLEZ BRUMOS,0.0,ARNAU ROSA BEJARANO,0.65,ARNAU ROSA BEJARANO,118.89,ENRIC YESTE MORENO,96.44,ARNAU ROSA BEJARANO,26.47,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,PAU GONZLEZ BRUMOS,0.0,SERGI IBORRA BARRERA,0.59,ARNAU ROSA BEJARANO,6.0,ARNAU ROSA BEJARANO,11.69,ROBERTO MARTN BENTEZ,0.53,ENRIC YESTE MORENO,22.0
ERIC ESTEPA GUIMER,27.08,ERIC ESTEPA GUIMER,11.62,ROBERTO MARTN BENTEZ,4.08,ERIC ESTEPA GUIMER,7.31,ARNAU ROSA BEJARANO,0.59,SERGI IBORRA BARRERA,0.54,JOEL JOYA VICO,2.69,PABLO SANTIAGO PAZ,0.22,ERIC ESTEPA GUIMER,2.62,ERIC ESTEPA GUIMER,4.0,ENRIC YESTE MORENO,0.75,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,ERIC ESTEPA GUIMER,2.54,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,ARNAU ROSA BEJARANO,0.53,ROBERTO MARTN BENTEZ,0.55,PABLO SANTIAGO PAZ,4.93,ARNAU ROSA BEJARANO,2.63,ERIC ESTEPA GUIMER,5.56,ARNAU ROSA BEJARANO,5.88,ROBERTO MARTN BENTEZ,55.04,ARNAU ROSA BEJARANO,1.07,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,ERIC ESTEPA GUIMER,14.12,ERIC ESTEPA GUIMER,22.93,HUGO PALOMARES BARRADO,0.0,ROBERTO MARTN BENTEZ,0.29,ROBERTO MARTN BENTEZ,111.11,ROGER LIRIA SALA,93.32,ROBERTO MARTN BENTEZ,20.84,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,HUGO PALOMARES BARRADO,0.0,JOEL JOYA VICO,0.45,PABLO SANTIAGO PAZ,4.23,ERIC ESTEPA GUIMER,9.92,ARNAU ROSA BEJARANO,0.51,SERGI IBORRA BARRERA,17.0
ARNAU ROSA BEJARANO,26.85,PABLO SANTIAGO PAZ,10.46,PABLO SANTIAGO PAZ,3.85,PABLO SANTIAGO PAZ,7.23,PABLO SANTIAGO PAZ,0.53,JOEL JOYA VICO,0.54,ERIC ESTEPA GUIMER,2.62,ARNAU ROSA BEJARANO,0.21,PABLO SANTIAGO PAZ,1.62,PABLO SANTIAGO PAZ,2.46,ARNAU ROSA BEJARANO,0.71,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,ALEJANDRO DE ANDRES CAAS,2.27,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,PABLO SANTIAGO PAZ,0.49,PABLO SANTIAGO PAZ,0.52,ROBERTO MARTN BENTEZ,4.82,ALEJANDRO DE ANDRES CAAS,2.19,PABLO SANTIAGO PAZ,5.1,PABLO SANTIAGO PAZ,4.89,PABLO SANTIAGO PAZ,51.07,PABLO SANTIAGO PAZ,0.98,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,PABLO SANTIAGO PAZ,11.58,ROBERTO MARTN BENTEZ,22.47,MARTI CED GUARCH,0.0,PAU GONZLEZ BRUMOS,0.0,PABLO SANTIAGO PAZ,105.43,PABLO SANTIAGO PAZ,92.76,PABLO SANTIAGO PAZ,12.66,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,MARTI CED GUARCH,0.0,ROGER SAUMELL PORTILLO,0.37,ROBERTO MARTN BENTEZ,4.17,PABLO SANTIAGO PAZ,9.0,PABLO SANTIAGO PAZ,0.47,ARNAU ROSA BEJARANO,16.0
ROBERTO MARTN BENTEZ,19.83,ROBERTO MARTN BENTEZ,9.17,ERIC ESTEPA GUIMER,3.46,ROBERTO MARTN BENTEZ,6.75,ROGER SAUMELL PORTILLO,0.48,ARNAU ROSA BEJARANO,0.46,ARNAU ROSA BEJARANO,2.23,ALEJANDRO DE ANDRES CAAS,0.21,JOEL JOYA VICO,1.46,ALEJANDRO DE ANDRES CAAS,2.27,PABLO SANTIAGO PAZ,0.66,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROGER LIRIA SALA,2.25,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ERIC ESTEPA GUIMER,0.45,ERIC ESTEPA GUIMER,0.5,ERIC ESTEPA GUIMER,4.76,ERIC ESTEPA GUIMER,2.03,ROBERTO MARTN BENTEZ,4.59,JOEL JOYA VICO,4.08,ERIC ESTEPA GUIMER,48.27,ERIC ESTEPA GUIMER,0.91,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,9.14,JOEL JOYA VICO,19.67,ROBERTO MARTN BENTEZ,0.0,HUGO PALOMARES BARRADO,-0.0,ERIC ESTEPA GUIMER,101.34,ROGER SAUMELL PORTILLO,92.67,ERIC ESTEPA GUIMER,8.9,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ROBERTO MARTN BENTEZ,0.0,ALEJANDRO DE ANDRES CAAS,0.33,ERIC ESTEPA GUIMER,4.15,ROBERTO MARTN BENTEZ,7.83,ERIC ESTEPA GUIMER,0.42,PABLO SANTIAGO PAZ,13.0
JOEL JOYA VICO,17.92,JOEL JOYA VICO,5.69,FRANCESC SALVAT CAPDEVILA,1.42,ALEJANDRO DE ANDRES CAAS,3.55,ERIC ESTEPA GUIMER,0.47,PABLO SANTIAGO PAZ,0.38,PABLO SANTIAGO PAZ,1.77,SERGI IBORRA BARRERA,0.2,ALEJANDRO DE ANDRES CAAS,1.27,JOEL JOYA VICO,1.62,ERIC ESTEPA GUIMER,0.65,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,FRANCESC SALVAT CAPDEVILA,2.08,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.38,ENRIC YESTE MORENO,0.46,JOEL JOYA VICO,1.58,JOEL JOYA VICO,1.9,JOEL JOYA VICO,2.49,ALEJANDRO DE ANDRES CAAS,3.81,ENRIC YESTE MORENO,46.88,ENRIC YESTE MORENO,0.75,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,JOEL JOYA VICO,7.62,FRANCESC SALVAT CAPDEVILA,19.44,ENRIC YESTE MORENO,0.0,MARTI CED GUARCH,-0.0,ENRIC YESTE MORENO,100.0,ALEJANDRO DE ANDRES CAAS,92.63,ENRIC YESTE MORENO,3.56,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,ENRIC YESTE MORENO,0.0,FRANCESC SALVAT CAPDEVILA,0.33,JOEL JOYA VICO,1.85,JOEL JOYA VICO,5.92,ENRIC YESTE MORENO,0.38,JOEL JOYA VICO,12.0
ALEJANDRO DE ANDRES CAAS,17.91,ALEJANDRO DE ANDRES CAAS,4.91,JOEL JOYA VICO,1.31,FRANCESC SALVAT CAPDEVILA,3.25,FRANCESC SALVAT CAPDEVILA,0.44,ALEJANDRO DE ANDRES CAAS,0.36,ALEJANDRO DE ANDRES CAAS,1.73,JOEL JOYA VICO,0.2,ROGER SAUMELL PORTILLO,0.85,ROGER SAUMELL PORTILLO,1.54,ROBERTO MARTN BENTEZ,0.6,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,JOEL JOYA VICO,1.62,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,ROGER SAUMELL PORTILLO,0.37,JOEL JOYA VICO,0.43,ROGER SAUMELL PORTILLO,0.85,ROGER SAUMELL PORTILLO,1.73,ALEJANDRO DE ANDRES CAAS,2.37,ROBERTO MARTN BENTEZ,3.75,ROGER SAUMELL PORTILLO,41.02,FRANCESC SALVAT CAPDEVILA,0.74,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,ALEJANDRO DE ANDRES CAAS,7.61,ALEJANDRO DE ANDRES CAAS,18.38,SERGI IBORRA BARRERA,0.0,ENRIC YESTE MORENO,-0.36,JOEL JOYA VICO,87.06,JOEL JOYA VICO,92.47,PAU GONZLEZ BRUMOS,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,SERGI IBORRA BARRERA,0.0,ROGER LIRIA SALA,0.28,FRANCESC SALVAT CAPDEVILA,1.67,ALEJANDRO DE ANDRES CAAS,5.27,ROGER SAUMELL PORTILLO,0.35,ROGER SAUMELL PORTILLO,11.0
ROGER LIRIA SALA,16.67,FRANCESC SALVAT CAPDEVILA,4.0,ALEJANDRO DE ANDRES CAAS,1.27,JOEL JOYA VICO,3.23,JOEL JOYA VICO,0.4,FRANCESC SALVAT CAPDEVILA,0.25,FRANCESC SALVAT CAPDEVILA,1.58,FRANCESC SALVAT CAPDEVILA,0.16,ROBERTO MARTN BENTEZ,0.75,ROBERTO MARTN BENTEZ,1.25,SERGI IBORRA BARRERA,0.6,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,SERGI IBORRA BARRERA,1.46,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,FRANCESC SALVAT CAPDEVILA,0.37,ROGER SAUMELL PORTILLO,0.41,ALEJANDRO DE ANDRES CAAS,0.56,PABLO SANTIAGO PAZ,1.38,FRANCESC SALVAT CAPDEVILA,1.93,SERGI IBORRA BARRERA,3.43,ALEJANDRO DE ANDRES CAAS,38.33,ROGER SAUMELL PORTILLO,0.73,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,FRANCESC SALVAT CAPDEVILA,5.87,PABLO SANTIAGO PAZ,18.29,ARNAU ROSA BEJARANO,0.0,PABLO SANTIAGO PAZ,-0.5,ROGER SAUMELL PORTILLO,83.93,ERIC ESTEPA GUIMER,92.44,HUGO PALOMARES BARRADO,-0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ARNAU ROSA BEJARANO,0.0,ERIC ESTEPA GUIMER,0.26,ALEJANDRO DE ANDRES CAAS,1.64,FRANCESC SALVAT CAPDEVILA,4.83,FRANCESC SALVAT CAPDEVILA,0.34,ROBERTO MARTN BENTEZ,10.0
SERGI IBORRA BARRERA,14.92,ROGER SAUMELL PORTILLO,3.62,ROGER SAUMELL PORTILLO,1.15,ROGER LIRIA SALA,2.83,ENRIC YESTE MORENO,0.38,ROGER LIRIA SALA,0.17,ROGER SAUMELL PORTILLO,1.38,ROGER LIRIA SALA,0.15,SERGI IBORRA BARRERA,0.46,FRANCESC SALVAT CAPDEVILA,1.0,ALEJANDRO DE ANDRES CAAS,0.56,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,1.46,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,JOEL JOYA VICO,0.36,ALEJANDRO DE ANDRES CAAS,0.39,ENRIC YESTE MORENO,0.43,ROBERTO MARTN BENTEZ,0.8,ROGER SAUMELL PORTILLO,1.8,FRANCESC SALVAT CAPDEVILA,3.3,JOEL JOYA VICO,37.85,JOEL JOYA VICO,0.71,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,ROGER SAUMELL PORTILLO,5.38,SERGI IBORRA BARRERA,17.37,PABLO SANTIAGO PAZ,0.0,ROGER SAUMELL PORTILLO,-1.38,ALEJANDRO DE ANDRES CAAS,80.6,SERGI IBORRA BARRERA,92.41,MARTI CED GUARCH,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.0,PABLO SANTIAGO PAZ,0.2,ROGER SAUMELL PORTILLO,1.31,SERGI IBORRA BARRERA,4.54,JOEL JOYA VICO,0.31,ERIC ESTEPA GUIMER,9.0
ROGER SAUMELL PORTILLO,14.62,SERGI IBORRA BARRERA,3.31,ROGER LIRIA SALA,1.0,ROGER SAUMELL PORTILLO,2.38,ALEJANDRO DE ANDRES CAAS,0.36,ROGER SAUMELL PORTILLO,0.15,ROBERTO MARTN BENTEZ,1.08,ROGER SAUMELL PORTILLO,0.11,ENRIC YESTE MORENO,0.43,SERGI IBORRA BARRERA,0.77,ROGER SAUMELL PORTILLO,0.55,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,ROGER SAUMELL PORTILLO,0.92,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,ALEJANDRO DE ANDRES CAAS,0.34,FRANCESC SALVAT CAPDEVILA,0.38,FRANCESC SALVAT CAPDEVILA,0.22,SERGI IBORRA BARRERA,0.78,SERGI IBORRA BARRERA,1.41,ROGER LIRIA SALA,2.78,FRANCESC SALVAT CAPDEVILA,36.89,ALEJANDRO DE ANDRES CAAS,0.69,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,SERGI IBORRA BARRERA,5.34,ROGER SAUMELL PORTILLO,16.17,JOEL JOYA VICO,0.0,ERIC ESTEPA GUIMER,-1.58,FRANCESC SALVAT CAPDEVILA,77.42,ARNAU ROSA BEJARANO,92.41,JOEL JOYA VICO,-5.41,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,JOEL JOYA VICO,0.0,ARNAU ROSA BEJARANO,0.19,ROGER LIRIA SALA,1.17,ROGER LIRIA SALA,3.92,ALEJANDRO DE ANDRES CAAS,0.31,ROGER LIRIA SALA,4.0
FRANCESC SALVAT CAPDEVILA,14.42,ROGER LIRIA SALA,2.67,SERGI IBORRA BARRERA,0.62,SERGI IBORRA BARRERA,1.85,ROGER LIRIA SALA,0.35,ROBERTO MARTN BENTEZ,0.08,ROGER LIRIA SALA,1.08,ROBERTO MARTN BENTEZ,0.08,FRANCESC SALVAT CAPDEVILA,0.42,ENRIC YESTE MORENO,0.57,ROGER LIRIA SALA,0.5,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROBERTO MARTN BENTEZ,0.83,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER LIRIA SALA,0.32,SERGI IBORRA BARRERA,0.34,PAU GONZLEZ BRUMOS,0.0,FRANCESC SALVAT CAPDEVILA,0.72,ROGER LIRIA SALA,1.27,ROGER SAUMELL PORTILLO,2.59,ROGER LIRIA SALA,31.28,ROGER LIRIA SALA,0.64,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER LIRIA SALA,4.26,ROGER LIRIA SALA,12.89,ROGER SAUMELL PORTILLO,0.0,JOEL JOYA VICO,-1.85,SERGI IBORRA BARRERA,69.35,FRANCESC SALVAT CAPDEVILA,91.48,ROGER SAUMELL PORTILLO,-8.74,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROGER SAUMELL PORTILLO,0.0,ROBERTO MARTN BENTEZ,0.14,SERGI IBORRA BARRERA,1.15,ROGER SAUMELL PORTILLO,3.77,ROGER LIRIA SALA,0.3,ALEJANDRO DE ANDRES CAAS,1.0
