Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
MIQUEL DE JOVER I BOIRA,25.4,IAKI IBAEZ DE ELEJALDE MORALES,10.4,BIEL SALAT TASIAS,2.75,GUILLEM PREZ LAYUNTA,7.0,ORIOL NIUBO TORRAS,0.67,IAKI IBAEZ DE ELEJALDE MORALES,2.0,IAKI IBAEZ DE ELEJALDE MORALES,5.8,MARC GISBERT JUAREZ,0.43,MIQUEL DE JOVER I BOIRA,3.6,MIQUEL DE JOVER I BOIRA,5.4,MARIO DE LA SEN MARTN,0.85,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,MIQUEL DE JOVER I BOIRA,2.8,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,JORDI RODEIRO BOLIART,0.54,JORDI RODEIRO BOLIART,0.58,IAKI IBAEZ DE ELEJALDE MORALES,4.08,JORDI RODEIRO BOLIART,15.0,MIQUEL DE JOVER I BOIRA,4.72,MARIO DE LA SEN MARTN,6.42,JORDI RODEIRO BOLIART,60.73,JORDI RODEIRO BOLIART,1.08,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,MIQUEL DE JOVER I BOIRA,12.48,MARIO DE LA SEN MARTN,32.96,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,JORDI RODEIRO BOLIART,122.22,MARC GISBERT JUAREZ,93.44,JORDI RODEIRO BOLIART,29.22,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,PAU PRAT MORENO,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.66,IAKI IBAEZ DE ELEJALDE MORALES,3.4,IAKI IBAEZ DE ELEJALDE MORALES,8.8,JORDI RODEIRO BOLIART,0.5,ROGER MASDEU ALTES,77.0
GUILLEM PREZ LAYUNTA,23.6,MIQUEL DE JOVER I BOIRA,9.4,GUILLEM PREZ LAYUNTA,2.6,MIQUEL DE JOVER I BOIRA,5.8,JORDI RODEIRO BOLIART,0.62,MARIO DE LA SEN MARTN,1.2,MARIO DE LA SEN MARTN,4.8,IAKI IBAEZ DE ELEJALDE MORALES,0.34,MARIO DE LA SEN MARTN,2.2,POL TERUEL FERRAN,3.5,MIQUEL DE JOVER I BOIRA,0.67,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,GUILLEM PREZ LAYUNTA,2.6,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.5,IAKI IBAEZ DE ELEJALDE MORALES,0.51,MIQUEL DE JOVER I BOIRA,3.36,MIQUEL DE JOVER I BOIRA,9.47,IAKI IBAEZ DE ELEJALDE MORALES,4.36,IAKI IBAEZ DE ELEJALDE MORALES,5.72,MIQUEL DE JOVER I BOIRA,48.36,IAKI IBAEZ DE ELEJALDE MORALES,1.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,11.69,BIEL SALAT TASIAS,26.04,ROGER MASDEU ALTES,0.0,JORDI RODEIRO BOLIART,-0.4,IAKI IBAEZ DE ELEJALDE MORALES,106.12,MARC PREZ LAYUNTA,93.39,IAKI IBAEZ DE ELEJALDE MORALES,12.85,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,ROGER MASDEU ALTES,0.0,JAN TERUEL FERRAN,0.6,GUILLEM PREZ LAYUNTA,2.8,MARIO DE LA SEN MARTN,8.6,BIEL SALAT TASIAS,0.41,IAKI IBAEZ DE ELEJALDE MORALES,23.0
IAKI IBAEZ DE ELEJALDE MORALES,21.4,MARIO DE LA SEN MARTN,7.8,MIQUEL DE JOVER I BOIRA,2.6,MARC GISBERT JUAREZ,5.2,BIEL SALAT TASIAS,0.55,MARC PREZ LAYUNTA,0.6,JAN TERUEL FERRAN,3.0,MARC PREZ LAYUNTA,0.33,POL TERUEL FERRAN,2.0,IAKI IBAEZ DE ELEJALDE MORALES,3.2,POL TERUEL FERRAN,0.57,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,2.2,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,BIEL SALAT TASIAS,0.41,MIQUEL DE JOVER I BOIRA,0.47,JORDI RODEIRO BOLIART,2.0,POL TERUEL FERRAN,9.09,GUILLEM PREZ LAYUNTA,3.58,GUILLEM PREZ LAYUNTA,5.7,IAKI IBAEZ DE ELEJALDE MORALES,43.25,MARC GISBERT JUAREZ,0.82,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,MARIO DE LA SEN MARTN,10.95,IAKI IBAEZ DE ELEJALDE MORALES,23.56,IAKI IBAEZ DE ELEJALDE MORALES,0.0,ORIOL NIUBO TORRAS,-1.0,MIQUEL DE JOVER I BOIRA,97.92,IAKI IBAEZ DE ELEJALDE MORALES,93.27,MIQUEL DE JOVER I BOIRA,4.69,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,IAKI IBAEZ DE ELEJALDE MORALES,0.0,MARIO DE LA SEN MARTN,0.56,MIQUEL DE JOVER I BOIRA,2.8,GUILLEM PREZ LAYUNTA,8.0,ORIOL NIUBO TORRAS,0.4,JORDI RODEIRO BOLIART,20.0
POL TERUEL FERRAN,20.75,GUILLEM PREZ LAYUNTA,7.0,MARC GISBERT JUAREZ,1.8,BIEL SALAT TASIAS,5.0,JAN TERUEL FERRAN,0.5,JAN TERUEL FERRAN,0.6,ROGER MASDEU ALTES,2.8,JORDI RODEIRO BOLIART,0.25,JORDI RODEIRO BOLIART,1.8,JORDI RODEIRO BOLIART,3.2,JORDI RODEIRO BOLIART,0.56,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,ROGER MASDEU ALTES,2.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,MARC GISBERT JUAREZ,0.41,MARIO DE LA SEN MARTN,0.4,MARIO DE LA SEN MARTN,1.7,MARIO DE LA SEN MARTN,5.12,MARIO DE LA SEN MARTN,3.22,MIQUEL DE JOVER I BOIRA,5.04,BIEL SALAT TASIAS,41.51,BIEL SALAT TASIAS,0.81,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,GUILLEM PREZ LAYUNTA,10.89,MARC GISBERT JUAREZ,20.44,JORDI RODEIRO BOLIART,0.0,IAKI IBAEZ DE ELEJALDE MORALES,-1.1,MARC GISBERT JUAREZ,84.85,GUILLEM PREZ LAYUNTA,93.23,PAU PRAT MORENO,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,JORDI RODEIRO BOLIART,0.0,ROGER MASDEU ALTES,0.5,BIEL SALAT TASIAS,2.75,MIQUEL DE JOVER I BOIRA,7.6,IAKI IBAEZ DE ELEJALDE MORALES,0.39,MARIO DE LA SEN MARTN,17.0
MARC GISBERT JUAREZ,16.8,BIEL SALAT TASIAS,6.0,IAKI IBAEZ DE ELEJALDE MORALES,1.4,MARIO DE LA SEN MARTN,3.8,IAKI IBAEZ DE ELEJALDE MORALES,0.47,MARC GISBERT JUAREZ,0.6,POL TERUEL FERRAN,2.25,MARIO DE LA SEN MARTN,0.25,IAKI IBAEZ DE ELEJALDE MORALES,1.6,GUILLEM PREZ LAYUNTA,3.2,IAKI IBAEZ DE ELEJALDE MORALES,0.5,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,2.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,ORIOL NIUBO TORRAS,0.4,ORIOL NIUBO TORRAS,0.4,BIEL SALAT TASIAS,1.48,IAKI IBAEZ DE ELEJALDE MORALES,3.64,BIEL SALAT TASIAS,3.09,POL TERUEL FERRAN,4.51,ORIOL NIUBO TORRAS,40.0,ORIOL NIUBO TORRAS,0.8,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,POL TERUEL FERRAN,8.67,GUILLEM PREZ LAYUNTA,19.69,MARIO DE LA SEN MARTN,0.0,MARC PREZ LAYUNTA,-2.0,BIEL SALAT TASIAS,82.76,MIQUEL DE JOVER I BOIRA,93.23,BIEL SALAT TASIAS,-7.19,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,MARIO DE LA SEN MARTN,0.0,POL TERUEL FERRAN,0.41,MARC GISBERT JUAREZ,2.4,BIEL SALAT TASIAS,6.75,MIQUEL DE JOVER I BOIRA,0.37,MARC PREZ LAYUNTA,16.0
JAN TERUEL FERRAN,16.2,MARC GISBERT JUAREZ,5.6,ROGER MASDEU ALTES,1.2,MARC PREZ LAYUNTA,3.6,MIQUEL DE JOVER I BOIRA,0.45,POL TERUEL FERRAN,0.5,MARC PREZ LAYUNTA,1.8,POL TERUEL FERRAN,0.22,GUILLEM PREZ LAYUNTA,1.2,MARIO DE LA SEN MARTN,2.6,JAN TERUEL FERRAN,0.44,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,JAN TERUEL FERRAN,2.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.39,BIEL SALAT TASIAS,0.4,MARC GISBERT JUAREZ,1.22,JAN TERUEL FERRAN,3.2,MARC GISBERT JUAREZ,2.54,MARC GISBERT JUAREZ,4.38,GUILLEM PREZ LAYUNTA,38.58,MARC PREZ LAYUNTA,0.78,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,BIEL SALAT TASIAS,8.33,MARC PREZ LAYUNTA,19.52,MARC PREZ LAYUNTA,0.0,MARC GISBERT JUAREZ,-2.0,JAN TERUEL FERRAN,82.14,JAN TERUEL FERRAN,93.16,MARC GISBERT JUAREZ,-8.59,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,MARC PREZ LAYUNTA,0.0,ORIOL NIUBO TORRAS,0.4,MARIO DE LA SEN MARTN,2.2,MARC GISBERT JUAREZ,6.6,MARC GISBERT JUAREZ,0.36,GUILLEM PREZ LAYUNTA,14.0
ROGER MASDEU ALTES,15.2,POL TERUEL FERRAN,5.0,MARC PREZ LAYUNTA,1.2,POL TERUEL FERRAN,3.25,ROGER MASDEU ALTES,0.43,ROGER MASDEU ALTES,0.4,MIQUEL DE JOVER I BOIRA,1.8,GUILLEM PREZ LAYUNTA,0.2,JAN TERUEL FERRAN,0.8,JAN TERUEL FERRAN,1.8,GUILLEM PREZ LAYUNTA,0.38,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,JORDI RODEIRO BOLIART,1.6,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,MIQUEL DE JOVER I BOIRA,0.38,JAN TERUEL FERRAN,0.4,MARC PREZ LAYUNTA,0.74,GUILLEM PREZ LAYUNTA,3.0,POL TERUEL FERRAN,2.39,BIEL SALAT TASIAS,4.36,MARC GISBERT JUAREZ,36.71,MIQUEL DE JOVER I BOIRA,0.76,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,MARC GISBERT JUAREZ,7.32,MIQUEL DE JOVER I BOIRA,19.4,GUILLEM PREZ LAYUNTA,0.0,BIEL SALAT TASIAS,-2.12,MARIO DE LA SEN MARTN,81.25,ROGER MASDEU ALTES,93.12,JAN TERUEL FERRAN,-11.02,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,GUILLEM PREZ LAYUNTA,0.0,JORDI RODEIRO BOLIART,0.33,MARC PREZ LAYUNTA,1.8,ROGER MASDEU ALTES,5.6,GUILLEM PREZ LAYUNTA,0.35,POL TERUEL FERRAN,13.0
MARC PREZ LAYUNTA,15.0,MARC PREZ LAYUNTA,4.6,JORDI RODEIRO BOLIART,1.0,IAKI IBAEZ DE ELEJALDE MORALES,3.0,GUILLEM PREZ LAYUNTA,0.37,JORDI RODEIRO BOLIART,0.2,BIEL SALAT TASIAS,1.75,JAN TERUEL FERRAN,0.2,BIEL SALAT TASIAS,0.5,BIEL SALAT TASIAS,1.75,MARC PREZ LAYUNTA,0.33,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,ORIOL NIUBO TORRAS,1.6,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,JAN TERUEL FERRAN,0.38,MARC GISBERT JUAREZ,0.4,GUILLEM PREZ LAYUNTA,0.68,BIEL SALAT TASIAS,1.85,JORDI RODEIRO BOLIART,2.24,ROGER MASDEU ALTES,4.18,JAN TERUEL FERRAN,36.67,JAN TERUEL FERRAN,0.76,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,JAN TERUEL FERRAN,6.63,ROGER MASDEU ALTES,19.34,POL TERUEL FERRAN,0.0,MIQUEL DE JOVER I BOIRA,-2.3,ORIOL NIUBO TORRAS,80.0,MARIO DE LA SEN MARTN,93.09,MARIO DE LA SEN MARTN,-11.84,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,POL TERUEL FERRAN,0.0,MARC PREZ LAYUNTA,0.33,ROGER MASDEU ALTES,1.6,POL TERUEL FERRAN,5.5,MARC PREZ LAYUNTA,0.33,ORIOL NIUBO TORRAS,11.0
MARIO DE LA SEN MARTN,14.6,JAN TERUEL FERRAN,4.6,MARIO DE LA SEN MARTN,1.0,ROGER MASDEU ALTES,2.8,MARC GISBERT JUAREZ,0.35,GUILLEM PREZ LAYUNTA,0.2,MARC GISBERT JUAREZ,1.4,ROGER MASDEU ALTES,0.14,MARC PREZ LAYUNTA,0.4,MARC PREZ LAYUNTA,1.2,BIEL SALAT TASIAS,0.29,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,POL TERUEL FERRAN,1.25,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,GUILLEM PREZ LAYUNTA,0.36,MARC PREZ LAYUNTA,0.39,POL TERUEL FERRAN,0.55,MARC PREZ LAYUNTA,1.48,JAN TERUEL FERRAN,2.1,MARC PREZ LAYUNTA,3.81,MARC PREZ LAYUNTA,35.15,GUILLEM PREZ LAYUNTA,0.72,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,MARC PREZ LAYUNTA,6.48,JORDI RODEIRO BOLIART,18.08,ORIOL NIUBO TORRAS,0.0,JAN TERUEL FERRAN,-2.3,MARC PREZ LAYUNTA,79.31,ORIOL NIUBO TORRAS,93.06,ORIOL NIUBO TORRAS,-13.06,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,ORIOL NIUBO TORRAS,0.0,BIEL SALAT TASIAS,0.26,JAN TERUEL FERRAN,1.6,MARC PREZ LAYUNTA,5.4,JAN TERUEL FERRAN,0.32,MIQUEL DE JOVER I BOIRA,7.0
BIEL SALAT TASIAS,14.25,JORDI RODEIRO BOLIART,4.4,JAN TERUEL FERRAN,1.0,JAN TERUEL FERRAN,2.0,MARC PREZ LAYUNTA,0.33,MIQUEL DE JOVER I BOIRA,0.2,GUILLEM PREZ LAYUNTA,1.0,MIQUEL DE JOVER I BOIRA,0.11,ROGER MASDEU ALTES,0.2,ROGER MASDEU ALTES,0.8,ROGER MASDEU ALTES,0.25,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MARC PREZ LAYUNTA,1.2,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MARIO DE LA SEN MARTN,0.33,GUILLEM PREZ LAYUNTA,0.37,JAN TERUEL FERRAN,0.54,ROGER MASDEU ALTES,0.71,MARC PREZ LAYUNTA,2.07,JAN TERUEL FERRAN,3.62,POL TERUEL FERRAN,34.68,MARIO DE LA SEN MARTN,0.65,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,ROGER MASDEU ALTES,6.32,JAN TERUEL FERRAN,17.66,MIQUEL DE JOVER I BOIRA,0.0,POL TERUEL FERRAN,-2.88,GUILLEM PREZ LAYUNTA,77.78,JORDI RODEIRO BOLIART,93.0,MARC PREZ LAYUNTA,-14.08,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.0,MIQUEL DE JOVER I BOIRA,0.24,POL TERUEL FERRAN,1.25,JAN TERUEL FERRAN,5.0,ROGER MASDEU ALTES,0.29,BIEL SALAT TASIAS,6.0
