Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
IVAN FALCON JUVE,26.25,FRANCESC PLA DE CASACUBERTA,9.44,IVAN FALCON JUVE,2.88,IVAN FALCON JUVE,6.0,GONAL BAYARRI SEGURA,0.73,ALBERT ROMAN PEREZ,1.33,NIL CRESPO PEIRO,4.56,ALBERT ROMAN PEREZ,0.44,FRANCESC PLA DE CASACUBERTA,3.56,FRANCESC PLA DE CASACUBERTA,4.67,NIL CRESPO PEIRO,0.81,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,ADRIA RUIZ DE AZUA MALDONADO,3.67,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,GONAL BAYARRI SEGURA,0.73,GONAL BAYARRI SEGURA,0.74,FRANCESC PLA DE CASACUBERTA,4.22,MEDIR TENA PEREZ,7.14,IVAN FALCON JUVE,4.31,NIL CRESPO PEIRO,5.04,GONAL BAYARRI SEGURA,75.4,GONAL BAYARRI SEGURA,1.45,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,FRANCESC PLA DE CASACUBERTA,11.92,ALEJANDRO VALLINA CERVERA,28.17,YANN MEYSSELLE,0.0,GONAL BAYARRI SEGURA,0.5,GONAL BAYARRI SEGURA,158.33,GONAL BAYARRI SEGURA,99.65,GONAL BAYARRI SEGURA,58.69,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,YANN MEYSSELLE,0.0,ALBERT ROMAN PEREZ,0.79,IVAN FALCON JUVE,3.0,NIL CRESPO PEIRO,7.44,GONAL BAYARRI SEGURA,0.73,YANN MEYSSELLE,85.0
ARNAU MASCARO ARIAS,25.33,IVAN FALCON JUVE,8.75,ADRIA RUIZ DE AZUA MALDONADO,2.56,ADRIA RUIZ DE AZUA MALDONADO,5.0,ADRIA RUIZ DE AZUA MALDONADO,0.51,NIL CRESPO PEIRO,1.22,FRANCESC PLA DE CASACUBERTA,3.67,NIL CRESPO PEIRO,0.27,IVAN FALCON JUVE,2.62,IVAN FALCON JUVE,3.5,MEDIR TENA PEREZ,0.79,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,IVAN FALCON JUVE,2.5,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,ALBERT ROMAN PEREZ,0.62,ALBERT ROMAN PEREZ,0.61,IVAN FALCON JUVE,3.88,FRANCESC PLA DE CASACUBERTA,5.39,FRANCESC PLA DE CASACUBERTA,4.21,FRANCESC PLA DE CASACUBERTA,4.99,IVAN FALCON JUVE,52.91,ALBERT ROMAN PEREZ,1.24,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,NIL CRESPO PEIRO,10.39,ALBERT BLANCO FONTANALS,25.89,MARC CORTADELLAS CASALE,0.0,ALBERT ROMAN PEREZ,0.22,ALBERT ROMAN PEREZ,128.57,BENJAMIN STANLEY PALMER,96.71,ALBERT ROMAN PEREZ,35.43,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,MARC CORTADELLAS CASALE,0.0,ARNAU MASCARO ARIAS,0.68,ADRIA RUIZ DE AZUA MALDONADO,2.67,FRANCESC PLA DE CASACUBERTA,7.33,ADRIA RUIZ DE AZUA MALDONADO,0.45,GONAL BAYARRI SEGURA,84.0
NIL CRESPO PEIRO,21.67,NIL CRESPO PEIRO,8.56,BENJAMIN STANLEY PALMER,2.0,BENJAMIN STANLEY PALMER,4.75,IVAN FALCON JUVE,0.48,FRANCESC PLA DE CASACUBERTA,1.0,ALBERT ROMAN PEREZ,3.0,FRANCESC PLA DE CASACUBERTA,0.27,NIL CRESPO PEIRO,2.44,ADRIA RUIZ DE AZUA MALDONADO,3.44,FRANCESC PLA DE CASACUBERTA,0.76,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,BENJAMIN STANLEY PALMER,2.5,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.46,IVAN FALCON JUVE,0.53,NIL CRESPO PEIRO,3.61,IVAN FALCON JUVE,4.86,ADRIA RUIZ DE AZUA MALDONADO,3.84,ROGER PUIG SALTOR,4.06,ADRIA RUIZ DE AZUA MALDONADO,52.82,ADRIA RUIZ DE AZUA MALDONADO,0.92,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,IVAN FALCON JUVE,10.17,FRANCESC PLA DE CASACUBERTA,25.52,GONAL BAYARRI SEGURA,0.0,MARC CORTADELLAS CASALE,0.0,IVAN FALCON JUVE,109.38,MEDIR TENA PEREZ,95.44,IVAN FALCON JUVE,15.79,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,GONAL BAYARRI SEGURA,0.0,NIL CRESPO PEIRO,0.61,NIL CRESPO PEIRO,2.44,IVAN FALCON JUVE,6.75,ALBERT ROMAN PEREZ,0.44,ARNAU MASCARO ARIAS,30.0
FRANCESC PLA DE CASACUBERTA,21.22,ADRIA RUIZ DE AZUA MALDONADO,7.56,FRANCESC PLA DE CASACUBERTA,1.44,FRANCESC PLA DE CASACUBERTA,3.67,ALBERT ROMAN PEREZ,0.43,ARNAU MASCARO ARIAS,0.33,ARNAU MASCARO ARIAS,2.33,IVAN FALCON JUVE,0.17,ADRIA RUIZ DE AZUA MALDONADO,2.11,NIL CRESPO PEIRO,3.0,GONAL BAYARRI SEGURA,0.75,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,1.78,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,IVAN FALCON JUVE,0.45,ADRIA RUIZ DE AZUA MALDONADO,0.51,ADRIA RUIZ DE AZUA MALDONADO,2.5,GONAL BAYARRI SEGURA,4.54,NIL CRESPO PEIRO,3.6,IVAN FALCON JUVE,3.84,BENJAMIN STANLEY PALMER,47.41,IVAN FALCON JUVE,0.91,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ADRIA RUIZ DE AZUA MALDONADO,9.27,ROGER PUIG SALTOR,24.5,ARNAU MASCARO ARIAS,0.0,NIL CRESPO PEIRO,-1.0,ADRIA RUIZ DE AZUA MALDONADO,106.25,ALEJANDRO VALLINA CERVERA,93.74,ADRIA RUIZ DE AZUA MALDONADO,13.73,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,ARNAU MASCARO ARIAS,0.0,YANN MEYSSELLE,0.52,FRANCESC PLA DE CASACUBERTA,2.44,ADRIA RUIZ DE AZUA MALDONADO,5.89,IVAN FALCON JUVE,0.44,ALBERT BLANCO FONTANALS,25.0
ADRIA RUIZ DE AZUA MALDONADO,17.89,BENJAMIN STANLEY PALMER,5.25,GONAL BAYARRI SEGURA,1.33,ROGER PUIG SALTOR,3.44,ALBERT BLANCO FONTANALS,0.42,ROGER PUIG SALTOR,0.33,YANN MEYSSELLE,2.14,ROGER PUIG SALTOR,0.17,MEDIR TENA PEREZ,1.57,MEDIR TENA PEREZ,2.0,ALBERT BLANCO FONTANALS,0.75,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,1.67,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,NIL CRESPO PEIRO,0.41,FRANCESC PLA DE CASACUBERTA,0.5,ALBERT ROMAN PEREZ,2.36,ALEJANDRO VALLINA CERVERA,4.17,BENJAMIN STANLEY PALMER,2.64,ALBERT BLANCO FONTANALS,3.6,ALBERT ROMAN PEREZ,46.15,NIL CRESPO PEIRO,0.82,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ROGER PUIG SALTOR,7.3,ADRIA RUIZ DE AZUA MALDONADO,23.88,ALBERT BLANCO FONTANALS,0.0,FRANCESC PLA DE CASACUBERTA,-1.0,FRANCESC PLA DE CASACUBERTA,104.94,IVAN FALCON JUVE,93.59,FRANCESC PLA DE CASACUBERTA,11.65,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,ALBERT BLANCO FONTANALS,0.0,FRANCESC PLA DE CASACUBERTA,0.5,BENJAMIN STANLEY PALMER,2.0,ROGER PUIG SALTOR,5.44,BENJAMIN STANLEY PALMER,0.41,ALEJANDRO VALLINA CERVERA,17.0
BENJAMIN STANLEY PALMER,17.88,ALBERT ROMAN PEREZ,5.0,ALBERT BLANCO FONTANALS,1.22,ALBERT BLANCO FONTANALS,2.89,NIL CRESPO PEIRO,0.42,YANN MEYSSELLE,0.29,ALBERT BLANCO FONTANALS,2.11,ARNAU MASCARO ARIAS,0.14,ALBERT BLANCO FONTANALS,1.33,ROGER PUIG SALTOR,1.89,IVAN FALCON JUVE,0.75,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,FRANCESC PLA DE CASACUBERTA,1.56,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,BENJAMIN STANLEY PALMER,0.41,NIL CRESPO PEIRO,0.49,GONAL BAYARRI SEGURA,1.95,ADRIA RUIZ DE AZUA MALDONADO,3.98,ROGER PUIG SALTOR,2.14,ADRIA RUIZ DE AZUA MALDONADO,3.43,FRANCESC PLA DE CASACUBERTA,45.71,BENJAMIN STANLEY PALMER,0.82,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALBERT BLANCO FONTANALS,6.75,NIL CRESPO PEIRO,23.34,ALEJANDRO VALLINA CERVERA,0.0,IVAN FALCON JUVE,-1.0,NIL CRESPO PEIRO,100.0,NIL CRESPO PEIRO,93.39,NIL CRESPO PEIRO,6.61,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALEJANDRO VALLINA CERVERA,0.0,ALBERT BLANCO FONTANALS,0.42,ALBERT ROMAN PEREZ,1.67,ALBERT BLANCO FONTANALS,5.0,NIL CRESPO PEIRO,0.33,NIL CRESPO PEIRO,15.0
ROGER PUIG SALTOR,14.78,ALBERT BLANCO FONTANALS,4.44,NIL CRESPO PEIRO,1.22,NIL CRESPO PEIRO,2.89,BENJAMIN STANLEY PALMER,0.42,ALBERT BLANCO FONTANALS,0.22,ROGER PUIG SALTOR,2.0,YANN MEYSSELLE,0.13,BENJAMIN STANLEY PALMER,1.25,ALEJANDRO VALLINA CERVERA,1.83,YANN MEYSSELLE,0.71,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,ALBERT ROMAN PEREZ,1.33,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,FRANCESC PLA DE CASACUBERTA,0.4,BENJAMIN STANLEY PALMER,0.47,BENJAMIN STANLEY PALMER,1.44,NIL CRESPO PEIRO,3.65,ALBERT BLANCO FONTANALS,2.11,YANN MEYSSELLE,3.32,NIL CRESPO PEIRO,41.68,FRANCESC PLA DE CASACUBERTA,0.8,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,BENJAMIN STANLEY PALMER,6.62,YANN MEYSSELLE,22.59,NIL CRESPO PEIRO,0.0,MEDIR TENA PEREZ,-1.57,BENJAMIN STANLEY PALMER,95.45,ARNAU MASCARO ARIAS,93.31,MARC CORTADELLAS CASALE,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,NIL CRESPO PEIRO,0.0,ALEJANDRO VALLINA CERVERA,0.38,ROGER PUIG SALTOR,1.56,BENJAMIN STANLEY PALMER,4.88,FRANCESC PLA DE CASACUBERTA,0.33,ADRIA RUIZ DE AZUA MALDONADO,14.0
MEDIR TENA PEREZ,14.43,ROGER PUIG SALTOR,4.44,ROGER PUIG SALTOR,1.22,MEDIR TENA PEREZ,2.86,FRANCESC PLA DE CASACUBERTA,0.39,ALEJANDRO VALLINA CERVERA,0.17,ALEJANDRO VALLINA CERVERA,1.5,ADRIA RUIZ DE AZUA MALDONADO,0.12,ALEJANDRO VALLINA CERVERA,1.0,ALBERT BLANCO FONTANALS,1.78,BENJAMIN STANLEY PALMER,0.71,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ROGER PUIG SALTOR,1.33,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ROGER PUIG SALTOR,0.32,ALBERT BLANCO FONTANALS,0.38,ALBERT BLANCO FONTANALS,0.68,BENJAMIN STANLEY PALMER,3.21,ALBERT ROMAN PEREZ,1.87,ARNAU MASCARO ARIAS,3.22,MEDIR TENA PEREZ,37.47,ROGER PUIG SALTOR,0.63,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ALEJANDRO VALLINA CERVERA,5.79,BENJAMIN STANLEY PALMER,18.33,ADRIA RUIZ DE AZUA MALDONADO,0.0,BENJAMIN STANLEY PALMER,-1.75,ALBERT BLANCO FONTANALS,78.43,FRANCESC PLA DE CASACUBERTA,93.29,BENJAMIN STANLEY PALMER,-1.26,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.0,ROGER PUIG SALTOR,0.37,ALBERT BLANCO FONTANALS,1.44,YANN MEYSSELLE,4.14,ALBERT BLANCO FONTANALS,0.29,FRANCESC PLA DE CASACUBERTA,13.0
ALBERT ROMAN PEREZ,13.44,GONAL BAYARRI SEGURA,3.17,ALEJANDRO VALLINA CERVERA,0.83,ALEJANDRO VALLINA CERVERA,2.5,ROGER PUIG SALTOR,0.35,IVAN FALCON JUVE,0.12,ADRIA RUIZ DE AZUA MALDONADO,0.89,ALBERT BLANCO FONTANALS,0.11,ROGER PUIG SALTOR,1.0,BENJAMIN STANLEY PALMER,1.75,ADRIA RUIZ DE AZUA MALDONADO,0.61,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,NIL CRESPO PEIRO,1.22,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,ALBERT BLANCO FONTANALS,0.31,MEDIR TENA PEREZ,0.37,MEDIR TENA PEREZ,0.57,ALBERT BLANCO FONTANALS,2.96,GONAL BAYARRI SEGURA,1.58,ALEJANDRO VALLINA CERVERA,3.15,ALBERT BLANCO FONTANALS,36.96,ALBERT BLANCO FONTANALS,0.62,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,MEDIR TENA PEREZ,5.13,IVAN FALCON JUVE,18.07,FRANCESC PLA DE CASACUBERTA,0.0,ADRIA RUIZ DE AZUA MALDONADO,-1.89,MEDIR TENA PEREZ,77.78,ROGER PUIG SALTOR,93.19,ALBERT BLANCO FONTANALS,-14.53,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,FRANCESC PLA DE CASACUBERTA,0.0,ADRIA RUIZ DE AZUA MALDONADO,0.15,GONAL BAYARRI SEGURA,1.33,ALEJANDRO VALLINA CERVERA,4.0,ROGER PUIG SALTOR,0.29,ALBERT ROMAN PEREZ,10.0
ALBERT BLANCO FONTANALS,12.89,ALEJANDRO VALLINA CERVERA,3.17,MEDIR TENA PEREZ,0.71,YANN MEYSSELLE,2.0,ALEJANDRO VALLINA CERVERA,0.33,ADRIA RUIZ DE AZUA MALDONADO,0.11,IVAN FALCON JUVE,0.75,ALEJANDRO VALLINA CERVERA,0.11,YANN MEYSSELLE,0.71,ARNAU MASCARO ARIAS,1.11,ALEJANDRO VALLINA CERVERA,0.55,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,YANN MEYSSELLE,1.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALEJANDRO VALLINA CERVERA,0.27,ROGER PUIG SALTOR,0.35,ROGER PUIG SALTOR,0.37,YANN MEYSSELLE,2.46,ALEJANDRO VALLINA CERVERA,1.58,BENJAMIN STANLEY PALMER,2.93,ROGER PUIG SALTOR,34.58,ALEJANDRO VALLINA CERVERA,0.54,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,YANN MEYSSELLE,5.1,ALBERT ROMAN PEREZ,17.47,ALBERT ROMAN PEREZ,0.0,ALEJANDRO VALLINA CERVERA,-2.25,ROGER PUIG SALTOR,72.73,ALBERT ROMAN PEREZ,93.14,MEDIR TENA PEREZ,-17.66,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,ALBERT ROMAN PEREZ,0.0,IVAN FALCON JUVE,0.11,ALEJANDRO VALLINA CERVERA,1.0,ALBERT ROMAN PEREZ,3.78,ALEJANDRO VALLINA CERVERA,0.25,MEDIR TENA PEREZ,7.0
