Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
ALEIX LOPEZ LUQUE,29.0,PAUL ATER MAKER BOL,21.5,PAUL ATER MAKER BOL,5.5,EDWIN JOSE NIEBLES HERRERA,9.0,PAUL ATER MAKER BOL,0.85,PAUL ATER MAKER BOL,3.0,PAUL ATER MAKER BOL,5.0,PAUL ATER MAKER BOL,0.6,PAUL ATER MAKER BOL,1.5,PAUL ATER MAKER BOL,4.5,EDWIN JOSE NIEBLES HERRERA,1.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,LADJI COULIBALY,3.5,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,PAUL ATER MAKER BOL,0.87,PAUL ATER MAKER BOL,0.8,PAUL ATER MAKER BOL,14.85,BRUNO ALOCEN GUERRA,14.29,PAUL ATER MAKER BOL,9.5,POL CAMPENY LLOVERAS,5.6,PAUL ATER MAKER BOL,71.43,PAUL ATER MAKER BOL,1.74,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,PAUL ATER MAKER BOL,16.33,EDWIN JOSE NIEBLES HERRERA,25.74,MIQUEL LLOMPART PERELLO,0.0,PAUL ATER MAKER BOL,6.75,PAUL ATER MAKER BOL,165.38,POL CAMPENY LLOVERAS,82.27,PAUL ATER MAKER BOL,83.24,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,FERRAN TORREBLANCA CATALAN,0.58,PAUL ATER MAKER BOL,8.5,PAUL ATER MAKER BOL,11.5,PAUL ATER MAKER BOL,0.74,FERRAN TORREBLANCA CATALAN,24.0
PAUL ATER MAKER BOL,27.5,MAX GASPA IBAEZ,11.0,EDWIN JOSE NIEBLES HERRERA,4.5,LADJI COULIBALY,7.0,BRUNO ALOCEN GUERRA,0.67,MAX GASPA IBAEZ,2.0,MAX GASPA IBAEZ,4.0,MAX GASPA IBAEZ,0.5,EDWIN JOSE NIEBLES HERRERA,1.5,LADJI COULIBALY,3.0,BRUNO ALOCEN GUERRA,0.67,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,ALEIX LOPEZ LUQUE,3.5,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,MAX GASPA IBAEZ,0.65,MAX GASPA IBAEZ,0.65,MAX GASPA IBAEZ,6.45,EDWIN JOSE NIEBLES HERRERA,8.34,EDWIN JOSE NIEBLES HERRERA,5.1,EDWIN JOSE NIEBLES HERRERA,4.5,EDWIN JOSE NIEBLES HERRERA,53.12,MAX GASPA IBAEZ,1.29,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,LADJI COULIBALY,10.72,PAUL ATER MAKER BOL,24.81,GUILLEM NASPLER PEREZ,0.0,MAX GASPA IBAEZ,2.0,MAX GASPA IBAEZ,129.41,MAX GASPA IBAEZ,82.19,MAX GASPA IBAEZ,47.23,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,BRUNO ALOCEN GUERRA,0.57,MAX GASPA IBAEZ,4.5,EDWIN JOSE NIEBLES HERRERA,9.0,LADJI COULIBALY,0.53,LADJI COULIBALY,21.0
FERRAN TORREBLANCA CATALAN,26.0,EDWIN JOSE NIEBLES HERRERA,10.5,LADJI COULIBALY,4.0,PAUL ATER MAKER BOL,6.5,ALEIX LOPEZ LUQUE,0.62,FERRAN TORREBLANCA CATALAN,0.5,POL CAMPENY LLOVERAS,4.0,ALEIX LOPEZ LUQUE,0.2,ALEIX LOPEZ LUQUE,1.0,ALEIX LOPEZ LUQUE,2.0,FERRAN TORREBLANCA CATALAN,0.5,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,FERRAN TORREBLANCA CATALAN,2.5,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,LADJI COULIBALY,0.53,EDWIN JOSE NIEBLES HERRERA,0.54,EDWIN JOSE NIEBLES HERRERA,5.4,ALEIX LOPEZ LUQUE,7.69,MAX GASPA IBAEZ,4.5,LADJI COULIBALY,4.33,MAX GASPA IBAEZ,52.94,LADJI COULIBALY,1.07,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,EDWIN JOSE NIEBLES HERRERA,10.61,LADJI COULIBALY,24.8,ACHRAF ZOUKRI ALGARIB,0.0,MIQUEL LLOMPART PERELLO,-0.0,EDWIN JOSE NIEBLES HERRERA,110.53,PAUL ATER MAKER BOL,82.14,EDWIN JOSE NIEBLES HERRERA,28.4,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,POL CAMPENY LLOVERAS,0.5,EDWIN JOSE NIEBLES HERRERA,4.5,MAX GASPA IBAEZ,8.5,MAX GASPA IBAEZ,0.53,MAX GASPA IBAEZ,11.0
POL CAMPENY LLOVERAS,25.0,LADJI COULIBALY,8.5,MAX GASPA IBAEZ,2.5,MAX GASPA IBAEZ,4.5,FERRAN TORREBLANCA CATALAN,0.6,POL CAMPENY LLOVERAS,0.5,FERRAN TORREBLANCA CATALAN,3.5,FERRAN TORREBLANCA CATALAN,0.14,BRUNO ALOCEN GUERRA,1.0,BRUNO ALOCEN GUERRA,1.5,POL CAMPENY LLOVERAS,0.5,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,PAUL ATER MAKER BOL,2.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,ALEIX LOPEZ LUQUE,0.5,ALEIX LOPEZ LUQUE,0.51,LADJI COULIBALY,2.45,PAUL ATER MAKER BOL,6.52,LADJI COULIBALY,4.37,FERRAN TORREBLANCA CATALAN,4.1,LADJI COULIBALY,50.19,ALEIX LOPEZ LUQUE,1.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,POL CAMPENY LLOVERAS,9.07,BRUNO ALOCEN GUERRA,24.77,FERRAN TORREBLANCA CATALAN,0.0,GUILLEM NASPLER PEREZ,-0.0,ALEIX LOPEZ LUQUE,107.14,EDWIN JOSE NIEBLES HERRERA,82.12,ALEIX LOPEZ LUQUE,25.12,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,FERRAN TORREBLANCA CATALAN,0.0,MAX GASPA IBAEZ,0.47,LADJI COULIBALY,4.0,POL CAMPENY LLOVERAS,8.0,EDWIN JOSE NIEBLES HERRERA,0.5,POL CAMPENY LLOVERAS,10.0
EDWIN JOSE NIEBLES HERRERA,19.0,ALEIX LOPEZ LUQUE,7.5,ALEIX LOPEZ LUQUE,2.5,POL CAMPENY LLOVERAS,4.0,LADJI COULIBALY,0.57,ALEIX LOPEZ LUQUE,0.5,ALEIX LOPEZ LUQUE,2.5,POL CAMPENY LLOVERAS,0.12,FERRAN TORREBLANCA CATALAN,0.5,EDWIN JOSE NIEBLES HERRERA,1.5,ALEIX LOPEZ LUQUE,0.5,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,BRUNO ALOCEN GUERRA,2.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,EDWIN JOSE NIEBLES HERRERA,0.5,LADJI COULIBALY,0.48,ALEIX LOPEZ LUQUE,2.35,FERRAN TORREBLANCA CATALAN,4.17,ALEIX LOPEZ LUQUE,3.6,MAX GASPA IBAEZ,4.0,ALEIX LOPEZ LUQUE,49.32,EDWIN JOSE NIEBLES HERRERA,1.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,ALEIX LOPEZ LUQUE,8.64,MAX GASPA IBAEZ,23.26,LADJI COULIBALY,0.0,ACHRAF ZOUKRI ALGARIB,0.0,LADJI COULIBALY,106.25,FERRAN TORREBLANCA CATALAN,82.08,LADJI COULIBALY,24.41,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,LADJI COULIBALY,0.0,PAUL ATER MAKER BOL,0.43,ALEIX LOPEZ LUQUE,3.0,LADJI COULIBALY,7.5,ALEIX LOPEZ LUQUE,0.46,PAUL ATER MAKER BOL,8.0
MAX GASPA IBAEZ,18.5,POL CAMPENY LLOVERAS,6.0,POL CAMPENY LLOVERAS,2.0,ALEIX LOPEZ LUQUE,4.0,MAX GASPA IBAEZ,0.56,MIQUEL LLOMPART PERELLO,0.0,BRUNO ALOCEN GUERRA,2.0,MIQUEL LLOMPART PERELLO,0.0,LADJI COULIBALY,0.5,FERRAN TORREBLANCA CATALAN,1.0,PAUL ATER MAKER BOL,0.33,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,EDWIN JOSE NIEBLES HERRERA,1.5,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,FERRAN TORREBLANCA CATALAN,0.38,FERRAN TORREBLANCA CATALAN,0.39,POL CAMPENY LLOVERAS,1.0,LADJI COULIBALY,3.33,POL CAMPENY LLOVERAS,2.8,PAUL ATER MAKER BOL,3.8,BRUNO ALOCEN GUERRA,37.4,FERRAN TORREBLANCA CATALAN,0.75,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,8.5,POL CAMPENY LLOVERAS,17.09,MAX GASPA IBAEZ,0.0,EDWIN JOSE NIEBLES HERRERA,0.0,FERRAN TORREBLANCA CATALAN,83.33,ALEIX LOPEZ LUQUE,82.02,FERRAN TORREBLANCA CATALAN,1.25,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,MAX GASPA IBAEZ,0.0,ALEIX LOPEZ LUQUE,0.38,POL CAMPENY LLOVERAS,2.5,ALEIX LOPEZ LUQUE,6.5,FERRAN TORREBLANCA CATALAN,0.33,ALEIX LOPEZ LUQUE,7.0
LADJI COULIBALY,18.0,FERRAN TORREBLANCA CATALAN,5.0,FERRAN TORREBLANCA CATALAN,1.5,FERRAN TORREBLANCA CATALAN,2.5,POL CAMPENY LLOVERAS,0.5,GUILLEM NASPLER PEREZ,0.0,LADJI COULIBALY,0.5,GUILLEM NASPLER PEREZ,0.0,POL CAMPENY LLOVERAS,0.5,POL CAMPENY LLOVERAS,1.0,LADJI COULIBALY,0.17,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,MAX GASPA IBAEZ,1.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.34,POL CAMPENY LLOVERAS,0.36,FERRAN TORREBLANCA CATALAN,0.4,POL CAMPENY LLOVERAS,3.12,FERRAN TORREBLANCA CATALAN,2.3,ALEIX LOPEZ LUQUE,3.7,FERRAN TORREBLANCA CATALAN,35.94,POL CAMPENY LLOVERAS,0.69,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,FERRAN TORREBLANCA CATALAN,7.08,ALEIX LOPEZ LUQUE,12.88,POL CAMPENY LLOVERAS,0.0,ALEIX LOPEZ LUQUE,-1.75,POL CAMPENY LLOVERAS,75.0,LADJI COULIBALY,81.84,MIQUEL LLOMPART PERELLO,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,POL CAMPENY LLOVERAS,0.0,LADJI COULIBALY,0.07,FERRAN TORREBLANCA CATALAN,2.0,FERRAN TORREBLANCA CATALAN,6.0,POL CAMPENY LLOVERAS,0.31,BRUNO ALOCEN GUERRA,4.0
BRUNO ALOCEN GUERRA,8.5,BRUNO ALOCEN GUERRA,3.0,BRUNO ALOCEN GUERRA,1.0,BRUNO ALOCEN GUERRA,1.5,EDWIN JOSE NIEBLES HERRERA,0.5,ACHRAF ZOUKRI ALGARIB,0.0,MIQUEL LLOMPART PERELLO,0.0,ACHRAF ZOUKRI ALGARIB,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,POL CAMPENY LLOVERAS,0.5,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,BRUNO ALOCEN GUERRA,0.29,BRUNO ALOCEN GUERRA,0.36,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,BRUNO ALOCEN GUERRA,1.53,BRUNO ALOCEN GUERRA,2.56,POL CAMPENY LLOVERAS,33.33,BRUNO ALOCEN GUERRA,0.57,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,BRUNO ALOCEN GUERRA,5.11,FERRAN TORREBLANCA CATALAN,12.54,PAUL ATER MAKER BOL,0.0,LADJI COULIBALY,-2.25,BRUNO ALOCEN GUERRA,75.0,BRUNO ALOCEN GUERRA,81.74,GUILLEM NASPLER PEREZ,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,PAUL ATER MAKER BOL,0.0,MIQUEL LLOMPART PERELLO,0.0,BRUNO ALOCEN GUERRA,1.0,BRUNO ALOCEN GUERRA,3.5,BRUNO ALOCEN GUERRA,0.29,MIQUEL LLOMPART PERELLO,0.0
MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,LADJI COULIBALY,0.0,GUILLEM NASPLER PEREZ,0.0,LADJI COULIBALY,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,MIQUEL LLOMPART PERELLO,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,ALEIX LOPEZ LUQUE,0.0,BRUNO ALOCEN GUERRA,-2.25,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,ALEIX LOPEZ LUQUE,0.0,GUILLEM NASPLER PEREZ,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,MIQUEL LLOMPART PERELLO,0.0,GUILLEM NASPLER PEREZ,0.0
GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,BRUNO ALOCEN GUERRA,0.0,ACHRAF ZOUKRI ALGARIB,0.0,BRUNO ALOCEN GUERRA,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,GUILLEM NASPLER PEREZ,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,ACHRAF ZOUKRI ALGARIB,0.0,ACHRAF ZOUKRI ALGARIB,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,BRUNO ALOCEN GUERRA,0.0,FERRAN TORREBLANCA CATALAN,-2.75,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,BRUNO ALOCEN GUERRA,-6.74,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,BRUNO ALOCEN GUERRA,0.0,ACHRAF ZOUKRI ALGARIB,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,GUILLEM NASPLER PEREZ,0.0,ACHRAF ZOUKRI ALGARIB,0.0
