Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
NICOLAS FERRER IGLESIA,25.6,EDUARD COLL COMABELLA,15.2,XAVIER LLUCH DEZ,3.0,NICOLAS FERRER IGLESIA,6.8,ALEIX SEMPERE SERRANO,0.57,EDUARD COLL COMABELLA,2.2,EDUARD COLL COMABELLA,5.8,XAVIER LLUCH DEZ,0.5,EDUARD COLL COMABELLA,5.4,EDUARD COLL COMABELLA,6.8,XAVIER LLUCH DEZ,0.89,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,XAVIER LLUCH DEZ,4.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,EDUARD COLL COMABELLA,0.53,EDUARD COLL COMABELLA,0.62,EDUARD COLL COMABELLA,9.24,EDUARD COLL COMABELLA,11.74,EDUARD COLL COMABELLA,6.4,NICOLAS FERRER IGLESIA,7.12,XAVIER LLUCH DEZ,56.52,EDUARD COLL COMABELLA,1.07,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,EDUARD COLL COMABELLA,15.54,EDUARD COLL COMABELLA,28.73,UNAI PLATTEEUW FERNNDEZ,0.0,EDUARD COLL COMABELLA,2.0,EDUARD COLL COMABELLA,128.81,UNAI PLATTEEUW FERNNDEZ,91.2,EDUARD COLL COMABELLA,38.48,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.0,VCTOR PI COLL,0.68,EDUARD COLL COMABELLA,3.8,NICOLAS FERRER IGLESIA,9.4,XAVIER LLUCH DEZ,0.52,NIL DISTEFANO CAPDEFERRO,77.0
ALEIX SEMPERE SERRANO,23.8,NICOLAS FERRER IGLESIA,8.6,ALEIX SEMPERE SERRANO,2.4,XAVIER LLUCH DEZ,5.8,XAVIER LLUCH DEZ,0.52,VCTOR PI COLL,1.4,EDUARD RODRGUEZ PREZ,4.2,EDUARD COLL COMABELLA,0.38,ALEIX SEMPERE SERRANO,2.4,NICOLAS FERRER IGLESIA,5.0,EDUARD COLL COMABELLA,0.79,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,NICOLAS FERRER IGLESIA,3.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,XAVIER LLUCH DEZ,0.53,XAVIER LLUCH DEZ,0.59,XAVIER LLUCH DEZ,3.46,UNAI PLATTEEUW FERNNDEZ,8.75,NICOLAS FERRER IGLESIA,4.28,EDUARD COLL COMABELLA,5.52,EDUARD COLL COMABELLA,53.73,XAVIER LLUCH DEZ,1.06,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,NICOLAS FERRER IGLESIA,14.06,ALEX CRUZ URBANEJA,27.57,ALEIX SEMPERE SERRANO,0.0,XAVIER LLUCH DEZ,-0.9,XAVIER LLUCH DEZ,120.59,EDUARD COLL COMABELLA,90.33,XAVIER LLUCH DEZ,31.09,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,ALEIX SEMPERE SERRANO,0.0,EDUARD RODRGUEZ PREZ,0.64,XAVIER LLUCH DEZ,3.2,EDUARD COLL COMABELLA,9.2,ALEIX SEMPERE SERRANO,0.42,ALEX CRUZ URBANEJA,33.0
EMILI BELLOT PULIDO,23.4,ALEIX SEMPERE SERRANO,8.4,NICOLAS FERRER IGLESIA,2.4,ALEIX SEMPERE SERRANO,4.2,UNAI PLATTEEUW FERNNDEZ,0.5,EDUARD RODRGUEZ PREZ,1.2,VCTOR PI COLL,4.2,VCTOR PI COLL,0.33,NICOLAS FERRER IGLESIA,2.0,ALEIX SEMPERE SERRANO,4.4,ALEX CRUZ URBANEJA,0.78,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,VCTOR PI COLL,3.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,ALEIX SEMPERE SERRANO,0.45,ALEIX SEMPERE SERRANO,0.49,ALEIX SEMPERE SERRANO,3.3,ALEIX SEMPERE SERRANO,7.27,ALEIX SEMPERE SERRANO,4.2,EDUARD RODRGUEZ PREZ,4.68,ALEIX SEMPERE SERRANO,50.2,ALEIX SEMPERE SERRANO,0.91,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,ALEIX SEMPERE SERRANO,10.7,NICOLAS FERRER IGLESIA,23.91,NIL DISTEFANO CAPDEFERRO,0.0,ALEIX SEMPERE SERRANO,-1.4,ALEIX SEMPERE SERRANO,105.0,EMILI BELLOT PULIDO,90.2,ALEIX SEMPERE SERRANO,14.84,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.0,EDUARD COLL COMABELLA,0.63,NICOLAS FERRER IGLESIA,3.0,ALEIX SEMPERE SERRANO,6.6,EDUARD COLL COMABELLA,0.41,EDUARD RODRGUEZ PREZ,15.0
EDUARD COLL COMABELLA,22.4,XAVIER LLUCH DEZ,8.2,UNAI PLATTEEUW FERNNDEZ,1.75,UNAI PLATTEEUW FERNNDEZ,3.5,EDUARD COLL COMABELLA,0.47,ALEX CRUZ URBANEJA,0.8,ALEX CRUZ URBANEJA,3.4,EDUARD RODRGUEZ PREZ,0.29,UNAI PLATTEEUW FERNNDEZ,1.75,UNAI PLATTEEUW FERNNDEZ,2.75,UNAI PLATTEEUW FERNNDEZ,0.64,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,2.6,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,VCTOR PI COLL,0.44,UNAI PLATTEEUW FERNNDEZ,0.48,UNAI PLATTEEUW FERNNDEZ,1.9,XAVIER LLUCH DEZ,5.16,XAVIER LLUCH DEZ,3.91,VCTOR PI COLL,4.2,UNAI PLATTEEUW FERNNDEZ,48.44,VCTOR PI COLL,0.87,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,XAVIER LLUCH DEZ,7.88,UNAI PLATTEEUW FERNNDEZ,23.56,ALEX CRUZ URBANEJA,0.0,UNAI PLATTEEUW FERNNDEZ,-1.62,UNAI PLATTEEUW FERNNDEZ,104.35,EDUARD RODRGUEZ PREZ,90.17,UNAI PLATTEEUW FERNNDEZ,13.15,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,ALEX CRUZ URBANEJA,0.0,JORDI SNCHEZ SORIANO,0.61,ALEIX SEMPERE SERRANO,2.8,EDUARD RODRGUEZ PREZ,6.6,UNAI PLATTEEUW FERNNDEZ,0.4,UNAI PLATTEEUW FERNNDEZ,12.0
EDUARD RODRGUEZ PREZ,22.0,ALEX CRUZ URBANEJA,6.2,EDUARD COLL COMABELLA,1.6,EDUARD COLL COMABELLA,3.4,ALEX CRUZ URBANEJA,0.46,JORDI SNCHEZ SORIANO,0.6,NICOLAS FERRER IGLESIA,2.6,JORDI SNCHEZ SORIANO,0.27,XAVIER LLUCH DEZ,1.6,JORDI SNCHEZ SORIANO,2.0,EMILI BELLOT PULIDO,0.62,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,UNAI PLATTEEUW FERNNDEZ,2.5,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,UNAI PLATTEEUW FERNNDEZ,0.42,ALEX CRUZ URBANEJA,0.46,ALEX CRUZ URBANEJA,1.6,ALEX CRUZ URBANEJA,4.67,UNAI PLATTEEUW FERNNDEZ,2.96,ALEIX SEMPERE SERRANO,4.16,ALEX CRUZ URBANEJA,39.95,UNAI PLATTEEUW FERNNDEZ,0.85,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,ALEX CRUZ URBANEJA,7.68,VCTOR PI COLL,20.71,EDUARD RODRGUEZ PREZ,0.0,ALEX CRUZ URBANEJA,-2.0,ALEX CRUZ URBANEJA,93.94,ALEIX SEMPERE SERRANO,90.16,ALEX CRUZ URBANEJA,4.43,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,EDUARD RODRGUEZ PREZ,0.0,ALEX CRUZ URBANEJA,0.57,UNAI PLATTEEUW FERNNDEZ,2.0,VCTOR PI COLL,6.2,ALEX CRUZ URBANEJA,0.33,EDUARD COLL COMABELLA,11.0
XAVIER LLUCH DEZ,19.8,UNAI PLATTEEUW FERNNDEZ,6.0,ALEX CRUZ URBANEJA,1.2,ALEX CRUZ URBANEJA,2.6,EMILI BELLOT PULIDO,0.4,NICOLAS FERRER IGLESIA,0.6,ALEIX SEMPERE SERRANO,2.4,ALEX CRUZ URBANEJA,0.24,ALEX CRUZ URBANEJA,1.4,ALEX CRUZ URBANEJA,1.8,ALEIX SEMPERE SERRANO,0.55,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,ALEIX SEMPERE SERRANO,2.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,ALEX CRUZ URBANEJA,0.4,VCTOR PI COLL,0.44,EDUARD RODRGUEZ PREZ,0.9,EMILI BELLOT PULIDO,4.55,ALEX CRUZ URBANEJA,2.68,ALEX CRUZ URBANEJA,4.04,NICOLAS FERRER IGLESIA,37.54,ALEX CRUZ URBANEJA,0.8,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,UNAI PLATTEEUW FERNNDEZ,7.55,ALEIX SEMPERE SERRANO,18.93,EDUARD COLL COMABELLA,0.0,NIL DISTEFANO CAPDEFERRO,-2.2,VCTOR PI COLL,87.1,NIL DISTEFANO CAPDEFERRO,89.97,VCTOR PI COLL,-2.47,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EDUARD COLL COMABELLA,0.0,EMILI BELLOT PULIDO,0.55,ALEX CRUZ URBANEJA,2.0,XAVIER LLUCH DEZ,6.2,NICOLAS FERRER IGLESIA,0.32,JORDI SNCHEZ SORIANO,10.0
VCTOR PI COLL,15.8,EDUARD RODRGUEZ PREZ,5.6,EDUARD RODRGUEZ PREZ,0.8,EDUARD RODRGUEZ PREZ,2.4,NICOLAS FERRER IGLESIA,0.35,ALEIX SEMPERE SERRANO,0.4,EMILI BELLOT PULIDO,2.4,NICOLAS FERRER IGLESIA,0.23,EMILI BELLOT PULIDO,1.0,XAVIER LLUCH DEZ,1.8,EDUARD RODRGUEZ PREZ,0.5,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,EDUARD RODRGUEZ PREZ,1.8,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,EDUARD RODRGUEZ PREZ,0.39,EDUARD RODRGUEZ PREZ,0.4,NICOLAS FERRER IGLESIA,0.82,JORDI SNCHEZ SORIANO,4.44,EDUARD RODRGUEZ PREZ,2.24,EMILI BELLOT PULIDO,3.49,EDUARD RODRGUEZ PREZ,32.37,EDUARD RODRGUEZ PREZ,0.79,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,EDUARD RODRGUEZ PREZ,7.35,JORDI SNCHEZ SORIANO,18.76,JORDI SNCHEZ SORIANO,0.0,EDUARD RODRGUEZ PREZ,-2.3,EDUARD RODRGUEZ PREZ,82.35,NICOLAS FERRER IGLESIA,89.97,EDUARD RODRGUEZ PREZ,-7.82,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,JORDI SNCHEZ SORIANO,0.0,ALEIX SEMPERE SERRANO,0.36,EDUARD RODRGUEZ PREZ,2.0,ALEX CRUZ URBANEJA,6.0,VCTOR PI COLL,0.32,NICOLAS FERRER IGLESIA,9.0
UNAI PLATTEEUW FERNNDEZ,14.25,VCTOR PI COLL,5.4,EMILI BELLOT PULIDO,0.8,VCTOR PI COLL,2.0,EDUARD RODRGUEZ PREZ,0.33,UNAI PLATTEEUW FERNNDEZ,0.25,JORDI SNCHEZ SORIANO,2.2,UNAI PLATTEEUW FERNNDEZ,0.17,JORDI SNCHEZ SORIANO,0.8,EMILI BELLOT PULIDO,1.6,JORDI SNCHEZ SORIANO,0.4,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,EMILI BELLOT PULIDO,1.8,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.35,NICOLAS FERRER IGLESIA,0.37,VCTOR PI COLL,0.66,NICOLAS FERRER IGLESIA,4.26,VCTOR PI COLL,2.0,UNAI PLATTEEUW FERNNDEZ,3.15,VCTOR PI COLL,32.26,NICOLAS FERRER IGLESIA,0.7,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,VCTOR PI COLL,6.2,XAVIER LLUCH DEZ,18.64,NICOLAS FERRER IGLESIA,0.0,VCTOR PI COLL,-2.3,NICOLAS FERRER IGLESIA,76.79,JORDI SNCHEZ SORIANO,89.92,NICOLAS FERRER IGLESIA,-13.19,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,NICOLAS FERRER IGLESIA,0.0,UNAI PLATTEEUW FERNNDEZ,0.3,VCTOR PI COLL,2.0,UNAI PLATTEEUW FERNNDEZ,5.0,EDUARD RODRGUEZ PREZ,0.3,VCTOR PI COLL,8.0
ALEX CRUZ URBANEJA,13.0,EMILI BELLOT PULIDO,3.2,VCTOR PI COLL,0.6,EMILI BELLOT PULIDO,2.0,VCTOR PI COLL,0.3,EMILI BELLOT PULIDO,0.2,UNAI PLATTEEUW FERNNDEZ,1.5,ALEIX SEMPERE SERRANO,0.17,EDUARD RODRGUEZ PREZ,0.4,EDUARD RODRGUEZ PREZ,0.8,NICOLAS FERRER IGLESIA,0.4,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,JORDI SNCHEZ SORIANO,1.6,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,JORDI SNCHEZ SORIANO,0.31,JORDI SNCHEZ SORIANO,0.33,JORDI SNCHEZ SORIANO,-0.32,EDUARD RODRGUEZ PREZ,1.21,EMILI BELLOT PULIDO,1.55,JORDI SNCHEZ SORIANO,3.09,EMILI BELLOT PULIDO,30.75,JORDI SNCHEZ SORIANO,0.61,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,EMILI BELLOT PULIDO,5.89,EDUARD RODRGUEZ PREZ,16.68,VCTOR PI COLL,0.0,JORDI SNCHEZ SORIANO,-2.4,JORDI SNCHEZ SORIANO,71.43,VCTOR PI COLL,89.56,JORDI SNCHEZ SORIANO,-18.49,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,VCTOR PI COLL,0.0,NICOLAS FERRER IGLESIA,0.28,EMILI BELLOT PULIDO,1.0,EMILI BELLOT PULIDO,4.4,EMILI BELLOT PULIDO,0.23,EMILI BELLOT PULIDO,6.0
JORDI SNCHEZ SORIANO,12.6,JORDI SNCHEZ SORIANO,3.0,NIL DISTEFANO CAPDEFERRO,0.2,NIL DISTEFANO CAPDEFERRO,1.6,JORDI SNCHEZ SORIANO,0.14,XAVIER LLUCH DEZ,0.2,XAVIER LLUCH DEZ,0.4,EMILI BELLOT PULIDO,0.08,NIL DISTEFANO CAPDEFERRO,0.0,NIL DISTEFANO CAPDEFERRO,0.4,NIL DISTEFANO CAPDEFERRO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,NIL DISTEFANO CAPDEFERRO,1.2,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.25,EMILI BELLOT PULIDO,0.31,EMILI BELLOT PULIDO,-0.44,NIL DISTEFANO CAPDEFERRO,0.0,JORDI SNCHEZ SORIANO,1.31,XAVIER LLUCH DEZ,3.01,JORDI SNCHEZ SORIANO,29.82,EMILI BELLOT PULIDO,0.5,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,JORDI SNCHEZ SORIANO,5.47,EMILI BELLOT PULIDO,11.51,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,-2.9,EMILI BELLOT PULIDO,66.67,ALEX CRUZ URBANEJA,89.51,EMILI BELLOT PULIDO,-23.54,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,EMILI BELLOT PULIDO,0.0,NIL DISTEFANO CAPDEFERRO,0.11,JORDI SNCHEZ SORIANO,0.8,JORDI SNCHEZ SORIANO,3.6,JORDI SNCHEZ SORIANO,0.22,XAVIER LLUCH DEZ,5.0
