Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
JOAN BALADA CARMONA,25.87,SERGI ROURERA LLAURADO,10.31,SERGI ORS ANDREU,3.87,SERGI ORS ANDREU,8.8,ADRIAN CARRACEDO DE LA ROSA,0.62,MARC FERNANDEZ HUESO,1.3,JOAN BALADA CARMONA,4.8,SERGI ROURERA LLAURADO,0.34,SERGI ROURERA LLAURADO,4.15,SERGI ROURERA LLAURADO,5.38,MARC FERNANDEZ HUESO,0.79,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,SERGI ROURERA LLAURADO,2.77,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,ADRIAN CARRACEDO DE LA ROSA,0.53,SERGI ROURERA LLAURADO,0.58,SERGI ROURERA LLAURADO,5.12,SERGI ROURERA LLAURADO,4.89,SERGI ROURERA LLAURADO,4.5,JOAN BALADA CARMONA,6.13,SERGI ROURERA LLAURADO,51.8,ADRIAN CARRACEDO DE LA ROSA,1.06,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,SERGI ROURERA LLAURADO,11.74,ORLANDO MENDEZ RAMIREZ,31.53,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,-0.0,SERGI ROURERA LLAURADO,119.64,ORIOL ESTRUCH FLUVIA,90.39,SERGI ROURERA LLAURADO,32.07,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,GERARD GOMEZ ROMERO,0.0,JOAN BALADA CARMONA,0.6,SERGI ORS ANDREU,3.87,SERGI ORS ANDREU,9.67,ADRIAN CARRACEDO DE LA ROSA,0.45,JOAN BALADA CARMONA,91.0
ADRIAN CARRACEDO DE LA ROSA,24.0,MARC FERNANDEZ HUESO,9.2,ARMAND ALBARRAN SANCHEZ,2.67,ARMAND ALBARRAN SANCHEZ,6.13,YON PEREZ LOPEZ,0.55,SERGI ROURERA LLAURADO,1.23,ADRIAN CARRACEDO DE LA ROSA,4.0,MARC FERNANDEZ HUESO,0.33,JOAN BALADA CARMONA,1.87,ARMAND ALBARRAN SANCHEZ,3.6,SERGI ROURERA LLAURADO,0.77,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JORDI SALICHS JUAN,2.73,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,MARC FERNANDEZ HUESO,0.51,MARC FERNANDEZ HUESO,0.55,MARC FERNANDEZ HUESO,4.2,MARC FERNANDEZ HUESO,1.97,SERGI ORS ANDREU,4.4,SERGI ORS ANDREU,5.91,ADRIAN CARRACEDO DE LA ROSA,47.28,MARC FERNANDEZ HUESO,1.01,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,SERGI ORS ANDREU,11.21,MARC FERNANDEZ HUESO,29.45,JOAN BALADA CARMONA,0.0,SERGI MORENO PUIG,0.0,MARC FERNANDEZ HUESO,110.84,MARC FERNANDEZ HUESO,89.42,MARC FERNANDEZ HUESO,21.42,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,JOAN BALADA CARMONA,0.0,SERGI ROURERA LLAURADO,0.55,ADRIAN CARRACEDO DE LA ROSA,3.47,JOAN BALADA CARMONA,8.07,MARC FERNANDEZ HUESO,0.42,JORDI SALICHS JUAN,55.0
SERGI ORS ANDREU,23.27,ADRIAN CARRACEDO DE LA ROSA,8.8,ADRIAN CARRACEDO DE LA ROSA,2.27,ORLANDO MENDEZ RAMIREZ,5.29,MARC FERNANDEZ HUESO,0.51,ADRIAN CARRACEDO DE LA ROSA,1.2,MARC FERNANDEZ HUESO,3.9,ADRIAN CARRACEDO DE LA ROSA,0.3,ORLANDO MENDEZ RAMIREZ,1.5,JOAN BALADA CARMONA,2.47,JOAN BALADA CARMONA,0.76,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,YON PEREZ LOPEZ,2.69,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,SERGI ROURERA LLAURADO,0.47,ADRIAN CARRACEDO DE LA ROSA,0.54,ADRIAN CARRACEDO DE LA ROSA,3.57,JOEL PENINA CORRIOLS,1.88,MARC FERNANDEZ HUESO,3.93,ARMAND ALBARRAN SANCHEZ,5.24,MARC FERNANDEZ HUESO,46.97,SERGI ROURERA LLAURADO,0.94,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ARMAND ALBARRAN SANCHEZ,10.88,SERGI ORS ANDREU,24.15,ADRIAN CARRACEDO DE LA ROSA,0.0,DAVID MORADELL SANZ,-0.0,ADRIAN CARRACEDO DE LA ROSA,109.09,JOEL PENINA CORRIOLS,88.41,ADRIAN CARRACEDO DE LA ROSA,21.02,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.0,ADRIAN CARRACEDO DE LA ROSA,0.52,MARC FERNANDEZ HUESO,3.2,ADRIAN CARRACEDO DE LA ROSA,7.67,YON PEREZ LOPEZ,0.4,SERGI ORS ANDREU,23.0
SERGI ROURERA LLAURADO,22.38,SERGI ORS ANDREU,8.67,ORLANDO MENDEZ RAMIREZ,2.21,MARC FERNANDEZ HUESO,3.7,ORIOL ESTRUCH FLUVIA,0.5,JOAN BALADA CARMONA,0.87,SERGI ROURERA LLAURADO,3.62,ORIOL ESTRUCH FLUVIA,0.25,MARC FERNANDEZ HUESO,1.5,ORLANDO MENDEZ RAMIREZ,2.43,JORDI SALICHS JUAN,0.64,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,ADRIAN CARRACEDO DE LA ROSA,2.6,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,ORIOL ESTRUCH FLUVIA,0.45,ORIOL ESTRUCH FLUVIA,0.45,SERGI ORS ANDREU,2.25,ORLANDO MENDEZ RAMIREZ,1.58,ADRIAN CARRACEDO DE LA ROSA,3.85,ORLANDO MENDEZ RAMIREZ,4.5,JOEL PENINA CORRIOLS,45.59,ORIOL ESTRUCH FLUVIA,0.9,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,JOAN BALADA CARMONA,10.45,ARMAND ALBARRAN SANCHEZ,21.99,SERGI ROURERA LLAURADO,0.0,ALEJANDRO CARRERAS ZAHINO,-0.0,ORIOL ESTRUCH FLUVIA,95.0,JOAN BALADA CARMONA,88.33,ORIOL ESTRUCH FLUVIA,4.61,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,SERGI ROURERA LLAURADO,0.0,MARC FERNANDEZ HUESO,0.51,ARMAND ALBARRAN SANCHEZ,2.73,MARC FERNANDEZ HUESO,7.6,SERGI ORS ANDREU,0.4,ARMAND ALBARRAN SANCHEZ,22.0
ARMAND ALBARRAN SANCHEZ,22.13,ARMAND ALBARRAN SANCHEZ,6.87,MARC FERNANDEZ HUESO,1.9,ADRIAN CARRACEDO DE LA ROSA,3.67,SERGI ORS ANDREU,0.44,JORDI SALICHS JUAN,0.27,JORDI SALICHS JUAN,1.55,JOEL PENINA CORRIOLS,0.2,ARMAND ALBARRAN SANCHEZ,1.33,MARC FERNANDEZ HUESO,1.9,ORLANDO MENDEZ RAMIREZ,0.62,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ORLANDO MENDEZ RAMIREZ,2.43,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,YON PEREZ LOPEZ,0.41,YON PEREZ LOPEZ,0.43,ORLANDO MENDEZ RAMIREZ,1.45,JOAN BALADA CARMONA,1.54,ARMAND ALBARRAN SANCHEZ,3.6,MARC FERNANDEZ HUESO,4.43,YON PEREZ LOPEZ,43.56,YON PEREZ LOPEZ,0.83,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,MARC FERNANDEZ HUESO,9.46,SERGI ROURERA LLAURADO,21.63,ALEJANDRO SANZ CHONI,0.0,GERARD LOPEZ VILLABURGES,0.0,JOEL PENINA CORRIOLS,90.91,SERGI ORS ANDREU,88.15,JOEL PENINA CORRIOLS,2.5,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ALEJANDRO SANZ CHONI,0.0,ORIOL ESTRUCH FLUVIA,0.4,SERGI ROURERA LLAURADO,2.46,ARMAND ALBARRAN SANCHEZ,7.4,ORIOL ESTRUCH FLUVIA,0.4,JOEL PENINA CORRIOLS,16.0
ALEJANDRO SANZ CHONI,17.44,JOAN BALADA CARMONA,6.73,YON PEREZ LOPEZ,1.62,JOAN BALADA CARMONA,3.27,ARMAND ALBARRAN SANCHEZ,0.43,ORIOL ESTRUCH FLUVIA,0.25,YON PEREZ LOPEZ,1.54,JOAN BALADA CARMONA,0.18,SERGI ORS ANDREU,0.93,JOEL PENINA CORRIOLS,1.8,SERGI ORS ANDREU,0.58,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,SERGI ORS ANDREU,2.33,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,SERGI ORS ANDREU,0.4,JOEL PENINA CORRIOLS,0.43,ARMAND ALBARRAN SANCHEZ,0.97,JORDI SALICHS JUAN,1.41,ORLANDO MENDEZ RAMIREZ,3.26,ADRIAN CARRACEDO DE LA ROSA,4.29,SERGI ORS ANDREU,42.65,SERGI ORS ANDREU,0.8,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,ORLANDO MENDEZ RAMIREZ,9.13,JOAN BALADA CARMONA,19.17,JOEL PENINA CORRIOLS,0.0,JOSE MARIA MARZAL GUISADO,-0.0,YON PEREZ LOPEZ,89.06,ARMAND ALBARRAN SANCHEZ,88.13,YON PEREZ LOPEZ,1.35,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,JOEL PENINA CORRIOLS,0.0,ALEJANDRO SANZ CHONI,0.38,ORLANDO MENDEZ RAMIREZ,2.43,ORLANDO MENDEZ RAMIREZ,6.79,JOEL PENINA CORRIOLS,0.39,ALEJANDRO SANZ CHONI,15.0
YON PEREZ LOPEZ,16.69,ORLANDO MENDEZ RAMIREZ,6.57,SERGI ROURERA LLAURADO,1.23,SERGI ROURERA LLAURADO,2.92,SERGI ROURERA LLAURADO,0.42,ORLANDO MENDEZ RAMIREZ,0.21,ORLANDO MENDEZ RAMIREZ,1.5,JORDI SALICHS JUAN,0.18,JOEL PENINA CORRIOLS,0.87,SERGI ORS ANDREU,1.6,ADRIAN CARRACEDO DE LA ROSA,0.56,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,2.27,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,JOEL PENINA CORRIOLS,0.4,SERGI ORS ANDREU,0.42,JOEL PENINA CORRIOLS,0.95,ARMAND ALBARRAN SANCHEZ,1.2,JOAN BALADA CARMONA,2.93,SERGI ROURERA LLAURADO,4.19,ORLANDO MENDEZ RAMIREZ,42.0,JOEL PENINA CORRIOLS,0.8,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ADRIAN CARRACEDO DE LA ROSA,8.83,ADRIAN CARRACEDO DE LA ROSA,18.5,ARMAND ALBARRAN SANCHEZ,0.0,MARIO LOPEZ SERRANO,-0.0,ORLANDO MENDEZ RAMIREZ,85.98,ADRIAN CARRACEDO DE LA ROSA,88.07,JOSE MARIA MARZAL GUISADO,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,ARMAND ALBARRAN SANCHEZ,0.0,JORDI SALICHS JUAN,0.38,JOAN BALADA CARMONA,2.0,SERGI ROURERA LLAURADO,6.54,SERGI ROURERA LLAURADO,0.38,SERGI ROURERA LLAURADO,14.0
JORDI SALICHS JUAN,16.18,YON PEREZ LOPEZ,4.38,JOAN BALADA CARMONA,1.13,YON PEREZ LOPEZ,2.92,ORLANDO MENDEZ RAMIREZ,0.42,YON PEREZ LOPEZ,0.15,ARMAND ALBARRAN SANCHEZ,1.27,ORLANDO MENDEZ RAMIREZ,0.14,YON PEREZ LOPEZ,0.69,YON PEREZ LOPEZ,1.38,YON PEREZ LOPEZ,0.5,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,ALEJANDRO SANZ CHONI,2.11,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,ARMAND ALBARRAN SANCHEZ,0.37,ORLANDO MENDEZ RAMIREZ,0.42,JOAN BALADA CARMONA,0.82,YON PEREZ LOPEZ,1.19,YON PEREZ LOPEZ,2.18,JORDI SALICHS JUAN,3.23,ORIOL ESTRUCH FLUVIA,41.35,ARMAND ALBARRAN SANCHEZ,0.75,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,YON PEREZ LOPEZ,5.8,JOEL PENINA CORRIOLS,17.04,SERGI ORS ANDREU,0.0,SERGI ROURERA LLAURADO,-0.31,SERGI ORS ANDREU,84.97,YON PEREZ LOPEZ,87.71,MARIO LOPEZ SERRANO,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,SERGI ORS ANDREU,0.0,YON PEREZ LOPEZ,0.34,YON PEREZ LOPEZ,1.77,YON PEREZ LOPEZ,4.46,ARMAND ALBARRAN SANCHEZ,0.37,MARC FERNANDEZ HUESO,12.0
MARC FERNANDEZ HUESO,15.3,JOEL PENINA CORRIOLS,3.33,JOEL PENINA CORRIOLS,1.13,JOEL PENINA CORRIOLS,2.73,JOEL PENINA CORRIOLS,0.41,ALEJANDRO SANZ CHONI,0.11,ORIOL ESTRUCH FLUVIA,1.0,ALEJANDRO SANZ CHONI,0.11,ADRIAN CARRACEDO DE LA ROSA,0.67,ADRIAN CARRACEDO DE LA ROSA,1.2,ORIOL ESTRUCH FLUVIA,0.5,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JOAN BALADA CARMONA,2.07,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,ORLANDO MENDEZ RAMIREZ,0.37,ARMAND ALBARRAN SANCHEZ,0.38,YON PEREZ LOPEZ,0.62,SERGI ORS ANDREU,0.64,JOEL PENINA CORRIOLS,1.73,YON PEREZ LOPEZ,2.83,ARMAND ALBARRAN SANCHEZ,40.75,ORLANDO MENDEZ RAMIREZ,0.75,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,5.1,YON PEREZ LOPEZ,16.61,JORDI SALICHS JUAN,0.0,MARC FERNANDEZ HUESO,-0.35,ARMAND ALBARRAN SANCHEZ,78.03,SERGI ROURERA LLAURADO,87.57,GERARD GOMEZ ROMERO,-0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,JORDI SALICHS JUAN,0.0,ORLANDO MENDEZ RAMIREZ,0.22,JOEL PENINA CORRIOLS,1.2,JORDI SALICHS JUAN,4.09,ORLANDO MENDEZ RAMIREZ,0.36,ADRIAN CARRACEDO DE LA ROSA,9.0
ORLANDO MENDEZ RAMIREZ,13.5,JORDI SALICHS JUAN,2.73,ORIOL ESTRUCH FLUVIA,0.75,JORDI SALICHS JUAN,2.55,JOAN BALADA CARMONA,0.35,ARMAND ALBARRAN SANCHEZ,0.07,ALEJANDRO SANZ CHONI,1.0,YON PEREZ LOPEZ,0.1,JORDI SALICHS JUAN,0.64,ALEJANDRO SANZ CHONI,1.11,JOEL PENINA CORRIOLS,0.48,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,MARC FERNANDEZ HUESO,2.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,JOAN BALADA CARMONA,0.3,JOAN BALADA CARMONA,0.37,ORIOL ESTRUCH FLUVIA,0.23,ORIOL ESTRUCH FLUVIA,0.62,JORDI SALICHS JUAN,1.26,ALEJANDRO SANZ CHONI,2.47,JOAN BALADA CARMONA,32.34,JOAN BALADA CARMONA,0.6,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,JOEL PENINA CORRIOLS,4.81,JORDI SALICHS JUAN,14.9,ORLANDO MENDEZ RAMIREZ,0.0,ADRIAN CARRACEDO DE LA ROSA,-0.77,JOAN BALADA CARMONA,75.37,ORLANDO MENDEZ RAMIREZ,86.61,GERARD LOPEZ VILLABURGES,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ORLANDO MENDEZ RAMIREZ,0.0,ARMAND ALBARRAN SANCHEZ,0.17,ORIOL ESTRUCH FLUVIA,1.0,JOEL PENINA CORRIOLS,3.07,JOAN BALADA CARMONA,0.25,YON PEREZ LOPEZ,7.0
