Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
MARC CORRAL PARCET,24.0,PAUL ATSU ROMERO,8.67,PAUL ATSU ROMERO,2.33,PAUL ATSU ROMERO,4.83,ARNAU OLIVA CARALT,0.5,PAUL ATSU ROMERO,1.0,ALEX FONT MERCADIE,3.33,ARNAU TEMPRANO XAMBO,0.5,MARC CORRAL PARCET,2.67,MARC CORRAL PARCET,3.83,FERRAN ALIAS FERNANDEZ,0.88,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,FERRAN ALIAS FERNANDEZ,3.2,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,PAUL ATSU ROMERO,0.55,PAUL ATSU ROMERO,0.57,PAUL ATSU ROMERO,4.43,MARC CORRAL PARCET,10.67,PAUL ATSU ROMERO,3.83,FERRAN ALIAS FERNANDEZ,5.81,MARC CORRAL PARCET,53.65,PAUL ATSU ROMERO,1.1,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,CARLOS DAZA GONZALEZ,9.85,CARLOS DAZA GONZALEZ,33.85,JON PEREZ PEREZ,0.0,PAUL ATSU ROMERO,0.33,PAUL ATSU ROMERO,115.56,ADRIA FIAGA GARRIDO,92.7,PAUL ATSU ROMERO,23.04,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,JON PEREZ PEREZ,0.0,RUBN CALVO TORTAJADA,1.0,PAUL ATSU ROMERO,3.33,FERRAN ALIAS FERNANDEZ,7.4,PAUL ATSU ROMERO,0.48,ARNAU TEMPRANO XAMBO,88.0
PAUL ATSU ROMERO,21.5,ARNAU TEMPRANO XAMBO,6.67,ARNAU TEMPRANO XAMBO,1.83,FERRAN ALIAS FERNANDEZ,4.8,PAUL ATSU ROMERO,0.48,GERARD ALIAS FERNANDEZ,0.83,CARLOS DAZA GONZALEZ,3.17,PAUL ATSU ROMERO,0.46,CARLOS DAZA GONZALEZ,1.5,CARLOS DAZA GONZALEZ,2.33,ARNAU IGLESIAS,0.83,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,MARC CORRAL PARCET,3.17,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.53,ARNAU TEMPRANO XAMBO,0.54,ARNAU TEMPRANO XAMBO,2.93,FERRAN ALIAS FERNANDEZ,3.78,ARNAU TEMPRANO XAMBO,3.1,CARLOS DAZA GONZALEZ,5.45,PAUL ATSU ROMERO,50.88,ARNAU TEMPRANO XAMBO,1.06,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,FERRAN ALIAS FERNANDEZ,9.14,FERRAN ALIAS FERNANDEZ,22.66,ARNAU TEMPRANO XAMBO,0.0,JON PEREZ PEREZ,-0.0,ARNAU TEMPRANO XAMBO,111.11,PAUL ATSU ROMERO,92.52,ARNAU TEMPRANO XAMBO,18.78,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU TEMPRANO XAMBO,0.0,ARNAU IGLESIAS,0.57,ARNAU TEMPRANO XAMBO,2.5,CARLOS DAZA GONZALEZ,7.17,ARNAU TEMPRANO XAMBO,0.47,MARC CORRAL PARCET,44.0
FERRAN ALIAS FERNANDEZ,21.2,MARC CORRAL PARCET,6.0,MARC CORRAL PARCET,1.67,MARC CORRAL PARCET,4.17,ARNAU TEMPRANO XAMBO,0.46,ARNAU TEMPRANO XAMBO,0.67,GERARD ALIAS FERNANDEZ,2.67,GERARD ALIAS FERNANDEZ,0.31,FERRAN ALIAS FERNANDEZ,1.4,ARNAU TEMPRANO XAMBO,2.0,PAUL ATSU ROMERO,0.75,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,CARLOS DAZA GONZALEZ,2.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,GERARD ALIAS FERNANDEZ,0.42,MARC CORRAL PARCET,0.51,MARC CORRAL PARCET,2.02,ARNAU IGLESIAS,3.62,MARC CORRAL PARCET,3.06,ALEX FONT MERCADIE,5.07,ARNAU TEMPRANO XAMBO,50.54,ARNAU OLIVA CARALT,0.85,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,8.57,ARNAU TEMPRANO XAMBO,21.39,MARC CORRAL PARCET,0.0,ARNAU TEMPRANO XAMBO,-0.42,MARC CORRAL PARCET,109.09,MARIANO ZAERA MUNIESA,92.41,MARC CORRAL PARCET,17.06,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,MARC CORRAL PARCET,0.0,ALEX FONT MERCADIE,0.5,GERARD ALIAS FERNANDEZ,2.17,PAUL ATSU ROMERO,7.0,MARIANO ZAERA MUNIESA,0.42,GERARD ALIAS FERNANDEZ,32.0
ALEX FONT MERCADIE,20.33,GERARD ALIAS FERNANDEZ,6.0,MARIANO ZAERA MUNIESA,1.67,ARNAU TEMPRANO XAMBO,4.0,MARIANO ZAERA MUNIESA,0.45,ALEX FONT MERCADIE,0.67,FERRAN ALIAS FERNANDEZ,2.6,ARNAU IGLESIAS,0.31,ARNAU TEMPRANO XAMBO,1.0,FERRAN ALIAS FERNANDEZ,1.6,ADRIA FIAGA GARRIDO,0.71,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,ALEX FONT MERCADIE,1.67,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,ARNAU OLIVA CARALT,0.42,RUBN CALVO TORTAJADA,0.45,GERARD ALIAS FERNANDEZ,1.75,CARLOS DAZA GONZALEZ,3.49,CARLOS DAZA GONZALEZ,2.65,ADRIA FIAGA GARRIDO,4.21,MARIANO ZAERA MUNIESA,44.92,GERARD ALIAS FERNANDEZ,0.84,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,PAUL ATSU ROMERO,8.53,GERARD ALIAS FERNANDEZ,21.36,GERARD ALIAS FERNANDEZ,0.0,ARNAU OLIVA CARALT,-0.75,ARNAU OLIVA CARALT,92.86,GERARD ALIAS FERNANDEZ,92.38,ARNAU OLIVA CARALT,0.61,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,GERARD ALIAS FERNANDEZ,0.0,CARLOS DAZA GONZALEZ,0.44,CARLOS DAZA GONZALEZ,1.83,ALEX FONT MERCADIE,6.67,MARC CORRAL PARCET,0.4,CARLOS DAZA GONZALEZ,17.0
GERARD ALIAS FERNANDEZ,18.5,CARLOS DAZA GONZALEZ,5.67,ADRIA FIAGA GARRIDO,1.5,CARLOS DAZA GONZALEZ,4.0,MARC CORRAL PARCET,0.4,ARNAU IGLESIAS,0.67,PAUL ATSU ROMERO,2.17,RUBN CALVO TORTAJADA,0.27,PAUL ATSU ROMERO,1.0,GERARD ALIAS FERNANDEZ,1.33,MARC CORRAL PARCET,0.7,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,RUBN CALVO TORTAJADA,1.67,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,MARIANO ZAERA MUNIESA,0.42,GERARD ALIAS FERNANDEZ,0.44,MARIANO ZAERA MUNIESA,1.1,ARNAU TEMPRANO XAMBO,3.12,GERARD ALIAS FERNANDEZ,2.62,GERARD ALIAS FERNANDEZ,4.08,ARNAU OLIVA CARALT,42.47,MARIANO ZAERA MUNIESA,0.83,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,ALEX FONT MERCADIE,8.01,ADRIA FIAGA GARRIDO,20.79,CARLOS DAZA GONZALEZ,0.0,RUBN CALVO TORTAJADA,-1.08,GERARD ALIAS FERNANDEZ,92.31,ALEX FONT MERCADIE,92.38,RUBN CALVO TORTAJADA,0.2,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,CARLOS DAZA GONZALEZ,0.0,GERARD ALIAS FERNANDEZ,0.43,ALEX FONT MERCADIE,1.83,GERARD ALIAS FERNANDEZ,6.17,ARNAU OLIVA CARALT,0.38,PAUL ATSU ROMERO,11.0
ADRIA FIAGA GARRIDO,18.33,FERRAN ALIAS FERNANDEZ,5.0,GERARD ALIAS FERNANDEZ,1.33,ADRIA FIAGA GARRIDO,4.0,GERARD ALIAS FERNANDEZ,0.38,CARLOS DAZA GONZALEZ,0.5,ARNAU IGLESIAS,2.17,ALEX FONT MERCADIE,0.2,GERARD ALIAS FERNANDEZ,0.83,PAUL ATSU ROMERO,1.33,RUBN CALVO TORTAJADA,0.67,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,ARNAU TEMPRANO XAMBO,1.5,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,RUBN CALVO TORTAJADA,0.41,ARNAU OLIVA CARALT,0.44,ADRIA FIAGA GARRIDO,0.97,RUBN CALVO TORTAJADA,3.03,ADRIA FIAGA GARRIDO,2.26,PAUL ATSU ROMERO,3.7,GERARD ALIAS FERNANDEZ,39.18,RUBN CALVO TORTAJADA,0.82,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,GERARD ALIAS FERNANDEZ,7.7,ALEX FONT MERCADIE,20.67,PAUL ATSU ROMERO,0.0,MARIANO ZAERA MUNIESA,-1.17,MARIANO ZAERA MUNIESA,92.0,ARNAU TEMPRANO XAMBO,92.33,JON PEREZ PEREZ,-0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,PAUL ATSU ROMERO,0.0,ARNAU OLIVA CARALT,0.38,ADRIA FIAGA GARRIDO,1.83,ADRIA FIAGA GARRIDO,6.0,GERARD ALIAS FERNANDEZ,0.35,ALEX FONT MERCADIE,8.0
ARNAU TEMPRANO XAMBO,17.0,ADRIA FIAGA GARRIDO,4.83,CARLOS DAZA GONZALEZ,1.33,MARIANO ZAERA MUNIESA,3.67,ADRIA FIAGA GARRIDO,0.38,RUBN CALVO TORTAJADA,0.5,ADRIA FIAGA GARRIDO,2.0,ARNAU OLIVA CARALT,0.2,ADRIA FIAGA GARRIDO,0.83,ALEX FONT MERCADIE,1.17,CARLOS DAZA GONZALEZ,0.64,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,GERARD ALIAS FERNANDEZ,1.5,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,MARC CORRAL PARCET,0.4,MARIANO ZAERA MUNIESA,0.44,ARNAU OLIVA CARALT,0.52,ARNAU OLIVA CARALT,2.56,FERRAN ALIAS FERNANDEZ,2.23,ARNAU TEMPRANO XAMBO,3.03,ADRIA FIAGA GARRIDO,34.98,MARC CORRAL PARCET,0.8,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ARNAU TEMPRANO XAMBO,7.63,PAUL ATSU ROMERO,20.65,ALEX FONT MERCADIE,0.0,GERARD ALIAS FERNANDEZ,-1.58,RUBN CALVO TORTAJADA,91.67,ARNAU IGLESIAS,92.27,GERARD ALIAS FERNANDEZ,-0.08,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,ALEX FONT MERCADIE,0.0,FERRAN ALIAS FERNANDEZ,0.35,MARC CORRAL PARCET,1.67,ARNAU TEMPRANO XAMBO,5.33,ADRIA FIAGA GARRIDO,0.31,RUBN CALVO TORTAJADA,7.0
ARNAU IGLESIAS,15.5,ALEX FONT MERCADIE,4.67,FERRAN ALIAS FERNANDEZ,1.2,GERARD ALIAS FERNANDEZ,3.5,ALEX FONT MERCADIE,0.35,FERRAN ALIAS FERNANDEZ,0.4,RUBN CALVO TORTAJADA,1.83,ADRIA FIAGA GARRIDO,0.17,ARNAU IGLESIAS,0.83,ADRIA FIAGA GARRIDO,1.17,GERARD ALIAS FERNANDEZ,0.62,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,ARNAU IGLESIAS,1.5,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,ALEX FONT MERCADIE,0.33,ADRIA FIAGA GARRIDO,0.37,CARLOS DAZA GONZALEZ,0.25,PAUL ATSU ROMERO,2.38,ALEX FONT MERCADIE,2.06,ARNAU IGLESIAS,3.01,RUBN CALVO TORTAJADA,33.33,ADRIA FIAGA GARRIDO,0.67,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,ADRIA FIAGA GARRIDO,7.34,ARNAU OLIVA CARALT,17.28,RUBN CALVO TORTAJADA,0.0,MARC CORRAL PARCET,-1.67,ADRIA FIAGA GARRIDO,76.32,ARNAU OLIVA CARALT,92.25,MARIANO ZAERA MUNIESA,-0.41,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,RUBN CALVO TORTAJADA,0.0,ADRIA FIAGA GARRIDO,0.33,MARIANO ZAERA MUNIESA,1.67,MARC CORRAL PARCET,4.17,ALEX FONT MERCADIE,0.28,ARNAU OLIVA CARALT,6.0
MARIANO ZAERA MUNIESA,15.0,MARIANO ZAERA MUNIESA,3.83,ALEX FONT MERCADIE,1.17,ALEX FONT MERCADIE,3.33,CARLOS DAZA GONZALEZ,0.33,ADRIA FIAGA GARRIDO,0.33,ARNAU TEMPRANO XAMBO,1.33,CARLOS DAZA GONZALEZ,0.16,MARIANO ZAERA MUNIESA,0.5,ARNAU IGLESIAS,1.0,MARIANO ZAERA MUNIESA,0.6,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,PAUL ATSU ROMERO,1.33,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ADRIA FIAGA GARRIDO,0.33,ARNAU IGLESIAS,0.37,ARNAU IGLESIAS,0.15,ADRIA FIAGA GARRIDO,2.31,MARIANO ZAERA MUNIESA,1.95,MARC CORRAL PARCET,2.64,CARLOS DAZA GONZALEZ,32.69,ALEX FONT MERCADIE,0.65,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU IGLESIAS,4.98,MARIANO ZAERA MUNIESA,17.04,ARNAU OLIVA CARALT,0.0,ARNAU IGLESIAS,-1.92,ARNAU IGLESIAS,76.0,MARC CORRAL PARCET,92.03,ARNAU IGLESIAS,-16.27,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,ARNAU OLIVA CARALT,0.0,PAUL ATSU ROMERO,0.31,FERRAN ALIAS FERNANDEZ,1.6,MARIANO ZAERA MUNIESA,4.0,RUBN CALVO TORTAJADA,0.27,ADRIA FIAGA GARRIDO,5.0
CARLOS DAZA GONZALEZ,14.17,ARNAU IGLESIAS,3.17,ARNAU OLIVA CARALT,0.67,ARNAU IGLESIAS,1.67,FERRAN ALIAS FERNANDEZ,0.25,ARNAU OLIVA CARALT,0.17,ARNAU OLIVA CARALT,0.83,FERRAN ALIAS FERNANDEZ,0.15,ALEX FONT MERCADIE,0.33,MARIANO ZAERA MUNIESA,0.83,ARNAU TEMPRANO XAMBO,0.5,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,MARIANO ZAERA MUNIESA,1.17,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ARNAU IGLESIAS,0.3,CARLOS DAZA GONZALEZ,0.35,RUBN CALVO TORTAJADA,0.02,GERARD ALIAS FERNANDEZ,2.25,ARNAU IGLESIAS,1.22,MARIANO ZAERA MUNIESA,2.39,ALEX FONT MERCADIE,28.91,ARNAU IGLESIAS,0.61,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,MARIANO ZAERA MUNIESA,4.96,ARNAU IGLESIAS,16.14,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,-2.08,CARLOS DAZA GONZALEZ,72.34,CARLOS DAZA GONZALEZ,91.96,ADRIA FIAGA GARRIDO,-16.38,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ADRIA FIAGA GARRIDO,0.0,ARNAU TEMPRANO XAMBO,0.25,ARNAU OLIVA CARALT,0.83,ARNAU IGLESIAS,3.83,CARLOS DAZA GONZALEZ,0.26,FERRAN ALIAS FERNANDEZ,4.0
