Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
MARC NAVARRO DOMINGUEZ,32.0,SERIGNE ABDOU NGUEDD NDOUR,14.6,SERIGNE ABDOU NGUEDD NDOUR,4.6,SERIGNE ABDOU NGUEDD NDOUR,9.0,SERIGNE ABDOU NGUEDD NDOUR,0.51,ADRIN GARCIA MANERO,1.4,MARC NAVARRO DOMINGUEZ,6.4,JOAN SILVESTRE PIJUAN,0.5,SERIGNE ABDOU NGUEDD NDOUR,4.2,SERIGNE ABDOU NGUEDD NDOUR,6.4,MARC TREVIO QUINTILL,0.86,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,SERIGNE ABDOU NGUEDD NDOUR,4.2,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,ADRIN GARCIA MANERO,0.54,SERIGNE ABDOU NGUEDD NDOUR,0.54,SERIGNE ABDOU NGUEDD NDOUR,6.48,SERIGNE ABDOU NGUEDD NDOUR,7.78,SERIGNE ABDOU NGUEDD NDOUR,7.26,MARC NAVARRO DOMINGUEZ,8.12,SERIGNE ABDOU NGUEDD NDOUR,54.32,ADRIN GARCIA MANERO,1.09,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,SERIGNE ABDOU NGUEDD NDOUR,17.61,JOAN MORERA REG,25.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,ADRIN GARCIA MANERO,113.04,JOAN SILVESTRE PIJUAN,107.91,ADRIN GARCIA MANERO,12.22,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,ADRIN GARCIA MANERO,0.74,SERIGNE ABDOU NGUEDD NDOUR,5.0,SERIGNE ABDOU NGUEDD NDOUR,10.8,SERIGNE ABDOU NGUEDD NDOUR,0.46,JOAN MORERA REG,45.0
SERIGNE ABDOU NGUEDD NDOUR,30.4,MARC TREVIO QUINTILL,10.6,JOAN MORERA REG,3.2,JOAN MORERA REG,7.4,JOAN GARI GARI,0.5,MARC NAVARRO DOMINGUEZ,1.2,ADRIN GARCIA MANERO,3.4,JOAN MORERA REG,0.43,MARC TREVIO QUINTILL,2.4,MARC NAVARRO DOMINGUEZ,4.0,XESC PADR CASELLAS,0.83,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,GERARD MARSOL ESCOL,4.2,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.48,ADRIN GARCIA MANERO,0.54,MARC TREVIO QUINTILL,4.86,MARC TREVIO QUINTILL,5.33,MARC TREVIO QUINTILL,4.9,GERARD MARSOL ESCOL,7.64,MARC TREVIO QUINTILL,48.39,SERIGNE ABDOU NGUEDD NDOUR,0.96,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MARC NAVARRO DOMINGUEZ,13.66,SERIGNE ABDOU NGUEDD NDOUR,25.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,-0.0,SERIGNE ABDOU NGUEDD NDOUR,110.61,JOAN MORERA REG,101.07,SERIGNE ABDOU NGUEDD NDOUR,9.95,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MARC NAVARRO DOMINGUEZ,0.68,JOAN MORERA REG,3.8,MARC NAVARRO DOMINGUEZ,9.4,JOAN MORERA REG,0.43,SERIGNE ABDOU NGUEDD NDOUR,28.0
MARC TREVIO QUINTILL,26.8,JOAN MORERA REG,9.4,MARC TREVIO QUINTILL,3.2,MARC TREVIO QUINTILL,6.4,MARC TREVIO QUINTILL,0.5,XESC PADR CASELLAS,0.8,GERARD MARSOL ESCOL,3.4,ADRIN GARCIA MANERO,0.41,MARC NAVARRO DOMINGUEZ,2.2,MARC TREVIO QUINTILL,2.8,SERIGNE ABDOU NGUEDD NDOUR,0.66,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,MARC NAVARRO DOMINGUEZ,2.4,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,JOAN MORERA REG,0.47,MARC TREVIO QUINTILL,0.52,JOAN MORERA REG,3.64,MARC NAVARRO DOMINGUEZ,4.68,JOAN MORERA REG,4.52,SERIGNE ABDOU NGUEDD NDOUR,6.1,JOAN MORERA REG,46.31,JOAN MORERA REG,0.93,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,MARC TREVIO QUINTILL,11.98,MARC TREVIO QUINTILL,21.31,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,-0.0,MARC TREVIO QUINTILL,106.0,XESC PADR CASELLAS,101.07,MARC TREVIO QUINTILL,4.94,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,ARNAU LATORRE SEGURA,0.0,XESC PADR CASELLAS,0.57,MARC TREVIO QUINTILL,3.8,GERARD MARSOL ESCOL,9.4,MARC TREVIO QUINTILL,0.42,JOAN SILVESTRE PIJUAN,27.0
GERARD MARSOL ESCOL,26.0,MARC NAVARRO DOMINGUEZ,6.6,GERARD MARSOL ESCOL,1.6,GERARD MARSOL ESCOL,6.0,JOAN MORERA REG,0.43,JOAN MORERA REG,0.6,XESC PADR CASELLAS,2.6,XESC PADR CASELLAS,0.31,JOAN MORERA REG,1.2,JOAN MORERA REG,2.4,MARC NAVARRO DOMINGUEZ,0.55,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN GARI GARI,2.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,MARC TREVIO QUINTILL,0.46,JOAN MORERA REG,0.48,ADRIN GARCIA MANERO,1.98,XESC PADR CASELLAS,4.35,MARC NAVARRO DOMINGUEZ,2.88,JOAN MORERA REG,5.24,ADRIN GARCIA MANERO,40.34,MARC TREVIO QUINTILL,0.91,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN MORERA REG,11.35,GERARD MARSOL ESCOL,20.56,JOAN SILVESTRE PIJUAN,0.0,ALBERT PUIG CARULLA,-0.0,JOAN MORERA REG,97.92,MARC NAVARRO DOMINGUEZ,101.06,PAU RICART CAIRETA,-0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.0,JOAN SILVESTRE PIJUAN,0.5,ADRIN GARCIA MANERO,1.8,MARC TREVIO QUINTILL,9.0,ADRIN GARCIA MANERO,0.39,XESC PADR CASELLAS,17.0
JOAN MORERA REG,22.0,ADRIN GARCIA MANERO,5.2,JOAN GARI GARI,1.2,MARC NAVARRO DOMINGUEZ,3.0,ADRIN GARCIA MANERO,0.33,MARC TREVIO QUINTILL,0.6,MARC TREVIO QUINTILL,2.6,MARC TREVIO QUINTILL,0.23,XESC PADR CASELLAS,1.0,XESC PADR CASELLAS,1.2,JOAN MORERA REG,0.5,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,MARC TREVIO QUINTILL,2.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN SILVESTRE PIJUAN,0.38,JOAN SILVESTRE PIJUAN,0.38,JOAN SILVESTRE PIJUAN,0.2,JOAN MORERA REG,2.73,ADRIN GARCIA MANERO,1.92,MARC TREVIO QUINTILL,5.22,JOAN GARI GARI,30.28,JOAN SILVESTRE PIJUAN,0.75,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,GERARD MARSOL ESCOL,9.83,MARC NAVARRO DOMINGUEZ,19.46,JOAN MORERA REG,0.0,JOAN SILVESTRE PIJUAN,-0.33,JOAN SILVESTRE PIJUAN,75.0,MARC TREVIO QUINTILL,101.06,MAMADOU FALL DIOP,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN MORERA REG,0.0,JOAN GARI GARI,0.43,GERARD MARSOL ESCOL,1.8,JOAN MORERA REG,8.8,JOAN GARI GARI,0.29,MARC NAVARRO DOMINGUEZ,12.0
JOAN GARI GARI,21.4,GERARD MARSOL ESCOL,4.0,MARC NAVARRO DOMINGUEZ,0.4,JOAN GARI GARI,2.4,GERARD MARSOL ESCOL,0.27,SERIGNE ABDOU NGUEDD NDOUR,0.4,SERIGNE ABDOU NGUEDD NDOUR,1.8,SERIGNE ABDOU NGUEDD NDOUR,0.22,JOAN GARI GARI,0.2,JOAN GARI GARI,0.4,JOAN GARI GARI,0.5,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,JOAN MORERA REG,1.6,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,JOAN GARI GARI,0.29,XESC PADR CASELLAS,0.33,PAU RICART CAIRETA,0.0,JOAN GARI GARI,0.95,GERARD MARSOL ESCOL,1.92,XESC PADR CASELLAS,3.81,MARC NAVARRO DOMINGUEZ,26.15,JOAN GARI GARI,0.57,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,XESC PADR CASELLAS,5.88,ADRIN GARCIA MANERO,18.77,SERIGNE ABDOU NGUEDD NDOUR,0.0,ADRIN GARCIA MANERO,-0.4,XESC PADR CASELLAS,68.0,JOAN GARI GARI,100.94,ARNAU LATORRE SEGURA,-0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.0,GERARD MARSOL ESCOL,0.36,MARC NAVARRO DOMINGUEZ,1.6,XESC PADR CASELLAS,4.6,JOAN SILVESTRE PIJUAN,0.25,JOAN GARI GARI,9.0
XESC PADR CASELLAS,16.2,XESC PADR CASELLAS,3.4,ADRIN GARCIA MANERO,0.4,XESC PADR CASELLAS,2.0,MARC NAVARRO DOMINGUEZ,0.13,JOAN SILVESTRE PIJUAN,0.33,JOAN GARI GARI,1.8,MARC NAVARRO DOMINGUEZ,0.19,ADRIN GARCIA MANERO,0.2,ADRIN GARCIA MANERO,0.4,ADRIN GARCIA MANERO,0.5,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,ADRIN GARCIA MANERO,1.6,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.26,MARC NAVARRO DOMINGUEZ,0.3,MAMADOU FALL DIOP,0.0,ADRIN GARCIA MANERO,0.87,JOAN GARI GARI,1.32,JOAN GARI GARI,3.04,JOAN SILVESTRE PIJUAN,25.0,XESC PADR CASELLAS,0.52,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,ADRIN GARCIA MANERO,5.03,XESC PADR CASELLAS,17.67,XESC PADR CASELLAS,0.0,MARC TREVIO QUINTILL,-0.8,JOAN GARI GARI,61.9,ADRIN GARCIA MANERO,100.82,ALBERT PUIG CARULLA,-0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,XESC PADR CASELLAS,0.0,MARC TREVIO QUINTILL,0.29,JOAN GARI GARI,1.2,ADRIN GARCIA MANERO,4.6,GERARD MARSOL ESCOL,0.19,MARC TREVIO QUINTILL,7.0
ADRIN GARCIA MANERO,14.2,JOAN GARI GARI,2.6,PAU RICART CAIRETA,0.0,ADRIN GARCIA MANERO,1.2,PAU RICART CAIRETA,0.0,GERARD MARSOL ESCOL,0.2,JOAN MORERA REG,1.4,GERARD MARSOL ESCOL,0.06,GERARD MARSOL ESCOL,0.2,GERARD MARSOL ESCOL,0.4,GERARD MARSOL ESCOL,0.5,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,XESC PADR CASELLAS,1.2,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,MARC NAVARRO DOMINGUEZ,0.23,JOAN GARI GARI,0.3,ARNAU LATORRE SEGURA,-0.0,GERARD MARSOL ESCOL,0.43,XESC PADR CASELLAS,1.27,ADRIN GARCIA MANERO,2.84,XESC PADR CASELLAS,24.93,MARC NAVARRO DOMINGUEZ,0.47,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,JOAN GARI GARI,4.63,JOAN GARI GARI,11.41,ALBERT PUIG CARULLA,0.0,JOAN MORERA REG,-1.4,MARC NAVARRO DOMINGUEZ,61.11,SERIGNE ABDOU NGUEDD NDOUR,100.66,JOAN MORERA REG,-3.16,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,ALBERT PUIG CARULLA,0.0,SERIGNE ABDOU NGUEDD NDOUR,0.17,XESC PADR CASELLAS,0.8,JOAN GARI GARI,4.2,XESC PADR CASELLAS,0.17,ADRIN GARCIA MANERO,3.0
JOAN SILVESTRE PIJUAN,7.67,JOAN SILVESTRE PIJUAN,1.0,MAMADOU FALL DIOP,0.0,JOAN SILVESTRE PIJUAN,0.67,MAMADOU FALL DIOP,0.0,PAU RICART CAIRETA,0.0,JOAN SILVESTRE PIJUAN,0.67,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,PAU RICART CAIRETA,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,GERARD MARSOL ESCOL,0.2,GERARD MARSOL ESCOL,0.21,ALBERT PUIG CARULLA,-0.0,PAU RICART CAIRETA,0.0,JOAN SILVESTRE PIJUAN,0.33,JOAN SILVESTRE PIJUAN,1.0,GERARD MARSOL ESCOL,20.08,GERARD MARSOL ESCOL,0.4,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,JOAN SILVESTRE PIJUAN,1.33,JOAN SILVESTRE PIJUAN,9.3,MARC NAVARRO DOMINGUEZ,0.0,SERIGNE ABDOU NGUEDD NDOUR,-1.5,GERARD MARSOL ESCOL,42.55,GERARD MARSOL ESCOL,100.51,JOAN SILVESTRE PIJUAN,-32.91,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,MARC NAVARRO DOMINGUEZ,0.0,JOAN MORERA REG,0.16,JOAN SILVESTRE PIJUAN,0.33,JOAN SILVESTRE PIJUAN,1.33,MARC NAVARRO DOMINGUEZ,0.17,GERARD MARSOL ESCOL,2.0
PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,ARNAU LATORRE SEGURA,0.0,PAU RICART CAIRETA,0.0,ARNAU LATORRE SEGURA,0.0,MAMADOU FALL DIOP,0.0,PAU RICART CAIRETA,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,MAMADOU FALL DIOP,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,MAMADOU FALL DIOP,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,XESC PADR CASELLAS,-0.06,MAMADOU FALL DIOP,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,JOAN GARI GARI,0.0,XESC PADR CASELLAS,-2.4,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,XESC PADR CASELLAS,-33.07,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,JOAN GARI GARI,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0,PAU RICART CAIRETA,0.0
