Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
MARC FONTANALS MARTIN,22.82,RUBEN MORALES BUENO,13.17,RUBEN MORALES BUENO,4.5,MARC FONTANALS MARTIN,7.47,RUBEN MORALES BUENO,0.66,IGNASI EXPOSITO CORTS,1.71,SERGI ALA PLA,4.6,JOSEP ALEMANY CERVERA,0.56,RUBEN MORALES BUENO,2.92,RUBEN MORALES BUENO,4.33,SALVADOR CLARAMUNT BUSQUETS,0.81,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,RUBEN MORALES BUENO,3.08,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,RUBEN MORALES BUENO,0.65,RUBEN MORALES BUENO,0.67,RUBEN MORALES BUENO,7.79,RUBEN MORALES BUENO,3.07,RUBEN MORALES BUENO,6.46,SERGI ALA PLA,5.0,RUBEN MORALES BUENO,66.99,RUBEN MORALES BUENO,1.29,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,RUBEN MORALES BUENO,12.31,RUBEN MORALES BUENO,25.71,OSCAR SAAVEDRA HERNANDEZ,0.0,RUBEN MORALES BUENO,1.54,RUBEN MORALES BUENO,137.39,SERGI ALA PLA,91.84,RUBEN MORALES BUENO,45.74,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,OSCAR SAAVEDRA HERNANDEZ,0.0,SERGI ALA PLA,0.57,RUBEN MORALES BUENO,4.92,SERGI ALA PLA,8.0,RUBEN MORALES BUENO,0.62,JOSEP ALEMANY CERVERA,47.0
JOSEP ALEMANY CERVERA,22.29,IGNASI EXPOSITO CORTS,10.47,MARC FONTANALS MARTIN,3.88,RUBEN MORALES BUENO,6.83,ENRIC ALIAGA CHECA,0.56,SERGI ALA PLA,1.4,IGNASI EXPOSITO CORTS,4.0,IGNASI EXPOSITO CORTS,0.43,JOSEP ALEMANY CERVERA,1.94,MARC FONTANALS MARTIN,3.47,IGNASI EXPOSITO CORTS,0.77,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,ENRIC ALIAGA CHECA,2.94,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,IGNASI EXPOSITO CORTS,0.54,IGNASI EXPOSITO CORTS,0.58,IGNASI EXPOSITO CORTS,5.38,JOSEP ALEMANY CERVERA,2.34,MARC FONTANALS MARTIN,5.1,IGNASI EXPOSITO CORTS,4.58,JOSEP ALEMANY CERVERA,56.12,IGNASI EXPOSITO CORTS,1.07,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,MARC FONTANALS MARTIN,11.34,IGNASI EXPOSITO CORTS,25.5,POL IBAEZ PUIG,0.0,IGNASI EXPOSITO CORTS,0.44,IGNASI EXPOSITO CORTS,117.88,RUBEN MORALES BUENO,91.65,IGNASI EXPOSITO CORTS,27.16,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,POL IBAEZ PUIG,0.0,IGNASI EXPOSITO CORTS,0.5,MARC FONTANALS MARTIN,4.0,IGNASI EXPOSITO CORTS,7.94,MARC FONTANALS MARTIN,0.52,RUBEN ROMERO MIRAS,41.0
RUBEN MORALES BUENO,21.83,MARC FONTANALS MARTIN,10.0,ENRIC ALIAGA CHECA,2.41,JOSEP ALEMANY CERVERA,4.35,SALVADOR CLARAMUNT BUSQUETS,0.52,SALVADOR CLARAMUNT BUSQUETS,1.06,SALVADOR CLARAMUNT BUSQUETS,3.53,MARC FONTANALS MARTIN,0.4,IGNASI EXPOSITO CORTS,1.94,JOSEP ALEMANY CERVERA,2.76,JOSEP ALEMANY CERVERA,0.7,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,SALVADOR CLARAMUNT BUSQUETS,2.35,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,MARC FONTANALS MARTIN,0.52,JOSEP ALEMANY CERVERA,0.57,MARC FONTANALS MARTIN,4.75,RUBEN ROMERO MIRAS,2.03,IGNASI EXPOSITO CORTS,4.37,SALVADOR CLARAMUNT BUSQUETS,4.5,MARC FONTANALS MARTIN,55.69,MARC FONTANALS MARTIN,1.05,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,IGNASI EXPOSITO CORTS,10.54,MARC FONTANALS MARTIN,22.86,RUBEN ARAGON ACEBRON,0.0,OSCAR SAAVEDRA HERNANDEZ,-0.0,JOSEP ALEMANY CERVERA,116.83,RUBEN ROMERO MIRAS,90.75,JOSEP ALEMANY CERVERA,26.18,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,RUBEN ARAGON ACEBRON,0.0,SALVADOR CLARAMUNT BUSQUETS,0.46,IGNASI EXPOSITO CORTS,3.41,RUBEN MORALES BUENO,7.92,ENRIC ALIAGA CHECA,0.49,IGNASI EXPOSITO CORTS,34.0
SERGI ALA PLA,21.73,SALVADOR CLARAMUNT BUSQUETS,9.24,SALVADOR CLARAMUNT BUSQUETS,2.18,ENRIC ALIAGA CHECA,4.29,MARC FONTANALS MARTIN,0.52,DANIEL ROY CARNICER,0.53,DANIEL ROY CARNICER,1.65,RUBEN MORALES BUENO,0.38,MARC FONTANALS MARTIN,1.88,RUBEN ROMERO MIRAS,2.59,RUBEN MORALES BUENO,0.67,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,2.06,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.51,MARC FONTANALS MARTIN,0.54,SALVADOR CLARAMUNT BUSQUETS,4.03,ALBERT NAFRIA SOLER,1.6,SALVADOR CLARAMUNT BUSQUETS,4.05,MARC FONTANALS MARTIN,4.06,ENRIC ALIAGA CHECA,53.33,JOSEP ALEMANY CERVERA,1.02,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,SALVADOR CLARAMUNT BUSQUETS,9.88,SALVADOR CLARAMUNT BUSQUETS,22.59,JOSEP ALEMANY CERVERA,0.0,POL IBAEZ PUIG,-0.0,MARC FONTANALS MARTIN,110.39,IGNASI EXPOSITO CORTS,90.72,MARC FONTANALS MARTIN,19.69,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,JOSEP ALEMANY CERVERA,0.0,DANIEL ROY CARNICER,0.38,SALVADOR CLARAMUNT BUSQUETS,3.24,MARC FONTANALS MARTIN,7.76,JOSEP ALEMANY CERVERA,0.48,SALVADOR CLARAMUNT BUSQUETS,20.0
SALVADOR CLARAMUNT BUSQUETS,21.47,SERGI ALA PLA,8.6,JOSEP ALEMANY CERVERA,2.06,SALVADOR CLARAMUNT BUSQUETS,4.18,SERGI ALA PLA,0.51,RUBEN MORALES BUENO,0.42,RUBEN MORALES BUENO,1.08,DANIEL ROY CARNICER,0.32,SALVADOR CLARAMUNT BUSQUETS,1.71,IGNASI EXPOSITO CORTS,2.53,DANIEL ROY CARNICER,0.62,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,DANIEL ROY CARNICER,2.06,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,ENRIC ALIAGA CHECA,0.5,SALVADOR CLARAMUNT BUSQUETS,0.53,SERGI ALA PLA,3.35,IGNASI EXPOSITO CORTS,1.44,SERGI ALA PLA,3.67,RUBEN MORALES BUENO,3.19,IGNASI EXPOSITO CORTS,48.8,ENRIC ALIAGA CHECA,1.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,SERGI ALA PLA,9.74,SERGI ALA PLA,22.59,RUBEN ROMERO MIRAS,0.0,RUBEN ARAGON ACEBRON,-0.0,SALVADOR CLARAMUNT BUSQUETS,109.03,ALBERT FONTANALS MARTIN,90.72,SALVADOR CLARAMUNT BUSQUETS,18.5,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,RUBEN ROMERO MIRAS,0.0,ALBERT NAFRIA SOLER,0.35,SERGI ALA PLA,3.13,SALVADOR CLARAMUNT BUSQUETS,7.71,IGNASI EXPOSITO CORTS,0.43,DANIEL ROY CARNICER,14.0
IGNASI EXPOSITO CORTS,19.94,JOSEP ALEMANY CERVERA,6.94,SERGI ALA PLA,1.73,IGNASI EXPOSITO CORTS,3.94,JOSEP ALEMANY CERVERA,0.47,JOSEP ALEMANY CERVERA,0.29,RUBEN ROMERO MIRAS,0.94,SALVADOR CLARAMUNT BUSQUETS,0.3,RUBEN ROMERO MIRAS,1.12,SALVADOR CLARAMUNT BUSQUETS,2.12,ENRIC ALIAGA CHECA,0.61,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,MARC FONTANALS MARTIN,1.94,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.49,ENRIC ALIAGA CHECA,0.53,JOSEP ALEMANY CERVERA,3.31,MARC FONTANALS MARTIN,1.43,JOSEP ALEMANY CERVERA,3.36,ALBERT FONTANALS MARTIN,2.78,SALVADOR CLARAMUNT BUSQUETS,47.36,SALVADOR CLARAMUNT BUSQUETS,0.98,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,JOSEP ALEMANY CERVERA,7.73,ENRIC ALIAGA CHECA,18.78,IGNASI EXPOSITO CORTS,0.0,JOSEP ALEMANY CERVERA,-0.35,ENRIC ALIAGA CHECA,108.08,MARC FONTANALS MARTIN,90.7,ENRIC ALIAGA CHECA,17.93,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,IGNASI EXPOSITO CORTS,0.0,RUBEN ROMERO MIRAS,0.29,ENRIC ALIAGA CHECA,2.53,ENRIC ALIAGA CHECA,5.18,SALVADOR CLARAMUNT BUSQUETS,0.42,ENRIC ALIAGA CHECA,13.0
RUBEN ROMERO MIRAS,19.47,ENRIC ALIAGA CHECA,6.29,IGNASI EXPOSITO CORTS,1.71,ALBERT FONTANALS MARTIN,3.5,IGNASI EXPOSITO CORTS,0.43,RUBEN ROMERO MIRAS,0.18,ENRIC ALIAGA CHECA,0.88,SERGI ALA PLA,0.3,ENRIC ALIAGA CHECA,1.12,ENRIC ALIAGA CHECA,1.82,SERGI ALA PLA,0.56,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,IGNASI EXPOSITO CORTS,1.65,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SERGI ALA PLA,0.48,SERGI ALA PLA,0.49,ENRIC ALIAGA CHECA,2.22,SALVADOR CLARAMUNT BUSQUETS,1.3,ENRIC ALIAGA CHECA,3.15,DANIEL ROY CARNICER,2.76,SERGI ALA PLA,42.36,SERGI ALA PLA,0.96,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,ENRIC ALIAGA CHECA,7.05,DANIEL ROY CARNICER,16.43,SALVADOR CLARAMUNT BUSQUETS,0.0,MARC FONTANALS MARTIN,-0.47,SERGI ALA PLA,100.0,JOSEP ALEMANY CERVERA,90.65,SERGI ALA PLA,8.16,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,SALVADOR CLARAMUNT BUSQUETS,0.0,ENRIC ALIAGA CHECA,0.17,JOSEP ALEMANY CERVERA,2.35,JOSEP ALEMANY CERVERA,4.88,SERGI ALA PLA,0.39,ALBERT NAFRIA SOLER,12.0
ENRIC ALIAGA CHECA,17.88,DANIEL ROY CARNICER,4.41,ALBERT FONTANALS MARTIN,1.38,SERGI ALA PLA,3.4,DANIEL ROY CARNICER,0.41,ENRIC ALIAGA CHECA,0.12,ALBERT FONTANALS MARTIN,0.62,RUBEN ROMERO MIRAS,0.19,SERGI ALA PLA,0.93,SERGI ALA PLA,1.67,MARC FONTANALS MARTIN,0.54,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,RUBEN ROMERO MIRAS,1.53,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.44,DANIEL ROY CARNICER,0.46,DANIEL ROY CARNICER,1.06,ENRIC ALIAGA CHECA,1.27,DANIEL ROY CARNICER,1.97,ENRIC ALIAGA CHECA,2.76,DANIEL ROY CARNICER,41.67,DANIEL ROY CARNICER,0.88,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,RUBEN ROMERO MIRAS,5.9,ALBERT FONTANALS MARTIN,16.33,DANIEL ROY CARNICER,0.0,SALVADOR CLARAMUNT BUSQUETS,-0.71,DANIEL ROY CARNICER,94.94,SALVADOR CLARAMUNT BUSQUETS,90.53,DANIEL ROY CARNICER,4.52,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,DANIEL ROY CARNICER,0.0,ALBERT FONTANALS MARTIN,0.15,DANIEL ROY CARNICER,1.65,DANIEL ROY CARNICER,4.35,DANIEL ROY CARNICER,0.38,RUBEN MORALES BUENO,10.0
DANIEL ROY CARNICER,16.29,RUBEN ROMERO MIRAS,3.41,DANIEL ROY CARNICER,1.12,DANIEL ROY CARNICER,2.71,ALBERT FONTANALS MARTIN,0.39,MARC FONTANALS MARTIN,0.12,ALBERT NAFRIA SOLER,0.55,ENRIC ALIAGA CHECA,0.13,DANIEL ROY CARNICER,0.59,DANIEL ROY CARNICER,0.94,ALBERT NAFRIA SOLER,0.5,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,SERGI ALA PLA,1.53,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ALBERT FONTANALS MARTIN,0.36,RUBEN ROMERO MIRAS,0.39,RUBEN ROMERO MIRAS,0.37,DANIEL ROY CARNICER,0.79,RUBEN ROMERO MIRAS,1.76,JOSEP ALEMANY CERVERA,2.63,RUBEN ROMERO MIRAS,41.21,RUBEN ROMERO MIRAS,0.71,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,DANIEL ROY CARNICER,5.32,JOSEP ALEMANY CERVERA,15.36,ENRIC ALIAGA CHECA,0.0,SERGI ALA PLA,-1.0,RUBEN ROMERO MIRAS,81.69,DANIEL ROY CARNICER,90.41,OSCAR SAAVEDRA HERNANDEZ,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,ENRIC ALIAGA CHECA,0.0,RUBEN MORALES BUENO,0.14,ALBERT FONTANALS MARTIN,1.44,ALBERT FONTANALS MARTIN,4.12,ALBERT FONTANALS MARTIN,0.35,SERGI ALA PLA,9.0
ALBERT FONTANALS MARTIN,15.5,ALBERT FONTANALS MARTIN,3.31,RUBEN ROMERO MIRAS,0.88,RUBEN ROMERO MIRAS,2.29,RUBEN ROMERO MIRAS,0.38,ALBERT FONTANALS MARTIN,0.06,JOSEP ALEMANY CERVERA,0.53,ALBERT FONTANALS MARTIN,0.1,ALBERT FONTANALS MARTIN,0.38,ALBERT FONTANALS MARTIN,0.81,ALBERT FONTANALS MARTIN,0.46,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT FONTANALS MARTIN,1.19,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,RUBEN ROMERO MIRAS,0.35,ALBERT FONTANALS MARTIN,0.37,ALBERT FONTANALS MARTIN,0.35,SERGI ALA PLA,0.78,ALBERT FONTANALS MARTIN,1.67,RUBEN ROMERO MIRAS,2.51,ALBERT FONTANALS MARTIN,37.49,ALBERT FONTANALS MARTIN,0.71,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT FONTANALS MARTIN,4.96,ALBERT NAFRIA SOLER,14.62,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,-1.09,ALBERT FONTANALS MARTIN,75.71,ENRIC ALIAGA CHECA,90.15,POL IBAEZ PUIG,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,ALBERT NAFRIA SOLER,0.0,JOSEP ALEMANY CERVERA,0.11,RUBEN ROMERO MIRAS,1.06,RUBEN ROMERO MIRAS,3.24,RUBEN ROMERO MIRAS,0.33,MARC FONTANALS MARTIN,7.0
