Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
ALBA VERA PONTE,25.88,ESTHER MURAT NAVARRO,10.12,ALBA VERA PONTE,2.65,ALBA VERA PONTE,6.27,IRINA FIGUERAS VIL,0.54,JUDITH MOYA REIG,1.52,JUDITH MOYA REIG,6.52,IRINA FIGUERAS VIL,0.33,ESTHER MURAT NAVARRO,3.81,ESTHER MURAT NAVARRO,6.08,IRENE SANZ GISTAU,0.79,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,IRINA FIGUERAS VIL,3.08,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,IRINA FIGUERAS VIL,0.53,IRINA FIGUERAS VIL,0.52,ESTHER MURAT NAVARRO,4.31,ESTHER MURAT NAVARRO,2.04,ESTHER MURAT NAVARRO,4.98,JUDITH MOYA REIG,6.27,IRINA FIGUERAS VIL,52.34,IRINA FIGUERAS VIL,1.07,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,ESTHER MURAT NAVARRO,13.27,JUDITH MOYA REIG,29.64,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,-0.0,IRINA FIGUERAS VIL,106.35,TANIA HURTADO PEREZ,79.29,IRINA FIGUERAS VIL,29.48,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,MARIA CELDRAN APARICIO,0.0,JUDITH MOYA REIG,0.81,ESTHER MURAT NAVARRO,2.88,MONTSANT GUERRERO MUNNE,8.46,IRINA FIGUERAS VIL,0.52,ESTHER MURAT NAVARRO,98.0
ESTHER MURAT NAVARRO,25.15,MONTSANT GUERRERO MUNNE,7.42,ESTHER MURAT NAVARRO,2.35,JUDIT VALLS DELLAVALLE,5.79,IRENE SANZ GISTAU,0.49,MONTSANT GUERRERO MUNNE,1.12,MONTSANT GUERRERO MUNNE,4.04,BRUNA VILA ARTIGUES,0.29,BRUNA VILA ARTIGUES,1.92,BRUNA VILA ARTIGUES,2.92,MONTSANT GUERRERO MUNNE,0.78,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,ESTHER MURAT NAVARRO,2.54,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.45,ESTHER MURAT NAVARRO,0.51,IRENE SANZ GISTAU,2.35,BRUNA VILA ARTIGUES,1.07,BRUNA VILA ARTIGUES,3.23,MONTSANT GUERRERO MUNNE,6.03,ESTHER MURAT NAVARRO,51.71,IRENE SANZ GISTAU,0.9,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,MONTSANT GUERRERO MUNNE,10.23,MONTSANT GUERRERO MUNNE,27.58,IRENE SANZ GISTAU,0.0,MARIA MASSUET PUIG,-0.0,ESTHER MURAT NAVARRO,105.62,BRUNA VILA ARTIGUES,78.4,ESTHER MURAT NAVARRO,27.61,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,IRENE SANZ GISTAU,0.0,JUDIT LIRIO GONZALEZ,0.64,ALBA VERA PONTE,2.73,JUDITH MOYA REIG,8.04,ALBA VERA PONTE,0.41,TANIA HURTADO PEREZ,77.0
BRUNA VILA ARTIGUES,24.48,BRUNA VILA ARTIGUES,7.04,JUDIT VALLS DELLAVALLE,2.32,ESTHER MURAT NAVARRO,5.19,ESTHER MURAT NAVARRO,0.45,BRUNA VILA ARTIGUES,0.72,JUDIT LIRIO GONZALEZ,2.89,MONTSANT GUERRERO MUNNE,0.28,MONTSANT GUERRERO MUNNE,1.38,MONTSANT GUERRERO MUNNE,1.77,JUDITH MOYA REIG,0.68,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,SANDRA LOPEZ PASCUAL,2.5,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,ESTHER MURAT NAVARRO,0.44,IRENE SANZ GISTAU,0.48,JUDIT VALLS DELLAVALLE,1.61,TANIA HURTADO PEREZ,0.81,MONTSANT GUERRERO MUNNE,3.14,BRUNA VILA ARTIGUES,5.1,IRENE SANZ GISTAU,43.55,ESTHER MURAT NAVARRO,0.88,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,BRUNA VILA ARTIGUES,10.07,ESTHER MURAT NAVARRO,23.41,TANIA HURTADO PEREZ,0.0,MIREIA AMIGO VALLES,-0.0,IRENE SANZ GISTAU,97.74,JUDIT LIRIO GONZALEZ,78.37,IRENE SANZ GISTAU,19.65,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,TANIA HURTADO PEREZ,0.0,SANDRA LOPEZ PASCUAL,0.5,MONTSANT GUERRERO MUNNE,2.46,ESTHER MURAT NAVARRO,7.19,IRENE SANZ GISTAU,0.4,IRENE SANZ GISTAU,72.0
MONTSANT GUERRERO MUNNE,20.0,ALBA VERA PONTE,6.15,IRENE SANZ GISTAU,1.64,BRUNA VILA ARTIGUES,4.64,JUDIT LIRIO GONZALEZ,0.42,IRENE SANZ GISTAU,0.59,BRUNA VILA ARTIGUES,2.52,ESTHER MURAT NAVARRO,0.27,IRENE SANZ GISTAU,0.86,JUDIT VALLS DELLAVALLE,1.47,BRUNA VILA ARTIGUES,0.66,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,MONTSANT GUERRERO MUNNE,2.31,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ALBA VERA PONTE,0.41,BRUNA VILA ARTIGUES,0.42,BRUNA VILA ARTIGUES,1.6,IRENE SANZ GISTAU,0.7,ALBA VERA PONTE,3.12,ESTHER MURAT NAVARRO,4.65,ALBA VERA PONTE,42.69,ALBA VERA PONTE,0.82,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,JUDITH MOYA REIG,8.8,JUDIT VALLS DELLAVALLE,21.88,ESTHER MURAT NAVARRO,0.0,IRENE SANZ GISTAU,-0.8,BRUNA VILA ARTIGUES,85.02,ALBA VERA PONTE,78.3,BRUNA VILA ARTIGUES,6.63,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,ESTHER MURAT NAVARRO,0.0,MONTSANT GUERRERO MUNNE,0.48,JUDIT VALLS DELLAVALLE,2.42,BRUNA VILA ARTIGUES,7.16,ESTHER MURAT NAVARRO,0.4,JUDIT VALLS DELLAVALLE,32.0
JUDIT VALLS DELLAVALLE,19.74,IRENE SANZ GISTAU,5.91,BRUNA VILA ARTIGUES,1.48,MONTSANT GUERRERO MUNNE,4.42,ALBA VERA PONTE,0.42,JUDIT LIRIO GONZALEZ,0.58,IRENE SANZ GISTAU,2.27,IRENE SANZ GISTAU,0.26,JUDIT VALLS DELLAVALLE,0.84,ALBA VERA PONTE,1.42,ESTHER MURAT NAVARRO,0.63,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,BRUNA VILA ARTIGUES,2.28,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.37,ALBA VERA PONTE,0.42,ALBA VERA PONTE,1.53,JUDIT VALLS DELLAVALLE,0.67,JUDIT VALLS DELLAVALLE,2.9,JUDIT VALLS DELLAVALLE,4.32,JUDIT VALLS DELLAVALLE,40.19,JUDIT VALLS DELLAVALLE,0.75,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,ALBA VERA PONTE,8.15,IRENE SANZ GISTAU,21.45,JUDIT VALLS DELLAVALLE,0.0,ESTHER MURAT NAVARRO,-1.38,ALBA VERA PONTE,84.66,IRENE SANZ GISTAU,78.09,ALBA VERA PONTE,6.35,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,JUDIT VALLS DELLAVALLE,0.0,IRENE SANZ GISTAU,0.4,IRENE SANZ GISTAU,2.23,ALBA VERA PONTE,6.73,JUDIT VALLS DELLAVALLE,0.37,MONTSANT GUERRERO MUNNE,21.0
JUDIT LIRIO GONZALEZ,17.79,JUDIT VALLS DELLAVALLE,5.79,MONTSANT GUERRERO MUNNE,1.35,IRENE SANZ GISTAU,3.36,JUDIT VALLS DELLAVALLE,0.4,ESTHER MURAT NAVARRO,0.54,ESTHER MURAT NAVARRO,2.0,JUDITH MOYA REIG,0.23,ALBA VERA PONTE,0.62,IRENE SANZ GISTAU,1.09,JUDIT VALLS DELLAVALLE,0.57,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,TANIA HURTADO PEREZ,2.17,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.36,JUDIT VALLS DELLAVALLE,0.4,MONTSANT GUERRERO MUNNE,1.41,MONTSANT GUERRERO MUNNE,0.63,IRENE SANZ GISTAU,2.64,ALBA VERA PONTE,4.18,BRUNA VILA ARTIGUES,38.8,BRUNA VILA ARTIGUES,0.72,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,JUDIT VALLS DELLAVALLE,8.14,BRUNA VILA ARTIGUES,20.63,MONTSANT GUERRERO MUNNE,0.0,IRINA FIGUERAS VIL,-1.46,MONTSANT GUERRERO MUNNE,81.43,SANDRA LOPEZ PASCUAL,78.05,MONTSANT GUERRERO MUNNE,3.55,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,MONTSANT GUERRERO MUNNE,0.0,BRUNA VILA ARTIGUES,0.35,BRUNA VILA ARTIGUES,2.2,JUDIT VALLS DELLAVALLE,6.63,BRUNA VILA ARTIGUES,0.31,SANDRA LOPEZ PASCUAL,20.0
SANDRA LOPEZ PASCUAL,17.46,JUDITH MOYA REIG,5.64,IRINA FIGUERAS VIL,1.08,TANIA HURTADO PEREZ,2.22,TANIA HURTADO PEREZ,0.38,SANDRA LOPEZ PASCUAL,0.21,SANDRA LOPEZ PASCUAL,1.21,JUDIT LIRIO GONZALEZ,0.2,JUDITH MOYA REIG,0.52,TANIA HURTADO PEREZ,0.94,JUDIT LIRIO GONZALEZ,0.5,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,ALBA VERA PONTE,1.69,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,BRUNA VILA ARTIGUES,0.36,MONTSANT GUERRERO MUNNE,0.4,IRINA FIGUERAS VIL,0.11,ALBA VERA PONTE,0.35,JUDITH MOYA REIG,2.07,IRENE SANZ GISTAU,3.43,MONTSANT GUERRERO MUNNE,34.2,MONTSANT GUERRERO MUNNE,0.71,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,IRENE SANZ GISTAU,6.71,TANIA HURTADO PEREZ,18.0,SANDRA LOPEZ PASCUAL,0.0,JUDIT VALLS DELLAVALLE,-1.89,JUDIT VALLS DELLAVALLE,80.29,ESTHER MURAT NAVARRO,78.01,JUDIT VALLS DELLAVALLE,3.47,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,SANDRA LOPEZ PASCUAL,0.0,ESTHER MURAT NAVARRO,0.28,JUDITH MOYA REIG,1.8,IRENE SANZ GISTAU,5.64,MONTSANT GUERRERO MUNNE,0.29,BRUNA VILA ARTIGUES,11.0
IRENE SANZ GISTAU,17.05,JUDIT LIRIO GONZALEZ,3.37,TANIA HURTADO PEREZ,0.83,IRINA FIGUERAS VIL,2.0,BRUNA VILA ARTIGUES,0.32,JUDIT VALLS DELLAVALLE,0.11,JUDIT VALLS DELLAVALLE,0.84,SANDRA LOPEZ PASCUAL,0.17,TANIA HURTADO PEREZ,0.44,JUDITH MOYA REIG,0.76,TANIA HURTADO PEREZ,0.47,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,JUDITH MOYA REIG,1.56,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,JUDIT LIRIO GONZALEZ,0.34,JUDIT LIRIO GONZALEZ,0.35,JUDITH MOYA REIG,0.01,IRINA FIGUERAS VIL,0.33,JUDIT LIRIO GONZALEZ,1.42,JUDIT LIRIO GONZALEZ,3.32,TANIA HURTADO PEREZ,32.19,JUDIT LIRIO GONZALEZ,0.69,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,JUDIT LIRIO GONZALEZ,5.05,ALBA VERA PONTE,16.96,MARIA MASSUET PUIG,0.0,ALBA VERA PONTE,-2.13,JUDIT LIRIO GONZALEZ,71.11,MONTSANT GUERRERO MUNNE,77.89,MARIA CELDRAN APARICIO,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,MARIA MASSUET PUIG,0.0,TANIA HURTADO PEREZ,0.27,JUDIT LIRIO GONZALEZ,1.26,JUDIT LIRIO GONZALEZ,4.53,JUDIT LIRIO GONZALEZ,0.28,JUDITH MOYA REIG,10.0
JUDITH MOYA REIG,16.92,IRINA FIGUERAS VIL,2.58,JUDIT LIRIO GONZALEZ,0.68,JUDIT LIRIO GONZALEZ,1.63,MONTSANT GUERRERO MUNNE,0.3,IRINA FIGUERAS VIL,0.08,TANIA HURTADO PEREZ,0.83,ALBA VERA PONTE,0.17,JUDIT LIRIO GONZALEZ,0.26,IRINA FIGUERAS VIL,0.54,ALBA VERA PONTE,0.43,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,JUDIT LIRIO GONZALEZ,1.47,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,JUDITH MOYA REIG,0.32,JUDITH MOYA REIG,0.34,JUDIT LIRIO GONZALEZ,0.01,JUDIT LIRIO GONZALEZ,0.31,IRINA FIGUERAS VIL,1.28,TANIA HURTADO PEREZ,2.33,JUDIT LIRIO GONZALEZ,30.0,JUDITH MOYA REIG,0.64,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,TANIA HURTADO PEREZ,3.98,JUDIT LIRIO GONZALEZ,15.93,BRUNA VILA ARTIGUES,0.0,JUDIT LIRIO GONZALEZ,-2.16,JUDITH MOYA REIG,68.12,JUDITH MOYA REIG,77.72,MARIA MASSUET PUIG,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,BRUNA VILA ARTIGUES,0.0,JUDIT VALLS DELLAVALLE,0.13,IRINA FIGUERAS VIL,1.15,TANIA HURTADO PEREZ,3.06,TANIA HURTADO PEREZ,0.27,JUDIT LIRIO GONZALEZ,8.0
IRINA FIGUERAS VIL,12.92,TANIA HURTADO PEREZ,2.11,SANDRA LOPEZ PASCUAL,0.33,JUDITH MOYA REIG,1.52,SANDRA LOPEZ PASCUAL,0.28,ALBA VERA PONTE,0.08,ALBA VERA PONTE,0.46,JUDIT VALLS DELLAVALLE,0.12,IRINA FIGUERAS VIL,0.19,JUDIT LIRIO GONZALEZ,0.53,IRINA FIGUERAS VIL,0.36,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,IRENE SANZ GISTAU,1.05,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,TANIA HURTADO PEREZ,0.27,TANIA HURTADO PEREZ,0.3,MARIA CELDRAN APARICIO,-0.0,JUDITH MOYA REIG,0.26,TANIA HURTADO PEREZ,1.1,SANDRA LOPEZ PASCUAL,1.92,JUDITH MOYA REIG,24.85,TANIA HURTADO PEREZ,0.55,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,IRINA FIGUERAS VIL,2.77,IRINA FIGUERAS VIL,11.4,JUDITH MOYA REIG,0.0,SANDRA LOPEZ PASCUAL,-2.42,TANIA HURTADO PEREZ,63.33,IRINA FIGUERAS VIL,76.87,MIREIA AMIGO VALLES,-0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,JUDITH MOYA REIG,0.0,IRINA FIGUERAS VIL,0.1,TANIA HURTADO PEREZ,0.83,SANDRA LOPEZ PASCUAL,2.42,SANDRA LOPEZ PASCUAL,0.22,IRINA FIGUERAS VIL,6.0
