Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
PAU VIROS SOLER,27.21,NIL DEIX RAMIREZ,10.32,GERARD TALARN CORTINA,3.26,GERARD TALARN CORTINA,7.05,MART CU FERR,0.55,PAU VIROS SOLER,1.68,NIL DEIX RAMIREZ,6.11,MARC NOGUERA MARQUEZ,0.34,ORIOL FONT ORDEIG,1.94,ADRI PAL MASSIP,3.41,PAU VIROS SOLER,0.85,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,NIL DEIX RAMIREZ,2.89,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MART CU FERR,0.53,MART CU FERR,0.57,ORIOL FONT ORDEIG,3.61,ADRI PAL MASSIP,3.41,NIL DEIX RAMIREZ,4.52,NIL DEIX RAMIREZ,7.4,ADRI PAL MASSIP,56.56,MART CU FERR,1.07,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,NIL DEIX RAMIREZ,13.23,NIL DEIX RAMIREZ,30.52,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MART CU FERR,117.14,ALBERT AGUILERA GAMISANS,96.75,MART CU FERR,22.86,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,MARC SOLDADO FERRER,0.0,PAU VIROS SOLER,0.8,NIL DEIX RAMIREZ,3.74,NIL DEIX RAMIREZ,11.11,MART CU FERR,0.51,NIL DEIX RAMIREZ,42.0
ORIOL FONT ORDEIG,24.06,ORIOL FONT ORDEIG,9.06,NIL DEIX RAMIREZ,2.53,ORIOL FONT ORDEIG,5.06,NIL DEIX RAMIREZ,0.51,BERNAT FARELL SILVA,1.44,PAU VIROS SOLER,4.95,PAU VIROS SOLER,0.34,ADRI PAL MASSIP,1.71,ORIOL FONT ORDEIG,2.94,NIL DEIX RAMIREZ,0.79,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,ALBERT AGUILERA GAMISANS,2.69,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,MARC NOGUERA MARQUEZ,0.51,MARC NOGUERA MARQUEZ,0.53,MART CU FERR,3.04,ALBERT AGUILERA GAMISANS,2.38,ORIOL FONT ORDEIG,4.21,BERNAT FARELL SILVA,5.22,MART CU FERR,56.23,MARC NOGUERA MARQUEZ,1.02,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,ORIOL FONT ORDEIG,11.04,GERARD TALARN CORTINA,22.13,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,-0.0,JORDI DE LA ROSA CANELA,108.93,BERNAT FARELL SILVA,95.42,JORDI DE LA ROSA CANELA,16.03,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JOAN CARCELLER LOPEZ,0.0,JORDI DE LA ROSA CANELA,0.65,GERARD TALARN CORTINA,3.26,BERNAT FARELL SILVA,8.22,ADRI PAL MASSIP,0.48,ALBERT AGUILERA GAMISANS,22.0
BERNAT FARELL SILVA,21.83,GERARD TALARN CORTINA,8.05,ORIOL FONT ORDEIG,2.39,NIL DEIX RAMIREZ,5.0,ADRI PAL MASSIP,0.51,NIL DEIX RAMIREZ,1.21,BERNAT FARELL SILVA,4.5,JORDI DE LA ROSA CANELA,0.33,NIL DEIX RAMIREZ,1.63,GERARD TALARN CORTINA,2.47,ALBERT AGUILERA GAMISANS,0.7,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,GERARD TALARN CORTINA,2.63,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,PAU VIROS SOLER,0.51,JORDI DE LA ROSA CANELA,0.53,PAU VIROS SOLER,3.01,MART CU FERR,1.5,GERARD TALARN CORTINA,4.11,ORIOL FONT ORDEIG,4.97,GERARD TALARN CORTINA,49.15,PAU VIROS SOLER,1.02,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,GERARD TALARN CORTINA,9.93,BERNAT FARELL SILVA,21.55,NIL DEIX RAMIREZ,0.0,PAU VIROS SOLER,-0.18,ADRI PAL MASSIP,108.33,ORIOL FONT ORDEIG,95.38,ADRI PAL MASSIP,13.94,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,NIL DEIX RAMIREZ,0.0,MARC NOGUERA MARQUEZ,0.59,ORIOL FONT ORDEIG,3.17,ORIOL FONT ORDEIG,8.0,GERARD TALARN CORTINA,0.44,MARC NOGUERA MARQUEZ,16.0
NIL DEIX RAMIREZ,21.79,BERNAT FARELL SILVA,7.89,MART CU FERR,2.16,ALBERT AGUILERA GAMISANS,4.46,MARC NOGUERA MARQUEZ,0.5,MARC NOGUERA MARQUEZ,1.18,MARC NOGUERA MARQUEZ,3.41,BERNAT FARELL SILVA,0.32,ALBERT AGUILERA GAMISANS,1.62,ALBERT AGUILERA GAMISANS,2.31,MART CU FERR,0.7,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,MART CU FERR,2.05,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,JORDI DE LA ROSA CANELA,0.5,PAU VIROS SOLER,0.53,MARC NOGUERA MARQUEZ,2.92,ORIOL FONT ORDEIG,1.35,BERNAT FARELL SILVA,3.25,GERARD TALARN CORTINA,4.25,ALBERT AGUILERA GAMISANS,48.65,JORDI DE LA ROSA CANELA,1.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,BERNAT FARELL SILVA,8.85,ORIOL FONT ORDEIG,21.41,ALBERT AGUILERA GAMISANS,0.0,MARC NOGUERA MARQUEZ,-0.21,MARC NOGUERA MARQUEZ,107.77,PAU VIROS SOLER,94.77,MARC NOGUERA MARQUEZ,13.23,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,ALBERT AGUILERA GAMISANS,0.0,NIL DEIX RAMIREZ,0.55,BERNAT FARELL SILVA,3.06,GERARD TALARN CORTINA,7.37,ALBERT AGUILERA GAMISANS,0.41,GERARD TALARN CORTINA,14.0
GERARD TALARN CORTINA,21.16,PAU VIROS SOLER,6.89,ALBERT AGUILERA GAMISANS,2.0,MART CU FERR,3.89,JORDI DE LA ROSA CANELA,0.5,ORIOL FONT ORDEIG,0.78,ORIOL FONT ORDEIG,2.94,MART CU FERR,0.29,GERARD TALARN CORTINA,1.53,NIL DEIX RAMIREZ,2.05,MARC NOGUERA MARQUEZ,0.69,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,ORIOL FONT ORDEIG,1.78,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,ADRI PAL MASSIP,0.49,ADRI PAL MASSIP,0.52,GERARD TALARN CORTINA,2.77,JORDI DE LA ROSA CANELA,1.31,MART CU FERR,3.13,PAU VIROS SOLER,3.9,ORIOL FONT ORDEIG,45.86,ADRI PAL MASSIP,0.98,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,ALBERT AGUILERA GAMISANS,7.71,JORDI DE LA ROSA CANELA,21.14,MARC NOGUERA MARQUEZ,0.0,MART CU FERR,-0.32,PAU VIROS SOLER,106.5,MARC NOGUERA MARQUEZ,94.53,PAU VIROS SOLER,11.73,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,MARC NOGUERA MARQUEZ,0.0,BERNAT FARELL SILVA,0.55,MART CU FERR,2.42,PAU VIROS SOLER,6.21,MARC NOGUERA MARQUEZ,0.41,BERNAT FARELL SILVA,13.0
ALBERT AGUILERA GAMISANS,19.54,MARC NOGUERA MARQUEZ,6.53,BERNAT FARELL SILVA,1.61,BERNAT FARELL SILVA,3.72,PAU VIROS SOLER,0.5,JORDI DE LA ROSA CANELA,0.73,JORDI DE LA ROSA CANELA,2.2,ORIOL FONT ORDEIG,0.26,MART CU FERR,1.37,MART CU FERR,1.95,JORDI DE LA ROSA CANELA,0.67,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,ADRI PAL MASSIP,1.71,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,BERNAT FARELL SILVA,0.46,ALBERT AGUILERA GAMISANS,0.49,NIL DEIX RAMIREZ,2.71,GERARD TALARN CORTINA,1.09,ALBERT AGUILERA GAMISANS,2.99,MARC NOGUERA MARQUEZ,3.45,JORDI DE LA ROSA CANELA,44.44,BERNAT FARELL SILVA,0.92,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,PAU VIROS SOLER,6.92,MARC NOGUERA MARQUEZ,18.34,GERARD TALARN CORTINA,0.0,JORDI DE LA ROSA CANELA,-0.5,ALBERT AGUILERA GAMISANS,100.0,MART TALARN CORTINA,94.48,ORIOL FONT ORDEIG,4.01,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,GERARD TALARN CORTINA,0.0,MART TALARN CORTINA,0.51,MARC NOGUERA MARQUEZ,2.35,MARC NOGUERA MARQUEZ,5.76,ORIOL FONT ORDEIG,0.4,MART TALARN CORTINA,12.0
MART CU FERR,19.47,MART CU FERR,6.47,ADRI PAL MASSIP,1.35,ADRI PAL MASSIP,2.65,ORIOL FONT ORDEIG,0.47,MART TALARN CORTINA,0.31,MART TALARN CORTINA,1.62,NIL DEIX RAMIREZ,0.2,JORDI DE LA ROSA CANELA,0.67,JORDI DE LA ROSA CANELA,1.0,ORIOL FONT ORDEIG,0.66,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,MART TALARN CORTINA,1.56,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,GERARD TALARN CORTINA,0.44,ORIOL FONT ORDEIG,0.49,BERNAT FARELL SILVA,2.64,NIL DEIX RAMIREZ,0.77,MARC NOGUERA MARQUEZ,2.69,ALBERT AGUILERA GAMISANS,3.16,MARC NOGUERA MARQUEZ,43.85,GERARD TALARN CORTINA,0.89,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,MART CU FERR,6.8,ADRI PAL MASSIP,17.9,BERNAT FARELL SILVA,0.0,ADRI PAL MASSIP,-0.91,ORIOL FONT ORDEIG,99.39,ADRI PAL MASSIP,94.39,ALBERT AGUILERA GAMISANS,3.25,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,BERNAT FARELL SILVA,0.0,ORIOL FONT ORDEIG,0.37,PAU VIROS SOLER,2.32,ALBERT AGUILERA GAMISANS,5.23,JORDI DE LA ROSA CANELA,0.39,ORIOL FONT ORDEIG,11.0
MARC NOGUERA MARQUEZ,18.65,ALBERT AGUILERA GAMISANS,6.08,MARC NOGUERA MARQUEZ,1.18,MARC NOGUERA MARQUEZ,2.35,GERARD TALARN CORTINA,0.46,MART CU FERR,0.26,MART CU FERR,0.89,ALBERT AGUILERA GAMISANS,0.2,MARC NOGUERA MARQUEZ,0.65,MARC NOGUERA MARQUEZ,0.94,GERARD TALARN CORTINA,0.62,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,BERNAT FARELL SILVA,1.5,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,ORIOL FONT ORDEIG,0.44,GERARD TALARN CORTINA,0.48,ALBERT AGUILERA GAMISANS,1.92,MART TALARN CORTINA,0.73,PAU VIROS SOLER,2.58,MART CU FERR,2.44,PAU VIROS SOLER,39.84,ORIOL FONT ORDEIG,0.89,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MARC NOGUERA MARQUEZ,6.78,ALBERT AGUILERA GAMISANS,17.46,MART TALARN CORTINA,0.0,ORIOL FONT ORDEIG,-1.31,GERARD TALARN CORTINA,96.84,MART CU FERR,94.29,GERARD TALARN CORTINA,2.69,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART TALARN CORTINA,0.0,MART CU FERR,0.19,ALBERT AGUILERA GAMISANS,2.15,MART CU FERR,4.79,BERNAT FARELL SILVA,0.37,JORDI DE LA ROSA CANELA,9.0
ADRI PAL MASSIP,13.82,ADRI PAL MASSIP,4.59,MART TALARN CORTINA,0.69,MART TALARN CORTINA,1.56,ALBERT AGUILERA GAMISANS,0.45,ALBERT AGUILERA GAMISANS,0.15,ALBERT AGUILERA GAMISANS,0.77,ADRI PAL MASSIP,0.2,PAU VIROS SOLER,0.58,MART TALARN CORTINA,0.81,BERNAT FARELL SILVA,0.55,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,JORDI DE LA ROSA CANELA,1.33,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ALBERT AGUILERA GAMISANS,0.43,BERNAT FARELL SILVA,0.46,ADRI PAL MASSIP,1.73,MARC NOGUERA MARQUEZ,0.66,ADRI PAL MASSIP,2.44,MART TALARN CORTINA,2.28,BERNAT FARELL SILVA,38.38,ALBERT AGUILERA GAMISANS,0.85,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ADRI PAL MASSIP,6.46,MART CU FERR,16.06,ORIOL FONT ORDEIG,0.0,BERNAT FARELL SILVA,-1.39,BERNAT FARELL SILVA,94.04,GERARD TALARN CORTINA,94.15,MARC SOLDADO FERRER,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ORIOL FONT ORDEIG,0.0,ALBERT AGUILERA GAMISANS,0.15,ADRI PAL MASSIP,1.41,JORDI DE LA ROSA CANELA,3.4,PAU VIROS SOLER,0.37,MART CU FERR,7.0
MART TALARN CORTINA,12.88,JORDI DE LA ROSA CANELA,4.07,PAU VIROS SOLER,0.63,PAU VIROS SOLER,1.26,MART TALARN CORTINA,0.44,ADRI PAL MASSIP,0.06,GERARD TALARN CORTINA,0.32,MART TALARN CORTINA,0.19,MART TALARN CORTINA,0.38,PAU VIROS SOLER,0.68,ADRI PAL MASSIP,0.5,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,PAU VIROS SOLER,1.05,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,NIL DEIX RAMIREZ,0.39,NIL DEIX RAMIREZ,0.43,JORDI DE LA ROSA CANELA,1.55,PAU VIROS SOLER,0.49,JORDI DE LA ROSA CANELA,1.69,JORDI DE LA ROSA CANELA,2.11,NIL DEIX RAMIREZ,37.93,NIL DEIX RAMIREZ,0.78,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,4.42,MART TALARN CORTINA,15.43,JORDI DE LA ROSA CANELA,0.0,ALBERT AGUILERA GAMISANS,-1.65,NIL DEIX RAMIREZ,87.11,NIL DEIX RAMIREZ,94.09,JOAN CARCELLER LOPEZ,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,JORDI DE LA ROSA CANELA,0.0,ADRI PAL MASSIP,0.1,JORDI DE LA ROSA CANELA,1.33,MART TALARN CORTINA,3.19,NIL DEIX RAMIREZ,0.34,PAU VIROS SOLER,4.0
