Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
ALEX MATENCIO UTIEL,25.15,ALEX MATENCIO UTIEL,12.77,PAU ROS FERNANDEZ,2.54,PAU ROS FERNANDEZ,6.69,ALEX MATENCIO UTIEL,0.62,ALEX MATENCIO UTIEL,2.54,ALEX MATENCIO UTIEL,7.62,ALEX MATENCIO UTIEL,0.33,JUAN MONTERRUBIO ALVAREZ,2.08,JUAN MONTERRUBIO ALVAREZ,3.17,VICTOR SANTERVAS GONZALEZ,1.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,POL HAGENAERS COS,3.92,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,SERGI MARTIN FUENTES,0.55,ALEX MATENCIO UTIEL,0.55,ALEX MATENCIO UTIEL,5.82,JUAN MONTERRUBIO ALVAREZ,3.41,ALEX MATENCIO UTIEL,5.16,PAU ROS FERNANDEZ,6.54,SERGI MARTIN FUENTES,52.32,SERGI MARTIN FUENTES,1.09,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,ALEX MATENCIO UTIEL,12.87,PAU ROS FERNANDEZ,29.87,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,ALEX MATENCIO UTIEL,110.67,VICTOR FUENTES GUIL,94.03,ALEX MATENCIO UTIEL,17.8,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,MARCOS GARCIA VICIANA,0.0,ALEX MATENCIO UTIEL,0.7,ALEX MATENCIO UTIEL,4.54,ALEX MATENCIO UTIEL,10.85,SERGI MARTIN FUENTES,0.55,VICTOR SANTERVAS GONZALEZ,16.0
VICTOR SANTERVAS GONZALEZ,23.58,PAU ROS FERNANDEZ,10.0,POL HAGENAERS COS,2.42,POL HAGENAERS COS,5.25,SERGI MARTIN FUENTES,0.56,PAU ROS FERNANDEZ,1.08,PAU ROS FERNANDEZ,3.38,VICTOR SANTERVAS GONZALEZ,0.33,PAU ROS FERNANDEZ,1.69,POL HAGENAERS COS,2.58,PAU ROS FERNANDEZ,0.71,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ENRIC BUJ FELIX,3.15,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALEX MATENCIO UTIEL,0.54,POL HAGENAERS COS,0.5,PAU ROS FERNANDEZ,3.1,MARTI SOCIATS RUSINES,2.86,PAU ROS FERNANDEZ,4.49,ALEX MATENCIO UTIEL,6.39,POL HAGENAERS COS,52.14,ALEX MATENCIO UTIEL,1.07,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,PAU ROS FERNANDEZ,12.8,ALEX MATENCIO UTIEL,28.25,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,-0.0,SERGI MARTIN FUENTES,105.26,JUAN MONTERRUBIO ALVAREZ,93.53,SERGI MARTIN FUENTES,13.6,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,ALBERT TOMAS GIL,0.0,VICTOR FUENTES GUIL,0.64,PAU ROS FERNANDEZ,3.62,PAU ROS FERNANDEZ,10.08,POL HAGENAERS COS,0.45,PAU ROS FERNANDEZ,15.0
PAU ROS FERNANDEZ,22.77,POL HAGENAERS COS,6.5,ALEX MATENCIO UTIEL,2.0,ENRIC BUJ FELIX,5.08,VICTOR FUENTES GUIL,0.47,VICTOR SANTERVAS GONZALEZ,0.83,VICTOR FUENTES GUIL,2.5,PAU ROS FERNANDEZ,0.32,POL HAGENAERS COS,1.67,PAU ROS FERNANDEZ,2.38,HERSON MIGUEL LORENZO CRUZ,0.67,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,PAU ROS FERNANDEZ,2.54,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,POL HAGENAERS COS,0.45,SERGI MARTIN FUENTES,0.49,JUAN MONTERRUBIO ALVAREZ,1.89,POL HAGENAERS COS,2.6,POL HAGENAERS COS,3.32,ENRIC BUJ FELIX,3.86,JUAN MONTERRUBIO ALVAREZ,47.8,POL HAGENAERS COS,0.91,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,JUAN MONTERRUBIO ALVAREZ,8.57,HERSON MIGUEL LORENZO CRUZ,23.93,ENRIC BUJ FELIX,0.0,ALAN MONTIEL PEREZ,0.0,POL HAGENAERS COS,104.0,VICTOR SANTERVAS GONZALEZ,93.03,POL HAGENAERS COS,12.3,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,ENRIC BUJ FELIX,0.0,MARTI SOCIATS RUSINES,0.5,POL HAGENAERS COS,2.42,HERSON MIGUEL LORENZO CRUZ,5.9,ALEX MATENCIO UTIEL,0.42,ALEX MATENCIO UTIEL,14.0
JUAN MONTERRUBIO ALVAREZ,20.83,JUAN MONTERRUBIO ALVAREZ,5.92,JUAN MONTERRUBIO ALVAREZ,1.92,JUAN MONTERRUBIO ALVAREZ,4.92,POL HAGENAERS COS,0.46,VICTOR FUENTES GUIL,0.58,VICTOR SANTERVAS GONZALEZ,2.5,VICTOR FUENTES GUIL,0.23,ALEX MATENCIO UTIEL,1.15,ALEX MATENCIO UTIEL,1.77,MARTI SOCIATS RUSINES,0.67,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,MARTI SOCIATS RUSINES,2.43,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,PAU ROS FERNANDEZ,0.41,JUAN MONTERRUBIO ALVAREZ,0.46,POL HAGENAERS COS,1.8,PAU ROS FERNANDEZ,1.29,JUAN MONTERRUBIO ALVAREZ,3.04,HERSON MIGUEL LORENZO CRUZ,3.83,ALEX MATENCIO UTIEL,44.67,PAU ROS FERNANDEZ,0.82,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,8.39,POL HAGENAERS COS,20.13,POL HAGENAERS COS,0.0,DAVID GEA SIMON,-0.0,JUAN MONTERRUBIO ALVAREZ,94.67,HERSON MIGUEL LORENZO CRUZ,92.99,JUAN MONTERRUBIO ALVAREZ,1.14,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,POL HAGENAERS COS,0.0,VICTOR SANTERVAS GONZALEZ,0.5,HERSON MIGUEL LORENZO CRUZ,2.1,POL HAGENAERS COS,5.33,JUAN MONTERRUBIO ALVAREZ,0.38,SERGI MARTIN FUENTES,10.0
MARTI SOCIATS RUSINES,20.0,HERSON MIGUEL LORENZO CRUZ,4.9,HERSON MIGUEL LORENZO CRUZ,1.8,HERSON MIGUEL LORENZO CRUZ,4.0,HERSON MIGUEL LORENZO CRUZ,0.45,HERSON MIGUEL LORENZO CRUZ,0.3,HERSON MIGUEL LORENZO CRUZ,1.9,HERSON MIGUEL LORENZO CRUZ,0.16,MARTI SOCIATS RUSINES,0.57,SERGI MARTIN FUENTES,1.55,JUAN MONTERRUBIO ALVAREZ,0.66,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,VICTOR SANTERVAS GONZALEZ,2.42,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,VICTOR SANTERVAS GONZALEZ,0.4,PAU ROS FERNANDEZ,0.45,SERGI MARTIN FUENTES,1.32,SERGI MARTIN FUENTES,1.1,HERSON MIGUEL LORENZO CRUZ,2.31,VICTOR SANTERVAS GONZALEZ,3.42,PAU ROS FERNANDEZ,40.69,VICTOR SANTERVAS GONZALEZ,0.8,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,ENRIC BUJ FELIX,6.74,JUAN MONTERRUBIO ALVAREZ,19.03,JUAN MONTERRUBIO ALVAREZ,0.0,SERGI SEGARRA RODRIGUEZ,-0.0,PAU ROS FERNANDEZ,90.91,ALEX MATENCIO UTIEL,92.86,ALBERT TOMAS GIL,-0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.0,PAU ROS FERNANDEZ,0.34,JUAN MONTERRUBIO ALVAREZ,1.92,ENRIC BUJ FELIX,5.15,PAU ROS FERNANDEZ,0.36,MARTI SOCIATS RUSINES,9.0
POL HAGENAERS COS,19.75,VICTOR SANTERVAS GONZALEZ,4.17,SERGI MARTIN FUENTES,1.64,ALEX MATENCIO UTIEL,3.23,JUAN MONTERRUBIO ALVAREZ,0.39,ENRIC RODO FERNANDEZ,0.0,MARTI SOCIATS RUSINES,1.43,ENRIC RODO FERNANDEZ,0.0,ENRIC BUJ FELIX,0.46,ENRIC BUJ FELIX,1.38,POL HAGENAERS COS,0.65,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,ALEX MATENCIO UTIEL,2.31,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,VICTOR FUENTES GUIL,0.39,VICTOR SANTERVAS GONZALEZ,0.41,HERSON MIGUEL LORENZO CRUZ,1.05,ALEX MATENCIO UTIEL,0.82,SERGI MARTIN FUENTES,1.89,JUAN MONTERRUBIO ALVAREZ,3.31,HERSON MIGUEL LORENZO CRUZ,37.68,VICTOR FUENTES GUIL,0.79,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,HERSON MIGUEL LORENZO CRUZ,6.59,ENRIC BUJ FELIX,18.85,MARTI SOCIATS RUSINES,0.0,ENRIC RODO FERNANDEZ,-0.0,VICTOR SANTERVAS GONZALEZ,83.33,PAU ROS FERNANDEZ,92.69,JAN HAGENAERS COS,-0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,MARTI SOCIATS RUSINES,0.0,HERSON MIGUEL LORENZO CRUZ,0.32,SERGI MARTIN FUENTES,1.64,JUAN MONTERRUBIO ALVAREZ,5.08,HERSON MIGUEL LORENZO CRUZ,0.36,VICTOR FUENTES GUIL,8.0
ENRIC BUJ FELIX,18.69,SERGI MARTIN FUENTES,3.64,ENRIC BUJ FELIX,1.54,SERGI MARTIN FUENTES,2.91,PAU ROS FERNANDEZ,0.38,SERGI SEGARRA RODRIGUEZ,0.0,JUAN MONTERRUBIO ALVAREZ,0.17,SERGI SEGARRA RODRIGUEZ,0.0,HERSON MIGUEL LORENZO CRUZ,0.4,MARTI SOCIATS RUSINES,0.86,ALEX MATENCIO UTIEL,0.65,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,JUAN MONTERRUBIO ALVAREZ,2.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,JUAN MONTERRUBIO ALVAREZ,0.38,HERSON MIGUEL LORENZO CRUZ,0.4,VICTOR FUENTES GUIL,0.51,ENRIC BUJ FELIX,0.69,ENRIC BUJ FELIX,1.85,POL HAGENAERS COS,3.05,VICTOR SANTERVAS GONZALEZ,32.57,HERSON MIGUEL LORENZO CRUZ,0.76,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,VICTOR SANTERVAS GONZALEZ,5.19,SERGI MARTIN FUENTES,14.14,SERGI MARTIN FUENTES,0.0,JAN HAGENAERS COS,-0.0,HERSON MIGUEL LORENZO CRUZ,80.33,ENRIC BUJ FELIX,92.19,PAU GAMUNDI HERRAIZ,-0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.0,SERGI MARTIN FUENTES,0.03,VICTOR SANTERVAS GONZALEZ,1.58,VICTOR SANTERVAS GONZALEZ,5.0,VICTOR FUENTES GUIL,0.32,JUAN MONTERRUBIO ALVAREZ,7.0
VICTOR FUENTES GUIL,17.92,ENRIC BUJ FELIX,3.54,VICTOR SANTERVAS GONZALEZ,0.75,VICTOR SANTERVAS GONZALEZ,2.5,VICTOR SANTERVAS GONZALEZ,0.3,DAVID GEA SIMON,0.0,SERGI MARTIN FUENTES,0.09,DAVID GEA SIMON,0.0,SERGI MARTIN FUENTES,0.36,HERSON MIGUEL LORENZO CRUZ,0.6,ENRIC BUJ FELIX,0.33,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,HERSON MIGUEL LORENZO CRUZ,1.2,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,HERSON MIGUEL LORENZO CRUZ,0.38,VICTOR FUENTES GUIL,0.39,VICTOR SANTERVAS GONZALEZ,0.33,HERSON MIGUEL LORENZO CRUZ,0.68,VICTOR SANTERVAS GONZALEZ,1.65,VICTOR FUENTES GUIL,2.67,ENRIC BUJ FELIX,32.35,JUAN MONTERRUBIO ALVAREZ,0.75,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,SERGI MARTIN FUENTES,4.87,VICTOR FUENTES GUIL,13.4,JAN HAGENAERS COS,0.0,PAU GAMUNDI HERRAIZ,0.0,VICTOR FUENTES GUIL,78.72,POL HAGENAERS COS,91.7,MARCOS GARCIA VICIANA,-0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JAN HAGENAERS COS,0.0,JUAN MONTERRUBIO ALVAREZ,0.03,ENRIC BUJ FELIX,1.54,VICTOR FUENTES GUIL,3.92,VICTOR SANTERVAS GONZALEZ,0.32,POL HAGENAERS COS,6.0
SERGI MARTIN FUENTES,16.09,VICTOR FUENTES GUIL,3.08,VICTOR FUENTES GUIL,0.67,MARTI SOCIATS RUSINES,1.43,MARTI SOCIATS RUSINES,0.3,ALAN MONTIEL PEREZ,0.0,POL HAGENAERS COS,0.08,ALAN MONTIEL PEREZ,0.0,VICTOR SANTERVAS GONZALEZ,0.17,VICTOR SANTERVAS GONZALEZ,0.17,SERGI MARTIN FUENTES,0.24,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,SERGI MARTIN FUENTES,1.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,ENRIC BUJ FELIX,0.3,ENRIC BUJ FELIX,0.31,ENRIC RODO FERNANDEZ,0.0,VICTOR SANTERVAS GONZALEZ,0.28,VICTOR FUENTES GUIL,1.25,MARTI SOCIATS RUSINES,2.47,VICTOR FUENTES GUIL,31.91,ENRIC BUJ FELIX,0.6,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,VICTOR FUENTES GUIL,3.92,VICTOR SANTERVAS GONZALEZ,13.08,PAU GAMUNDI HERRAIZ,0.0,ALEX MATENCIO UTIEL,-0.12,ENRIC BUJ FELIX,62.16,SERGI MARTIN FUENTES,91.66,ENRIC RODO FERNANDEZ,-0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,PAU GAMUNDI HERRAIZ,0.0,POL HAGENAERS COS,0.02,VICTOR FUENTES GUIL,1.25,SERGI MARTIN FUENTES,3.0,ENRIC BUJ FELIX,0.3,ENRIC BUJ FELIX,5.0
HERSON MIGUEL LORENZO CRUZ,15.9,MARTI SOCIATS RUSINES,1.43,MARTI SOCIATS RUSINES,0.43,VICTOR FUENTES GUIL,1.42,ENRIC BUJ FELIX,0.3,ALBERT TOMAS GIL,0.0,ENRIC BUJ FELIX,0.08,ALBERT TOMAS GIL,0.0,VICTOR FUENTES GUIL,0.0,ALBERT TOMAS GIL,0.0,VICTOR FUENTES GUIL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,VICTOR FUENTES GUIL,0.83,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,MARTI SOCIATS RUSINES,0.15,MARTI SOCIATS RUSINES,0.22,ALBERT TOMAS GIL,-0.0,ALBERT TOMAS GIL,0.0,MARTI SOCIATS RUSINES,0.73,SERGI MARTIN FUENTES,1.73,MARTI SOCIATS RUSINES,22.92,MARTI SOCIATS RUSINES,0.3,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,MARTI SOCIATS RUSINES,3.81,MARTI SOCIATS RUSINES,9.78,ALEX MATENCIO UTIEL,0.0,SERGI MARTIN FUENTES,-0.64,MARTI SOCIATS RUSINES,45.45,MARTI SOCIATS RUSINES,90.05,SERGI SEGARRA RODRIGUEZ,-0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ALEX MATENCIO UTIEL,0.0,ENRIC BUJ FELIX,0.01,MARTI SOCIATS RUSINES,0.43,MARTI SOCIATS RUSINES,2.86,MARTI SOCIATS RUSINES,0.15,HERSON MIGUEL LORENZO CRUZ,1.0
