Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
MARINA SERRA PASTELLS,26.78,KENDALL MARTIN OGBEIFUN,11.67,KENDALL MARTIN OGBEIFUN,4.0,KENDALL MARTIN OGBEIFUN,9.11,MARIA ANDREA FERREIRO MOREU,0.67,MARINA SERRA PASTELLS,0.89,THAIS MORALES LOPEZ,3.11,BERTA RIBAS BOSCH,0.5,KENDALL MARTIN OGBEIFUN,3.33,KENDALL MARTIN OGBEIFUN,4.89,MARINA SERRA PASTELLS,0.86,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,MAR CARBO CACHINERO,2.67,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,MARINA SERRA PASTELLS,0.54,MARINA SERRA PASTELLS,0.62,JULIA JUVANTENY PALOMERAS,6.0,MARINA SERRA PASTELLS,5.14,KENDALL MARTIN OGBEIFUN,5.87,KENDALL MARTIN OGBEIFUN,6.2,MARINA SERRA PASTELLS,55.46,MARINA SERRA PASTELLS,1.07,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,KENDALL MARTIN OGBEIFUN,14.3,KENDALL MARTIN OGBEIFUN,32.64,ANNA ESPIGOL AYATS,0.0,MARINA SERRA PASTELLS,1.06,MARINA SERRA PASTELLS,127.69,MAR IBERN COLLGROS,86.01,MARINA SERRA PASTELLS,46.3,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.0,MARIA ANDREA FERREIRO MOREU,0.67,KENDALL MARTIN OGBEIFUN,4.11,KENDALL MARTIN OGBEIFUN,10.11,MAR CARBO CACHINERO,0.49,MAR IBERN COLLGROS,77.0
JULIA JUVANTENY PALOMERAS,23.89,JULIA JUVANTENY PALOMERAS,11.44,JULIA JUVANTENY PALOMERAS,3.56,JULIA JUVANTENY PALOMERAS,7.22,RUT ULRICH OGANDO,0.63,THAIS MORALES LOPEZ,0.78,MARIA ANDREA FERREIRO MOREU,2.67,MARINA SERRA PASTELLS,0.47,JULIA JUVANTENY PALOMERAS,3.0,JULIA JUVANTENY PALOMERAS,3.89,JULIA JUVANTENY PALOMERAS,0.77,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MARIA ANDREA FERREIRO MOREU,2.56,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR CARBO CACHINERO,0.53,JULIA JUVANTENY PALOMERAS,0.55,MARINA SERRA PASTELLS,5.51,MAR IBERN COLLGROS,4.57,JULIA JUVANTENY PALOMERAS,5.47,MAR IBERN COLLGROS,4.93,JULIA JUVANTENY PALOMERAS,53.55,MAR CARBO CACHINERO,1.05,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,JULIA JUVANTENY PALOMERAS,11.99,BERTA RIBAS BOSCH,26.82,MAR IBERN COLLGROS,0.0,JULIA JUVANTENY PALOMERAS,0.06,MAR CARBO CACHINERO,114.29,MAR CARBO CACHINERO,85.43,JULIA JUVANTENY PALOMERAS,31.88,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,MAR IBERN COLLGROS,0.0,THAIS MORALES LOPEZ,0.53,JULIA JUVANTENY PALOMERAS,4.0,JULIA JUVANTENY PALOMERAS,8.67,RUT ULRICH OGANDO,0.46,BERTA RIBAS BOSCH,25.0
THAIS MORALES LOPEZ,22.78,BERTA RIBAS BOSCH,9.22,BERTA RIBAS BOSCH,2.89,BERTA RIBAS BOSCH,7.0,MAR CARBO CACHINERO,0.52,MAR IBERN COLLGROS,0.71,MARINA SERRA PASTELLS,1.89,MAR IBERN COLLGROS,0.38,MARINA SERRA PASTELLS,2.78,MAR IBERN COLLGROS,3.71,MAR CARBO CACHINERO,0.7,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,THAIS MORALES LOPEZ,2.22,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,JULIA JUVANTENY PALOMERAS,0.49,MAR CARBO CACHINERO,0.55,KENDALL MARTIN OGBEIFUN,5.03,JULIA JUVANTENY PALOMERAS,3.85,BERTA RIBAS BOSCH,4.53,JULIA JUVANTENY PALOMERAS,4.75,MAR CARBO CACHINERO,52.65,JULIA JUVANTENY PALOMERAS,0.97,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,10.8,MAR IBERN COLLGROS,26.1,BERTA RIBAS BOSCH,0.0,MAR CARBO CACHINERO,-0.67,JULIA JUVANTENY PALOMERAS,113.19,MARINA SERRA PASTELLS,81.39,MAR CARBO CACHINERO,28.86,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,BERTA RIBAS BOSCH,0.0,MARINA SERRA PASTELLS,0.31,BERTA RIBAS BOSCH,3.22,BERTA RIBAS BOSCH,7.67,JULIA JUVANTENY PALOMERAS,0.46,RUT ULRICH OGANDO,17.0
KENDALL MARTIN OGBEIFUN,21.11,MARINA SERRA PASTELLS,9.22,MAR CARBO CACHINERO,2.67,MAR IBERN COLLGROS,5.29,JULIA JUVANTENY PALOMERAS,0.49,MAR CARBO CACHINERO,0.5,MAR IBERN COLLGROS,1.86,MAR CARBO CACHINERO,0.38,BERTA RIBAS BOSCH,2.44,BERTA RIBAS BOSCH,3.67,KENDALL MARTIN OGBEIFUN,0.68,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,JULIA JUVANTENY PALOMERAS,1.56,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.46,BERTA RIBAS BOSCH,0.5,BERTA RIBAS BOSCH,4.3,KENDALL MARTIN OGBEIFUN,3.66,MARINA SERRA PASTELLS,4.04,BERTA RIBAS BOSCH,4.61,BERTA RIBAS BOSCH,49.55,RUT ULRICH OGANDO,0.92,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,MAR IBERN COLLGROS,10.36,JULIA JUVANTENY PALOMERAS,24.41,RUT ULRICH OGANDO,0.0,BERTA RIBAS BOSCH,-0.72,BERTA RIBAS BOSCH,102.47,BERTA RIBAS BOSCH,81.37,BERTA RIBAS BOSCH,21.1,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.0,RUT ULRICH OGANDO,0.27,MAR CARBO CACHINERO,3.17,MAR IBERN COLLGROS,7.14,MARINA SERRA PASTELLS,0.46,THAIS MORALES LOPEZ,15.0
BERTA RIBAS BOSCH,19.44,MAR CARBO CACHINERO,8.0,RUT ULRICH OGANDO,1.89,MAR CARBO CACHINERO,5.17,MARINA SERRA PASTELLS,0.46,JULIA JUVANTENY PALOMERAS,0.44,JULIA JUVANTENY PALOMERAS,1.44,JULIA JUVANTENY PALOMERAS,0.31,MAR IBERN COLLGROS,2.29,MARINA SERRA PASTELLS,3.22,BERTA RIBAS BOSCH,0.67,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,KENDALL MARTIN OGBEIFUN,1.44,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,BERTA RIBAS BOSCH,0.44,RUT ULRICH OGANDO,0.48,MAR CARBO CACHINERO,3.45,BERTA RIBAS BOSCH,3.54,MAR CARBO CACHINERO,3.77,THAIS MORALES LOPEZ,4.2,RUT ULRICH OGANDO,49.13,BERTA RIBAS BOSCH,0.88,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,MARINA SERRA PASTELLS,8.76,MAR CARBO CACHINERO,24.33,THAIS MORALES LOPEZ,0.0,RUT ULRICH OGANDO,-0.89,RUT ULRICH OGANDO,100.0,ANNA ESPIGOL AYATS,81.32,RUT ULRICH OGANDO,18.72,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,THAIS MORALES LOPEZ,0.0,MAR IBERN COLLGROS,0.26,MARINA SERRA PASTELLS,2.78,MAR CARBO CACHINERO,6.5,BERTA RIBAS BOSCH,0.42,JULIA JUVANTENY PALOMERAS,14.0
MAR IBERN COLLGROS,19.0,MAR IBERN COLLGROS,7.86,MARINA SERRA PASTELLS,1.89,MARINA SERRA PASTELLS,4.11,KENDALL MARTIN OGBEIFUN,0.44,MARIA ANDREA FERREIRO MOREU,0.44,MAR CARBO CACHINERO,1.33,THAIS MORALES LOPEZ,0.25,MAR CARBO CACHINERO,1.17,MAR CARBO CACHINERO,1.67,MARIA MASSEGUR LLOVERAS,0.67,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,RUT ULRICH OGANDO,1.33,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,KENDALL MARTIN OGBEIFUN,0.41,KENDALL MARTIN OGBEIFUN,0.48,MAR IBERN COLLGROS,2.8,MAR CARBO CACHINERO,2.99,MAR IBERN COLLGROS,3.69,MAR CARBO CACHINERO,3.39,KENDALL MARTIN OGBEIFUN,48.64,KENDALL MARTIN OGBEIFUN,0.82,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,MAR CARBO CACHINERO,7.97,THAIS MORALES LOPEZ,16.1,JULIA JUVANTENY PALOMERAS,0.0,MARIA MASSEGUR LLOVERAS,-1.12,KENDALL MARTIN OGBEIFUN,98.13,JULIA JUVANTENY PALOMERAS,81.31,KENDALL MARTIN OGBEIFUN,16.83,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,JULIA JUVANTENY PALOMERAS,0.0,MARIA MASSEGUR LLOVERAS,0.23,MAR IBERN COLLGROS,2.43,MARINA SERRA PASTELLS,6.0,KENDALL MARTIN OGBEIFUN,0.41,MARIA MASSEGUR LLOVERAS,11.0
RUT ULRICH OGANDO,18.22,THAIS MORALES LOPEZ,5.22,MAR IBERN COLLGROS,1.71,RUT ULRICH OGANDO,3.0,BERTA RIBAS BOSCH,0.41,BERTA RIBAS BOSCH,0.33,RUT ULRICH OGANDO,1.11,MARIA ANDREA FERREIRO MOREU,0.17,THAIS MORALES LOPEZ,0.89,THAIS MORALES LOPEZ,1.44,MAR IBERN COLLGROS,0.62,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MAR IBERN COLLGROS,1.14,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MAR IBERN COLLGROS,0.39,MAR IBERN COLLGROS,0.45,RUT ULRICH OGANDO,1.54,MARIA MASSEGUR LLOVERAS,1.92,THAIS MORALES LOPEZ,2.27,MARINA SERRA PASTELLS,3.25,MAR IBERN COLLGROS,42.82,MAR IBERN COLLGROS,0.78,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,THAIS MORALES LOPEZ,7.13,MARINA SERRA PASTELLS,15.57,MARIA MASSEGUR LLOVERAS,0.0,KENDALL MARTIN OGBEIFUN,-1.61,MAR IBERN COLLGROS,93.22,KENDALL MARTIN OGBEIFUN,81.3,MAR IBERN COLLGROS,7.21,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MARIA MASSEGUR LLOVERAS,0.0,MAR CARBO CACHINERO,0.21,RUT ULRICH OGANDO,1.89,THAIS MORALES LOPEZ,5.89,MAR IBERN COLLGROS,0.34,KENDALL MARTIN OGBEIFUN,10.0
MARIA ANDREA FERREIRO MOREU,17.89,RUT ULRICH OGANDO,4.33,THAIS MORALES LOPEZ,1.0,ANNA ESPIGOL AYATS,2.89,THAIS MORALES LOPEZ,0.36,KENDALL MARTIN OGBEIFUN,0.11,KENDALL MARTIN OGBEIFUN,1.0,KENDALL MARTIN OGBEIFUN,0.11,RUT ULRICH OGANDO,0.56,ANNA ESPIGOL AYATS,0.89,RUT ULRICH OGANDO,0.62,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,ANNA ESPIGOL AYATS,1.11,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,MARIA ANDREA FERREIRO MOREU,0.39,THAIS MORALES LOPEZ,0.4,THAIS MORALES LOPEZ,0.7,ANNA ESPIGOL AYATS,1.71,RUT ULRICH OGANDO,2.19,MARIA ANDREA FERREIRO MOREU,2.73,MARIA ANDREA FERREIRO MOREU,35.94,MARIA ANDREA FERREIRO MOREU,0.78,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,RUT ULRICH OGANDO,4.87,MARIA MASSEGUR LLOVERAS,14.64,KENDALL MARTIN OGBEIFUN,0.0,ANNA ESPIGOL AYATS,-1.67,MARIA ANDREA FERREIRO MOREU,83.78,RUT ULRICH OGANDO,81.28,MARIA ANDREA FERREIRO MOREU,2.74,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,KENDALL MARTIN OGBEIFUN,0.0,JULIA JUVANTENY PALOMERAS,0.17,THAIS MORALES LOPEZ,1.78,RUT ULRICH OGANDO,4.11,MARIA ANDREA FERREIRO MOREU,0.33,MARIA ANDREA FERREIRO MOREU,8.0
ANNA ESPIGOL AYATS,17.78,MARIA ANDREA FERREIRO MOREU,3.44,ANNA ESPIGOL AYATS,0.89,THAIS MORALES LOPEZ,2.78,MAR IBERN COLLGROS,0.32,ANNA ESPIGOL AYATS,0.0,BERTA RIBAS BOSCH,0.67,ANNA ESPIGOL AYATS,0.0,ANNA ESPIGOL AYATS,0.44,RUT ULRICH OGANDO,0.89,THAIS MORALES LOPEZ,0.62,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARINA SERRA PASTELLS,1.11,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,THAIS MORALES LOPEZ,0.37,MARIA ANDREA FERREIRO MOREU,0.4,MARIA ANDREA FERREIRO MOREU,0.02,THAIS MORALES LOPEZ,1.68,MARIA ANDREA FERREIRO MOREU,1.53,RUT ULRICH OGANDO,2.27,ANNA ESPIGOL AYATS,35.62,THAIS MORALES LOPEZ,0.74,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,4.57,RUT ULRICH OGANDO,13.88,MARIA ANDREA FERREIRO MOREU,0.0,MAR IBERN COLLGROS,-1.71,THAIS MORALES LOPEZ,82.46,THAIS MORALES LOPEZ,81.2,THAIS MORALES LOPEZ,1.26,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,MARIA ANDREA FERREIRO MOREU,0.0,KENDALL MARTIN OGBEIFUN,0.1,MARIA ANDREA FERREIRO MOREU,1.33,MARIA ANDREA FERREIRO MOREU,4.0,ANNA ESPIGOL AYATS,0.31,MARINA SERRA PASTELLS,7.0
MAR CARBO CACHINERO,16.83,ANNA ESPIGOL AYATS,2.22,MARIA ANDREA FERREIRO MOREU,0.89,MARIA ANDREA FERREIRO MOREU,1.33,ANNA ESPIGOL AYATS,0.31,RUT ULRICH OGANDO,0.0,MARIA MASSEGUR LLOVERAS,0.38,RUT ULRICH OGANDO,0.0,MARIA ANDREA FERREIRO MOREU,0.33,MARIA ANDREA FERREIRO MOREU,0.67,ANNA ESPIGOL AYATS,0.5,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,BERTA RIBAS BOSCH,0.89,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,ANNA ESPIGOL AYATS,0.31,ANNA ESPIGOL AYATS,0.34,ANNA ESPIGOL AYATS,-0.07,RUT ULRICH OGANDO,1.5,ANNA ESPIGOL AYATS,1.16,ANNA ESPIGOL AYATS,2.09,THAIS MORALES LOPEZ,35.1,ANNA ESPIGOL AYATS,0.62,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,ANNA ESPIGOL AYATS,3.65,MARIA ANDREA FERREIRO MOREU,13.49,MARINA SERRA PASTELLS,0.0,MARIA ANDREA FERREIRO MOREU,-2.17,ANNA ESPIGOL AYATS,71.43,MARIA ANDREA FERREIRO MOREU,81.04,ANNA ESPIGOL AYATS,-9.89,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,MARINA SERRA PASTELLS,0.0,BERTA RIBAS BOSCH,0.09,ANNA ESPIGOL AYATS,0.89,ANNA ESPIGOL AYATS,2.89,THAIS MORALES LOPEZ,0.3,MAR CARBO CACHINERO,5.0
