Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
MARC PALAU GASCON,29.53,MARC PALAU GASCON,14.33,MARC PALAU GASCON,5.07,MARC PALAU GASCON,8.13,ALBERT MARTIN PUJOL,0.65,POL RIGAT FULCARA,1.93,POL RIGAT FULCARA,5.67,JOS IGNACIO SILVA VUELTA,0.43,POL RIGAT FULCARA,2.8,MARC PALAU GASCON,4.33,POL RIGAT FULCARA,0.79,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,JOS IGNACIO SILVA VUELTA,3.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,ALBERT MARTIN PUJOL,0.53,MARC PALAU GASCON,0.56,MARC PALAU GASCON,7.38,ANTONI AGUILERA RIUS,2.79,MARC PALAU GASCON,7.06,POL RIGAT FULCARA,6.13,MARC PALAU GASCON,55.41,ALBERT MARTIN PUJOL,1.07,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARC PALAU GASCON,15.84,POL RIGAT FULCARA,31.48,MARAL BOU TANY,0.0,MARC PALAU GASCON,0.17,ALEX OLIVE MARTINEZ,113.82,BERNAT TRAVERIA SOLA,102.03,ALEX OLIVE MARTINEZ,12.95,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,MARAL BOU TANY,0.0,VICTOR SABARTES CORRAL,0.79,MARC PALAU GASCON,5.6,MARC PALAU GASCON,11.0,MARC PALAU GASCON,0.51,DANIEL PINES MORENTE,23.0
POL RIGAT FULCARA,21.4,POL RIGAT FULCARA,12.47,POL RIGAT FULCARA,1.93,POL RIGAT FULCARA,4.27,MARC PALAU GASCON,0.62,ALEX OLIVE MARTINEZ,1.4,ALEX OLIVE MARTINEZ,4.13,DANIEL PINES MORENTE,0.38,MARC PALAU GASCON,2.6,ALEX OLIVE MARTINEZ,3.6,VICTOR SABARTES CORRAL,0.75,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ALBERT MARTIN PUJOL,2.87,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,MARC PALAU GASCON,0.53,ALEX OLIVE MARTINEZ,0.55,POL RIGAT FULCARA,5.94,ALEX OLIVE MARTINEZ,2.27,POL RIGAT FULCARA,5.22,MARC PALAU GASCON,5.68,ANTONI AGUILERA RIUS,50.08,MARC PALAU GASCON,1.07,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,POL RIGAT FULCARA,13.88,MARC PALAU GASCON,25.63,ORIOL MUOZ PEREZ,0.0,MARAL BOU TANY,0.0,MARC PALAU GASCON,113.16,ANTONI AGUILERA RIUS,101.92,MARC PALAU GASCON,12.25,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,ORIOL MUOZ PEREZ,0.0,DANIEL PINES MORENTE,0.6,POL RIGAT FULCARA,3.87,POL RIGAT FULCARA,9.93,ALBERT MARTIN PUJOL,0.47,MART DOMNGUEZ COLOMINAS,22.0
IGNASI JUNI GARCIA,21.27,ALEX OLIVE MARTINEZ,9.33,ALBERT MARTIN PUJOL,1.87,JOS IGNACIO SILVA VUELTA,3.2,IGNASI JUNI GARCIA,0.53,DANIEL PINES MORENTE,1.0,ALBERT MARTIN PUJOL,2.87,MART DOMNGUEZ COLOMINAS,0.37,ALEX OLIVE MARTINEZ,2.33,POL RIGAT FULCARA,3.53,JOS IGNACIO SILVA VUELTA,0.7,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,ANTONI AGUILERA RIUS,2.64,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,ALEX OLIVE MARTINEZ,0.51,ALBERT MARTIN PUJOL,0.54,ALEX OLIVE MARTINEZ,4.53,POL RIGAT FULCARA,1.88,ALEX OLIVE MARTINEZ,4.06,ALEX OLIVE MARTINEZ,4.24,ALEX OLIVE MARTINEZ,48.9,ALEX OLIVE MARTINEZ,1.02,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,ALEX OLIVE MARTINEZ,10.89,ALEX OLIVE MARTINEZ,23.98,BERNAT TRAVERIA SOLA,0.0,ORIOL MUOZ PEREZ,-0.0,POL RIGAT FULCARA,110.65,MARC PALAU GASCON,100.91,POL RIGAT FULCARA,9.92,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,BERNAT TRAVERIA SOLA,0.0,ALEX OLIVE MARTINEZ,0.6,ALEX OLIVE MARTINEZ,2.8,ALEX OLIVE MARTINEZ,6.87,JOS IGNACIO SILVA VUELTA,0.45,BERNAT TRAVERIA SOLA,15.0
ALBERT MARTIN PUJOL,20.93,ALBERT MARTIN PUJOL,6.67,IGNASI JUNI GARCIA,1.67,IGNASI JUNI GARCIA,3.13,ALEX OLIVE MARTINEZ,0.51,ALBERT MARTIN PUJOL,0.8,IGNASI JUNI GARCIA,2.87,POL RIGAT FULCARA,0.34,IGNASI JUNI GARCIA,1.47,IGNASI JUNI GARCIA,2.13,IGNASI JUNI GARCIA,0.69,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,MART DOMNGUEZ COLOMINAS,2.27,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,DANIEL PINES MORENTE,0.49,POL RIGAT FULCARA,0.54,ALBERT MARTIN PUJOL,2.39,IGNASI JUNI GARCIA,1.63,ALBERT MARTIN PUJOL,2.98,IGNASI JUNI GARCIA,3.95,ALBERT MARTIN PUJOL,48.58,DANIEL PINES MORENTE,0.97,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,IGNASI JUNI GARCIA,8.38,DANIEL PINES MORENTE,21.07,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ALBERT MARTIN PUJOL,109.89,ALEX OLIVE MARTINEZ,100.87,ALBERT MARTIN PUJOL,9.41,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,ANDREU MONZONIS CABELLO,0.0,POL RIGAT FULCARA,0.57,ALBERT MARTIN PUJOL,2.67,IGNASI JUNI GARCIA,6.0,ANTONI AGUILERA RIUS,0.41,JOS IGNACIO SILVA VUELTA,11.0
ALEX OLIVE MARTINEZ,20.67,IGNASI JUNI GARCIA,6.2,JOS IGNACIO SILVA VUELTA,1.47,ANTONI AGUILERA RIUS,2.93,BERNAT TRAVERIA SOLA,0.48,MARC PALAU GASCON,0.53,MARC PALAU GASCON,2.87,ALEX OLIVE MARTINEZ,0.34,ANTONI AGUILERA RIUS,1.14,ANTONI AGUILERA RIUS,2.0,BERNAT TRAVERIA SOLA,0.67,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,POL RIGAT FULCARA,2.07,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,POL RIGAT FULCARA,0.49,JOS IGNACIO SILVA VUELTA,0.51,IGNASI JUNI GARCIA,1.84,MARC PALAU GASCON,1.58,IGNASI JUNI GARCIA,2.9,ALBERT MARTIN PUJOL,3.15,JOS IGNACIO SILVA VUELTA,48.54,POL RIGAT FULCARA,0.97,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,ALBERT MARTIN PUJOL,6.85,BERNAT TRAVERIA SOLA,19.5,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,-0.0,JOS IGNACIO SILVA VUELTA,103.45,DANIEL PINES MORENTE,100.84,JOS IGNACIO SILVA VUELTA,3.13,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,MARAL MUOZ SALAT,0.0,ALBERT MARTIN PUJOL,0.5,IGNASI JUNI GARCIA,2.13,ALBERT MARTIN PUJOL,5.73,ALEX OLIVE MARTINEZ,0.41,ALBERT MARTIN PUJOL,10.0
JOS IGNACIO SILVA VUELTA,18.47,DANIEL PINES MORENTE,4.75,ALEX OLIVE MARTINEZ,1.4,ALBERT MARTIN PUJOL,2.87,JOS IGNACIO SILVA VUELTA,0.46,BERNAT TRAVERIA SOLA,0.5,DANIEL PINES MORENTE,2.62,ALBERT MARTIN PUJOL,0.28,MART DOMNGUEZ COLOMINAS,0.53,ALBERT MARTIN PUJOL,1.0,DANIEL PINES MORENTE,0.67,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,MARC PALAU GASCON,2.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,JOS IGNACIO SILVA VUELTA,0.48,DANIEL PINES MORENTE,0.5,DANIEL PINES MORENTE,1.64,DANIEL PINES MORENTE,1.43,JOS IGNACIO SILVA VUELTA,1.91,DANIEL PINES MORENTE,2.78,POL RIGAT FULCARA,46.0,JOS IGNACIO SILVA VUELTA,0.96,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,5.22,IGNASI JUNI GARCIA,19.13,DANIEL PINES MORENTE,0.0,ALEX OLIVE MARTINEZ,-0.1,DANIEL PINES MORENTE,102.7,IGNASI JUNI GARCIA,100.78,DANIEL PINES MORENTE,1.86,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,DANIEL PINES MORENTE,0.0,IGNASI JUNI GARCIA,0.48,JOS IGNACIO SILVA VUELTA,1.67,DANIEL PINES MORENTE,4.38,POL RIGAT FULCARA,0.39,IGNASI JUNI GARCIA,7.0
MART DOMNGUEZ COLOMINAS,16.53,BERNAT TRAVERIA SOLA,4.1,ANTONI AGUILERA RIUS,1.21,ALEX OLIVE MARTINEZ,2.73,POL RIGAT FULCARA,0.45,VICTOR SABARTES CORRAL,0.5,VICTOR SABARTES CORRAL,2.14,BERNAT TRAVERIA SOLA,0.26,ALBERT MARTIN PUJOL,0.53,MART DOMNGUEZ COLOMINAS,0.93,ALEX OLIVE MARTINEZ,0.65,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,IGNASI JUNI GARCIA,1.87,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,BERNAT TRAVERIA SOLA,0.44,ANTONI AGUILERA RIUS,0.47,BERNAT TRAVERIA SOLA,1.32,MART DOMNGUEZ COLOMINAS,1.13,DANIEL PINES MORENTE,1.89,BERNAT TRAVERIA SOLA,2.63,IGNASI JUNI GARCIA,42.36,BERNAT TRAVERIA SOLA,0.88,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,ANTONI AGUILERA RIUS,5.2,ALBERT MARTIN PUJOL,17.29,MART DOMNGUEZ COLOMINAS,0.0,POL RIGAT FULCARA,-0.27,ANTONI AGUILERA RIUS,96.15,POL RIGAT FULCARA,100.73,MARAL BOU TANY,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,MART DOMNGUEZ COLOMINAS,0.0,BERNAT TRAVERIA SOLA,0.45,DANIEL PINES MORENTE,1.62,BERNAT TRAVERIA SOLA,4.2,BERNAT TRAVERIA SOLA,0.38,MARC PALAU GASCON,6.0
ANTONI AGUILERA RIUS,15.71,JOS IGNACIO SILVA VUELTA,4.0,BERNAT TRAVERIA SOLA,1.1,BERNAT TRAVERIA SOLA,2.3,ANTONI AGUILERA RIUS,0.41,MART DOMNGUEZ COLOMINAS,0.47,BERNAT TRAVERIA SOLA,1.9,VICTOR SABARTES CORRAL,0.23,DANIEL PINES MORENTE,0.5,DANIEL PINES MORENTE,0.75,MARC PALAU GASCON,0.6,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,VICTOR SABARTES CORRAL,1.71,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,ANTONI AGUILERA RIUS,0.41,BERNAT TRAVERIA SOLA,0.46,JOS IGNACIO SILVA VUELTA,0.82,BERNAT TRAVERIA SOLA,0.95,ANTONI AGUILERA RIUS,1.87,MART DOMNGUEZ COLOMINAS,2.27,BERNAT TRAVERIA SOLA,40.84,ANTONI AGUILERA RIUS,0.83,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,BERNAT TRAVERIA SOLA,4.88,ANTONI AGUILERA RIUS,14.4,JOS IGNACIO SILVA VUELTA,0.0,DANIEL PINES MORENTE,-0.75,BERNAT TRAVERIA SOLA,93.18,MART DOMNGUEZ COLOMINAS,100.48,ORIOL MUOZ PEREZ,-0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,JOS IGNACIO SILVA VUELTA,0.0,MART DOMNGUEZ COLOMINAS,0.4,BERNAT TRAVERIA SOLA,1.6,JOS IGNACIO SILVA VUELTA,3.67,DANIEL PINES MORENTE,0.37,ANTONI AGUILERA RIUS,5.0
VICTOR SABARTES CORRAL,15.71,ANTONI AGUILERA RIUS,3.57,DANIEL PINES MORENTE,0.62,MART DOMNGUEZ COLOMINAS,1.87,VICTOR SABARTES CORRAL,0.38,IGNASI JUNI GARCIA,0.47,MART DOMNGUEZ COLOMINAS,1.27,MARC PALAU GASCON,0.19,JOS IGNACIO SILVA VUELTA,0.47,JOS IGNACIO SILVA VUELTA,0.67,MART DOMNGUEZ COLOMINAS,0.57,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALEX OLIVE MARTINEZ,1.53,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,IGNASI JUNI GARCIA,0.39,IGNASI JUNI GARCIA,0.45,ANTONI AGUILERA RIUS,0.61,JOS IGNACIO SILVA VUELTA,0.85,BERNAT TRAVERIA SOLA,1.81,JOS IGNACIO SILVA VUELTA,2.02,DANIEL PINES MORENTE,40.46,IGNASI JUNI GARCIA,0.79,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,JOS IGNACIO SILVA VUELTA,4.41,JOS IGNACIO SILVA VUELTA,12.58,ALBERT MARTIN PUJOL,0.0,BERNAT TRAVERIA SOLA,-0.9,IGNASI JUNI GARCIA,91.18,ALBERT MARTIN PUJOL,100.48,ANDREU MONZONIS CABELLO,-0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,ALBERT MARTIN PUJOL,0.0,MARC PALAU GASCON,0.26,ANTONI AGUILERA RIUS,1.21,MART DOMNGUEZ COLOMINAS,3.13,IGNASI JUNI GARCIA,0.36,VICTOR SABARTES CORRAL,3.0
BERNAT TRAVERIA SOLA,13.7,MART DOMNGUEZ COLOMINAS,2.87,MART DOMNGUEZ COLOMINAS,0.47,DANIEL PINES MORENTE,1.75,DANIEL PINES MORENTE,0.36,JOS IGNACIO SILVA VUELTA,0.2,JOS IGNACIO SILVA VUELTA,0.47,IGNASI JUNI GARCIA,0.16,BERNAT TRAVERIA SOLA,0.4,BERNAT TRAVERIA SOLA,0.6,ANTONI AGUILERA RIUS,0.57,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,DANIEL PINES MORENTE,1.5,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,MART DOMNGUEZ COLOMINAS,0.37,MART DOMNGUEZ COLOMINAS,0.4,MARAL BOU TANY,0.0,ALBERT MARTIN PUJOL,0.62,MART DOMNGUEZ COLOMINAS,1.24,VICTOR SABARTES CORRAL,2.01,MART DOMNGUEZ COLOMINAS,35.31,MART DOMNGUEZ COLOMINAS,0.74,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,MART DOMNGUEZ COLOMINAS,4.18,MART DOMNGUEZ COLOMINAS,12.57,IGNASI JUNI GARCIA,0.0,ALBERT MARTIN PUJOL,-1.0,MART DOMNGUEZ COLOMINAS,82.69,JOS IGNACIO SILVA VUELTA,100.32,MARAL MUOZ SALAT,-0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,IGNASI JUNI GARCIA,0.0,JOS IGNACIO SILVA VUELTA,0.13,MART DOMNGUEZ COLOMINAS,0.93,ANTONI AGUILERA RIUS,2.93,MART DOMNGUEZ COLOMINAS,0.3,POL RIGAT FULCARA,2.0
