Minuts (jugador),Minuts (valor),Punts (jugador),Punts (valor),T2 Anot (jugador),T2 Anot (valor),T2 Fets (jugador),T2 Fets (valor),% T2 (jugador),% T2 (valor),T3 Anot (jugador),T3 Anot (valor),T3 Fets (jugador),T3 Fets (valor),% T3 (jugador),% T3 (valor),T1 Anot (jugador),T1 Anot (valor),T1 Fets (jugador),T1 Fets (valor),% T1 (jugador),% T1 (valor),Reb. Ofensius (jugador),Reb. Ofensius (valor),Reb. Defensius (jugador),Reb. Defensius (valor),Rebots (jugador),Rebots (valor),Asistencies (jugador),Asistencies (valor),Recuperades (jugador),Recuperades (valor),Perdues (jugador),Perdues (valor),Taps (jugador),Taps (valor),Taps Rebuts (jugador),Taps Rebuts (valor),Mates (jugador),Mates (valor),Faltes Comeses (jugador),Faltes Comeses (valor),Faltas Rebudes (jugador),Faltas Rebudes (valor),Val (jugador),Val (valor),% Asist (jugador),% Asist (valor),% Tir Efectiu (jugador),% Tiro Efectiu (valor),% Tir Verdader (jugador),% Tir Verdader (valor),GScore (jugador),GScore (valor),TLR% (jugador),TLR% (valor),Possesions Anotades (jugador),Possesiones Anotades (valor),Possesions No Anotades (jugador),Possesions No Anotades (valor),Floor Percentage (jugador),Floor Percentage (valor),Punts per Tir (jugador),Punts per Tir (valor),% Rebots (jugador),% Rebots (valor),% Rebots Def (jugador),% Rebots Def (valor),% Rebots Of (jugador),% Rebots Of (valor),% Recuperacions (jugador),% Recuperacions (valor),Tocs (jugador),Tocs (valor),Us (jugador),Us (valor),Versatilitat (jugador),Versatilitat (valor),Win Scores (jugador),Win Scores (valor),Eficiencia Ofensiva (jugador),Eficiencia Ofensiva (valor),Eficiencia Defensiva (jugador),Eficiencia Defensiva (valor),Diferencia Eficiencia (jugador),Diferencia Eficiencia (valor),Perdues Mal Pase (Jugador),Perdues Mal Pase (Valor),Perdues Pilota Controlada (jugador),Perdues Pilota Controlada (valor),Altres Perdues (jugador),Altres Perdues (valor),Faltes de Tir (jugador),Faltas de Tir (valor),Faltes No de Tir (jugador),Faltes No de Tir (valor),Tecn (jugador),Tecn (valor),Antieportives (jugador),Antieportives (valor),Faltes Ofensives (jugador),Faltes Ofensives (valor),Reb. Of 2p (jugador),Reb. Of 2p (valor),Reb. Of 3p (jugador),Reb. Of 3p (valor),% Reb. Of 2p (jugador),% Reb. Of 2p (valor),% Reb. Of 3p (jugador),% Reb. Of 3p (valor),UsT3 (jugador),UsT3 (valor),TC Anot (jugador),TC Anot (valor),TC Fets (jugador),TC Fets (valor),%TC (jugador),%TC (valor),Num (jugador),Num (valor)
IGNASI PALLARES ARUMI,24.45,IGNASI PALLARES ARUMI,13.64,IGNASI PALLARES ARUMI,5.18,IGNASI PALLARES ARUMI,10.09,IGNASI PALLARES ARUMI,0.51,ENRIC MANZANO ALBADALEJO,1.17,PERE VIETA CUBI,3.58,IGNASI PALLARES ARUMI,0.36,ALEX RIERA PERETO,2.58,ALEX RIERA PERETO,4.25,ORIOL AGUILERA TRIAY,0.77,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,GUILLEM PRAT SERRA,4.09,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,IGNASI PALLARES ARUMI,0.52,IGNASI PALLARES ARUMI,0.55,IGNASI PALLARES ARUMI,6.75,ORIOL AGUILERA TRIAY,3.43,IGNASI PALLARES ARUMI,6.66,ALEX RIERA PERETO,6.34,IGNASI PALLARES ARUMI,54.16,IGNASI PALLARES ARUMI,1.03,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ALEX RIERA PERETO,14.43,ALEX RIERA PERETO,30.31,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,IGNASI PALLARES ARUMI,111.94,ORIOL AGUILERA TRIAY,93.79,IGNASI PALLARES ARUMI,23.6,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,ARNAU NAVAS CARNERERO,0.0,PERE VIETA CUBI,0.83,IGNASI PALLARES ARUMI,5.55,IGNASI PALLARES ARUMI,11.09,IGNASI PALLARES ARUMI,0.5,PERE VIETA CUBI,24.0
ORIOL AGUILERA TRIAY,22.67,ALEX RIERA PERETO,11.83,ALEX RIERA PERETO,3.25,ALEX RIERA PERETO,7.17,MARAL AZCONA BLAZQUEZ,0.48,ALEX RIERA PERETO,0.92,ENRIC MANZANO ALBADALEJO,3.25,ENRIC MANZANO ALBADALEJO,0.36,ENRIC MANZANO ALBADALEJO,2.33,ENRIC MANZANO ALBADALEJO,3.58,IGNASI PALLARES ARUMI,0.73,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,MARAL AZCONA BLAZQUEZ,3.42,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ENRIC MANZANO ALBADALEJO,0.48,ENRIC MANZANO ALBADALEJO,0.53,ALEX RIERA PERETO,5.02,MARAL AZCONA BLAZQUEZ,2.54,ALEX RIERA PERETO,5.61,IGNASI PALLARES ARUMI,5.63,MARAL AZCONA BLAZQUEZ,51.36,ENRIC MANZANO ALBADALEJO,0.97,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,IGNASI PALLARES ARUMI,14.02,IGNASI PALLARES ARUMI,25.92,ERIC ARUMI COLOM,0.0,ZAK SERRAT BISHOP,-0.0,ENRIC MANZANO ALBADALEJO,107.14,DAVY ALEXANDRE ADJEI COFFIE,91.55,ENRIC MANZANO ALBADALEJO,17.04,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ERIC ARUMI COLOM,0.0,ENRIC MANZANO ALBADALEJO,0.41,ALEX RIERA PERETO,4.17,ALEX RIERA PERETO,10.25,MARAL AZCONA BLAZQUEZ,0.48,GUILLEM PRAT SERRA,22.0
GUILLEM PRAT SERRA,22.45,ENRIC MANZANO ALBADALEJO,10.0,GUILLEM PRAT SERRA,2.18,GUILLEM PRAT SERRA,4.91,ALEX RIERA PERETO,0.45,ORIOL AGUILERA TRIAY,0.44,ALEX RIERA PERETO,3.08,ALEX RIERA PERETO,0.3,IGNASI PALLARES ARUMI,2.18,IGNASI PALLARES ARUMI,3.0,ENRIC MANZANO ALBADALEJO,0.65,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,PERE VIETA CUBI,2.58,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,MARAL AZCONA BLAZQUEZ,0.48,ALEX RIERA PERETO,0.49,ENRIC MANZANO ALBADALEJO,4.56,ENRIC MANZANO ALBADALEJO,2.46,ENRIC MANZANO ALBADALEJO,4.51,ENRIC MANZANO ALBADALEJO,4.84,GUILLEM PRAT SERRA,48.53,MARAL AZCONA BLAZQUEZ,0.96,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ENRIC MANZANO ALBADALEJO,11.44,ENRIC MANZANO ALBADALEJO,24.13,ORIOL AGUILERA TRIAY,0.0,DAVY COFFIE,-0.0,MARAL AZCONA BLAZQUEZ,100.0,ALEX RIERA PERETO,90.17,MARAL AZCONA BLAZQUEZ,11.07,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.0,ORIOL AGUILERA TRIAY,0.4,ENRIC MANZANO ALBADALEJO,3.25,ENRIC MANZANO ALBADALEJO,7.92,GUILLEM PRAT SERRA,0.43,DAVY ALEXANDRE ADJEI COFFIE,18.0
ALEX RIERA PERETO,20.67,ORIOL AGUILERA TRIAY,6.11,DAVY ALEXANDRE ADJEI COFFIE,2.11,DAVY ALEXANDRE ADJEI COFFIE,4.89,ENRIC MANZANO ALBADALEJO,0.45,IGNASI PALLARES ARUMI,0.36,ORIOL AGUILERA TRIAY,2.44,ORIOL AGUILERA TRIAY,0.18,ORIOL AGUILERA TRIAY,1.89,GUILLEM PRAT SERRA,2.73,ALEX RIERA PERETO,0.61,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,IGNASI PALLARES ARUMI,2.55,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.45,MARAL AZCONA BLAZQUEZ,0.47,ORIOL AGUILERA TRIAY,1.7,GUILLEM PRAT SERRA,2.44,GUILLEM PRAT SERRA,3.0,ORIOL AGUILERA TRIAY,4.27,ENRIC MANZANO ALBADALEJO,48.22,ALEX RIERA PERETO,0.9,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ORIOL AGUILERA TRIAY,8.57,DAVY ALEXANDRE ADJEI COFFIE,20.89,ALEX RIERA PERETO,0.0,ERIC ARUMI COLOM,0.0,ALEX RIERA PERETO,99.3,GUILLEM PRAT SERRA,90.11,ALEX RIERA PERETO,9.14,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.0,ALEX RIERA PERETO,0.3,DAVY ALEXANDRE ADJEI COFFIE,2.22,DAVY ALEXANDRE ADJEI COFFIE,6.22,ALEX RIERA PERETO,0.41,GERARD PARE BUSQUETS,15.0
GERARD PARE BUSQUETS,20.67,DAVY ALEXANDRE ADJEI COFFIE,5.78,ENRIC MANZANO ALBADALEJO,2.08,ENRIC MANZANO ALBADALEJO,4.67,GUILLEM PRAT SERRA,0.44,PERE VIETA CUBI,0.33,DAVY ALEXANDRE ADJEI COFFIE,1.33,PERE VIETA CUBI,0.09,GUILLEM PRAT SERRA,1.36,ORIOL AGUILERA TRIAY,2.44,DAVY ALEXANDRE ADJEI COFFIE,0.58,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,GERARD PARE BUSQUETS,2.25,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,GUILLEM PRAT SERRA,0.43,GUILLEM PRAT SERRA,0.46,DAVY ALEXANDRE ADJEI COFFIE,1.24,DAVY ALEXANDRE ADJEI COFFIE,2.18,DAVY ALEXANDRE ADJEI COFFIE,2.92,DAVY ALEXANDRE ADJEI COFFIE,4.15,ALEX RIERA PERETO,46.91,GUILLEM PRAT SERRA,0.86,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,DAVY ALEXANDRE ADJEI COFFIE,8.42,ORIOL AGUILERA TRIAY,16.62,ENRIC MANZANO ALBADALEJO,0.0,MARC GARCIA IBAEZ,-0.0,GUILLEM PRAT SERRA,92.65,ENRIC MANZANO ALBADALEJO,90.1,GUILLEM PRAT SERRA,2.54,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,ENRIC MANZANO ALBADALEJO,0.0,DAVY ALEXANDRE ADJEI COFFIE,0.21,GUILLEM PRAT SERRA,2.18,ORIOL AGUILERA TRIAY,6.11,ENRIC MANZANO ALBADALEJO,0.41,MARAL AZCONA BLAZQUEZ,13.0
ENRIC MANZANO ALBADALEJO,20.33,GUILLEM PRAT SERRA,5.73,GERARD PARE BUSQUETS,1.67,GERARD PARE BUSQUETS,4.67,PERE VIETA CUBI,0.44,DAVY ALEXANDRE ADJEI COFFIE,0.11,IGNASI PALLARES ARUMI,1.0,DAVY ALEXANDRE ADJEI COFFIE,0.08,DAVY ALEXANDRE ADJEI COFFIE,1.22,DAVY ALEXANDRE ADJEI COFFIE,2.11,GERARD PARE BUSQUETS,0.52,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,DAVY ALEXANDRE ADJEI COFFIE,1.78,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,DAVY ALEXANDRE ADJEI COFFIE,0.37,ORIOL AGUILERA TRIAY,0.43,GUILLEM PRAT SERRA,0.85,ALEX RIERA PERETO,2.1,ORIOL AGUILERA TRIAY,2.82,GERARD PARE BUSQUETS,3.91,DAVY ALEXANDRE ADJEI COFFIE,41.28,DAVY ALEXANDRE ADJEI COFFIE,0.73,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,GUILLEM PRAT SERRA,7.69,GERARD PARE BUSQUETS,15.47,MARAL AZCONA BLAZQUEZ,0.0,NIL BARTES RODRIGUEZ,-0.0,ORIOL AGUILERA TRIAY,87.3,GERARD PARE BUSQUETS,89.94,ERIC ARUMI COLOM,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.0,GERARD PARE BUSQUETS,0.14,ORIOL AGUILERA TRIAY,1.89,GERARD PARE BUSQUETS,5.42,DAVY ALEXANDRE ADJEI COFFIE,0.36,ENRIC MANZANO ALBADALEJO,11.0
PERE VIETA CUBI,18.42,GERARD PARE BUSQUETS,4.25,ORIOL AGUILERA TRIAY,1.44,ORIOL AGUILERA TRIAY,3.67,DAVY ALEXANDRE ADJEI COFFIE,0.43,GUILLEM PRAT SERRA,0.0,GERARD PARE BUSQUETS,0.75,GUILLEM PRAT SERRA,0.0,GERARD PARE BUSQUETS,0.92,GERARD PARE BUSQUETS,1.75,GUILLEM PRAT SERRA,0.5,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,ENRIC MANZANO ALBADALEJO,1.75,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,ORIOL AGUILERA TRIAY,0.35,DAVY ALEXANDRE ADJEI COFFIE,0.4,ERIC ARUMI COLOM,0.0,IGNASI PALLARES ARUMI,1.79,GERARD PARE BUSQUETS,2.21,PERE VIETA CUBI,3.82,ORIOL AGUILERA TRIAY,39.73,ORIOL AGUILERA TRIAY,0.69,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,7.14,GUILLEM PRAT SERRA,14.39,GERARD PARE BUSQUETS,0.0,FERRAN PALLARES ARUMI,-0.0,DAVY ALEXANDRE ADJEI COFFIE,82.54,PERE VIETA CUBI,89.71,DAVY COFFIE,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,GERARD PARE BUSQUETS,0.0,IGNASI PALLARES ARUMI,0.09,GERARD PARE BUSQUETS,1.67,GUILLEM PRAT SERRA,5.09,ORIOL AGUILERA TRIAY,0.31,ALEX RIERA PERETO,10.0
DAVY ALEXANDRE ADJEI COFFIE,17.89,MARAL AZCONA BLAZQUEZ,2.42,MARAL AZCONA BLAZQUEZ,0.92,MARAL AZCONA BLAZQUEZ,1.92,ORIOL AGUILERA TRIAY,0.39,MARAL AZCONA BLAZQUEZ,0.0,GUILLEM PRAT SERRA,0.18,MARAL AZCONA BLAZQUEZ,0.0,MARAL AZCONA BLAZQUEZ,0.58,MARAL AZCONA BLAZQUEZ,1.5,MARAL AZCONA BLAZQUEZ,0.39,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,ORIOL AGUILERA TRIAY,1.67,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,GERARD PARE BUSQUETS,0.31,GERARD PARE BUSQUETS,0.34,DAVY COFFIE,0.0,GERARD PARE BUSQUETS,1.41,MARAL AZCONA BLAZQUEZ,1.29,GUILLEM PRAT SERRA,3.18,GERARD PARE BUSQUETS,36.1,GERARD PARE BUSQUETS,0.62,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,PERE VIETA CUBI,4.99,PERE VIETA CUBI,12.98,DAVY COFFIE,0.0,IGNASI EZPELETA GARGALLO,0.0,GERARD PARE BUSQUETS,70.83,MARAL AZCONA BLAZQUEZ,88.93,ARNAU NAVAS CARNERERO,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,GUILLEM PRAT SERRA,0.04,MARAL AZCONA BLAZQUEZ,0.92,PERE VIETA CUBI,4.33,GERARD PARE BUSQUETS,0.31,ORIOL AGUILERA TRIAY,8.0
MARAL AZCONA BLAZQUEZ,13.67,PERE VIETA CUBI,1.83,PERE VIETA CUBI,0.33,PERE VIETA CUBI,0.75,GERARD PARE BUSQUETS,0.36,GERARD PARE BUSQUETS,0.0,MARAL AZCONA BLAZQUEZ,0.0,GERARD PARE BUSQUETS,0.0,PERE VIETA CUBI,0.17,PERE VIETA CUBI,0.67,PERE VIETA CUBI,0.25,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,ALEX RIERA PERETO,1.58,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,PERE VIETA CUBI,0.19,PERE VIETA CUBI,0.2,ARNAU NAVAS CARNERERO,0.0,PERE VIETA CUBI,0.32,PERE VIETA CUBI,0.78,MARAL AZCONA BLAZQUEZ,1.22,PERE VIETA CUBI,17.03,PERE VIETA CUBI,0.38,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,MARAL AZCONA BLAZQUEZ,3.39,MARAL AZCONA BLAZQUEZ,9.74,GUILLEM PRAT SERRA,0.0,MIQUEL ARUM PUIGSASLLOSAS,-0.0,PERE VIETA CUBI,40.74,IGNASI PALLARES ARUMI,88.34,MARC GARCIA IBAEZ,-0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,GUILLEM PRAT SERRA,0.0,MARAL AZCONA BLAZQUEZ,0.0,PERE VIETA CUBI,0.67,MARAL AZCONA BLAZQUEZ,1.92,PERE VIETA CUBI,0.15,IGNASI PALLARES ARUMI,7.0
DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,DAVY COFFIE,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,MARC GARCIA IBAEZ,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,NIL BARTES RODRIGUEZ,0.0,IGNASI PALLARES ARUMI,-0.23,DAVY COFFIE,0.0,DAVY COFFIE,0.0,ZAK SERRAT BISHOP,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,NIL BARTES RODRIGUEZ,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0,DAVY COFFIE,0.0
