Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,10.0,200.0,62.7,17.0,38.0,0.45,5.5,20.4,0.27,12.2,21.2,0.58,22.3,65.0,0.49,96.46,43.24,44.04,20.89,0.35
Equip,2 Derrota,4.0,200.0,57.5,17.75,42.75,0.42,2.75,17.0,0.16,13.75,25.25,0.54,21.75,68.0,0.48,84.56,36.61,40.81,23.01,0.28
Equip,2 Victoria,6.0,200.0,66.17,16.5,34.83,0.47,7.33,22.67,0.32,11.17,18.5,0.6,22.67,63.0,0.49,105.03,47.83,46.33,19.42,0.39
Equip,3 Local,5.0,200.0,66.6,17.0,35.6,0.48,7.6,22.6,0.34,9.8,17.2,0.57,22.2,63.0,0.49,105.71,48.8,46.41,16.84,0.39
Equip,3 Visitant,5.0,200.0,58.8,17.0,40.4,0.42,3.4,18.2,0.19,14.6,25.2,0.58,22.4,66.8,0.48,88.02,37.71,41.78,24.91,0.31
Equip,4 Dificil,7.0,200.0,65.57,17.57,36.71,0.48,5.86,21.43,0.27,12.86,21.86,0.59,22.86,65.0,0.49,100.88,45.33,45.88,22.11,0.37
Equip,4 Facil,3.0,200.0,56.0,15.67,41.0,0.38,4.67,18.0,0.26,10.67,19.67,0.54,21.0,64.67,0.48,86.6,38.42,39.71,18.08,0.31
Equip,5 Equips Cua,2.0,200.0,59.5,20.0,47.0,0.43,3.0,17.5,0.17,10.5,23.5,0.45,22.5,71.5,0.5,83.22,37.98,39.95,16.28,0.27
Equip,5 Equips Top,2.0,200.0,59.5,20.0,47.0,0.43,3.0,17.5,0.17,10.5,23.5,0.45,22.5,71.5,0.5,83.22,37.98,39.95,16.28,0.27
Equip,6 Ultims 3,3.0,36000.0,170.0,50.0,120.0,0.42,15.0,63.0,0.24,25.0,52.0,0.48,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
Equip Rival,1 Mitjana Rival,10.0,200.0,63.8,15.8,38.8,0.41,6.0,23.7,0.25,14.2,21.4,0.66,21.3,69.0,0.51,92.46,39.68,41.36,22.72,0.38
Equip Rival,2 Derrota Rival,4.0,200.0,71.0,18.0,41.25,0.44,7.0,26.5,0.26,14.0,21.5,0.65,22.25,74.0,0.52,95.95,42.07,42.64,20.66,0.39
Equip Rival,2 Victoria Rival,6.0,200.0,59.0,14.33,37.17,0.39,5.33,21.83,0.24,14.33,21.33,0.67,20.67,65.5,0.51,90.08,37.85,40.4,24.29,0.37
Equip Rival,3 Local Rival,5.0,200.0,59.2,14.8,37.4,0.4,5.2,22.4,0.23,14.0,20.4,0.69,19.6,66.0,0.51,89.7,37.79,40.25,23.41,0.37
Equip Rival,3 Visitant Rival,5.0,200.0,68.4,16.8,40.2,0.42,6.8,25.0,0.27,14.4,22.4,0.64,23.0,72.0,0.52,95.0,41.41,42.36,22.09,0.38
Equip Rival,4 Dificil Rival,7.0,200.0,63.43,16.0,39.57,0.4,6.0,22.43,0.27,13.43,21.29,0.63,21.14,68.43,0.51,92.69,40.32,41.63,21.66,0.36
Equip Rival,4 Facil Rival,3.0,200.0,64.67,15.33,37.0,0.41,6.0,26.67,0.23,16.0,21.67,0.74,21.67,70.0,0.52,92.38,38.22,40.66,25.13,0.42
Equip Rival,5 Equips Cua Rival,2.0,200.0,70.5,17.0,37.0,0.46,7.0,27.5,0.25,15.5,22.5,0.69,21.5,71.0,0.5,99.3,42.64,43.71,24.03,0.43
Equip Rival,5 Equips Top Rival,2.0,200.0,70.5,17.0,37.0,0.46,7.0,27.5,0.25,15.5,22.5,0.69,21.5,71.0,0.5,99.3,42.64,43.71,24.03,0.43
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,197.0,49.0,114.0,0.43,20.0,75.0,0.27,39.0,61.0,0.64,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
