Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,16.0,200.0,65.44,18.31,41.31,0.44,5.56,20.69,0.27,12.12,20.19,0.6,21.81,68.0,0.5,96.23,42.99,43.76,19.56,0.33
Equip,2 Derrota,10.0,200.0,63.2,17.3,40.6,0.43,5.6,21.7,0.26,11.8,18.9,0.62,22.8,67.7,0.5,93.35,41.25,42.07,18.94,0.35
Equip,2 Victoria,6.0,200.0,69.17,20.0,42.5,0.47,5.5,19.0,0.29,12.67,22.33,0.57,20.17,68.33,0.5,101.22,45.93,46.51,20.6,0.31
Equip,3 Local,8.0,200.0,66.0,18.38,40.75,0.45,5.75,22.25,0.26,12.0,20.5,0.59,24.38,69.12,0.51,95.48,42.86,43.42,19.05,0.35
Equip,3 Visitant,8.0,200.0,64.88,18.25,41.88,0.44,5.38,19.12,0.28,12.25,19.88,0.62,19.25,66.88,0.49,97.01,43.14,44.1,20.08,0.31
Equip,4 Dificil,11.0,200.0,64.64,18.36,43.0,0.43,5.0,20.64,0.24,12.91,21.82,0.59,21.09,70.27,0.5,91.98,40.64,42.34,20.29,0.32
Equip,4 Facil,5.0,200.0,67.2,18.2,37.6,0.48,6.8,20.8,0.33,10.4,16.6,0.63,23.4,63.0,0.48,106.67,48.63,47.22,17.81,0.36
Equip,5 Equips Cua,3.0,200.0,67.33,16.67,38.67,0.43,7.33,25.67,0.29,12.0,20.33,0.59,22.67,70.33,0.5,95.73,43.01,42.46,18.65,0.4
Equip,5 Equips Top,3.0,200.0,67.33,16.67,38.67,0.43,7.33,25.67,0.29,12.0,20.33,0.59,22.67,70.33,0.5,95.73,43.01,42.46,18.65,0.4
Equip,6 Ultims 3,3.0,36000.0,194.0,51.0,113.0,0.45,19.0,79.0,0.24,35.0,55.0,0.64,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
Equip Rival,1 Mitjana Rival,16.0,200.0,70.38,16.81,35.69,0.47,7.69,26.44,0.29,13.69,21.81,0.63,20.69,68.81,0.5,102.27,45.62,45.19,22.03,0.43
Equip Rival,2 Derrota Rival,10.0,200.0,75.0,17.7,36.5,0.48,8.3,25.1,0.33,14.7,23.0,0.64,19.9,68.8,0.5,109.01,48.94,48.03,23.86,0.41
Equip Rival,2 Victoria Rival,6.0,200.0,62.67,15.33,34.33,0.45,6.67,28.67,0.23,12.0,19.83,0.61,22.0,68.83,0.5,91.04,40.21,40.45,19.05,0.46
Equip Rival,3 Local Rival,8.0,200.0,71.62,18.0,33.88,0.53,6.38,24.38,0.26,16.5,26.12,0.63,21.75,66.88,0.49,107.1,47.32,48.63,28.33,0.42
Equip Rival,3 Visitant Rival,8.0,200.0,69.12,15.62,37.5,0.42,9.0,28.5,0.32,10.88,17.5,0.62,19.62,70.75,0.51,97.7,44.13,41.95,16.48,0.43
Equip Rival,4 Dificil Rival,11.0,200.0,68.09,16.64,36.73,0.45,7.64,27.09,0.28,11.91,19.73,0.6,21.82,69.55,0.5,97.91,44.02,43.12,18.66,0.42
Equip Rival,4 Facil Rival,5.0,200.0,75.4,17.2,33.4,0.51,7.8,25.0,0.31,17.6,26.4,0.67,18.2,67.2,0.52,112.2,49.49,49.86,30.14,0.43
Equip Rival,5 Equips Cua Rival,3.0,200.0,75.33,18.33,34.33,0.53,8.0,28.33,0.28,14.67,26.0,0.56,21.0,71.0,0.5,106.1,48.4,47.57,23.4,0.45
Equip Rival,5 Equips Top Rival,3.0,200.0,75.33,18.33,34.33,0.53,8.0,28.33,0.28,14.67,26.0,0.56,21.0,71.0,0.5,106.1,48.4,47.57,23.4,0.45
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,207.0,43.0,100.0,0.43,26.0,88.0,0.3,43.0,76.0,0.57,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
