Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,17.0,201.47,65.88,15.29,36.94,0.41,7.0,26.94,0.26,14.29,23.71,0.6,21.59,71.29,0.5,92.41,40.38,41.28,22.38,0.42
Equip,2 Derrota,9.0,202.78,59.67,14.67,36.22,0.4,5.44,25.44,0.21,14.0,24.11,0.58,22.89,69.33,0.49,86.06,37.03,39.35,22.7,0.41
Equip,2 Victoria,8.0,200.0,72.88,16.0,37.75,0.42,8.75,28.62,0.31,14.62,23.25,0.63,20.12,73.5,0.52,99.15,43.88,43.3,22.03,0.43
Equip,3 Local,8.0,203.12,71.5,15.75,38.38,0.41,8.88,29.25,0.3,13.38,20.5,0.65,22.0,73.5,0.52,97.28,42.98,41.98,19.78,0.43
Equip,3 Visitant,9.0,200.0,60.89,14.89,35.67,0.42,5.33,24.89,0.21,15.11,26.56,0.57,21.22,69.33,0.49,87.82,37.8,40.56,24.95,0.41
Equip,4 Dificil,8.0,203.12,66.38,14.75,35.38,0.42,7.25,27.25,0.27,15.12,25.75,0.59,22.38,70.88,0.5,93.65,40.92,41.89,24.15,0.44
Equip,4 Facil,9.0,200.0,65.44,15.78,38.33,0.41,6.78,26.67,0.25,13.56,21.89,0.62,20.89,71.56,0.5,91.46,39.91,40.73,20.85,0.41
Equip,5 Equips Cua,3.0,200.0,65.33,14.33,37.33,0.38,7.0,28.33,0.25,15.67,21.0,0.75,21.33,71.67,0.51,91.16,37.82,39.41,23.86,0.43
Equip,5 Equips Top,3.0,200.0,65.33,14.33,37.33,0.38,7.0,28.33,0.25,15.67,21.0,0.75,21.33,71.67,0.51,91.16,37.82,39.41,23.86,0.43
Equip,6 Ultims 3,3.0,36000.0,210.0,43.0,105.0,0.41,26.0,88.0,0.3,46.0,69.0,0.67,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
Equip Rival,1 Mitjana Rival,17.0,201.47,66.94,18.18,40.0,0.45,5.76,24.24,0.24,13.29,21.47,0.62,22.59,70.71,0.5,94.68,41.76,42.96,20.7,0.38
Equip Rival,2 Derrota Rival,9.0,202.78,74.33,19.22,40.56,0.47,6.67,24.78,0.27,15.89,25.56,0.62,22.22,73.44,0.51,101.21,44.73,45.86,24.32,0.38
Equip Rival,2 Victoria Rival,8.0,200.0,58.62,17.0,39.38,0.43,4.75,23.62,0.2,10.38,16.88,0.61,23.0,67.5,0.48,86.85,38.29,39.42,16.47,0.38
Equip Rival,3 Local Rival,8.0,203.12,64.75,16.25,38.5,0.42,6.12,23.25,0.26,13.88,22.25,0.62,21.25,68.62,0.48,94.35,41.19,42.48,22.47,0.38
Equip Rival,3 Visitant Rival,9.0,200.0,68.89,19.89,41.33,0.48,5.44,25.11,0.22,12.78,20.78,0.61,23.78,72.56,0.51,94.95,42.22,43.36,19.23,0.38
Equip Rival,4 Dificil Rival,8.0,203.12,65.62,17.5,39.5,0.44,5.62,24.0,0.23,13.75,22.75,0.6,23.88,70.5,0.5,93.09,40.85,42.43,21.65,0.38
Equip Rival,4 Facil Rival,9.0,200.0,68.11,18.78,40.44,0.46,5.89,24.44,0.24,12.89,20.33,0.63,21.44,70.78,0.5,96.23,42.55,43.42,19.86,0.38
Equip Rival,5 Equips Cua Rival,3.0,200.0,73.67,17.67,34.67,0.51,8.0,27.67,0.29,14.33,22.0,0.65,21.67,69.0,0.49,106.76,47.59,46.95,22.99,0.44
Equip Rival,5 Equips Top Rival,3.0,200.0,73.67,17.67,34.67,0.51,8.0,27.67,0.29,14.33,22.0,0.65,21.67,69.0,0.49,106.76,47.59,46.95,22.99,0.44
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,199.0,53.0,114.0,0.46,18.0,77.0,0.23,39.0,68.0,0.57,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
