Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,4.0,206.25,66.5,15.25,40.75,0.37,7.25,25.0,0.29,14.25,24.5,0.58,22.25,73.25,0.49,90.78,39.73,40.48,21.67,0.38
Equip,2 Derrota,3.0,208.33,65.0,14.67,39.0,0.38,6.33,23.67,0.27,16.67,27.67,0.6,23.67,71.67,0.48,90.7,38.56,41.12,26.6,0.38
Equip,2 Victoria,1.0,200.0,71.0,17.0,46.0,0.37,10.0,29.0,0.34,7.0,15.0,0.47,18.0,78.0,0.54,91.03,42.67,38.63,9.33,0.39
Equip,3 Local,2.0,212.5,67.5,14.5,41.0,0.35,9.5,25.5,0.37,10.0,20.0,0.5,24.0,72.0,0.5,93.75,43.23,40.27,15.04,0.38
Equip,3 Visitant,2.0,200.0,65.5,16.0,40.5,0.4,5.0,24.5,0.2,18.5,29.0,0.64,20.5,74.5,0.49,87.92,36.15,40.57,28.46,0.38
Equip,4 Dificil,3.0,208.33,68.0,15.67,39.0,0.4,8.33,25.0,0.33,11.67,21.33,0.55,22.0,70.33,0.49,96.68,44.01,42.44,18.23,0.39
Equip,4 Facil,1.0,200.0,62.0,14.0,46.0,0.3,4.0,25.0,0.16,22.0,34.0,0.65,23.0,82.0,0.5,75.61,28.17,35.35,30.99,0.35
Equip,6 Ultims 3,3.0,37500.0,195.0,44.0,117.0,0.38,19.0,71.0,0.27,50.0,83.0,0.6,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
Equip Rival,1 Mitjana Rival,4.0,206.25,69.75,17.25,43.25,0.4,6.75,24.0,0.28,15.0,24.5,0.61,23.0,74.75,0.51,93.31,40.71,41.96,22.3,0.36
Equip Rival,2 Derrota Rival,3.0,208.33,72.67,18.0,43.33,0.42,6.67,24.67,0.27,16.67,28.33,0.59,25.0,77.0,0.52,94.37,41.18,42.96,24.51,0.36
Equip Rival,2 Victoria Rival,1.0,200.0,61.0,15.0,43.0,0.35,7.0,22.0,0.32,10.0,13.0,0.77,17.0,67.0,0.46,91.04,39.23,38.35,15.38,0.34
Equip Rival,3 Local Rival,2.0,212.5,65.0,17.0,42.0,0.4,5.5,22.5,0.24,14.5,25.5,0.57,20.0,72.5,0.5,89.66,39.15,41.23,22.48,0.35
Equip Rival,3 Visitant Rival,2.0,200.0,74.5,17.5,44.5,0.39,8.0,25.5,0.31,15.5,23.5,0.66,26.0,77.0,0.51,96.75,42.14,42.58,22.14,0.36
Equip Rival,4 Dificil Rival,3.0,208.33,67.67,18.0,44.33,0.41,5.67,21.0,0.27,14.67,23.67,0.62,21.0,72.67,0.51,93.12,40.56,42.47,22.45,0.32
Equip Rival,4 Facil Rival,1.0,200.0,76.0,15.0,40.0,0.38,10.0,33.0,0.3,16.0,27.0,0.59,29.0,81.0,0.5,93.83,41.1,40.58,21.92,0.45
Equip Rival,6 Ultims 3 Rival,3.0,37500.0,218.0,54.0,130.0,0.42,20.0,74.0,0.27,50.0,85.0,0.59,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
